Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520440070,2018-03-07T16:27:50Z,JAI384,"28.542664,77.014267",0,222,216
1520440076,2018-03-07T16:27:56Z,JAI384,"28.536484,77.0112",0,225,202
1520440085,2018-03-07T16:28:05Z,JAI384,"28.526733,77.009773",0,238,182
1520440105,2018-03-07T16:28:25Z,JAI384,"28.501375,77.010872",0,266,179
1520440126,2018-03-07T16:28:46Z,JAI384,"28.476883,77.008453",0,281,187
1520440133,2018-03-07T16:28:53Z,JAI384,"28.467499,77.006767",0,284,189
1520440141,2018-03-07T16:29:01Z,JAI384,"28.45546,77.004227",0,287,190
1520440148,2018-03-07T16:29:08Z,JAI384,"28.44742,77.002419",0,289,191
1520440154,2018-03-07T16:29:14Z,JAI384,"28.439804,77.000694",0,296,191
1520440160,2018-03-07T16:29:20Z,JAI384,"28.431015,76.998581",0,303,191
1520440166,2018-03-07T16:29:26Z,JAI384,"28.422592,76.996521",0,310,192
1520440172,2018-03-07T16:29:32Z,JAI384,"28.416464,76.995041",0,314,192
1520440186,2018-03-07T16:29:46Z,JAI384,"28.391876,76.989388",0,334,191
1520440193,2018-03-07T16:29:53Z,JAI384,"28.382401,76.987328",0,336,190
1520440201,2018-03-07T16:30:01Z,JAI384,"28.368467,76.984436",0,339,190
1520440208,2018-03-07T16:30:08Z,JAI384,"28.359924,76.982681",0,340,190
1520440214,2018-03-07T16:30:14Z,JAI384,"28.34903,76.980461",0,341,190
1520440220,2018-03-07T16:30:20Z,JAI384,"28.340118,76.978615",0,341,190
1520440226,2018-03-07T16:30:26Z,JAI384,"28.330399,76.976234",0,343,193
1520440232,2018-03-07T16:30:32Z,JAI384,"28.321451,76.973175",0,343,197
1520440238,2018-03-07T16:30:38Z,JAI384,"28.312653,76.969193",0,342,202
1520440244,2018-03-07T16:30:44Z,JAI384,"28.304459,76.964615",0,341,206
1520440250,2018-03-07T16:30:50Z,JAI384,"28.29608,76.958961",0,340,211
1520440256,2018-03-07T16:30:56Z,JAI384,"28.289143,76.953415",0,339,215
1520440262,2018-03-07T16:31:02Z,JAI384,"28.28064,76.945862",0,339,218
1520440268,2018-03-07T16:31:08Z,JAI384,"28.273827,76.939789",0,339,218
1520440274,2018-03-07T16:31:14Z,JAI384,"28.266769,76.933502",6350,339,218
1520440286,2018-03-07T16:31:26Z,JAI384,"28.250885,76.91935",6525,341,218
1520440298,2018-03-07T16:31:38Z,JAI384,"28.236074,76.906128",6650,341,218
1520440310,2018-03-07T16:31:50Z,JAI384,"28.221039,76.892784",6800,341,218
1520440322,2018-03-07T16:32:02Z,JAI384,"28.205954,76.879364",6950,341,218
1520440337,2018-03-07T16:32:17Z,JAI384,"28.187008,76.862503",7000,341,218
1520440349,2018-03-07T16:32:29Z,JAI384,"28.17247,76.849525",7000,341,218
1520440362,2018-03-07T16:32:42Z,JAI384,"28.157122,76.835899",7125,342,218
1520440373,2018-03-07T16:32:53Z,JAI384,"28.142504,76.823135",7425,343,217
1520440385,2018-03-07T16:33:05Z,JAI384,"28.127975,76.810493",7925,343,217
1520440397,2018-03-07T16:33:17Z,JAI384,"28.111404,76.796173",8450,346,217
1520440410,2018-03-07T16:33:30Z,JAI384,"28.096323,76.782959",9025,346,217
1520440422,2018-03-07T16:33:42Z,JAI384,"28.080915,76.769394",9600,344,217
1520440434,2018-03-07T16:33:54Z,JAI384,"28.065554,76.755875",10175,344,217
1520440446,2018-03-07T16:34:06Z,JAI384,"28.050797,76.742828",10675,345,218
1520440458,2018-03-07T16:34:18Z,JAI384,"28.03548,76.729271",11175,348,218
1520440470,2018-03-07T16:34:30Z,JAI384,"28.020164,76.715645",11650,351,218
1520440481,2018-03-07T16:34:41Z,JAI384,"28.004333,76.70163",12150,354,218
1520440516,2018-03-07T16:35:16Z,JAI384,"27.961229,76.663567",13575,359,217
1520440549,2018-03-07T16:35:49Z,JAI384,"27.917542,76.625336",15050,364,217
1520440582,2018-03-07T16:36:22Z,JAI384,"27.875244,76.58844",16325,372,217
1520440615,2018-03-07T16:36:55Z,JAI384,"27.826767,76.546051",17675,379,217
1520440651,2018-03-07T16:37:31Z,JAI384,"27.774948,76.503448",19050,388,214
1520440714,2018-03-07T16:38:34Z,JAI384,"27.679588,76.431725",21550,393,213
1520440777,2018-03-07T16:39:37Z,JAI384,"27.583178,76.3591",23700,400,213
1520440841,2018-03-07T16:40:41Z,JAI384,"27.48337,76.286736",25425,412,211
1520440903,2018-03-07T16:41:43Z,JAI384,"27.382645,76.217804",28250,388,211
1520440967,2018-03-07T16:42:47Z,JAI384,"27.285965,76.151367",29925,389,211
1520441031,2018-03-07T16:43:51Z,JAI384,"27.187578,76.084229",31075,398,211
1520441094,2018-03-07T16:44:54Z,JAI384,"27.088486,76.016838",32525,396,211
1520441159,2018-03-07T16:45:59Z,JAI384,"26.990801,75.95018",34700,369,211
1520441166,2018-03-07T16:46:06Z,JAI384,"26.982376,75.94442",34825,368,211
1520441253,2018-03-07T16:47:33Z,JAI384,"26.852867,75.856003",36000,367,211
1520441315,2018-03-07T16:48:35Z,JAI384,"26.753244,75.807144",36000,385,200
1520441376,2018-03-07T16:49:36Z,JAI384,"26.652739,75.764786",36000,387,200
1520441439,2018-03-07T16:50:39Z,JAI384,"26.546127,75.719688",36000,389,201
1520441502,2018-03-07T16:51:42Z,JAI384,"26.438227,75.674095",36000,391,200
1520441563,2018-03-07T16:52:43Z,JAI384,"26.336151,75.631073",36000,392,200
1520441625,2018-03-07T16:53:45Z,JAI384,"26.227716,75.585358",36000,393,200
1520441688,2018-03-07T16:54:48Z,JAI384,"26.120041,75.540146",36000,392,200
1520441749,2018-03-07T16:55:49Z,JAI384,"26.017441,75.496834",35975,391,200
1520441812,2018-03-07T16:56:52Z,JAI384,"25.910137,75.451988",35975,391,200
1520441873,2018-03-07T16:57:53Z,JAI384,"25.806978,75.409325",36000,395,200
1520441936,2018-03-07T16:58:56Z,JAI384,"25.697813,75.364601",35975,397,200
1520442000,2018-03-07T17:00:00Z,JAI384,"25.588509,75.319519",36000,400,200
1520442066,2018-03-07T17:01:06Z,JAI384,"25.473059,75.272308",35975,402,200
1520442129,2018-03-07T17:02:09Z,JAI384,"25.361801,75.226799",36000,404,200
1520442190,2018-03-07T17:03:10Z,JAI384,"25.255188,75.183258",36000,406,200
1520442253,2018-03-07T17:04:13Z,JAI384,"25.143562,75.137779",35975,407,200
1520442316,2018-03-07T17:05:16Z,JAI384,"25.030884,75.091957",36000,408,200
1520442377,2018-03-07T17:06:17Z,JAI384,"24.926676,75.049576",36000,408,200
1520442438,2018-03-07T17:07:18Z,JAI384,"24.81723,75.004852",35975,406,200
1520442506,2018-03-07T17:08:26Z,JAI384,"24.694336,74.95504",35975,404,200
1520442567,2018-03-07T17:09:27Z,JAI384,"24.5881,74.91256",36000,402,200
1520442630,2018-03-07T17:10:30Z,JAI384,"24.477905,74.868263",35975,403,200
1520442694,2018-03-07T17:11:34Z,JAI384,"24.365953,74.823112",36000,406,200
1520442757,2018-03-07T17:12:37Z,JAI384,"24.254105,74.77829",36000,410,200
1520442821,2018-03-07T17:13:41Z,JAI384,"24.141012,74.733307",36000,410,200
1520442883,2018-03-07T17:14:43Z,JAI384,"24.027006,74.687653",35975,411,200
1520442956,2018-03-07T17:15:56Z,JAI384,"23.898802,74.636139",35975,410,200
1520443023,2018-03-07T17:17:03Z,JAI384,"23.778929,74.588203",35975,411,200
1520443085,2018-03-07T17:18:05Z,JAI384,"23.668671,74.54422",35975,410,200
1520443148,2018-03-07T17:19:08Z,JAI384,"23.554733,74.498802",36000,408,200
1520443209,2018-03-07T17:20:09Z,JAI384,"23.446453,74.455772",35975,405,200
1520443270,2018-03-07T17:21:10Z,JAI384,"23.339447,74.413246",36000,404,200
1520443331,2018-03-07T17:22:11Z,JAI384,"23.231661,74.370369",35975,407,200
1520443392,2018-03-07T17:23:12Z,JAI384,"23.122915,74.327446",36000,407,200
1520443453,2018-03-07T17:24:13Z,JAI384,"23.01524,74.284973",35975,407,200
1520443516,2018-03-07T17:25:16Z,JAI384,"22.901917,74.240265",36000,406,200
1520443577,2018-03-07T17:26:17Z,JAI384,"22.793745,74.197639",35975,405,200
1520443638,2018-03-07T17:27:18Z,JAI384,"22.687466,74.15583",35975,401,199
1520443699,2018-03-07T17:28:19Z,JAI384,"22.58021,74.113823",36000,404,200
1520443760,2018-03-07T17:29:20Z,JAI384,"22.472301,74.071503",35975,408,199
1520443826,2018-03-07T17:30:26Z,JAI384,"22.355549,74.025932",36000,410,199
1520443889,2018-03-07T17:31:29Z,JAI384,"22.242054,73.981575",35975,412,200
1520443950,2018-03-07T17:32:30Z,JAI384,"22.13275,73.938904",35975,414,199
1520444013,2018-03-07T17:33:33Z,JAI384,"22.01865,73.8946",36000,415,199
1520444076,2018-03-07T17:34:36Z,JAI384,"21.903763,73.849945",36000,416,199
1520444139,2018-03-07T17:35:39Z,JAI384,"21.788635,73.805336",36000,418,199
1520444200,2018-03-07T17:36:40Z,JAI384,"21.677856,73.762558",35975,416,199
1520444262,2018-03-07T17:37:42Z,JAI384,"21.564394,73.718719",35975,409,199
1520444323,2018-03-07T17:38:43Z,JAI384,"21.457743,73.677368",35975,410,199
1520444386,2018-03-07T17:39:46Z,JAI384,"21.343922,73.633629",35975,412,199
1520444449,2018-03-07T17:40:49Z,JAI384,"21.229706,73.589722",35975,414,199
1520444510,2018-03-07T17:41:50Z,JAI384,"21.119339,73.549469",35400,420,197
