Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520526585,2018-03-08T16:29:45Z,JAI384,"28.543945,77.018066",2325,221,228
1520526591,2018-03-08T16:29:51Z,JAI384,"28.537399,77.014107",2450,228,210
1520526597,2018-03-08T16:29:57Z,JAI384,"28.53089,77.012222",2625,235,192
1520526604,2018-03-08T16:30:04Z,JAI384,"28.524719,77.011734",2775,240,183
1520526625,2018-03-08T16:30:25Z,JAI384,"28.498907,77.011902",3425,264,181
1520526634,2018-03-08T16:30:34Z,JAI384,"28.487915,77.010994",3800,268,185
1520526640,2018-03-08T16:30:40Z,JAI384,"28.480333,77.009903",4050,269,186
1520526649,2018-03-08T16:30:49Z,JAI384,"28.468788,77.007858",4350,276,189
1520526658,2018-03-08T16:30:58Z,JAI384,"28.456591,77.005325",4525,290,190
1520526664,2018-03-08T16:31:04Z,JAI384,"28.448492,77.003494",4625,299,191
1520526670,2018-03-08T16:31:10Z,JAI384,"28.440582,77.00164",4725,306,191
1520526676,2018-03-08T16:31:16Z,JAI384,"28.432022,76.99958",4825,314,191
1520526682,2018-03-08T16:31:22Z,JAI384,"28.424606,76.997787",4925,319,191
1520526688,2018-03-08T16:31:28Z,JAI384,"28.414183,76.995308",5125,329,191
1520526706,2018-03-08T16:31:46Z,JAI384,"28.386251,76.988846",5650,336,191
1520526718,2018-03-08T16:31:58Z,JAI384,"28.367615,76.984741",5775,338,190
1520526733,2018-03-08T16:32:13Z,JAI384,"28.345505,76.979988",5975,340,190
1520526746,2018-03-08T16:32:26Z,JAI384,"28.326462,76.975388",6000,346,193
1520526752,2018-03-08T16:32:32Z,JAI384,"28.316483,76.971535",6025,347,200
1520526758,2018-03-08T16:32:38Z,JAI384,"28.308184,76.967201",6100,346,205
1520526770,2018-03-08T16:32:50Z,JAI384,"28.291563,76.95546",6325,348,215
1520526776,2018-03-08T16:32:56Z,JAI384,"28.284208,76.948997",6425,347,218
1520526782,2018-03-08T16:33:02Z,JAI384,"28.27652,76.942116",6525,347,218
1520526788,2018-03-08T16:33:08Z,JAI384,"28.268381,76.934883",6625,347,218
1520526800,2018-03-08T16:33:20Z,JAI384,"28.253531,76.921692",6825,349,218
1520526812,2018-03-08T16:33:32Z,JAI384,"28.237564,76.907463",7050,356,218
1520526824,2018-03-08T16:33:44Z,JAI384,"28.222015,76.893631",7275,358,218
1520526836,2018-03-08T16:33:56Z,JAI384,"28.20628,76.879684",7475,359,218
1520526848,2018-03-08T16:34:08Z,JAI384,"28.19022,76.865471",7775,361,218
1520526860,2018-03-08T16:34:20Z,JAI384,"28.174578,76.851624",8025,362,218
1520526872,2018-03-08T16:34:32Z,JAI384,"28.158279,76.837219",8300,363,218
1520526884,2018-03-08T16:34:44Z,JAI384,"28.142782,76.82357",8850,360,217
1520526896,2018-03-08T16:34:56Z,JAI384,"28.126677,76.809349",9725,351,218
1520526908,2018-03-08T16:35:08Z,JAI384,"28.1115,76.795998",10650,342,217
1520526920,2018-03-08T16:35:20Z,JAI384,"28.096619,76.782974",11325,342,217
1520526932,2018-03-08T16:35:32Z,JAI384,"28.0811,76.769226",11875,348,218
1520526944,2018-03-08T16:35:44Z,JAI384,"28.065811,76.755821",12400,352,217
1520526978,2018-03-08T16:36:18Z,JAI384,"28.022165,76.717209",13925,364,218
1520527010,2018-03-08T16:36:50Z,JAI384,"27.978081,76.678535",15850,361,217
1520527041,2018-03-08T16:37:21Z,JAI384,"27.93869,76.643944",17350,361,218
1520527074,2018-03-08T16:37:54Z,JAI384,"27.894058,76.60466",18775,369,218
1520527137,2018-03-08T16:38:57Z,JAI384,"27.806257,76.527855",21025,389,217
1520527198,2018-03-08T16:39:58Z,JAI384,"27.713478,76.45713",23075,405,213
1520527261,2018-03-08T16:41:01Z,JAI384,"27.606125,76.397575",25325,414,204
1520527323,2018-03-08T16:42:03Z,JAI384,"27.494476,76.340988",27300,420,204
1520527387,2018-03-08T16:43:07Z,JAI384,"27.381729,76.284195",28925,425,204
1520527450,2018-03-08T16:44:10Z,JAI384,"27.270309,76.228691",31175,410,203
1520527519,2018-03-08T16:45:19Z,JAI384,"27.154013,76.169907",33750,384,204
1520527586,2018-03-08T16:46:26Z,JAI384,"27.047195,76.116341",33975,387,204
1520527649,2018-03-08T16:47:29Z,JAI384,"26.943329,76.064362",33975,384,204
1520527715,2018-03-08T16:48:35Z,JAI384,"26.836388,76.011078",33975,385,204
1520527777,2018-03-08T16:49:37Z,JAI384,"26.732803,75.959526",33975,382,204
