Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520613233,2018-03-09T16:33:53Z,JAI384,"28.549044,77.04911",1875,186,279
1520613266,2018-03-09T16:34:26Z,JAI384,"28.542435,77.025993",2250,231,232
1520613272,2018-03-09T16:34:32Z,JAI384,"28.524092,77.016098",2950,244,187
1520613296,2018-03-09T16:34:56Z,JAI384,"28.496906,77.016747",3650,263,179
1520613317,2018-03-09T16:35:17Z,JAI384,"28.469559,77.01252",4200,281,193
1520613324,2018-03-09T16:35:24Z,JAI384,"28.46176,77.010498",4425,284,192
1520613332,2018-03-09T16:35:32Z,JAI384,"28.449829,77.007454",4775,288,192
1520613339,2018-03-09T16:35:39Z,JAI384,"28.442114,77.005432",5000,290,192
1520613351,2018-03-09T16:35:51Z,JAI384,"28.425888,77.001274",5550,291,192
1520613369,2018-03-09T16:36:09Z,JAI384,"28.402176,76.995354",6425,289,192
1520613381,2018-03-09T16:36:21Z,JAI384,"28.386251,76.991432",6850,289,192
1520613392,2018-03-09T16:36:32Z,JAI384,"28.370749,76.987663",7150,290,192
1520613404,2018-03-09T16:36:44Z,JAI384,"28.354689,76.983734",7650,290,192
1520613416,2018-03-09T16:36:56Z,JAI384,"28.339979,76.980125",8175,289,192
1520613428,2018-03-09T16:37:08Z,JAI384,"28.323257,76.975494",8700,286,197
1520613437,2018-03-09T16:37:17Z,JAI384,"28.311954,76.970703",8925,286,202
1520613444,2018-03-09T16:37:24Z,JAI384,"28.304947,76.967049",9025,287,206
1520613453,2018-03-09T16:37:33Z,JAI384,"28.294052,76.960762",9275,289,207
1520613464,2018-03-09T16:37:44Z,JAI384,"28.279633,76.952415",9575,301,207
1520613476,2018-03-09T16:37:56Z,JAI384,"28.264343,76.943542",9775,314,207
1520613489,2018-03-09T16:38:09Z,JAI384,"28.248503,76.934349",9975,327,207
1520613501,2018-03-09T16:38:21Z,JAI384,"28.231606,76.924652",10225,338,207
1520613513,2018-03-09T16:38:33Z,JAI384,"28.214859,76.91507",10700,341,206
1520613525,2018-03-09T16:38:45Z,JAI384,"28.197575,76.905266",11225,343,206
1520613536,2018-03-09T16:38:56Z,JAI384,"28.180756,76.895638",11725,345,206
1520613549,2018-03-09T16:39:09Z,JAI384,"28.163132,76.885597",12275,347,206
1520613582,2018-03-09T16:39:42Z,JAI384,"28.115387,76.858398",12900,351,207
1520613615,2018-03-09T16:40:15Z,JAI384,"28.066902,76.830681",13325,354,206
1520613648,2018-03-09T16:40:48Z,JAI384,"28.018442,76.803047",13725,357,206
1520613681,2018-03-09T16:41:21Z,JAI384,"27.969097,76.774887",14025,358,206
1520613712,2018-03-09T16:41:52Z,JAI384,"27.923813,76.749039",14775,371,206
1520613744,2018-03-09T16:42:24Z,JAI384,"27.873898,76.720695",16000,381,206
1520613775,2018-03-09T16:42:55Z,JAI384,"27.824112,76.692497",17325,387,206
1520613808,2018-03-09T16:43:28Z,JAI384,"27.770828,76.662285",18750,389,206
1520613871,2018-03-09T16:44:31Z,JAI384,"27.671394,76.605972",19625,389,206
