Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520786580,2018-03-11T16:43:00Z,JAI384,"28.533966,77.01342",2500,249,198
1520786586,2018-03-11T16:43:06Z,JAI384,"28.526979,77.011467",2600,256,191
1520786592,2018-03-11T16:43:12Z,JAI384,"28.520229,77.010551",2700,265,184
1520786601,2018-03-11T16:43:21Z,JAI384,"28.508591,77.009903",2925,276,182
1520786610,2018-03-11T16:43:30Z,JAI384,"28.497345,77.00914",3225,280,184
1520786616,2018-03-11T16:43:36Z,JAI384,"28.489132,77.008125",3475,282,187
1520786625,2018-03-11T16:43:45Z,JAI384,"28.477432,77.006134",3900,281,188
1520786634,2018-03-11T16:43:54Z,JAI384,"28.465576,77.004181",4325,281,188
1520786640,2018-03-11T16:44:00Z,JAI384,"28.458221,77.002907",4600,280,188
1520786646,2018-03-11T16:44:06Z,JAI384,"28.451157,77.00164",4825,282,189
1520786652,2018-03-11T16:44:12Z,JAI384,"28.442276,76.999954",5050,286,189
1520786664,2018-03-11T16:44:24Z,JAI384,"28.426846,76.996765",5250,300,190
1520786676,2018-03-11T16:44:36Z,JAI384,"28.409155,76.992996",5500,314,190
1520786688,2018-03-11T16:44:48Z,JAI384,"28.391693,76.989281",5700,327,190
1520786700,2018-03-11T16:45:00Z,JAI384,"28.373543,76.985458",5900,340,190
1520786713,2018-03-11T16:45:13Z,JAI384,"28.355015,76.981628",6275,345,190
1520786724,2018-03-11T16:45:24Z,JAI384,"28.336393,76.977753",6750,347,190
1520786736,2018-03-11T16:45:36Z,JAI384,"28.316986,76.971375",7225,349,201
1520786745,2018-03-11T16:45:45Z,JAI384,"28.303715,76.964073",7575,350,209
1520786754,2018-03-11T16:45:54Z,JAI384,"28.291672,76.955162",7925,349,215
1520786761,2018-03-11T16:46:01Z,JAI384,"28.283478,76.947876",8200,350,219
1520786769,2018-03-11T16:46:09Z,JAI384,"28.272583,76.937943",8525,352,218
1520786782,2018-03-11T16:46:22Z,JAI384,"28.257023,76.92395",9050,354,218
1520786793,2018-03-11T16:46:33Z,JAI384,"28.241776,76.910637",9575,355,216
1520786805,2018-03-11T16:46:45Z,JAI384,"28.224482,76.897888",10150,356,210
1520786811,2018-03-11T16:46:51Z,JAI384,"28.215683,76.892357",10450,357,208
1520786818,2018-03-11T16:46:58Z,JAI384,"28.207863,76.887924",10725,355,206
1520786830,2018-03-11T16:47:10Z,JAI384,"28.189241,76.877426",11350,355,206
1520786842,2018-03-11T16:47:22Z,JAI384,"28.171417,76.867325",11875,356,206
1520786853,2018-03-11T16:47:33Z,JAI384,"28.153164,76.856956",12175,359,206
1520786890,2018-03-11T16:48:10Z,JAI384,"28.099319,76.826706",13425,370,206
1520786922,2018-03-11T16:48:42Z,JAI384,"28.046652,76.797287",14800,380,206
1520786953,2018-03-11T16:49:13Z,JAI384,"27.999344,76.770668",16000,387,206
1520786986,2018-03-11T16:49:46Z,JAI384,"27.94582,76.740631",17375,391,206
1520787017,2018-03-11T16:50:17Z,JAI384,"27.896523,76.712936",18425,400,206
1520787079,2018-03-11T16:51:19Z,JAI384,"27.788706,76.652565",20725,412,206
1520787142,2018-03-11T16:52:22Z,JAI384,"27.681107,76.592377",22675,424,206
1520787205,2018-03-11T16:53:25Z,JAI384,"27.566986,76.528641",24450,437,206
1520787266,2018-03-11T16:54:26Z,JAI384,"27.456024,76.466759",25900,449,206
1520787330,2018-03-11T16:55:30Z,JAI384,"27.337151,76.400665",27300,461,206
1520787395,2018-03-11T16:56:35Z,JAI384,"27.207037,76.328728",28600,471,206
1520787458,2018-03-11T16:57:38Z,JAI384,"27.083906,76.260643",30400,462,206
1520787521,2018-03-11T16:58:41Z,JAI384,"26.963882,76.194176",32100,452,206
1520787587,2018-03-11T16:59:47Z,JAI384,"26.844208,76.128174",34400,423,206
1520787651,2018-03-11T17:00:51Z,JAI384,"26.735649,76.068382",35600,416,206
1520787712,2018-03-11T17:01:52Z,JAI384,"26.630766,76.010918",35975,417,206
1520787775,2018-03-11T17:02:55Z,JAI384,"26.520355,75.950768",35975,418,206
1520787841,2018-03-11T17:04:01Z,JAI384,"26.404358,75.887337",36000,419,206
1520787904,2018-03-11T17:05:04Z,JAI384,"26.293262,75.82695",35975,422,206
1520787970,2018-03-11T17:06:10Z,JAI384,"26.179024,75.764885",35975,422,206
1520788031,2018-03-11T17:07:11Z,JAI384,"26.073025,75.70742",35975,423,206
1520788093,2018-03-11T17:08:13Z,JAI384,"25.960833,75.646729",35975,422,206
1520788154,2018-03-11T17:09:14Z,JAI384,"25.855951,75.590004",35975,420,206
1520788217,2018-03-11T17:10:17Z,JAI384,"25.745203,75.530334",35975,420,206
1520788253,2018-03-11T17:10:53Z,JAI384,"25.683197,75.496979",35975,421,206
1520788329,2018-03-11T17:12:09Z,JAI384,"25.54921,75.42511",35975,421,205
1520788417,2018-03-11T17:13:37Z,JAI384,"25.392849,75.341438",35975,416,205
1520788481,2018-03-11T17:14:41Z,JAI384,"25.282608,75.282494",35975,415,205
1520788543,2018-03-11T17:15:43Z,JAI384,"25.174438,75.224815",35975,415,205
1520788604,2018-03-11T17:16:44Z,JAI384,"25.068846,75.168663",35975,415,205
1520788665,2018-03-11T17:17:45Z,JAI384,"24.964188,75.113121",35975,416,205
1520788727,2018-03-11T17:18:47Z,JAI384,"24.853683,75.054474",35975,416,205
1520788788,2018-03-11T17:19:48Z,JAI384,"24.74824,74.998741",35975,418,205
1520788849,2018-03-11T17:20:49Z,JAI384,"24.643963,74.943703",35975,419,205
1520788912,2018-03-11T17:21:52Z,JAI384,"24.528746,74.888718",35975,430,200
1520788975,2018-03-11T17:22:55Z,JAI384,"24.410339,74.841156",35975,432,200
1520789038,2018-03-11T17:23:58Z,JAI384,"24.290726,74.793106",35975,434,200
1520789102,2018-03-11T17:25:02Z,JAI384,"24.170713,74.745071",35975,435,200
1520789166,2018-03-11T17:26:06Z,JAI384,"24.049988,74.696655",35975,435,200
1520789207,2018-03-11T17:26:47Z,JAI384,"23.97171,74.665276",35975,434,200
1520789296,2018-03-11T17:28:16Z,JAI384,"23.804077,74.598289",35975,435,200
1520789359,2018-03-11T17:29:19Z,JAI384,"23.683544,74.550217",35975,435,200
1520789420,2018-03-11T17:30:20Z,JAI384,"23.569118,74.504509",35975,436,200
1520789483,2018-03-11T17:31:23Z,JAI384,"23.448212,74.45639",35975,437,200
1520789544,2018-03-11T17:32:24Z,JAI384,"23.332819,74.410652",35975,438,200
1520789607,2018-03-11T17:33:27Z,JAI384,"23.211504,74.362389",35975,438,200
1520789670,2018-03-11T17:34:30Z,JAI384,"23.089966,74.314323",35975,440,200
1520789733,2018-03-11T17:35:33Z,JAI384,"22.968018,74.26638",35975,442,199
1520789794,2018-03-11T17:36:34Z,JAI384,"22.851746,74.220535",35975,444,200
1520789857,2018-03-11T17:37:37Z,JAI384,"22.729477,74.172348",35975,445,200
1520789918,2018-03-11T17:38:38Z,JAI384,"22.612015,74.126251",35975,444,200
1520789981,2018-03-11T17:39:41Z,JAI384,"22.489151,74.077965",35975,445,200
1520790042,2018-03-11T17:40:42Z,JAI384,"22.372959,74.032593",35975,444,200
1520790105,2018-03-11T17:41:45Z,JAI384,"22.248734,73.984283",35975,443,200
1520790169,2018-03-11T17:42:49Z,JAI384,"22.125732,73.936188",35975,443,199
1520790232,2018-03-11T17:43:52Z,JAI384,"22.003006,73.888351",35975,444,199
1520790296,2018-03-11T17:44:56Z,JAI384,"21.879822,73.840706",35975,446,199
1520790360,2018-03-11T17:46:00Z,JAI384,"21.756409,73.793022",35975,446,199
1520790423,2018-03-11T17:47:03Z,JAI384,"21.631987,73.744659",35975,447,199
1520790491,2018-03-11T17:48:11Z,JAI384,"21.49815,73.692879",35975,447,200
1520790565,2018-03-11T17:49:25Z,JAI384,"21.35408,73.637459",35975,446,199
1520790632,2018-03-11T17:50:32Z,JAI384,"21.225214,73.587852",35950,446,199
1520790694,2018-03-11T17:51:34Z,JAI384,"21.101618,73.543144",34900,445,197
1520790755,2018-03-11T17:52:35Z,JAI384,"20.983887,73.503876",33925,436,197
1520790818,2018-03-11T17:53:38Z,JAI384,"20.864061,73.464027",32100,418,197
1520790881,2018-03-11T17:54:41Z,JAI384,"20.749403,73.425476",30075,403,197
1520790944,2018-03-11T17:55:44Z,JAI384,"20.632736,73.386566",27075,420,197
1520791008,2018-03-11T17:56:48Z,JAI384,"20.515339,73.34687",25950,419,197
1520791071,2018-03-11T17:57:51Z,JAI384,"20.401978,73.30912",25000,388,197
1520791132,2018-03-11T17:58:52Z,JAI384,"20.301291,73.275963",23800,364,197
1520791194,2018-03-11T17:59:54Z,JAI384,"20.202181,73.24395",22700,346,196
1520791258,2018-03-11T18:00:58Z,JAI384,"20.106216,73.213432",21650,341,196
1520791312,2018-03-11T18:01:52Z,JAI384,"20.024368,73.189888",20775,332,182
1520791333,2018-03-11T18:02:13Z,JAI384,"19.994419,73.199509",20425,335,147
1520791339,2018-03-11T18:02:19Z,JAI384,"19.986694,73.206367",20325,335,137
1520791345,2018-03-11T18:02:25Z,JAI384,"19.980698,73.214264",20225,334,125
1520791354,2018-03-11T18:02:34Z,JAI384,"19.974588,73.227669",20075,333,109
1520791360,2018-03-11T18:02:40Z,JAI384,"19.972549,73.236679",20000,332,101
1520791366,2018-03-11T18:02:46Z,JAI384,"19.971655,73.246147",19975,329,92
1520791373,2018-03-11T18:02:53Z,JAI384,"19.971933,73.256088",19975,327,85
1520791388,2018-03-11T18:03:08Z,JAI384,"19.978043,73.280869",19975,322,66
1520791394,2018-03-11T18:03:14Z,JAI384,"19.982037,73.28875",19975,320,58
1520791400,2018-03-11T18:03:20Z,JAI384,"19.986738,73.295586",19975,317,51
1520791406,2018-03-11T18:03:26Z,JAI384,"19.993973,73.303383",19975,312,42
1520791412,2018-03-11T18:03:32Z,JAI384,"20.00075,73.308769",19975,308,34
1520791418,2018-03-11T18:03:38Z,JAI384,"20.008118,73.312996",19975,305,25
1520791425,2018-03-11T18:03:45Z,JAI384,"20.015762,73.315987",19975,302,17
1520791434,2018-03-11T18:03:54Z,JAI384,"20.027985,73.319275",19975,299,13
1520791442,2018-03-11T18:04:02Z,JAI384,"20.04039,73.322411",19975,299,13
1520791506,2018-03-11T18:05:06Z,JAI384,"20.125534,73.345116",19125,295,14
1520791557,2018-03-11T18:05:57Z,JAI384,"20.193523,73.361458",18275,284,3
1520791578,2018-03-11T18:06:18Z,JAI384,"20.219872,73.355614",17925,275,337
1520791584,2018-03-11T18:06:24Z,JAI384,"20.2267,73.351639",17825,274,328
1520791590,2018-03-11T18:06:30Z,JAI384,"20.232605,73.347031",17725,273,322
1520791596,2018-03-11T18:06:36Z,JAI384,"20.238445,73.341232",17625,273,313
1520791602,2018-03-11T18:06:42Z,JAI384,"20.24324,73.334938",17525,274,306
1520791609,2018-03-11T18:06:49Z,JAI384,"20.247253,73.328148",17425,275,300
1520791621,2018-03-11T18:07:01Z,JAI384,"20.252838,73.312599",17225,280,284
1520791629,2018-03-11T18:07:09Z,JAI384,"20.254486,73.300537",17075,284,275
1520791649,2018-03-11T18:07:29Z,JAI384,"20.249908,73.273315",16750,288,247
1520791655,2018-03-11T18:07:35Z,JAI384,"20.24622,73.265572",16650,289,240
1520791661,2018-03-11T18:07:41Z,JAI384,"20.241657,73.258484",16550,291,234
