Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520872826,2018-03-12T16:40:26Z,JAI384,"28.538143,77.107559",0,2,281
1520872913,2018-03-12T16:41:53Z,JAI384,"28.548811,77.052185",1925,178,278
1520872919,2018-03-12T16:41:59Z,JAI384,"28.548859,77.047768",2050,179,275
1520872940,2018-03-12T16:42:20Z,JAI384,"28.536392,77.029739",2425,220,208
1520872946,2018-03-12T16:42:26Z,JAI384,"28.530283,77.02784",2525,230,194
1520872952,2018-03-12T16:42:32Z,JAI384,"28.523209,77.026627",2600,240,188
1520872958,2018-03-12T16:42:38Z,JAI384,"28.51655,77.025742",2650,245,186
1520872964,2018-03-12T16:42:44Z,JAI384,"28.509382,77.024719",2650,251,187
1520872970,2018-03-12T16:42:50Z,JAI384,"28.502563,77.023506",2650,253,188
1520872979,2018-03-12T16:42:59Z,JAI384,"28.491943,77.021393",2625,256,190
1520872985,2018-03-12T16:43:05Z,JAI384,"28.485313,77.019867",2625,256,191
1520872991,2018-03-12T16:43:11Z,JAI384,"28.478439,77.018173",2625,255,192
1520872997,2018-03-12T16:43:17Z,JAI384,"28.471024,77.016273",2625,256,192
1520873003,2018-03-12T16:43:23Z,JAI384,"28.46376,77.01432",2625,256,193
1520873009,2018-03-12T16:43:29Z,JAI384,"28.456778,77.012436",2725,257,193
1520873015,2018-03-12T16:43:35Z,JAI384,"28.450214,77.010765",2875,258,193
1520873021,2018-03-12T16:43:41Z,JAI384,"28.443008,77.009827",3000,264,186
1520873027,2018-03-12T16:43:47Z,JAI384,"28.43541,77.00972",3125,273,180
1520873048,2018-03-12T16:44:08Z,JAI384,"28.409821,77.010361",3850,281,178
1520873054,2018-03-12T16:44:14Z,JAI384,"28.399891,77.010605",4175,281,178
1520873061,2018-03-12T16:44:21Z,JAI384,"28.392242,77.01078",4475,280,178
1520873069,2018-03-12T16:44:29Z,JAI384,"28.380898,77.011147",4950,277,178
1520873081,2018-03-12T16:44:41Z,JAI384,"28.365255,77.011787",5650,269,177
1520873093,2018-03-12T16:44:53Z,JAI384,"28.350592,77.012489",6325,261,177
1520873105,2018-03-12T16:45:05Z,JAI384,"28.336624,77.013206",6925,257,177
1520873118,2018-03-12T16:45:18Z,JAI384,"28.321976,77.014",7500,254,177
1520873130,2018-03-12T16:45:30Z,JAI384,"28.308229,77.014755",7975,254,177
1520873142,2018-03-12T16:45:42Z,JAI384,"28.293594,77.01564",8375,259,177
1520873154,2018-03-12T16:45:54Z,JAI384,"28.278671,77.016434",8625,272,177
1520873181,2018-03-12T16:46:21Z,JAI384,"28.247086,77.004181",9350,276,220
1520873199,2018-03-12T16:46:39Z,JAI384,"28.231613,76.984634",9975,280,226
1520873211,2018-03-12T16:46:51Z,JAI384,"28.220339,76.971779",10175,294,224
1520873223,2018-03-12T16:47:03Z,JAI384,"28.207724,76.958153",10400,307,223
1520873235,2018-03-12T16:47:15Z,JAI384,"28.19545,76.945129",10575,319,223
1520873247,2018-03-12T16:47:27Z,JAI384,"28.181305,76.930229",10775,332,222
1520873259,2018-03-12T16:47:39Z,JAI384,"28.167643,76.915657",11000,344,223
1520873270,2018-03-12T16:47:50Z,JAI384,"28.153427,76.900543",11375,349,223
1520873283,2018-03-12T16:48:03Z,JAI384,"28.139292,76.885391",11750,355,223
1520873295,2018-03-12T16:48:15Z,JAI384,"28.125366,76.870331",12100,359,223
1520873327,2018-03-12T16:48:47Z,JAI384,"28.08478,76.826744",13225,370,223
1520873358,2018-03-12T16:49:18Z,JAI384,"28.046402,76.785454",14525,374,223
1520873391,2018-03-12T16:49:51Z,JAI384,"28.004755,76.740738",16000,374,223
1520873424,2018-03-12T16:50:24Z,JAI384,"27.964142,76.697403",17100,384,223
1520873457,2018-03-12T16:50:57Z,JAI384,"27.919098,76.649277",18375,391,223
1520873520,2018-03-12T16:52:00Z,JAI384,"27.835772,76.560394",20825,398,223
1520873583,2018-03-12T16:53:03Z,JAI384,"27.741503,76.478157",22975,412,213
1520873647,2018-03-12T16:54:07Z,JAI384,"27.642929,76.404007",24775,423,213
1520873710,2018-03-12T16:55:10Z,JAI384,"27.53537,76.323235",26450,434,213
1520873773,2018-03-12T16:56:13Z,JAI384,"27.426819,76.247917",27975,443,211
1520873839,2018-03-12T16:57:19Z,JAI384,"27.309311,76.16758",29500,449,211
1520873902,2018-03-12T16:58:22Z,JAI384,"27.197479,76.092186",31425,440,209
1520873965,2018-03-12T16:59:25Z,JAI384,"27.077017,76.03537",33050,442,202
1520874029,2018-03-12T17:00:29Z,JAI384,"26.959625,75.981186",34000,436,202
1520874091,2018-03-12T17:01:31Z,JAI384,"26.840902,75.926407",34000,433,202
1520874152,2018-03-12T17:02:32Z,JAI384,"26.729828,75.875519",33975,432,202
1520874213,2018-03-12T17:03:33Z,JAI384,"26.61829,75.824471",33975,431,202
1520874275,2018-03-12T17:04:35Z,JAI384,"26.500746,75.770752",34000,432,202
1520874320,2018-03-12T17:05:20Z,JAI384,"26.418581,75.733147",34000,432,202
1520874411,2018-03-12T17:06:51Z,JAI384,"26.249643,75.656189",33975,436,202
1520874475,2018-03-12T17:07:55Z,JAI384,"26.13121,75.602783",33975,436,202
1520874536,2018-03-12T17:08:56Z,JAI384,"26.012283,75.548882",34000,438,202
1520874597,2018-03-12T17:09:57Z,JAI384,"25.898849,75.497681",34000,441,202
1520874661,2018-03-12T17:11:01Z,JAI384,"25.777742,75.443062",34000,441,202
1520874725,2018-03-12T17:12:05Z,JAI384,"25.657562,75.389",34000,440,202
1520874788,2018-03-12T17:13:08Z,JAI384,"25.537537,75.335136",34000,441,202
1520874849,2018-03-12T17:14:09Z,JAI384,"25.423416,75.284065",34000,439,202
1520874912,2018-03-12T17:15:12Z,JAI384,"25.304855,75.231117",34000,438,202
1520874975,2018-03-12T17:16:15Z,JAI384,"25.184738,75.177559",34000,437,202
1520875038,2018-03-12T17:17:18Z,JAI384,"25.066053,75.124718",34000,435,202
1520875099,2018-03-12T17:18:19Z,JAI384,"24.952278,75.074242",34000,434,202
1520875160,2018-03-12T17:19:20Z,JAI384,"24.840042,75.024498",34000,434,202
1520875223,2018-03-12T17:20:23Z,JAI384,"24.721756,74.971977",34000,433,202
1520875289,2018-03-12T17:21:29Z,JAI384,"24.597198,74.917046",34000,434,202
1520875350,2018-03-12T17:22:30Z,JAI384,"24.482803,74.869942",34000,439,199
1520875390,2018-03-12T17:23:10Z,JAI384,"24.407135,74.840088",34000,438,200
1520875465,2018-03-12T17:24:25Z,JAI384,"24.262327,74.781761",34000,439,200
1520875532,2018-03-12T17:25:32Z,JAI384,"24.135406,74.730835",34000,439,200
1520875625,2018-03-12T17:27:05Z,JAI384,"23.959579,74.660645",33975,441,200
1520875701,2018-03-12T17:28:21Z,JAI384,"23.813936,74.602249",33975,442,200
1520876216,2018-03-12T17:36:56Z,JAI384,"22.813017,74.205322",34000,447,200
1520876280,2018-03-12T17:38:00Z,JAI384,"22.689653,74.156853",34000,447,200
1520876343,2018-03-12T17:39:03Z,JAI384,"22.565506,74.108078",34000,446,199
1520876407,2018-03-12T17:40:07Z,JAI384,"22.44451,74.060616",33975,431,199
1520876473,2018-03-12T17:41:13Z,JAI384,"22.319687,74.011993",33975,430,199
1520876536,2018-03-12T17:42:16Z,JAI384,"22.199411,73.96479",34000,434,199
1520876600,2018-03-12T17:43:20Z,JAI384,"22.079121,73.918152",34000,438,199
1520876661,2018-03-12T17:44:21Z,JAI384,"21.963318,73.873016",34000,439,199
1520876724,2018-03-12T17:45:24Z,JAI384,"21.841751,73.825836",34000,433,199
1520876785,2018-03-12T17:46:25Z,JAI384,"21.728397,73.781944",33975,430,199
1520876848,2018-03-12T17:47:28Z,JAI384,"21.610428,73.736443",33975,430,199
