Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520959378,2018-03-13T16:42:58Z,JAI384,"28.533188,77.133423",2000,198,105
1520959386,2018-03-13T16:43:06Z,JAI384,"28.529068,77.141663",2175,203,122
1520959393,2018-03-13T16:43:13Z,JAI384,"28.524883,77.14621",2275,210,135
1520959399,2018-03-13T16:43:19Z,JAI384,"28.519577,77.149498",2400,217,154
1520959405,2018-03-13T16:43:25Z,JAI384,"28.513338,77.151382",2525,222,167
1520959429,2018-03-13T16:43:49Z,JAI384,"28.487642,77.142654",2950,257,215
1520959435,2018-03-13T16:43:55Z,JAI384,"28.482376,77.137543",3125,264,220
1520959441,2018-03-13T16:44:01Z,JAI384,"28.4767,77.13205",3325,266,220
1520959447,2018-03-13T16:44:07Z,JAI384,"28.471069,77.12677",3575,267,219
1520959453,2018-03-13T16:44:13Z,JAI384,"28.465483,77.121544",3825,268,219
1520959459,2018-03-13T16:44:19Z,JAI384,"28.459291,77.115891",4075,268,218
1520959466,2018-03-13T16:44:26Z,JAI384,"28.453171,77.110291",4325,269,218
1520959474,2018-03-13T16:44:34Z,JAI384,"28.444721,77.102646",4525,271,218
1520959480,2018-03-13T16:44:40Z,JAI384,"28.438622,77.097099",4650,271,219
1520959486,2018-03-13T16:44:46Z,JAI384,"28.432663,77.091644",4750,271,219
1520959493,2018-03-13T16:44:53Z,JAI384,"28.426613,77.086113",4875,271,219
1520959501,2018-03-13T16:45:01Z,JAI384,"28.418243,77.078491",5025,270,218
1520959514,2018-03-13T16:45:14Z,JAI384,"28.405989,77.067314",5250,271,218
1520959525,2018-03-13T16:45:25Z,JAI384,"28.394258,77.056648",5450,270,218
1520959538,2018-03-13T16:45:38Z,JAI384,"28.38208,77.045692",5650,276,218
1520959550,2018-03-13T16:45:50Z,JAI384,"28.369724,77.034515",5850,283,218
1520959562,2018-03-13T16:46:02Z,JAI384,"28.357132,77.023193",6000,293,218
1520959574,2018-03-13T16:46:14Z,JAI384,"28.344131,77.01136",6000,302,218
1520959586,2018-03-13T16:46:26Z,JAI384,"28.330761,76.999245",6050,312,218
1520959598,2018-03-13T16:46:38Z,JAI384,"28.316982,76.986801",6225,318,218
1520959610,2018-03-13T16:46:50Z,JAI384,"28.302887,76.974068",6375,321,218
1520959621,2018-03-13T16:47:01Z,JAI384,"28.288958,76.961433",6550,324,218
1520959633,2018-03-13T16:47:13Z,JAI384,"28.274506,76.948296",6725,325,218
1520959645,2018-03-13T16:47:25Z,JAI384,"28.26059,76.935722",7025,325,218
1520959658,2018-03-13T16:47:38Z,JAI384,"28.245987,76.922516",7325,325,218
1520959669,2018-03-13T16:47:49Z,JAI384,"28.231979,76.90995",7625,327,218
1520959682,2018-03-13T16:48:02Z,JAI384,"28.218151,76.897461",7925,325,218
1520959693,2018-03-13T16:48:13Z,JAI384,"28.203953,76.88475",8225,325,218
1520959706,2018-03-13T16:48:26Z,JAI384,"28.189133,76.871391",8550,325,218
1520959718,2018-03-13T16:48:38Z,JAI384,"28.175217,76.858871",8850,325,218
1520959730,2018-03-13T16:48:50Z,JAI384,"28.16153,76.846565",9050,323,218
1520959742,2018-03-13T16:49:02Z,JAI384,"28.146601,76.832993",9250,320,218
1520959754,2018-03-13T16:49:14Z,JAI384,"28.132553,76.820366",9450,319,218
1520959766,2018-03-13T16:49:26Z,JAI384,"28.118809,76.807953",9700,319,218
1520959778,2018-03-13T16:49:38Z,JAI384,"28.105587,76.796104",10000,320,218
1520959790,2018-03-13T16:49:50Z,JAI384,"28.090923,76.782906",10350,320,218
1520959803,2018-03-13T16:50:03Z,JAI384,"28.076752,76.770187",10675,323,218
1520959814,2018-03-13T16:50:14Z,JAI384,"28.062807,76.757706",11000,322,218
1520959830,2018-03-13T16:50:30Z,JAI384,"28.04479,76.741547",11400,322,218
1520959842,2018-03-13T16:50:42Z,JAI384,"28.03157,76.729645",11725,322,218
1520959853,2018-03-13T16:50:53Z,JAI384,"28.016327,76.715889",11950,332,218
1520959865,2018-03-13T16:51:05Z,JAI384,"28.001999,76.703003",12400,334,218
1520959899,2018-03-13T16:51:39Z,JAI384,"27.961304,76.666451",13325,352,218
1520959931,2018-03-13T16:52:11Z,JAI384,"27.919647,76.626945",14900,350,225
1520959938,2018-03-13T16:52:18Z,JAI384,"27.913513,76.618973",15200,348,229
1520959946,2018-03-13T16:52:26Z,JAI384,"27.903809,76.60611",15625,347,229
1520959953,2018-03-13T16:52:33Z,JAI384,"27.897312,76.597313",15950,347,230
1520959989,2018-03-13T16:53:09Z,JAI384,"27.860258,76.546715",17350,353,230
1520960022,2018-03-13T16:53:42Z,JAI384,"27.823608,76.499413",18450,365,225
1520960034,2018-03-13T16:53:54Z,JAI384,"27.809006,76.484947",18875,369,219
1520960040,2018-03-13T16:54:00Z,JAI384,"27.800034,76.477226",19125,370,216
1520960046,2018-03-13T16:54:06Z,JAI384,"27.791685,76.470703",19350,372,214
1520960052,2018-03-13T16:54:12Z,JAI384,"27.783073,76.464157",19550,373,213
1520960058,2018-03-13T16:54:18Z,JAI384,"27.774416,76.457657",19775,374,213
1520960121,2018-03-13T16:55:21Z,JAI384,"27.681311,76.387573",21975,384,213
1520960184,2018-03-13T16:56:24Z,JAI384,"27.589691,76.318649",23950,391,213
1520960245,2018-03-13T16:57:25Z,JAI384,"27.496265,76.251083",25575,400,211
1520960308,2018-03-13T16:58:28Z,JAI384,"27.393265,76.180855",27150,408,211
1520960371,2018-03-13T16:59:31Z,JAI384,"27.288986,76.109703",28550,416,211
1520960435,2018-03-13T17:00:35Z,JAI384,"27.183434,76.037643",29675,426,211
1520960498,2018-03-13T17:01:38Z,JAI384,"27.078226,75.966179",31200,421,211
1520960561,2018-03-13T17:02:41Z,JAI384,"26.972763,75.894432",32725,413,211
1520960627,2018-03-13T17:03:47Z,JAI384,"26.865576,75.821724",34000,409,211
1520960664,2018-03-13T17:04:24Z,JAI384,"26.802887,75.788872",34000,427,199
1520960727,2018-03-13T17:05:27Z,JAI384,"26.683416,75.743179",34000,429,198
1520960805,2018-03-13T17:06:45Z,JAI384,"26.536194,75.687454",34000,426,198
1520960871,2018-03-13T17:07:51Z,JAI384,"26.411644,75.640129",34000,424,198
1520960938,2018-03-13T17:08:58Z,JAI384,"26.29184,75.594749",34000,423,198
1520960977,2018-03-13T17:09:37Z,JAI384,"26.217499,75.566505",34000,424,198
1520961056,2018-03-13T17:10:56Z,JAI384,"26.070145,75.511108",34000,426,198
1520961146,2018-03-13T17:12:26Z,JAI384,"25.897705,75.446274",34000,428,198
1520961207,2018-03-13T17:13:27Z,JAI384,"25.785332,75.40078",34000,426,200
1520961268,2018-03-13T17:14:28Z,JAI384,"25.673264,75.354004",34000,428,200
1520961331,2018-03-13T17:15:31Z,JAI384,"25.555223,75.30584",34000,426,200
1520961392,2018-03-13T17:16:32Z,JAI384,"25.4431,75.260162",34000,425,200
1520961455,2018-03-13T17:17:35Z,JAI384,"25.325729,75.212097",34000,426,200
1520961516,2018-03-13T17:18:36Z,JAI384,"25.213898,75.166321",34000,425,200
1520961582,2018-03-13T17:19:42Z,JAI384,"25.091309,75.115715",34000,425,200
1520961645,2018-03-13T17:20:45Z,JAI384,"24.974997,75.068954",34000,425,200
1520961706,2018-03-13T17:21:46Z,JAI384,"24.864716,75.024361",34000,424,200
1520961769,2018-03-13T17:22:49Z,JAI384,"24.74588,74.976295",33975,424,200
1520961830,2018-03-13T17:23:50Z,JAI384,"24.633087,74.930878",34000,425,200
1520961893,2018-03-13T17:24:53Z,JAI384,"24.516083,74.883675",33975,425,200
1520961957,2018-03-13T17:25:57Z,JAI384,"24.398529,74.836372",34000,425,200
1520962021,2018-03-13T17:27:01Z,JAI384,"24.280884,74.789124",34000,426,200
1520962083,2018-03-13T17:28:03Z,JAI384,"24.162186,74.741615",33975,427,200
1520962146,2018-03-13T17:29:06Z,JAI384,"24.045181,74.694878",33975,427,200
1520962207,2018-03-13T17:30:07Z,JAI384,"23.935684,74.650978",33975,427,200
1520962271,2018-03-13T17:31:11Z,JAI384,"23.813965,74.602203",34000,429,200
1520962305,2018-03-13T17:31:45Z,JAI384,"23.753311,74.578041",34000,430,200
1520962355,2018-03-13T17:32:35Z,JAI384,"23.655945,74.539131",34000,432,200
1520962441,2018-03-13T17:34:01Z,JAI384,"23.493896,74.474319",34000,431,200
1520962505,2018-03-13T17:35:05Z,JAI384,"23.37561,74.427376",34000,430,199
1520962567,2018-03-13T17:36:07Z,JAI384,"23.256409,74.380486",34000,430,199
1520962628,2018-03-13T17:37:08Z,JAI384,"23.144211,74.335846",33975,429,200
1520962689,2018-03-13T17:38:09Z,JAI384,"23.031487,74.291229",34000,429,200
1520962751,2018-03-13T17:39:11Z,JAI384,"22.914547,74.245094",34000,428,199
1520962814,2018-03-13T17:40:14Z,JAI384,"22.793978,74.197845",34000,429,199
1520962875,2018-03-13T17:41:15Z,JAI384,"22.681694,74.153595",34000,429,200
1520962939,2018-03-13T17:42:19Z,JAI384,"22.562752,74.106956",34000,428,199
1520963002,2018-03-13T17:43:22Z,JAI384,"22.444931,74.060936",34000,428,199
1520963065,2018-03-13T17:44:25Z,JAI384,"22.326279,74.014496",34000,428,200
1520963128,2018-03-13T17:45:28Z,JAI384,"22.208071,73.9683",34000,429,199
