Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521046378,2018-03-14T16:52:58Z,JAI384,"28.553001,77.014481",2675,202,239
1521046384,2018-03-14T16:53:04Z,JAI384,"28.549276,77.009422",2850,203,226
1521046390,2018-03-14T16:53:10Z,JAI384,"28.544586,77.005707",2950,211,211
1521046399,2018-03-14T16:53:19Z,JAI384,"28.536709,77.002579",3100,223,192
1521046405,2018-03-14T16:53:25Z,JAI384,"28.529585,77.001717",3200,233,183
1521046414,2018-03-14T16:53:34Z,JAI384,"28.519623,77.002045",3350,245,176
1521046420,2018-03-14T16:53:40Z,JAI384,"28.512589,77.002434",3475,252,177
1521046426,2018-03-14T16:53:46Z,JAI384,"28.505676,77.002434",3575,258,181
1521046438,2018-03-14T16:53:58Z,JAI384,"28.490936,77.000694",3950,264,187
1521046444,2018-03-14T16:54:04Z,JAI384,"28.483658,76.999527",4225,263,188
1521046450,2018-03-14T16:54:10Z,JAI384,"28.476004,76.998169",4450,266,188
1521046456,2018-03-14T16:54:16Z,JAI384,"28.468788,76.996925",4575,272,188
1521046462,2018-03-14T16:54:22Z,JAI384,"28.460642,76.995476",4700,280,188
1521046468,2018-03-14T16:54:28Z,JAI384,"28.452896,76.994141",4800,286,188
1521046474,2018-03-14T16:54:34Z,JAI384,"28.444582,76.992783",4900,295,188
1521046480,2018-03-14T16:54:40Z,JAI384,"28.437149,76.991554",5000,301,188
1521046492,2018-03-14T16:54:52Z,JAI384,"28.419754,76.988228",5150,310,190
1521046507,2018-03-14T16:55:07Z,JAI384,"28.397516,76.984489",5475,320,187
1521046519,2018-03-14T16:55:19Z,JAI384,"28.380293,76.981903",6000,320,187
1521046534,2018-03-14T16:55:34Z,JAI384,"28.357994,76.978775",6650,321,186
1521046546,2018-03-14T16:55:46Z,JAI384,"28.340025,76.976303",6950,323,186
1521046558,2018-03-14T16:55:58Z,JAI384,"28.322289,76.97242",7325,324,195
1521046573,2018-03-14T16:56:13Z,JAI384,"28.301527,76.962296",8000,323,208
1521046583,2018-03-14T16:56:23Z,JAI384,"28.290493,76.953896",8375,322,217
1521046598,2018-03-14T16:56:38Z,JAI384,"28.272385,76.938065",9025,324,217
1521046610,2018-03-14T16:56:50Z,JAI384,"28.258621,76.92585",9500,325,218
1521046622,2018-03-14T16:57:02Z,JAI384,"28.243835,76.912804",10050,326,218
1521046634,2018-03-14T16:57:14Z,JAI384,"28.229557,76.900146",10575,326,218
1521046646,2018-03-14T16:57:26Z,JAI384,"28.21582,76.888031",10875,335,217
1521046657,2018-03-14T16:57:37Z,JAI384,"28.200348,76.874771",11300,339,217
1521046669,2018-03-14T16:57:49Z,JAI384,"28.185936,76.862343",11750,341,217
1521046681,2018-03-14T16:58:01Z,JAI384,"28.170341,76.84877",12250,341,217
1521046715,2018-03-14T16:58:35Z,JAI384,"28.128662,76.81192",12850,338,218
1521046748,2018-03-14T16:59:08Z,JAI384,"28.087921,76.775787",13375,336,218
1521046781,2018-03-14T16:59:41Z,JAI384,"28.047585,76.73999",14750,336,218
1521046820,2018-03-14T17:00:20Z,JAI384,"27.999069,76.697037",16300,346,218
1521046853,2018-03-14T17:00:53Z,JAI384,"27.95723,76.660217",17600,352,217
1521046892,2018-03-14T17:01:32Z,JAI384,"27.904295,76.616173",19125,362,211
1521046898,2018-03-14T17:01:38Z,JAI384,"27.895079,76.610359",19350,363,208
1521046971,2018-03-14T17:02:51Z,JAI384,"27.784241,76.551544",21975,374,205
1521047034,2018-03-14T17:03:54Z,JAI384,"27.683487,76.498268",24225,374,205
1521047097,2018-03-14T17:04:57Z,JAI384,"27.584656,76.44619",26375,372,205
1521047158,2018-03-14T17:05:58Z,JAI384,"27.49054,76.396759",27675,382,205
1521047226,2018-03-14T17:07:06Z,JAI384,"27.37619,76.336891",29050,392,204
1521047287,2018-03-14T17:08:07Z,JAI384,"27.277176,76.285225",30700,386,204
1521047350,2018-03-14T17:09:10Z,JAI384,"27.177568,76.232918",32050,384,205
1521047413,2018-03-14T17:10:13Z,JAI384,"27.077774,76.180756",33125,385,205
1521047477,2018-03-14T17:11:17Z,JAI384,"26.972134,76.125854",34300,382,204
1521047527,2018-03-14T17:12:07Z,JAI384,"26.890017,76.083336",35075,383,204
1521047617,2018-03-14T17:13:37Z,JAI384,"26.744633,76.008064",36000,385,204
1521047679,2018-03-14T17:14:39Z,JAI384,"26.64537,75.956673",36000,387,204
1521047741,2018-03-14T17:15:41Z,JAI384,"26.542084,75.903328",36000,388,204
1521047802,2018-03-14T17:16:42Z,JAI384,"26.447769,75.854782",36000,390,204
1521047865,2018-03-14T17:17:45Z,JAI384,"26.346817,75.802917",35975,390,204
1521047928,2018-03-14T17:18:48Z,JAI384,"26.236935,75.74688",35975,387,204
1521047990,2018-03-14T17:19:50Z,JAI384,"26.139496,75.696678",36000,385,204
1521048053,2018-03-14T17:20:53Z,JAI384,"26.032837,75.64196",36000,385,204
1521048069,2018-03-14T17:21:09Z,JAI384,"26.012329,75.631279",36000,385,205
1521048126,2018-03-14T17:22:06Z,JAI384,"25.917389,75.58252",35975,387,204
1521048214,2018-03-14T17:23:34Z,JAI384,"25.772324,75.509239",35975,391,204
1521048221,2018-03-14T17:23:41Z,JAI384,"25.762241,75.504112",35975,391,204
1521048409,2018-03-14T17:26:49Z,JAI384,"25.441864,75.352074",35975,400,201
1521048473,2018-03-14T17:27:53Z,JAI384,"25.33317,75.305321",36000,398,201
1521048540,2018-03-14T17:29:00Z,JAI384,"25.217953,75.255363",35975,397,201
1521048600,2018-03-14T17:30:00Z,JAI384,"25.113535,75.210281",36000,397,201
1521048667,2018-03-14T17:31:07Z,JAI384,"25.00032,75.161407",36000,397,201
1521048770,2018-03-14T17:32:50Z,JAI384,"24.823059,75.08535",36000,398,201
1521048854,2018-03-14T17:34:14Z,JAI384,"24.679138,75.023705",36000,397,201
1521048917,2018-03-14T17:35:17Z,JAI384,"24.569412,74.976807",36000,398,201
1521048981,2018-03-14T17:36:21Z,JAI384,"24.45999,74.93013",36000,399,201
1521049042,2018-03-14T17:37:22Z,JAI384,"24.355408,74.885658",36000,400,201
1521049104,2018-03-14T17:38:24Z,JAI384,"24.245291,74.838814",36000,403,201
1521049165,2018-03-14T17:39:25Z,JAI384,"24.140167,74.794212",36000,406,201
1521049226,2018-03-14T17:40:26Z,JAI384,"24.032499,74.748642",36000,408,201
1521049289,2018-03-14T17:41:29Z,JAI384,"23.920403,74.701332",36000,409,201
1521049350,2018-03-14T17:42:30Z,JAI384,"23.812401,74.655678",36000,408,201
1521049412,2018-03-14T17:43:32Z,JAI384,"23.703964,74.610191",35975,407,201
1521049473,2018-03-14T17:44:33Z,JAI384,"23.59639,74.565125",36000,402,201
1521049534,2018-03-14T17:45:34Z,JAI384,"23.490921,74.521011",36000,405,201
1521049595,2018-03-14T17:46:35Z,JAI384,"23.384399,74.476372",36000,404,201
1521049661,2018-03-14T17:47:41Z,JAI384,"23.267414,74.427391",36000,404,201
1521049722,2018-03-14T17:48:42Z,JAI384,"23.161377,74.383232",36000,406,201
1521049783,2018-03-14T17:49:43Z,JAI384,"23.05513,74.339088",36000,408,200
1521049846,2018-03-14T17:50:46Z,JAI384,"22.942387,74.292351",36000,410,200
1521049910,2018-03-14T17:51:50Z,JAI384,"22.830734,74.246002",36000,412,201
1521049973,2018-03-14T17:52:53Z,JAI384,"22.716019,74.198517",36000,412,201
1521050036,2018-03-14T17:53:56Z,JAI384,"22.602585,74.151672",36000,413,201
1521050097,2018-03-14T17:54:57Z,JAI384,"22.494785,74.107208",36000,415,201
1521050158,2018-03-14T17:55:58Z,JAI384,"22.385296,74.062096",36000,418,201
1521050220,2018-03-14T17:57:00Z,JAI384,"22.273773,74.016289",36000,421,201
1521050283,2018-03-14T17:58:03Z,JAI384,"22.156998,73.968399",36000,422,201
1521050346,2018-03-14T17:59:06Z,JAI384,"22.04081,73.920845",36000,422,201
1521050412,2018-03-14T18:00:12Z,JAI384,"21.918562,73.871002",36000,423,200
1521050476,2018-03-14T18:01:16Z,JAI384,"21.802973,73.823647",36000,422,200
1521050539,2018-03-14T18:02:19Z,JAI384,"21.687195,73.776436",36000,421,200
1521050603,2018-03-14T18:03:23Z,JAI384,"21.571014,73.729248",35975,421,200
1521050666,2018-03-14T18:04:26Z,JAI384,"21.45681,73.682961",35975,413,200
1521050738,2018-03-14T18:05:38Z,JAI384,"21.32856,73.630219",36000,405,205
1521050801,2018-03-14T18:06:41Z,JAI384,"21.241554,73.55011",35850,389,223
