Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521131346,2018-03-15T16:29:06Z,JAI384,"28.550674,77.040764",2050,199,272
1521131367,2018-03-15T16:29:27Z,JAI384,"28.540432,77.020302",2425,238,220
1521131376,2018-03-15T16:29:36Z,JAI384,"28.529959,77.015289",2625,252,194
1521131382,2018-03-15T16:29:42Z,JAI384,"28.523348,77.014481",2725,256,186
1521131403,2018-03-15T16:30:03Z,JAI384,"28.497391,77.014847",3375,277,180
1521131409,2018-03-15T16:30:09Z,JAI384,"28.488899,77.014267",3700,277,183
1521131415,2018-03-15T16:30:15Z,JAI384,"28.480957,77.013367",4000,277,186
1521131424,2018-03-15T16:30:24Z,JAI384,"28.469393,77.01152",4325,281,188
1521131439,2018-03-15T16:30:39Z,JAI384,"28.449516,77.00721",4575,302,191
1521131448,2018-03-15T16:30:48Z,JAI384,"28.436621,77.003929",4750,314,192
1521131456,2018-03-15T16:30:56Z,JAI384,"28.42326,77.000374",4900,325,193
1521131463,2018-03-15T16:31:03Z,JAI384,"28.414322,76.998001",5050,331,193
1521131475,2018-03-15T16:31:15Z,JAI384,"28.396166,76.99321",5525,335,192
1521131487,2018-03-15T16:31:27Z,JAI384,"28.378235,76.988701",6100,334,192
1521131502,2018-03-15T16:31:42Z,JAI384,"28.355341,76.983139",6800,337,191
1521131514,2018-03-15T16:31:54Z,JAI384,"28.336533,76.978561",7300,341,192
1521131526,2018-03-15T16:32:06Z,JAI384,"28.319595,76.972488",7750,342,200
1521131532,2018-03-15T16:32:12Z,JAI384,"28.310045,76.967628",8050,341,205
1521131538,2018-03-15T16:32:18Z,JAI384,"28.301153,76.962082",8350,341,210
1521131544,2018-03-15T16:32:24Z,JAI384,"28.293753,76.956535",8625,340,213
1521131551,2018-03-15T16:32:31Z,JAI384,"28.285652,76.949646",8925,339,217
1521131559,2018-03-15T16:32:39Z,JAI384,"28.274506,76.939789",9400,339,217
1521131566,2018-03-15T16:32:46Z,JAI384,"28.268051,76.93409",9650,339,217
1521131577,2018-03-15T16:32:57Z,JAI384,"28.252121,76.920197",10325,337,217
1521131589,2018-03-15T16:33:09Z,JAI384,"28.237982,76.907799",10900,338,217
