Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521390681,2018-03-18T16:31:21Z,JAI384,"28.549759,77.049019",1550,201,280
1521390688,2018-03-18T16:31:28Z,JAI384,"28.550674,77.042046",1775,203,277
1521390696,2018-03-18T16:31:36Z,JAI384,"28.551041,77.032486",1975,211,270
1521390721,2018-03-18T16:32:01Z,JAI384,"28.53891,77.006714",2475,254,219
1521390733,2018-03-18T16:32:13Z,JAI384,"28.526653,77.001022",2700,269,195
1521390769,2018-03-18T16:32:49Z,JAI384,"28.479355,77.005653",4050,284,179
1521390790,2018-03-18T16:33:10Z,JAI384,"28.451471,77.000587",5000,279,195
1521390802,2018-03-18T16:33:22Z,JAI384,"28.437599,76.993477",5550,275,207
1521390814,2018-03-18T16:33:34Z,JAI384,"28.424843,76.983948",6125,274,214
1521390820,2018-03-18T16:33:40Z,JAI384,"28.418472,76.978981",6450,271,214
1521390832,2018-03-18T16:33:52Z,JAI384,"28.40593,76.969368",7150,267,213
1521390844,2018-03-18T16:34:04Z,JAI384,"28.393753,76.960236",7700,267,213
1521390856,2018-03-18T16:34:16Z,JAI384,"28.381256,76.950989",8175,269,213
1521390868,2018-03-18T16:34:28Z,JAI384,"28.368484,76.941536",8750,269,213
1521390880,2018-03-18T16:34:40Z,JAI384,"28.356272,76.932518",9325,267,213
1521390892,2018-03-18T16:34:52Z,JAI384,"28.344818,76.923843",9700,272,213
1521390904,2018-03-18T16:35:04Z,JAI384,"28.330582,76.91317",9975,286,213
1521390916,2018-03-18T16:35:16Z,JAI384,"28.316423,76.90284",10325,292,213
1521390928,2018-03-18T16:35:28Z,JAI384,"28.302795,76.892677",10575,303,213
1521390940,2018-03-18T16:35:40Z,JAI384,"28.288584,76.882111",11150,302,213
1521390952,2018-03-18T16:35:52Z,JAI384,"28.274479,76.871712",11675,302,213
1521390964,2018-03-18T16:36:04Z,JAI384,"28.260468,76.861214",12325,302,213
1521390998,2018-03-18T16:36:38Z,JAI384,"28.22155,76.832397",13875,304,213
1521391030,2018-03-18T16:37:10Z,JAI384,"28.17914,76.801109",14375,343,213
1521391061,2018-03-18T16:37:41Z,JAI384,"28.137726,76.770401",15200,365,213
1521391094,2018-03-18T16:38:14Z,JAI384,"28.091343,76.735573",16475,374,213
1521391127,2018-03-18T16:38:47Z,JAI384,"28.041595,76.69915",17825,381,212
1521391160,2018-03-18T16:39:20Z,JAI384,"27.993805,76.664291",19200,382,212
1521391224,2018-03-18T16:40:24Z,JAI384,"27.897545,76.594254",21550,391,213
1521391286,2018-03-18T16:41:26Z,JAI384,"27.801182,76.523209",23700,395,213
1521391350,2018-03-18T16:42:30Z,JAI384,"27.704315,76.450073",25525,400,214
1521391413,2018-03-18T16:43:33Z,JAI384,"27.605104,76.37542",27025,411,213
1521391483,2018-03-18T16:44:43Z,JAI384,"27.494265,76.294716",28700,418,211
