Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521477089,2018-03-19T16:31:29Z,JAI384,"28.552675,77.031067",2000,206,274
1521477112,2018-03-19T16:31:52Z,JAI384,"28.540525,77.009369",2425,237,214
1521477118,2018-03-19T16:31:58Z,JAI384,"28.533737,77.006187",2550,244,204
1521477124,2018-03-19T16:32:04Z,JAI384,"28.527008,77.005074",2650,254,186
1521477148,2018-03-19T16:32:28Z,JAI384,"28.497299,77.007187",3350,273,178
1521477160,2018-03-19T16:32:40Z,JAI384,"28.481506,77.006447",3850,275,184
1521477168,2018-03-19T16:32:48Z,JAI384,"28.470062,77.004913",4250,275,187
1521477175,2018-03-19T16:32:55Z,JAI384,"28.462271,77.003548",4450,278,188
1521477183,2018-03-19T16:33:03Z,JAI384,"28.450493,77.001236",4575,289,190
1521477196,2018-03-19T16:33:16Z,JAI384,"28.434433,76.997734",4800,302,191
1521477208,2018-03-19T16:33:28Z,JAI384,"28.417116,76.993858",5025,315,191
1521477223,2018-03-19T16:33:43Z,JAI384,"28.39477,76.989067",5525,323,190
1521477235,2018-03-19T16:33:55Z,JAI384,"28.377546,76.985512",5750,326,190
1521477247,2018-03-19T16:34:07Z,JAI384,"28.359577,76.981956",5950,326,189
1521477265,2018-03-19T16:34:25Z,JAI384,"28.332596,76.976608",6300,325,190
1521477277,2018-03-19T16:34:37Z,JAI384,"28.314934,76.970322",6550,324,201
1521477283,2018-03-19T16:34:43Z,JAI384,"28.307648,76.966568",6675,325,205
1521477289,2018-03-19T16:34:49Z,JAI384,"28.298721,76.960815",6800,325,211
1521477295,2018-03-19T16:34:55Z,JAI384,"28.291992,76.955582",6900,325,215
1521477304,2018-03-19T16:35:04Z,JAI384,"28.280502,76.945496",7100,327,217
1521477310,2018-03-19T16:35:10Z,JAI384,"28.274277,76.940056",7200,327,217
1521477325,2018-03-19T16:35:25Z,JAI384,"28.255966,76.923843",7500,330,218
1521477337,2018-03-19T16:35:37Z,JAI384,"28.240543,76.910217",7750,333,218
1521477348,2018-03-19T16:35:48Z,JAI384,"28.226303,76.897591",7975,333,218
1521477361,2018-03-19T16:36:01Z,JAI384,"28.211197,76.884117",8000,334,218
1521477373,2018-03-19T16:36:13Z,JAI384,"28.196877,76.871498",8000,334,218
1521477388,2018-03-19T16:36:28Z,JAI384,"28.178192,76.855019",7975,334,218
1521477401,2018-03-19T16:36:41Z,JAI384,"28.163498,76.842041",8125,331,218
1521477418,2018-03-19T16:36:58Z,JAI384,"28.141891,76.822906",8425,331,218
1521477431,2018-03-19T16:37:11Z,JAI384,"28.127327,76.809998",8650,337,218
1521477443,2018-03-19T16:37:23Z,JAI384,"28.112503,76.79686",9025,343,218
1521477455,2018-03-19T16:37:35Z,JAI384,"28.09726,76.783447",9650,340,218
1521477473,2018-03-19T16:37:53Z,JAI384,"28.074509,76.763374",10400,342,218
1521477485,2018-03-19T16:38:05Z,JAI384,"28.05986,76.750381",10800,348,218
1521477497,2018-03-19T16:38:17Z,JAI384,"28.043905,76.736328",11275,350,218
1521477517,2018-03-19T16:38:37Z,JAI384,"28.0163,76.71209",12050,358,217
1521477548,2018-03-19T16:39:08Z,JAI384,"27.977234,76.677864",13125,368,217
1521477581,2018-03-19T16:39:41Z,JAI384,"27.931686,76.637825",14625,371,218
1521477614,2018-03-19T16:40:14Z,JAI384,"27.88591,76.597557",16100,376,217
1521477653,2018-03-19T16:40:53Z,JAI384,"27.832489,76.550713",17650,384,217
1521477686,2018-03-19T16:41:26Z,JAI384,"27.784611,76.510689",19150,384,213
1521477750,2018-03-19T16:42:30Z,JAI384,"27.690491,76.439758",21725,384,213
1521477814,2018-03-19T16:43:34Z,JAI384,"27.591698,76.365387",23550,401,213
1521477878,2018-03-19T16:44:38Z,JAI384,"27.492262,76.292656",25525,406,211
1521477941,2018-03-19T16:45:41Z,JAI384,"27.390701,76.223251",27275,408,211
1521478005,2018-03-19T16:46:45Z,JAI384,"27.2899,76.15406",28500,421,211
1521478038,2018-03-19T16:47:18Z,JAI384,"27.232315,76.114601",29375,420,211
1521478126,2018-03-19T16:48:46Z,JAI384,"27.092424,76.019531",29975,398,211
1521478189,2018-03-19T16:49:49Z,JAI384,"26.990662,75.950279",29975,397,211
1521478237,2018-03-19T16:50:37Z,JAI384,"26.915543,75.899254",29975,395,211
1521478309,2018-03-19T16:51:49Z,JAI384,"26.800186,75.827431",30000,403,201
1521478315,2018-03-19T16:51:55Z,JAI384,"26.789557,75.822884",30000,402,201
1521478382,2018-03-19T16:53:02Z,JAI384,"26.673361,75.773605",30000,402,200
