Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521650037,2018-03-21T16:33:57Z,JAI384,"28.541643,77.015617",2425,235,228
1521650046,2018-03-21T16:34:06Z,JAI384,"28.533356,77.009369",2600,244,214
1521650053,2018-03-21T16:34:13Z,JAI384,"28.527351,77.006889",2700,255,198
1521650080,2018-03-21T16:34:40Z,JAI384,"28.494438,77.007698",3400,280,173
1521650100,2018-03-21T16:35:00Z,JAI384,"28.465389,77.006889",4600,275,186
1521650112,2018-03-21T16:35:12Z,JAI384,"28.450773,77.004303",5075,267,189
1521650124,2018-03-21T16:35:24Z,JAI384,"28.436666,77.001076",5325,269,191
1521650135,2018-03-21T16:35:35Z,JAI384,"28.420761,76.997261",5525,285,191
1521650148,2018-03-21T16:35:48Z,JAI384,"28.404922,76.993561",5675,300,191
1521650160,2018-03-21T16:36:00Z,JAI384,"28.3883,76.989761",5825,309,191
1521650172,2018-03-21T16:36:12Z,JAI384,"28.370796,76.985939",6025,317,190
1521650184,2018-03-21T16:36:24Z,JAI384,"28.354019,76.982254",6475,321,191
1521650199,2018-03-21T16:36:39Z,JAI384,"28.330856,76.976814",7125,324,192
1521650211,2018-03-21T16:36:51Z,JAI384,"28.314514,76.970757",7675,322,200
1521650220,2018-03-21T16:37:00Z,JAI384,"28.301559,76.963295",8075,323,209
1521650226,2018-03-21T16:37:06Z,JAI384,"28.294098,76.957695",8375,322,214
1521650232,2018-03-21T16:37:12Z,JAI384,"28.287607,76.951958",8650,321,218
1521650238,2018-03-21T16:37:18Z,JAI384,"28.280136,76.944969",8950,322,219
1521650244,2018-03-21T16:37:24Z,JAI384,"28.273544,76.939049",9175,323,218
1521650259,2018-03-21T16:37:39Z,JAI384,"28.255554,76.92305",9825,325,217
1521650271,2018-03-21T16:37:51Z,JAI384,"28.241381,76.910545",10325,326,218
1521650283,2018-03-21T16:38:03Z,JAI384,"28.226852,76.897697",10825,329,217
1521650295,2018-03-21T16:38:15Z,JAI384,"28.21196,76.884583",11325,332,217
1521650307,2018-03-21T16:38:27Z,JAI384,"28.197296,76.871712",11825,334,217
1521650319,2018-03-21T16:38:39Z,JAI384,"28.182449,76.858658",12350,335,217
1521650353,2018-03-21T16:39:13Z,JAI384,"28.141983,76.823006",13700,343,218
1521650386,2018-03-21T16:39:46Z,JAI384,"28.100513,76.786301",15025,351,218
1521650422,2018-03-21T16:40:22Z,JAI384,"28.052032,76.743568",16500,361,217
1521650458,2018-03-21T16:40:58Z,JAI384,"28.003738,76.701103",17950,367,217
1521650492,2018-03-21T16:41:32Z,JAI384,"27.958715,76.661522",19250,371,217
1521650556,2018-03-21T16:42:36Z,JAI384,"27.871216,76.584656",20000,379,217
1521650618,2018-03-21T16:43:38Z,JAI384,"27.782684,76.509201",21025,387,213
1521650680,2018-03-21T16:44:40Z,JAI384,"27.690125,76.439552",22975,398,213
1521650743,2018-03-21T16:45:43Z,JAI384,"27.591045,76.365013",24800,408,213
1521650770,2018-03-21T16:46:10Z,JAI384,"27.54952,76.333801",25650,407,213
1521650858,2018-03-21T16:47:38Z,JAI384,"27.406219,76.233871",28050,412,211
1521650924,2018-03-21T16:48:44Z,JAI384,"27.297546,76.159454",29400,422,211
1521650985,2018-03-21T16:49:45Z,JAI384,"27.194687,76.096649",31225,418,202
1521651051,2018-03-21T16:50:51Z,JAI384,"27.076365,76.041977",32900,411,202
1521651114,2018-03-21T16:51:54Z,JAI384,"26.964964,75.990211",34025,414,202
1521651145,2018-03-21T16:52:25Z,JAI384,"26.913574,75.966362",34550,414,202
1521651244,2018-03-21T16:54:04Z,JAI384,"26.74305,75.887428",36900,390,202
1521651283,2018-03-21T16:54:43Z,JAI384,"26.679367,75.858063",37225,392,202
1521651319,2018-03-21T16:55:19Z,JAI384,"26.615753,75.828773",37550,395,202
1521651407,2018-03-21T16:56:47Z,JAI384,"26.464762,75.759552",37975,402,202
1521651470,2018-03-21T16:57:50Z,JAI384,"26.355652,75.709587",37975,402,202
1521651533,2018-03-21T16:58:53Z,JAI384,"26.246246,75.65947",37975,400,202
1521651594,2018-03-21T16:59:54Z,JAI384,"26.142387,75.61235",37975,401,202
1521651657,2018-03-21T17:00:57Z,JAI384,"26.033112,75.562721",37975,400,202
1521651718,2018-03-21T17:01:58Z,JAI384,"25.929829,75.515846",37975,400,202
1521651783,2018-03-21T17:03:03Z,JAI384,"25.815496,75.464211",37975,401,202
1521651844,2018-03-21T17:04:04Z,JAI384,"25.711121,75.416771",37975,400,202
1521651908,2018-03-21T17:05:08Z,JAI384,"25.602356,75.367584",37975,400,202
1521651971,2018-03-21T17:06:11Z,JAI384,"25.491714,75.320892",37975,403,200
1521652035,2018-03-21T17:07:15Z,JAI384,"25.380661,75.2743",37975,403,200
1521652096,2018-03-21T17:08:16Z,JAI384,"25.274277,75.229645",37975,403,200
1521652159,2018-03-21T17:09:19Z,JAI384,"25.16316,75.183022",37975,405,200
1521652223,2018-03-21T17:10:23Z,JAI384,"25.051435,75.136482",38000,406,200
1521652286,2018-03-21T17:11:26Z,JAI384,"24.939569,75.089844",37975,408,200
1521652349,2018-03-21T17:12:29Z,JAI384,"24.82696,75.042786",37975,410,200
1521652410,2018-03-21T17:13:30Z,JAI384,"24.71854,74.997963",37975,414,200
1521652477,2018-03-21T17:14:37Z,JAI384,"24.598948,74.948418",38000,415,200
1521652540,2018-03-21T17:15:40Z,JAI384,"24.483994,74.900871",37975,417,200
1521652606,2018-03-21T17:16:46Z,JAI384,"24.364044,74.851562",38000,415,200
1521652667,2018-03-21T17:17:47Z,JAI384,"24.255844,74.806877",37975,414,200
1521652736,2018-03-21T17:18:56Z,JAI384,"24.131981,74.755898",37975,409,200
1521652797,2018-03-21T17:19:57Z,JAI384,"24.02454,74.711853",37975,406,200
1521652860,2018-03-21T17:21:00Z,JAI384,"23.914118,74.66671",37975,404,200
1521652928,2018-03-21T17:22:08Z,JAI384,"23.794098,74.617561",37975,403,200
1521652991,2018-03-21T17:23:11Z,JAI384,"23.683044,74.572395",37975,403,200
1521653052,2018-03-21T17:24:12Z,JAI384,"23.577219,74.529282",38000,405,200
1521653115,2018-03-21T17:25:15Z,JAI384,"23.465912,74.484154",37975,406,200
1521653178,2018-03-21T17:26:18Z,JAI384,"23.353912,74.438614",37975,407,200
1521653239,2018-03-21T17:27:19Z,JAI384,"23.245834,74.394867",38000,406,200
1521653302,2018-03-21T17:28:22Z,JAI384,"23.133682,74.349274",37975,407,200
1521653363,2018-03-21T17:29:23Z,JAI384,"23.026552,74.306236",37975,407,200
1521653424,2018-03-21T17:30:24Z,JAI384,"22.919632,74.263237",37975,406,200
1521653487,2018-03-21T17:31:27Z,JAI384,"22.80835,74.218338",37975,404,200
1521653551,2018-03-21T17:32:31Z,JAI384,"22.696198,74.173294",37975,404,200
1521653614,2018-03-21T17:33:34Z,JAI384,"22.584549,74.128448",37975,405,200
1521653676,2018-03-21T17:34:36Z,JAI384,"22.474909,74.084419",37975,407,200
1521653738,2018-03-21T17:35:38Z,JAI384,"22.364859,74.040474",37975,409,200
