Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1522082989,2018-03-26T16:49:49Z,JAI384,"28.548113,77.04303",2050,201,257
1522082996,2018-03-26T16:49:56Z,JAI384,"28.543945,77.034233",2225,216,237
1522083003,2018-03-26T16:50:03Z,JAI384,"28.539362,77.029236",2325,226,221
1522083011,2018-03-26T16:50:11Z,JAI384,"28.531311,77.024567",2450,245,201
1522083017,2018-03-26T16:50:17Z,JAI384,"28.523859,77.022942",2550,257,185
1522083023,2018-03-26T16:50:23Z,JAI384,"28.517483,77.022614",2675,262,181
1522083030,2018-03-26T16:50:30Z,JAI384,"28.508636,77.022293",2750,272,182
1522083036,2018-03-26T16:50:36Z,JAI384,"28.500862,77.021751",2725,277,183
1522083051,2018-03-26T16:50:51Z,JAI384,"28.48173,77.018684",2775,279,191
1522083076,2018-03-26T16:51:16Z,JAI384,"28.451248,77.010941",3550,283,192
1522083086,2018-03-26T16:51:26Z,JAI384,"28.439026,77.007767",4050,279,193
1522083103,2018-03-26T16:51:43Z,JAI384,"28.416929,77.001991",4950,275,193
1522083147,2018-03-26T16:52:27Z,JAI384,"28.358643,76.985535",6600,287,193
1522083303,2018-03-26T16:55:03Z,JAI384,"28.174896,76.851746",11275,351,217
1522083342,2018-03-26T16:55:42Z,JAI384,"28.122253,76.805046",11950,383,218
1522083357,2018-03-26T16:55:57Z,JAI384,"28.10083,76.78598",12450,386,217
1522083364,2018-03-26T16:56:04Z,JAI384,"28.092041,76.778275",12725,386,218
1522083465,2018-03-26T16:57:45Z,JAI384,"27.929388,76.675537",16450,411,205
1522083496,2018-03-26T16:58:16Z,JAI384,"27.877203,76.647598",17575,414,205
1522083665,2018-03-26T17:01:05Z,JAI384,"27.575821,76.484383",23300,439,205
1522083733,2018-03-26T17:02:13Z,JAI384,"27.452133,76.417526",24925,456,205
1522083799,2018-03-26T17:03:19Z,JAI384,"27.320801,76.346687",27275,448,205
1522083875,2018-03-26T17:04:35Z,JAI384,"27.186172,76.274658",30350,421,205
1522083938,2018-03-26T17:05:38Z,JAI384,"27.076643,76.215912",32450,400,205
1522083999,2018-03-26T17:06:39Z,JAI384,"26.976418,76.161819",33375,394,205
1522084063,2018-03-26T17:07:43Z,JAI384,"26.869492,76.104675",34000,401,205
1522084128,2018-03-26T17:08:48Z,JAI384,"26.761393,76.04715",34000,408,205
1522084197,2018-03-26T17:09:57Z,JAI384,"26.642624,75.984451",34000,407,205
1522084341,2018-03-26T17:12:21Z,JAI384,"26.398378,75.854782",34000,405,205
1522084403,2018-03-26T17:13:23Z,JAI384,"26.292751,75.798958",34000,406,205
1522084468,2018-03-26T17:14:28Z,JAI384,"26.18454,75.74192",33975,407,205
1522084532,2018-03-26T17:15:32Z,JAI384,"26.073898,75.68383",34000,406,205
1522084571,2018-03-26T17:16:11Z,JAI384,"26.007202,75.648796",33975,407,205
1522084659,2018-03-26T17:17:39Z,JAI384,"25.854973,75.568985",34000,409,205
1522084724,2018-03-26T17:18:44Z,JAI384,"25.745224,75.51178",34000,409,205
1522084787,2018-03-26T17:19:47Z,JAI384,"25.636875,75.455193",34000,409,205
1522084846,2018-03-26T17:20:46Z,JAI384,"25.533157,75.401192",33975,410,205
1522084914,2018-03-26T17:21:54Z,JAI384,"25.419151,75.34201",34000,409,205
1522084977,2018-03-26T17:22:57Z,JAI384,"25.310545,75.285629",33975,409,205
1522085037,2018-03-26T17:23:57Z,JAI384,"25.206453,75.231781",33975,408,205
1522085101,2018-03-26T17:25:01Z,JAI384,"25.097801,75.175819",34000,408,205
1522085164,2018-03-26T17:26:04Z,JAI384,"24.988815,75.11953",34000,408,205
1522085227,2018-03-26T17:27:07Z,JAI384,"24.880005,75.06353",34000,409,205
1522085284,2018-03-26T17:28:04Z,JAI384,"24.7836,75.014137",34000,411,205
1522085373,2018-03-26T17:29:33Z,JAI384,"24.62809,74.934532",34000,411,205
1522085433,2018-03-26T17:30:33Z,JAI384,"24.522137,74.886024",34000,415,200
1522085453,2018-03-26T17:30:53Z,JAI384,"24.487198,74.872032",34000,415,200
1522085541,2018-03-26T17:32:21Z,JAI384,"24.326571,74.807411",34000,414,200
1522085604,2018-03-26T17:33:24Z,JAI384,"24.213364,74.762115",34000,414,200
1522085667,2018-03-26T17:34:27Z,JAI384,"24.103867,74.718269",34000,412,200
1522085732,2018-03-26T17:35:32Z,JAI384,"23.98439,74.670509",34000,411,200
1522085794,2018-03-26T17:36:34Z,JAI384,"23.877457,74.627686",33975,396,200
1522085863,2018-03-26T17:37:43Z,JAI384,"23.756287,74.579109",33975,394,200
1522085927,2018-03-26T17:38:47Z,JAI384,"23.648397,74.536171",33975,393,200
1522085990,2018-03-26T17:39:50Z,JAI384,"23.538162,74.492188",33975,392,200
1522086053,2018-03-26T17:40:53Z,JAI384,"23.434769,74.451042",34000,396,200
1522086117,2018-03-26T17:41:57Z,JAI384,"23.324253,74.407249",34000,398,200
1522086179,2018-03-26T17:42:59Z,JAI384,"23.212482,74.362892",33975,399,200
1522086240,2018-03-26T17:44:00Z,JAI384,"23.106623,74.321037",34000,399,200
1522086301,2018-03-26T17:45:01Z,JAI384,"23.000107,74.278763",33975,399,200
1522086363,2018-03-26T17:46:03Z,JAI384,"22.894318,74.237267",33975,399,200
1522086423,2018-03-26T17:47:03Z,JAI384,"22.787933,74.195366",33975,400,200
1522086487,2018-03-26T17:48:07Z,JAI384,"22.676619,74.151665",33975,402,200
1522086551,2018-03-26T17:49:11Z,JAI384,"22.564453,74.107628",33975,403,199
1522086619,2018-03-26T17:50:19Z,JAI384,"22.446259,74.061386",33975,403,200
1522086681,2018-03-26T17:51:21Z,JAI384,"22.339554,74.019638",33975,404,200
1522086743,2018-03-26T17:52:23Z,JAI384,"22.226257,73.975494",33975,405,200
1522086806,2018-03-26T17:53:26Z,JAI384,"22.113419,73.931396",33975,407,199
1522086869,2018-03-26T17:54:29Z,JAI384,"22.00502,73.889252",33975,407,199
1522086935,2018-03-26T17:55:35Z,JAI384,"21.886442,73.843285",33975,407,199
1522086995,2018-03-26T17:56:35Z,JAI384,"21.778473,73.801407",33975,407,199
1522087061,2018-03-26T17:57:41Z,JAI384,"21.663025,73.756714",34000,409,199
1522087125,2018-03-26T17:58:45Z,JAI384,"21.549271,73.712769",33975,411,199
1522087189,2018-03-26T17:59:49Z,JAI384,"21.433674,73.668159",34000,412,199
1522087252,2018-03-26T18:00:52Z,JAI384,"21.319061,73.623978",34000,414,199
1522087315,2018-03-26T18:01:55Z,JAI384,"21.204592,73.579765",33325,416,199
1522087375,2018-03-26T18:02:55Z,JAI384,"21.094355,73.541008",32450,410,197
1522087439,2018-03-26T18:03:59Z,JAI384,"20.98027,73.502899",31450,399,197
1522087505,2018-03-26T18:05:05Z,JAI384,"20.873474,73.467049",30300,360,197
