Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1522255382,2018-03-28T16:43:02Z,JAI384,"28.549622,77.052612",2125,178,279
1522255404,2018-03-28T16:43:24Z,JAI384,"28.544762,77.033012",2500,206,237
1522255411,2018-03-28T16:43:31Z,JAI384,"28.54006,77.027626",2625,219,220
1522255420,2018-03-28T16:43:40Z,JAI384,"28.531029,77.020782",2825,232,212
1522255427,2018-03-28T16:43:47Z,JAI384,"28.524307,77.0159",2900,241,211
1522255433,2018-03-28T16:43:53Z,JAI384,"28.518553,77.011955",3025,248,211
1522255442,2018-03-28T16:44:02Z,JAI384,"28.509243,77.005653",3125,260,210
1522255452,2018-03-28T16:44:12Z,JAI384,"28.499233,76.99897",3300,271,210
1522255460,2018-03-28T16:44:20Z,JAI384,"28.48955,76.992508",3650,271,210
1522255468,2018-03-28T16:44:28Z,JAI384,"28.480225,76.986275",4050,271,210
1522255477,2018-03-28T16:44:37Z,JAI384,"28.470612,76.979668",4325,275,211
1522255491,2018-03-28T16:44:51Z,JAI384,"28.456696,76.970055",4775,278,211
1522255498,2018-03-28T16:44:58Z,JAI384,"28.449966,76.965408",5050,277,211
1522255508,2018-03-28T16:45:08Z,JAI384,"28.437057,76.956482",5450,281,211
1522255521,2018-03-28T16:45:21Z,JAI384,"28.423599,76.947083",5700,286,211
1522255539,2018-03-28T16:45:39Z,JAI384,"28.402405,76.932343",6000,287,211
1522255550,2018-03-28T16:45:50Z,JAI384,"28.388672,76.92289",6200,288,211
1522255563,2018-03-28T16:46:03Z,JAI384,"28.375078,76.913559",6625,280,211
1522255575,2018-03-28T16:46:15Z,JAI384,"28.361858,76.90435",6950,278,211
1522255589,2018-03-28T16:46:29Z,JAI384,"28.345917,76.893097",7225,278,211
1522255604,2018-03-28T16:46:44Z,JAI384,"28.332367,76.883644",7375,283,211
1522255614,2018-03-28T16:46:54Z,JAI384,"28.319122,76.87468",7600,283,210
1522255626,2018-03-28T16:47:06Z,JAI384,"28.304947,76.865318",7875,283,210
1522255639,2018-03-28T16:47:19Z,JAI384,"28.291378,76.856583",8000,283,209
1522255650,2018-03-28T16:47:30Z,JAI384,"28.277756,76.847672",8025,286,210
1522255664,2018-03-28T16:47:44Z,JAI384,"28.263931,76.838486",8025,288,210
1522255676,2018-03-28T16:47:56Z,JAI384,"28.250086,76.829063",8025,286,211
1522255685,2018-03-28T16:48:05Z,JAI384,"28.237564,76.820366",8025,281,211
1522255701,2018-03-28T16:48:21Z,JAI384,"28.221085,76.809067",8025,280,211
1522255713,2018-03-28T16:48:33Z,JAI384,"28.206141,76.798851",8000,280,210
1522255725,2018-03-28T16:48:45Z,JAI384,"28.194176,76.790825",7975,280,210
1522255739,2018-03-28T16:48:59Z,JAI384,"28.179749,76.781021",8025,283,211
1522255749,2018-03-28T16:49:09Z,JAI384,"28.166199,76.771706",8425,282,211
1522255761,2018-03-28T16:49:21Z,JAI384,"28.152233,76.762177",8900,280,211
1522255772,2018-03-28T16:49:32Z,JAI384,"28.139803,76.753502",9225,286,211
1522255785,2018-03-28T16:49:45Z,JAI384,"28.125326,76.743271",9625,289,211
1522255798,2018-03-28T16:49:58Z,JAI384,"28.112104,76.734062",10025,292,211
1522255811,2018-03-28T16:50:11Z,JAI384,"28.097305,76.723763",10200,304,211
1522255822,2018-03-28T16:50:22Z,JAI384,"28.082312,76.71344",10325,318,211
1522255833,2018-03-28T16:50:33Z,JAI384,"28.067047,76.703003",10475,331,211
1522255845,2018-03-28T16:50:45Z,JAI384,"28.051308,76.692383",10650,342,210
1522255857,2018-03-28T16:50:57Z,JAI384,"28.033525,76.68042",10850,352,210
1522255870,2018-03-28T16:51:10Z,JAI384,"28.016254,76.668953",11000,364,210
1522255883,2018-03-28T16:51:23Z,JAI384,"27.998566,76.657158",11250,372,210
1522255894,2018-03-28T16:51:34Z,JAI384,"27.980896,76.645325",11575,377,210
1522255907,2018-03-28T16:51:47Z,JAI384,"27.962814,76.633125",11975,379,210
1522255919,2018-03-28T16:51:59Z,JAI384,"27.944138,76.620552",12375,382,210
1522255957,2018-03-28T16:52:37Z,JAI384,"27.883627,76.58094",13675,393,206
1522255992,2018-03-28T16:53:12Z,JAI384,"27.823288,76.549522",14675,409,204
1522256028,2018-03-28T16:53:48Z,JAI384,"27.760986,76.517342",16350,403,204
1522256063,2018-03-28T16:54:23Z,JAI384,"27.702118,76.487076",17450,413,204
1522256092,2018-03-28T16:54:52Z,JAI384,"27.649933,76.460281",18475,419,204
1522256154,2018-03-28T16:55:54Z,JAI384,"27.53952,76.402657",20275,436,204
1522256222,2018-03-28T16:57:02Z,JAI384,"27.414007,76.338234",22475,444,204
1522256284,2018-03-28T16:58:04Z,JAI384,"27.292419,76.276779",24025,460,204
1522256347,2018-03-28T16:59:07Z,JAI384,"27.173891,76.213799",25600,467,204
1522256408,2018-03-28T17:00:08Z,JAI384,"27.050583,76.15023",27125,469,204
1522256472,2018-03-28T17:01:12Z,JAI384,"26.925522,76.085869",28475,473,204
1522256532,2018-03-28T17:02:12Z,JAI384,"26.803391,76.023109",30075,468,204
1522256603,2018-03-28T17:03:23Z,JAI384,"26.665512,75.952477",31775,459,204
1522256665,2018-03-28T17:04:25Z,JAI384,"26.54567,75.891388",33125,453,204
1522256729,2018-03-28T17:05:29Z,JAI384,"26.42547,75.830276",34250,446,204
1522256792,2018-03-28T17:06:32Z,JAI384,"26.306669,75.770119",35350,440,204
1522256853,2018-03-28T17:07:33Z,JAI384,"26.194839,75.713417",36000,438,204
1522256917,2018-03-28T17:08:37Z,JAI384,"26.077726,75.654236",36025,438,204
1522256979,2018-03-28T17:09:39Z,JAI384,"25.960506,75.595444",36025,434,204
1522257047,2018-03-28T17:10:47Z,JAI384,"25.838354,75.534019",36025,431,204
1522257111,2018-03-28T17:11:51Z,JAI384,"25.723114,75.476433",36000,428,204
1522257173,2018-03-28T17:12:53Z,JAI384,"25.609085,75.419518",36000,424,204
1522257234,2018-03-28T17:13:54Z,JAI384,"25.500641,75.365295",36000,421,204
1522257297,2018-03-28T17:14:57Z,JAI384,"25.388334,75.308998",36000,422,204
1522257367,2018-03-28T17:16:07Z,JAI384,"25.263294,75.246864",36025,424,204
1522257431,2018-03-28T17:17:11Z,JAI384,"25.150639,75.191002",36000,422,204
1522257506,2018-03-28T17:18:26Z,JAI384,"25.015045,75.124107",36000,421,204
1522257567,2018-03-28T17:19:27Z,JAI384,"24.908241,75.071396",36025,419,204
1522257631,2018-03-28T17:20:31Z,JAI384,"24.794769,75.015312",36025,418,204
1522257693,2018-03-28T17:21:33Z,JAI384,"24.683022,74.960289",36000,416,204
1522257761,2018-03-28T17:22:41Z,JAI384,"24.564732,74.903229",36025,418,200
1522257827,2018-03-28T17:23:47Z,JAI384,"24.442566,74.854073",36025,418,200
1522257889,2018-03-28T17:24:49Z,JAI384,"24.331459,74.809486",36025,418,199
