Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1522776780,2018-04-03T17:33:00Z,JAI384,"28.53331,77.124886",1975,182,107
1522776786,2018-04-03T17:33:06Z,JAI384,"28.531494,77.129517",2050,187,117
1522776794,2018-04-03T17:33:14Z,JAI384,"28.525543,77.13649",2225,198,144
1522776803,2018-04-03T17:33:23Z,JAI384,"28.51767,77.139549",2425,206,169
1522776833,2018-04-03T17:33:53Z,JAI384,"28.487411,77.130569",2950,241,198
1522776847,2018-04-03T17:34:07Z,JAI384,"28.470566,77.12513",3200,258,193
1522776859,2018-04-03T17:34:19Z,JAI384,"28.459385,77.122299",3450,265,191
1522776875,2018-04-03T17:34:35Z,JAI384,"28.437086,77.117615",4025,272,190
1522776887,2018-04-03T17:34:47Z,JAI384,"28.422363,77.114624",4500,274,190
1522776894,2018-04-03T17:34:54Z,JAI384,"28.414694,77.113037",4725,275,190
1522776902,2018-04-03T17:35:02Z,JAI384,"28.403475,77.110779",5050,277,190
1522776914,2018-04-03T17:35:14Z,JAI384,"28.388031,77.107811",5500,279,189
1522776925,2018-04-03T17:35:25Z,JAI384,"28.372833,77.104797",5925,282,190
1522776940,2018-04-03T17:35:40Z,JAI384,"28.356876,77.101509",6375,285,190
1522776951,2018-04-03T17:35:51Z,JAI384,"28.341293,77.098251",6800,288,190
1522776962,2018-04-03T17:36:02Z,JAI384,"28.325455,77.094406",7200,292,195
1522776968,2018-04-03T17:36:08Z,JAI384,"28.317587,77.091011",7400,292,204
1522776975,2018-04-03T17:36:15Z,JAI384,"28.310417,77.086487",7625,291,211
1522776989,2018-04-03T17:36:29Z,JAI384,"28.295288,77.071625",8275,286,225
1522776995,2018-04-03T17:36:35Z,JAI384,"28.289982,77.065536",8525,286,225
1522777001,2018-04-03T17:36:41Z,JAI384,"28.284069,77.058861",8775,286,224
1522777013,2018-04-03T17:36:53Z,JAI384,"28.272896,77.046524",9275,286,224
1522777027,2018-04-03T17:37:07Z,JAI384,"28.261909,77.034248",9750,285,224
1522777037,2018-04-03T17:37:17Z,JAI384,"28.249832,77.02092",10275,287,224
1522777051,2018-04-03T17:37:31Z,JAI384,"28.238541,77.008453",10600,293,224
1522777071,2018-04-03T17:37:51Z,JAI384,"28.216873,76.984367",11125,309,224
1522777083,2018-04-03T17:38:03Z,JAI384,"28.204512,76.970535",11525,313,224
1522777096,2018-04-03T17:38:16Z,JAI384,"28.191011,76.957291",11975,318,217
1522777103,2018-04-03T17:38:23Z,JAI384,"28.181793,76.949966",12300,320,213
1522777110,2018-04-03T17:38:30Z,JAI384,"28.172974,76.943802",12650,319,210
1522777119,2018-04-03T17:38:39Z,JAI384,"28.16173,76.936989",13050,321,207
1522777150,2018-04-03T17:39:10Z,JAI384,"28.120972,76.913223",14450,323,207
1522777183,2018-04-03T17:39:43Z,JAI384,"28.076073,76.886742",15925,330,207
1522777217,2018-04-03T17:40:17Z,JAI384,"28.031021,76.860245",17200,340,207
1522777249,2018-04-03T17:40:49Z,JAI384,"27.982132,76.831863",17825,371,207
1522777281,2018-04-03T17:41:21Z,JAI384,"27.929031,76.800598",18225,404,207
1522777345,2018-04-03T17:42:25Z,JAI384,"27.820223,76.737175",20250,424,207
1522777408,2018-04-03T17:43:28Z,JAI384,"27.709429,76.673111",22475,431,207
1522777471,2018-04-03T17:44:31Z,JAI384,"27.595795,76.60714",24300,442,207
1522777534,2018-04-03T17:45:34Z,JAI384,"27.48262,76.541801",25900,451,207
1522777594,2018-04-03T17:46:34Z,JAI384,"27.367968,76.47541",27375,457,207
1522777657,2018-04-03T17:47:37Z,JAI384,"27.248474,76.406334",28625,467,207
1522777723,2018-04-03T17:48:43Z,JAI384,"27.117783,76.331711",30275,466,207
1522777788,2018-04-03T17:49:48Z,JAI384,"26.996992,76.262337",31900,457,207
1522777855,2018-04-03T17:50:55Z,JAI384,"26.87265,76.190857",33225,453,207
1522777916,2018-04-03T17:51:56Z,JAI384,"26.756516,76.124634",34700,440,207
1522777978,2018-04-03T17:52:58Z,JAI384,"26.644089,76.060524",35450,441,207
1522778046,2018-04-03T17:54:06Z,JAI384,"26.520111,75.990318",36000,446,206
1522778108,2018-04-03T17:55:08Z,JAI384,"26.404522,75.92514",35975,447,207
1522778168,2018-04-03T17:56:08Z,JAI384,"26.295218,75.863129",36000,448,206
1522778231,2018-04-03T17:57:11Z,JAI384,"26.178139,75.797157",36000,446,207
1522778294,2018-04-03T17:58:14Z,JAI384,"26.065109,75.73362",36000,445,206
