Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1523293248,2018-04-09T17:00:48Z,JAI384,"28.532564,77.133827",1750,206,103
1523293258,2018-04-09T17:00:58Z,JAI384,"28.529938,77.14325",1975,212,111
1523293265,2018-04-09T17:01:05Z,JAI384,"28.526917,77.149109",2075,215,125
1523293274,2018-04-09T17:01:14Z,JAI384,"28.520088,77.156067",2250,219,147
1523293280,2018-04-09T17:01:20Z,JAI384,"28.512268,77.159096",2400,221,166
1523293307,2018-04-09T17:01:47Z,JAI384,"28.48741,77.149498",2825,241,209
1523293319,2018-04-09T17:01:59Z,JAI384,"28.475464,77.14151",3050,254,213
1523293329,2018-04-09T17:02:09Z,JAI384,"28.464132,77.131668",3250,266,219
1523293335,2018-04-09T17:02:15Z,JAI384,"28.458115,77.125717",3475,269,221
1523293342,2018-04-09T17:02:22Z,JAI384,"28.452728,77.120255",3675,270,222
1523293348,2018-04-09T17:02:28Z,JAI384,"28.446722,77.114273",3900,273,221
1523293360,2018-04-09T17:02:40Z,JAI384,"28.435181,77.103058",4325,276,220
1523293371,2018-04-09T17:02:51Z,JAI384,"28.423075,77.091606",4850,276,219
1523293377,2018-04-09T17:02:57Z,JAI384,"28.417465,77.086418",5125,275,219
1523293389,2018-04-09T17:03:09Z,JAI384,"28.405523,77.075394",5650,274,219
1523293405,2018-04-09T17:03:25Z,JAI384,"28.390503,77.061752",6225,278,218
1523293417,2018-04-09T17:03:37Z,JAI384,"28.377914,77.050232",6600,284,219
1523293428,2018-04-09T17:03:48Z,JAI384,"28.365814,77.039093",7000,288,219
1523293448,2018-04-09T17:04:08Z,JAI384,"28.347054,77.021912",7675,290,219
1523293460,2018-04-09T17:04:20Z,JAI384,"28.334885,77.010674",8200,289,219
1523293475,2018-04-09T17:04:35Z,JAI384,"28.318844,76.995903",8775,290,219
1523293489,2018-04-09T17:04:49Z,JAI384,"28.302782,76.981094",9325,292,219
1523293502,2018-04-09T17:05:02Z,JAI384,"28.290541,76.969841",9775,294,219
1523293512,2018-04-09T17:05:12Z,JAI384,"28.277784,76.958153",10200,295,219
1523293527,2018-04-09T17:05:27Z,JAI384,"28.264435,76.945862",10450,306,219
1523293537,2018-04-09T17:05:37Z,JAI384,"28.250597,76.933167",10675,317,219
1523293549,2018-04-09T17:05:49Z,JAI384,"28.236912,76.920563",10850,327,219
1523293562,2018-04-09T17:06:02Z,JAI384,"28.222248,76.907097",11050,339,219
1523293575,2018-04-09T17:06:15Z,JAI384,"28.207584,76.893631",11250,349,219
1523293586,2018-04-09T17:06:26Z,JAI384,"28.192383,76.879684",11500,358,219
1523293597,2018-04-09T17:06:37Z,JAI384,"28.17659,76.865158",11900,361,219
1523293609,2018-04-09T17:06:49Z,JAI384,"28.160286,76.850334",12325,365,219
1523293643,2018-04-09T17:07:23Z,JAI384,"28.116211,76.81012",13525,374,218
1523293674,2018-04-09T17:07:54Z,JAI384,"28.072174,76.769981",14850,380,218
1523293710,2018-04-09T17:08:30Z,JAI384,"28.025436,76.727409",16225,386,219
1523293743,2018-04-09T17:09:03Z,JAI384,"27.979019,76.684937",17450,393,219
1523293777,2018-04-09T17:09:37Z,JAI384,"27.92692,76.637512",18650,404,218
1523293846,2018-04-09T17:10:46Z,JAI384,"27.82539,76.552841",20875,419,208
1523293852,2018-04-09T17:10:52Z,JAI384,"27.814774,76.546776",21075,420,205
1523293923,2018-04-09T17:12:03Z,JAI384,"27.684357,76.479042",23225,433,204
1523293986,2018-04-09T17:13:06Z,JAI384,"27.567856,76.418411",25075,439,204
1523294046,2018-04-09T17:14:06Z,JAI384,"27.455904,76.36042",26675,443,204
1523294109,2018-04-09T17:15:09Z,JAI384,"27.336502,76.298653",27875,455,204
1523294178,2018-04-09T17:16:18Z,JAI384,"27.202332,76.229568",29225,463,204
1523294242,2018-04-09T17:17:22Z,JAI384,"27.079056,76.165878",30650,461,204
1523294303,2018-04-09T17:18:23Z,JAI384,"26.962824,76.106308",31900,459,204
1523294367,2018-04-09T17:19:27Z,JAI384,"26.839417,76.042747",32000,459,204
1523294428,2018-04-09T17:20:28Z,JAI384,"26.718475,75.980721",31975,456,204
1523294491,2018-04-09T17:21:31Z,JAI384,"26.59897,75.919861",31975,448,204
1523294557,2018-04-09T17:22:37Z,JAI384,"26.478354,75.85817",32000,446,204
1523294619,2018-04-09T17:23:39Z,JAI384,"26.359818,75.79805",32000,447,204
1523294690,2018-04-09T17:24:50Z,JAI384,"26.22674,75.730453",31975,448,204
1523294753,2018-04-09T17:25:53Z,JAI384,"26.106537,75.669426",32000,449,204
1523294785,2018-04-09T17:26:25Z,JAI384,"26.046249,75.638901",32000,449,204
1523294875,2018-04-09T17:27:55Z,JAI384,"25.871592,75.550919",32000,454,204
1523294939,2018-04-09T17:28:59Z,JAI384,"25.749533,75.489655",32000,456,204
1523295044,2018-04-09T17:30:44Z,JAI384,"25.547636,75.388908",32000,454,204
1523295050,2018-04-09T17:30:50Z,JAI384,"25.537254,75.383728",32000,454,204
1523295139,2018-04-09T17:32:19Z,JAI384,"25.365555,75.297905",31975,455,204
1523295200,2018-04-09T17:33:20Z,JAI384,"25.249329,75.240227",32000,456,204
1523295263,2018-04-09T17:34:23Z,JAI384,"25.126144,75.179085",31975,456,204
1523295325,2018-04-09T17:35:25Z,JAI384,"25.00914,75.121155",32000,457,204
1523295385,2018-04-09T17:36:25Z,JAI384,"24.891083,75.062813",31975,459,204
1523295445,2018-04-09T17:37:25Z,JAI384,"24.77211,75.004326",32000,462,204
1523295508,2018-04-09T17:38:28Z,JAI384,"24.653133,74.945877",32000,462,204
1523295569,2018-04-09T17:39:29Z,JAI384,"24.533157,74.889885",32000,461,200
1523295630,2018-04-09T17:40:30Z,JAI384,"24.406128,74.838661",31975,458,199
1523295692,2018-04-09T17:41:32Z,JAI384,"24.284067,74.790359",32000,456,200
1523295756,2018-04-09T17:42:36Z,JAI384,"24.158432,74.739937",31975,456,200
1523295818,2018-04-09T17:43:38Z,JAI384,"24.037399,74.691772",32000,455,200
1523295882,2018-04-09T17:44:42Z,JAI384,"23.90732,74.639664",31975,457,200
1523295947,2018-04-09T17:45:47Z,JAI384,"23.778372,74.587891",32000,456,200
1523296011,2018-04-09T17:46:51Z,JAI384,"23.651655,74.537468",32000,456,200
1523296070,2018-04-09T17:47:50Z,JAI384,"23.531982,74.489853",31975,457,200
1523296136,2018-04-09T17:48:56Z,JAI384,"23.404789,74.439034",32000,457,200
1523296200,2018-04-09T17:50:00Z,JAI384,"23.278015,74.388824",32000,455,200
1523296259,2018-04-09T17:50:59Z,JAI384,"23.157877,74.341125",32000,454,199
1523296320,2018-04-09T17:52:00Z,JAI384,"23.036545,74.293396",32000,452,200
1523296386,2018-04-09T17:53:06Z,JAI384,"22.905624,74.241707",32000,452,200
1523296450,2018-04-09T17:54:10Z,JAI384,"22.779922,74.192223",31975,454,199
1523296517,2018-04-09T17:55:17Z,JAI384,"22.647675,74.140587",32000,452,199
1523296575,2018-04-09T17:56:15Z,JAI384,"22.531097,74.094643",32000,452,200
1523296594,2018-04-09T17:56:34Z,JAI384,"22.494141,74.079865",31975,451,200
1523296650,2018-04-09T17:57:30Z,JAI384,"22.385788,74.037361",31975,451,199
1523296749,2018-04-09T17:59:09Z,JAI384,"22.193161,73.962456",32000,448,199
1523296808,2018-04-09T18:00:08Z,JAI384,"22.075537,73.916573",32000,447,199
1523296875,2018-04-09T18:01:15Z,JAI384,"21.945236,73.865974",32000,446,199
1523296940,2018-04-09T18:02:20Z,JAI384,"21.819639,73.817543",32000,447,199
1523297003,2018-04-09T18:03:23Z,JAI384,"21.695623,73.769279",31975,449,199
1523297067,2018-04-09T18:04:27Z,JAI384,"21.571655,73.721458",31975,450,200
1523297130,2018-04-09T18:05:30Z,JAI384,"21.447407,73.673347",32000,450,199
1523297192,2018-04-09T18:06:32Z,JAI384,"21.327629,73.627319",32000,450,199
1523297257,2018-04-09T18:07:37Z,JAI384,"21.195511,73.576538",32000,450,199
1523297320,2018-04-09T18:08:40Z,JAI384,"21.070129,73.533043",32000,451,197
1523297361,2018-04-09T18:09:21Z,JAI384,"20.992964,73.507072",31975,451,197
1523297416,2018-04-09T18:10:16Z,JAI384,"20.885801,73.471169",31475,413,197
1523297511,2018-04-09T18:11:51Z,JAI384,"20.71582,73.414177",29700,391,197
1523297517,2018-04-09T18:11:57Z,JAI384,"20.705795,73.410789",29500,391,197
1523297601,2018-04-09T18:13:21Z,JAI384,"20.556061,73.360962",27925,377,197
1523297671,2018-04-09T18:14:31Z,JAI384,"20.445419,73.324081",27225,375,197
1523297730,2018-04-09T18:15:30Z,JAI384,"20.34256,73.289749",26400,370,197
1523297797,2018-04-09T18:16:37Z,JAI384,"20.24057,73.25576",25500,367,197
1523297804,2018-04-09T18:16:44Z,JAI384,"20.227524,73.251541",25375,367,196
1523297895,2018-04-09T18:18:15Z,JAI384,"20.081131,73.205536",24100,358,196
1523297936,2018-04-09T18:18:56Z,JAI384,"20.0186,73.189934",23600,357,178
1523297949,2018-04-09T18:19:09Z,JAI384,"19.998779,73.195084",23425,360,158
1523297959,2018-04-09T18:19:19Z,JAI384,"19.981613,73.207352",23250,365,136
1523297968,2018-04-09T18:19:28Z,JAI384,"19.972725,73.219131",23150,367,123
1523297974,2018-04-09T18:19:34Z,JAI384,"19.968023,73.229073",23050,367,114
1523297981,2018-04-09T18:19:41Z,JAI384,"19.965134,73.239128",22975,369,104
1523298008,2018-04-09T18:20:08Z,JAI384,"19.972958,73.287651",22575,365,61
1523298014,2018-04-09T18:20:14Z,JAI384,"19.977474,73.294838",22525,363,54
1523298020,2018-04-09T18:20:20Z,JAI384,"19.985413,73.304459",22425,361,46
1523298032,2018-04-09T18:20:32Z,JAI384,"20.001822,73.31691",22250,356,27
1523298040,2018-04-09T18:20:40Z,JAI384,"20.011086,73.321007",22150,354,19
