Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1523551598,2018-04-12T16:46:38Z,JAI384,"28.543411,77.019112",2275,233,229
1523551605,2018-04-12T16:46:45Z,JAI384,"28.537918,77.014214",2375,243,214
1523551611,2018-04-12T16:46:51Z,JAI384,"28.532272,77.011253",2475,251,202
1523551619,2018-04-12T16:46:59Z,JAI384,"28.524651,77.009422",2625,258,188
1523551625,2018-04-12T16:47:05Z,JAI384,"28.516937,77.009193",2725,267,178
1523551632,2018-04-12T16:47:12Z,JAI384,"28.505518,77.009583",2875,278,178
1523551639,2018-04-12T16:47:19Z,JAI384,"28.497574,77.009773",3050,282,179
1523551660,2018-04-12T16:47:40Z,JAI384,"28.4702,77.007454",3900,283,187
1523551667,2018-04-12T16:47:47Z,JAI384,"28.462736,77.006134",4150,284,189
1523551675,2018-04-12T16:47:55Z,JAI384,"28.451065,77.003807",4550,284,190
1523551684,2018-04-12T16:48:04Z,JAI384,"28.43866,77.00106",4925,287,191
1523551690,2018-04-12T16:48:10Z,JAI384,"28.430708,76.999245",5200,287,191
1523551702,2018-04-12T16:48:22Z,JAI384,"28.415207,76.995583",5675,290,191
1523551714,2018-04-12T16:48:34Z,JAI384,"28.3992,76.991821",6175,291,192
1523551725,2018-04-12T16:48:45Z,JAI384,"28.383738,76.988258",6375,297,191
1523551741,2018-04-12T16:49:01Z,JAI384,"28.362556,76.983574",6600,296,190
1523551753,2018-04-12T16:49:13Z,JAI384,"28.346403,76.980072",6750,295,190
1523551765,2018-04-12T16:49:25Z,JAI384,"28.330574,76.97641",6900,295,192
1523551776,2018-04-12T16:49:36Z,JAI384,"28.314651,76.970375",7025,293,201
1523551782,2018-04-12T16:49:42Z,JAI384,"28.307577,76.966766",7025,293,204
1523551793,2018-04-12T16:49:53Z,JAI384,"28.296965,76.959656",7025,292,214
1523551808,2018-04-12T16:50:08Z,JAI384,"28.280718,76.945656",7100,292,217
1523551832,2018-04-12T16:50:32Z,JAI384,"28.255159,76.922661",7250,291,218
1523551844,2018-04-12T16:50:44Z,JAI384,"28.243242,76.911835",7425,291,218
1523551856,2018-04-12T16:50:56Z,JAI384,"28.229277,76.899345",7825,293,218
1523551867,2018-04-12T16:51:07Z,JAI384,"28.216553,76.88829",8250,297,217
1523551880,2018-04-12T16:51:20Z,JAI384,"28.203115,76.876671",8850,295,217
1523551890,2018-04-12T16:51:30Z,JAI384,"28.190872,76.866112",9300,297,217
1523551904,2018-04-12T16:51:44Z,JAI384,"28.177048,76.854012",9850,296,218
1523551915,2018-04-12T16:51:55Z,JAI384,"28.16391,76.842285",10450,295,218
1523551928,2018-04-12T16:52:08Z,JAI384,"28.150314,76.830353",10650,311,217
1523551940,2018-04-12T16:52:20Z,JAI384,"28.136639,76.818451",10850,323,217
1523551951,2018-04-12T16:52:31Z,JAI384,"28.122162,76.805527",11150,331,218
1523551962,2018-04-12T16:52:42Z,JAI384,"28.109451,76.793945",11600,331,218
1523551976,2018-04-12T16:52:56Z,JAI384,"28.092911,76.779007",12200,333,217
1523552009,2018-04-12T16:53:29Z,JAI384,"28.05217,76.743835",13550,340,217
1523552038,2018-04-12T16:53:58Z,JAI384,"28.015091,76.71167",14650,347,217
1523552074,2018-04-12T16:54:34Z,JAI384,"27.971603,76.673218",15900,357,218
1523552105,2018-04-12T16:55:05Z,JAI384,"27.92734,76.634026",16575,382,217
1523552136,2018-04-12T16:55:36Z,JAI384,"27.884232,76.596313",17525,392,217
1523552168,2018-04-12T16:56:08Z,JAI384,"27.835693,76.553665",18700,399,217
1523552236,2018-04-12T16:57:16Z,JAI384,"27.734528,76.472931",20975,407,213
1523552293,2018-04-12T16:58:13Z,JAI384,"27.641006,76.402504",22400,419,213
1523552358,2018-04-12T16:59:18Z,JAI384,"27.535509,76.323181",23475,425,213
