Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1523725501,2018-04-14T17:05:01Z,JAI384,"28.54155,77.020782",2425,231,219
1523725508,2018-04-14T17:05:08Z,JAI384,"28.535248,77.01712",2550,241,201
1523725518,2018-04-14T17:05:18Z,JAI384,"28.525223,77.014526",2750,250,188
1523725526,2018-04-14T17:05:26Z,JAI384,"28.514177,77.01416",2900,263,179
1523725547,2018-04-14T17:05:47Z,JAI384,"28.488968,77.012947",3350,281,184
1523725558,2018-04-14T17:05:58Z,JAI384,"28.471527,77.010406",3900,283,188
1523725565,2018-04-14T17:06:05Z,JAI384,"28.463993,77.008987",4150,283,189
1523725571,2018-04-14T17:06:11Z,JAI384,"28.45594,77.007324",4400,284,190
1523725577,2018-04-14T17:06:17Z,JAI384,"28.448685,77.0056",4625,285,191
1523725583,2018-04-14T17:06:23Z,JAI384,"28.440624,77.003716",4850,287,192
1523725591,2018-04-14T17:06:31Z,JAI384,"28.432526,77.001694",5100,288,192
1523725601,2018-04-14T17:06:41Z,JAI384,"28.417068,76.997948",5600,289,192
1523725617,2018-04-14T17:06:57Z,JAI384,"28.397144,76.992996",6300,287,192
1523725629,2018-04-14T17:07:09Z,JAI384,"28.381256,76.98912",6850,287,192
1523725640,2018-04-14T17:07:20Z,JAI384,"28.365875,76.985481",7350,288,191
1523725652,2018-04-14T17:07:32Z,JAI384,"28.349894,76.981689",7875,287,191
1523725666,2018-04-14T17:07:46Z,JAI384,"28.33416,76.978027",8350,288,192
1523725677,2018-04-14T17:07:57Z,JAI384,"28.318817,76.972542",8875,285,200
1523725683,2018-04-14T17:08:03Z,JAI384,"28.311954,76.969299",9075,285,203
1523725690,2018-04-14T17:08:10Z,JAI384,"28.304459,76.965149",9325,285,207
1523725697,2018-04-14T17:08:17Z,JAI384,"28.294031,76.959015",9675,286,207
1523725712,2018-04-14T17:08:32Z,JAI384,"28.275787,76.948402",10225,291,207
1523725724,2018-04-14T17:08:44Z,JAI384,"28.261118,76.939896",10425,303,207
1523725736,2018-04-14T17:08:56Z,JAI384,"28.246502,76.931442",10625,316,207
1523725748,2018-04-14T17:09:08Z,JAI384,"28.229095,76.921463",10850,329,206
1523725760,2018-04-14T17:09:20Z,JAI384,"28.212708,76.912064",11025,340,206
1523725773,2018-04-14T17:09:33Z,JAI384,"28.194992,76.902023",11250,351,206
1523725785,2018-04-14T17:09:45Z,JAI384,"28.17746,76.892044",11650,356,206
1523725797,2018-04-14T17:09:57Z,JAI384,"28.159636,76.88195",12125,360,206
1523725827,2018-04-14T17:10:27Z,JAI384,"28.11438,76.856285",13325,367,206
1523725858,2018-04-14T17:10:58Z,JAI384,"28.066811,76.829063",14825,366,206
1523725890,2018-04-14T17:11:30Z,JAI384,"28.018204,76.80146",16200,373,206
1523725922,2018-04-14T17:12:02Z,JAI384,"27.965698,76.771492",17275,387,206
1523725957,2018-04-14T17:12:37Z,JAI384,"27.911837,76.740982",18425,396,206
1523726019,2018-04-14T17:13:39Z,JAI384,"27.805984,76.680992",20400,414,206
1523726084,2018-04-14T17:14:44Z,JAI384,"27.696114,76.618813",22475,423,206
1523726145,2018-04-14T17:15:45Z,JAI384,"27.585041,76.556061",24675,424,206
1523726206,2018-04-14T17:16:46Z,JAI384,"27.479599,76.496613",26375,428,206
1523726270,2018-04-14T17:17:50Z,JAI384,"27.366028,76.432922",27950,435,206
1523726332,2018-04-14T17:18:52Z,JAI384,"27.250259,76.367935",28850,451,206
1523726396,2018-04-14T17:19:56Z,JAI384,"27.132227,76.301949",29875,461,206
1523726459,2018-04-14T17:20:59Z,JAI384,"27.010679,76.234291",31375,456,206
1523726522,2018-04-14T17:22:02Z,JAI384,"26.891235,76.167282",31900,471,206
1523726582,2018-04-14T17:23:02Z,JAI384,"26.771576,76.101257",32975,469,206
1523726647,2018-04-14T17:24:07Z,JAI384,"26.649261,76.033577",34000,446,206
1523726705,2018-04-14T17:25:05Z,JAI384,"26.538919,75.972046",33975,446,206
1523726768,2018-04-14T17:26:08Z,JAI384,"26.421421,75.907181",34000,449,206
1523726834,2018-04-14T17:27:14Z,JAI384,"26.303146,75.842201",34000,448,206
1523726897,2018-04-14T17:28:17Z,JAI384,"26.186007,75.777878",33975,444,206
1523726959,2018-04-14T17:29:19Z,JAI384,"26.071394,75.71492",34000,444,206
1523727020,2018-04-14T17:30:20Z,JAI384,"25.955666,75.651695",34000,444,206
1523727050,2018-04-14T17:30:50Z,JAI384,"25.902504,75.622696",34000,445,206
1523727099,2018-04-14T17:31:39Z,JAI384,"25.809814,75.572258",34000,446,206
1523727191,2018-04-14T17:33:11Z,JAI384,"25.637808,75.478714",34000,446,206
1523727251,2018-04-14T17:34:11Z,JAI384,"25.524719,75.417328",34000,445,206
1523727313,2018-04-14T17:35:13Z,JAI384,"25.412064,75.356392",33975,447,206
1523727373,2018-04-14T17:36:13Z,JAI384,"25.297852,75.2948",34000,447,206
1523727434,2018-04-14T17:37:14Z,JAI384,"25.184875,75.233864",34000,443,206
1523727497,2018-04-14T17:38:17Z,JAI384,"25.072311,75.173241",34000,442,206
1523727560,2018-04-14T17:39:20Z,JAI384,"24.954746,75.110207",34000,442,206
1523727622,2018-04-14T17:40:22Z,JAI384,"24.84169,75.049644",34000,440,206
1523727684,2018-04-14T17:41:24Z,JAI384,"24.724686,74.987076",34000,441,206
1523727747,2018-04-14T17:42:27Z,JAI384,"24.61161,74.926865",34000,444,205
