Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1523810121,2018-04-15T16:35:21Z,JAI384,"28.543924,77.021431",2550,215,217
1523810131,2018-04-15T16:35:31Z,JAI384,"28.535339,77.017227",2700,225,195
1523810139,2018-04-15T16:35:39Z,JAI384,"28.526047,77.01606",2800,238,181
1523810160,2018-04-15T16:36:00Z,JAI384,"28.501236,77.016434",2800,262,182
1523810166,2018-04-15T16:36:06Z,JAI384,"28.493788,77.015617",2775,266,186
1523810172,2018-04-15T16:36:12Z,JAI384,"28.485966,77.014427",2775,269,188
1523810187,2018-04-15T16:36:27Z,JAI384,"28.468048,77.010567",2775,271,191
1523810199,2018-04-15T16:36:39Z,JAI384,"28.453146,77.006889",2750,271,192
1523810211,2018-04-15T16:36:51Z,JAI384,"28.438065,77.003067",2750,270,192
1523810217,2018-04-15T16:36:57Z,JAI384,"28.430708,77.001183",2750,270,192
1523810226,2018-04-15T16:37:06Z,JAI384,"28.419769,76.998489",2775,270,192
1523810233,2018-04-15T16:37:13Z,JAI384,"28.413019,76.996819",2775,271,192
1523810239,2018-04-15T16:37:19Z,JAI384,"28.405897,76.995094",2875,270,191
1523810253,2018-04-15T16:37:33Z,JAI384,"28.386383,76.990448",3300,276,192
1523810268,2018-04-15T16:37:48Z,JAI384,"28.367769,76.983353",3950,274,202
1523810274,2018-04-15T16:37:54Z,JAI384,"28.360977,76.979721",4200,274,206
1523810280,2018-04-15T16:38:00Z,JAI384,"28.354269,76.975815",4425,275,207
1523810289,2018-04-15T16:38:09Z,JAI384,"28.343842,76.969727",4775,278,207
1523810295,2018-04-15T16:38:15Z,JAI384,"28.337402,76.965988",4975,279,207
1523810302,2018-04-15T16:38:22Z,JAI384,"28.329575,76.961708",5225,280,204
1523810310,2018-04-15T16:38:30Z,JAI384,"28.318705,76.957504",5575,282,196
1523810316,2018-04-15T16:38:36Z,JAI384,"28.311264,76.955162",5825,282,195
1523810323,2018-04-15T16:38:43Z,JAI384,"28.303162,76.952629",6100,283,195
1523810340,2018-04-15T16:39:00Z,JAI384,"28.280914,76.945602",6875,282,195
1523810354,2018-04-15T16:39:14Z,JAI384,"28.265448,76.941025",7450,279,194
1523810364,2018-04-15T16:39:24Z,JAI384,"28.250086,76.936768",7975,279,193
1523810376,2018-04-15T16:39:36Z,JAI384,"28.235001,76.932869",8450,281,193
1523810388,2018-04-15T16:39:48Z,JAI384,"28.219873,76.928963",8925,281,193
1523810402,2018-04-15T16:40:02Z,JAI384,"28.205017,76.925003",9400,282,193
1523810412,2018-04-15T16:40:12Z,JAI384,"28.189754,76.92099",9875,284,193
1523810421,2018-04-15T16:40:21Z,JAI384,"28.177557,76.917816",10250,284,193
1523810434,2018-04-15T16:40:34Z,JAI384,"28.162334,76.913773",10475,295,193
1523810449,2018-04-15T16:40:49Z,JAI384,"28.141251,76.908096",10750,310,193
1523810461,2018-04-15T16:41:01Z,JAI384,"28.12393,76.903381",10950,322,193
1523810472,2018-04-15T16:41:12Z,JAI384,"28.105774,76.898483",11150,334,193
1523810485,2018-04-15T16:41:25Z,JAI384,"28.087418,76.893578",11325,346,193
1523810496,2018-04-15T16:41:36Z,JAI384,"28.068624,76.888466",11650,352,193
1523810509,2018-04-15T16:41:49Z,JAI384,"28.048655,76.88308",12125,355,193
1523810549,2018-04-15T16:42:29Z,JAI384,"27.984879,76.867027",13625,364,192
1523810574,2018-04-15T16:42:54Z,JAI384,"27.94219,76.853943",14625,367,202
1523810581,2018-04-15T16:43:01Z,JAI384,"27.931137,76.84874",14925,369,203
1523810589,2018-04-15T16:43:09Z,JAI384,"27.922173,76.844238",15125,371,204
1523810596,2018-04-15T16:43:16Z,JAI384,"27.907787,76.836159",15450,373,207
1523810632,2018-04-15T16:43:52Z,JAI384,"27.851349,76.803246",16800,384,207
1523810665,2018-04-15T16:44:25Z,JAI384,"27.798615,76.772049",17950,395,207
1523810696,2018-04-15T16:44:56Z,JAI384,"27.74881,76.742661",19025,401,207
1523810757,2018-04-15T16:45:57Z,JAI384,"27.645447,76.681458",21125,415,208
1523810822,2018-04-15T16:47:02Z,JAI384,"27.533432,76.61451",23125,429,208
1523810886,2018-04-15T16:48:06Z,JAI384,"27.421463,76.547867",25150,434,207
1523810948,2018-04-15T16:49:08Z,JAI384,"27.307775,76.48053",26750,443,207
1523811008,2018-04-15T16:50:08Z,JAI384,"27.198669,76.416237",28500,439,207
1523811072,2018-04-15T16:51:12Z,JAI384,"27.088028,76.350937",30850,420,208
1523811133,2018-04-15T16:52:13Z,JAI384,"26.983074,76.288902",31800,429,207
1523811195,2018-04-15T16:53:15Z,JAI384,"26.873163,76.224571",33575,415,207
1523811259,2018-04-15T16:54:19Z,JAI384,"26.76622,76.161736",34950,403,207
1523811322,2018-04-15T16:55:22Z,JAI384,"26.663177,76.101418",35950,396,207
1523811383,2018-04-15T16:56:23Z,JAI384,"26.56366,76.043892",36025,406,207
1523811406,2018-04-15T16:56:46Z,JAI384,"26.524933,76.021194",36025,410,207
1523811497,2018-04-15T16:58:17Z,JAI384,"26.370819,75.93174",36000,415,207
1523811560,2018-04-15T16:59:20Z,JAI384,"26.264585,75.870102",36000,417,207
1523811624,2018-04-15T17:00:24Z,JAI384,"26.155518,75.80706",36000,418,207
1523811686,2018-04-15T17:01:26Z,JAI384,"26.047348,75.74472",36025,420,207
1523811748,2018-04-15T17:02:28Z,JAI384,"25.94063,75.682808",36025,419,208
1523811809,2018-04-15T17:03:29Z,JAI384,"25.834816,75.62159",36000,420,207
1523811871,2018-04-15T17:04:31Z,JAI384,"25.725512,75.559402",36000,419,207
1523811892,2018-04-15T17:04:52Z,JAI384,"25.689102,75.538536",36000,419,207
1523811985,2018-04-15T17:06:25Z,JAI384,"25.529846,75.447639",36025,417,207
1523812045,2018-04-15T17:07:25Z,JAI384,"25.425856,75.38829",36025,416,207
1523812106,2018-04-15T17:08:26Z,JAI384,"25.321764,75.32885",36000,417,207
1523812169,2018-04-15T17:09:29Z,JAI384,"25.211792,75.266472",36025,416,207
1523812233,2018-04-15T17:10:33Z,JAI384,"25.102083,75.204216",36025,418,207
1523812294,2018-04-15T17:11:34Z,JAI384,"24.99655,75.144722",36025,421,207
1523812358,2018-04-15T17:12:38Z,JAI384,"24.887009,75.082802",36025,423,207
1523812421,2018-04-15T17:13:41Z,JAI384,"24.775846,75.020195",36025,423,207
1523812485,2018-04-15T17:14:45Z,JAI384,"24.664856,74.95768",36025,423,207
1523812546,2018-04-15T17:15:46Z,JAI384,"24.556957,74.90007",36025,429,200
1523812610,2018-04-15T17:16:50Z,JAI384,"24.437923,74.852188",36025,428,200
1523812673,2018-04-15T17:17:53Z,JAI384,"24.320068,74.804787",36025,427,200
1523812737,2018-04-15T17:18:57Z,JAI384,"24.201508,74.757332",36025,426,200
1523812798,2018-04-15T17:19:58Z,JAI384,"24.089447,74.712524",36025,425,200
1523812858,2018-04-15T17:20:58Z,JAI384,"23.97566,74.667023",36025,426,200
1523812922,2018-04-15T17:22:02Z,JAI384,"23.857603,74.619606",36025,427,200
1523812983,2018-04-15T17:23:03Z,JAI384,"23.745785,74.574989",36025,428,200
1523813043,2018-04-15T17:24:03Z,JAI384,"23.630997,74.529114",36025,429,200
1523813107,2018-04-15T17:25:07Z,JAI384,"23.512161,74.481865",36025,430,200
1523813169,2018-04-15T17:26:09Z,JAI384,"23.397108,74.436089",36025,430,200
1523813229,2018-04-15T17:27:09Z,JAI384,"23.283102,74.390816",36025,432,200
1523813289,2018-04-15T17:28:09Z,JAI384,"23.168701,74.345528",36025,434,200
1523813350,2018-04-15T17:29:10Z,JAI384,"23.053181,74.299873",36025,434,200
1523813414,2018-04-15T17:30:14Z,JAI384,"22.932266,74.252251",36025,435,200
1523813475,2018-04-15T17:31:15Z,JAI384,"22.817596,74.207001",36025,434,200
1523813539,2018-04-15T17:32:19Z,JAI384,"22.696171,74.159241",36025,434,200
1523813599,2018-04-15T17:33:19Z,JAI384,"22.582258,74.114586",36025,434,199
1523813662,2018-04-15T17:34:22Z,JAI384,"22.464798,74.068527",36025,434,200
1523813726,2018-04-15T17:35:26Z,JAI384,"22.345819,74.021912",36025,434,199
1523813789,2018-04-15T17:36:29Z,JAI384,"22.224609,73.974846",36025,436,199
1523813848,2018-04-15T17:37:28Z,JAI384,"22.109802,73.930046",36025,438,200
1523813913,2018-04-15T17:38:33Z,JAI384,"21.988495,73.882904",36025,439,199
1523813977,2018-04-15T17:39:37Z,JAI384,"21.867821,73.836006",36000,439,199
1523814035,2018-04-15T17:40:35Z,JAI384,"21.751831,73.79097",36025,440,199
1523814366,2018-04-15T17:46:06Z,JAI384,"21.115629,73.548225",36025,449,197
1523814425,2018-04-15T17:47:05Z,JAI384,"20.995012,73.50782",36000,444,197
1523814489,2018-04-15T17:48:09Z,JAI384,"20.873697,73.466972",34075,428,197
1523814550,2018-04-15T17:49:10Z,JAI384,"20.761414,73.429329",32075,417,197
1523814613,2018-04-15T17:50:13Z,JAI384,"20.646477,73.390816",30050,403,197
1523814676,2018-04-15T17:51:16Z,JAI384,"20.537172,73.354416",28850,368,197
1523814735,2018-04-15T17:52:15Z,JAI384,"20.438965,73.321869",27525,368,196
1523814801,2018-04-15T17:53:21Z,JAI384,"20.335648,73.287651",26950,366,197
1523814859,2018-04-15T17:54:19Z,JAI384,"20.23826,73.255035",26425,364,197
1523814922,2018-04-15T17:55:22Z,JAI384,"20.136356,73.222832",25925,361,196
1523814988,2018-04-15T17:56:28Z,JAI384,"20.034174,73.193718",25175,359,186
1523814996,2018-04-15T17:56:36Z,JAI384,"20.019697,73.192314",25075,359,184
1523815057,2018-04-15T17:57:37Z,JAI384,"19.916491,73.193916",25025,369,156
1523815064,2018-04-15T17:57:44Z,JAI384,"19.906389,73.201057",25025,375,142
1523815071,2018-04-15T17:57:51Z,JAI384,"19.898438,73.209015",25025,379,132
1523815078,2018-04-15T17:57:58Z,JAI384,"19.892376,73.217735",25000,382,123
1523815086,2018-04-15T17:58:06Z,JAI384,"19.885391,73.233536",24925,384,109
