Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1524243100,2018-04-20T16:51:40Z,JAI384,"28.544312,77.012047",2800,216,222
1524243145,2018-04-20T16:52:25Z,JAI384,"28.494553,77.018646",3475,268,165
1524243159,2018-04-20T16:52:39Z,JAI384,"28.480333,77.01944",3950,258,188
1524243165,2018-04-20T16:52:45Z,JAI384,"28.473396,77.017822",4275,253,193
1524243176,2018-04-20T16:52:56Z,JAI384,"28.459625,77.01326",4950,244,197
1524243187,2018-04-20T16:53:07Z,JAI384,"28.449738,77.009674",5400,242,197
1524243206,2018-04-20T16:53:26Z,JAI384,"28.427353,77.002274",6275,242,195
1524243220,2018-04-20T16:53:40Z,JAI384,"28.414444,76.997681",6750,242,201
1524243226,2018-04-20T16:53:46Z,JAI384,"28.405338,76.992729",7100,242,207
1524243233,2018-04-20T16:53:53Z,JAI384,"28.399006,76.989067",7350,242,207
1524243242,2018-04-20T16:54:02Z,JAI384,"28.390068,76.983841",7700,244,207
1524243254,2018-04-20T16:54:14Z,JAI384,"28.377686,76.976677",8125,248,207
1524243267,2018-04-20T16:54:27Z,JAI384,"28.36528,76.969582",8500,254,206
1524243279,2018-04-20T16:54:39Z,JAI384,"28.352325,76.962189",8900,259,206
1524243291,2018-04-20T16:54:51Z,JAI384,"28.339188,76.954689",9250,267,206
1524243302,2018-04-20T16:55:02Z,JAI384,"28.326105,76.947273",9650,271,206
1524243315,2018-04-20T16:55:15Z,JAI384,"28.312094,76.939354",10175,273,206
1524243328,2018-04-20T16:55:28Z,JAI384,"28.298355,76.931602",10700,273,206
1524243339,2018-04-20T16:55:39Z,JAI384,"28.284943,76.924049",11200,274,206
1524243353,2018-04-20T16:55:53Z,JAI384,"28.270941,76.916092",11725,276,206
1524243365,2018-04-20T16:56:05Z,JAI384,"28.253815,76.906357",12275,280,206
1524243395,2018-04-20T16:56:35Z,JAI384,"28.218895,76.886307",13525,284,206
1524243428,2018-04-20T16:57:08Z,JAI384,"28.179657,76.864471",14650,293,206
1524243463,2018-04-20T16:57:43Z,JAI384,"28.137177,76.840759",15600,312,206
1524243492,2018-04-20T16:58:12Z,JAI384,"28.096893,76.818146",16675,325,206
1524243527,2018-04-20T16:58:47Z,JAI384,"28.051666,76.792587",17650,342,206
1524243560,2018-04-20T16:59:20Z,JAI384,"28.002777,76.765121",18775,353,206
1524243623,2018-04-20T17:00:23Z,JAI384,"27.910162,76.713516",21250,357,206
1524244007,2018-04-20T17:06:47Z,JAI384,"27.287064,76.367058",30725,408,206
1524244070,2018-04-20T17:07:50Z,JAI384,"27.178253,76.307152",31600,412,206
1524244133,2018-04-20T17:08:53Z,JAI384,"27.069614,76.247444",32400,415,206
1524244197,2018-04-20T17:09:57Z,JAI384,"26.960358,76.188942",33525,411,206
1524244261,2018-04-20T17:11:01Z,JAI384,"26.851593,76.128151",33975,408,206
1524244322,2018-04-20T17:12:02Z,JAI384,"26.749708,76.071663",33975,405,206
1524244385,2018-04-20T17:13:05Z,JAI384,"26.64212,76.012794",34000,408,206
1524244449,2018-04-20T17:14:09Z,JAI384,"26.5331,75.95356",34000,415,206
1524244512,2018-04-20T17:15:12Z,JAI384,"26.42276,75.893661",34000,415,206
