Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1524416611,2018-04-22T17:03:31Z,JAI384,"28.549347,77.050339",1925,186,277
1524416635,2018-04-22T17:03:55Z,JAI384,"28.540945,77.027245",2450,226,225
1524416643,2018-04-22T17:04:03Z,JAI384,"28.536102,77.022079",2575,234,221
1524416650,2018-04-22T17:04:10Z,JAI384,"28.528049,77.015289",2750,247,213
1524416656,2018-04-22T17:04:16Z,JAI384,"28.521997,77.011253",2925,254,209
1524416674,2018-04-22T17:04:34Z,JAI384,"28.502771,76.998436",3350,272,211
1524416685,2018-04-22T17:04:45Z,JAI384,"28.490156,76.989708",3800,275,211
1524416695,2018-04-22T17:04:55Z,JAI384,"28.480179,76.982788",4250,274,211
1524416701,2018-04-22T17:05:01Z,JAI384,"28.47345,76.978134",4550,274,211
1524416707,2018-04-22T17:05:07Z,JAI384,"28.467485,76.974037",4775,272,211
1524416720,2018-04-22T17:05:20Z,JAI384,"28.454315,76.964989",5250,274,211
1524416733,2018-04-22T17:05:33Z,JAI384,"28.440718,76.955727",5750,274,210
1524416743,2018-04-22T17:05:43Z,JAI384,"28.428055,76.947166",6225,274,210
1524416761,2018-04-22T17:06:01Z,JAI384,"28.407711,76.933273",6950,276,211
1524416773,2018-04-22T17:06:13Z,JAI384,"28.395493,76.925003",7325,280,210
1524416785,2018-04-22T17:06:25Z,JAI384,"28.381224,76.915283",7750,284,211
1524416796,2018-04-22T17:06:36Z,JAI384,"28.367386,76.905937",8025,288,210
1524416810,2018-04-22T17:06:50Z,JAI384,"28.35379,76.896744",8200,290,211
1524416820,2018-04-22T17:07:00Z,JAI384,"28.339645,76.887077",8375,292,211
1524416833,2018-04-22T17:07:13Z,JAI384,"28.325966,76.8778",8550,295,211
1524416844,2018-04-22T17:07:24Z,JAI384,"28.312408,76.868591",8750,302,211
1524416858,2018-04-22T17:07:38Z,JAI384,"28.296341,76.857605",9325,302,211
1524416870,2018-04-22T17:07:50Z,JAI384,"28.282114,76.847961",9925,298,210
1524416881,2018-04-22T17:08:01Z,JAI384,"28.268646,76.838799",10475,297,211
1524416895,2018-04-22T17:08:15Z,JAI384,"28.253082,76.828239",10675,312,210
1524416906,2018-04-22T17:08:26Z,JAI384,"28.240082,76.819473",10875,321,210
1524416917,2018-04-22T17:08:37Z,JAI384,"28.223877,76.808487",11075,333,210
1524416929,2018-04-22T17:08:49Z,JAI384,"28.207764,76.7976",11275,344,210
1524416940,2018-04-22T17:09:00Z,JAI384,"28.191101,76.786354",11475,356,210
1524416952,2018-04-22T17:09:12Z,JAI384,"28.173834,76.774719",11750,364,210
1524416965,2018-04-22T17:09:25Z,JAI384,"28.156191,76.762878",12250,365,210
1524416997,2018-04-22T17:09:57Z,JAI384,"28.10745,76.729858",13600,371,211
1524417034,2018-04-22T17:10:34Z,JAI384,"28.053589,76.693237",14900,382,211
1524417063,2018-04-22T17:11:03Z,JAI384,"28.007317,76.662109",16150,387,210
1524417097,2018-04-22T17:11:37Z,JAI384,"27.955597,76.627213",17525,391,210
1524417130,2018-04-22T17:12:10Z,JAI384,"27.903971,76.592346",18800,396,210
1524417192,2018-04-22T17:13:12Z,JAI384,"27.801682,76.523453",20475,424,211
1524417257,2018-04-22T17:14:17Z,JAI384,"27.693367,76.442291",21850,450,213
1524417319,2018-04-22T17:15:19Z,JAI384,"27.58255,76.359024",23475,464,213
1524417383,2018-04-22T17:16:23Z,JAI384,"27.465727,76.275009",24675,481,211
1524417446,2018-04-22T17:17:26Z,JAI384,"27.338175,76.204872",26675,474,202
1524417506,2018-04-22T17:18:26Z,JAI384,"27.219885,76.147774",28175,459,203
1524417576,2018-04-22T17:19:36Z,JAI384,"27.083908,76.082237",30150,448,203
1524417636,2018-04-22T17:20:36Z,JAI384,"26.977116,76.032837",32975,405,202
1524417699,2018-04-22T17:21:39Z,JAI384,"26.867981,75.981239",34000,400,203
1524417764,2018-04-22T17:22:44Z,JAI384,"26.758366,75.928307",34000,411,203
1524417825,2018-04-22T17:23:45Z,JAI384,"26.650085,75.876656",34000,412,203
1524417851,2018-04-22T17:24:11Z,JAI384,"26.60582,75.855621",34000,411,203
1524417940,2018-04-22T17:25:40Z,JAI384,"26.45396,75.783005",33975,403,203
1524418002,2018-04-22T17:26:42Z,JAI384,"26.344254,75.730782",34000,402,202
1524418058,2018-04-22T17:27:38Z,JAI384,"26.248898,75.686295",34000,403,202
1524418180,2018-04-22T17:29:40Z,JAI384,"26.037271,75.586357",34000,405,203
1524418245,2018-04-22T17:30:45Z,JAI384,"25.924568,75.533485",34000,407,202
1524418307,2018-04-22T17:31:47Z,JAI384,"25.8181,75.48365",34000,408,202
1524418368,2018-04-22T17:32:48Z,JAI384,"25.712265,75.433655",34000,409,203
1524418431,2018-04-22T17:33:51Z,JAI384,"25.601212,75.381676",34000,408,202
1524418495,2018-04-22T17:34:55Z,JAI384,"25.491167,75.330658",33975,407,202
1524418556,2018-04-22T17:35:56Z,JAI384,"25.380386,75.278877",34000,407,202
1524418619,2018-04-22T17:36:59Z,JAI384,"25.274607,75.229973",34000,410,202
1524418683,2018-04-22T17:38:03Z,JAI384,"25.1633,75.178566",34000,411,202
1524418744,2018-04-22T17:39:04Z,JAI384,"25.056835,75.129074",34000,413,202
1524418803,2018-04-22T17:40:03Z,JAI384,"24.95009,75.079895",34000,414,202
1524418868,2018-04-22T17:41:08Z,JAI384,"24.837154,75.027756",34000,416,202
1524418928,2018-04-22T17:42:08Z,JAI384,"24.728897,74.978127",33975,417,202
1524418991,2018-04-22T17:43:11Z,JAI384,"24.614357,74.925255",34000,417,202
1524419051,2018-04-22T17:44:11Z,JAI384,"24.505657,74.879135",34000,417,200
1524419115,2018-04-22T17:45:15Z,JAI384,"24.389648,74.833168",34000,417,199
1524419176,2018-04-22T17:46:16Z,JAI384,"24.279785,74.789017",34000,417,200
1524419238,2018-04-22T17:47:18Z,JAI384,"24.164841,74.742584",33975,417,200
1524419299,2018-04-22T17:48:19Z,JAI384,"24.054752,74.698685",34150,421,200
1524419363,2018-04-22T17:49:23Z,JAI384,"23.938231,74.652252",34900,425,200
1524419425,2018-04-22T17:50:25Z,JAI384,"23.821106,74.605301",35575,428,200
1524419486,2018-04-22T17:51:26Z,JAI384,"23.706913,74.559547",36000,428,200
1524419550,2018-04-22T17:52:30Z,JAI384,"23.588949,74.51239",36000,430,200
1524419610,2018-04-22T17:53:30Z,JAI384,"23.475906,74.46743",36000,429,200
1524419673,2018-04-22T17:54:33Z,JAI384,"23.357399,74.420113",36000,428,200
1524419739,2018-04-22T17:55:39Z,JAI384,"23.238602,74.373199",36000,428,200
1524419801,2018-04-22T17:56:41Z,JAI384,"23.120169,74.326378",36000,428,200
1524419864,2018-04-22T17:57:44Z,JAI384,"23.002258,74.279816",36000,428,200
1524419927,2018-04-22T17:58:47Z,JAI384,"22.883543,74.232635",36000,428,200
1524419991,2018-04-22T17:59:51Z,JAI384,"22.765022,74.18615",36000,431,199
1524420054,2018-04-22T18:00:54Z,JAI384,"22.645708,74.139351",35975,434,199
1524420116,2018-04-22T18:01:56Z,JAI384,"22.524532,74.091949",36000,435,199
1524420181,2018-04-22T18:03:01Z,JAI384,"22.404648,74.045403",36000,437,199
1524420241,2018-04-22T18:04:01Z,JAI384,"22.289429,74.000664",35975,438,200
1524420306,2018-04-22T18:05:06Z,JAI384,"22.168455,73.953094",36000,437,200
1524420368,2018-04-22T18:06:08Z,JAI384,"22.047325,73.90564",36000,436,199
1524420429,2018-04-22T18:07:09Z,JAI384,"21.932556,73.861336",35975,435,199
1524420492,2018-04-22T18:08:12Z,JAI384,"21.81221,73.814545",36000,434,199
1524420552,2018-04-22T18:09:12Z,JAI384,"21.697998,73.770294",36000,435,199
1524420614,2018-04-22T18:10:14Z,JAI384,"21.57687,73.72345",36000,436,200
1524420679,2018-04-22T18:11:19Z,JAI384,"21.456482,73.677063",36000,439,199
1524420743,2018-04-22T18:12:23Z,JAI384,"21.334946,73.630272",36000,441,199
1524420805,2018-04-22T18:13:25Z,JAI384,"21.21446,73.583931",36000,442,199
1524420865,2018-04-22T18:14:25Z,JAI384,"21.095581,73.54158",35700,444,197
1524420930,2018-04-22T18:15:30Z,JAI384,"20.97048,73.499733",34675,451,197
1524420993,2018-04-22T18:16:33Z,JAI384,"20.844635,73.457336",33150,444,197
1524421054,2018-04-22T18:17:34Z,JAI384,"20.725895,73.417336",30875,427,197
1524421117,2018-04-22T18:18:37Z,JAI384,"20.611771,73.379402",29825,385,197
1524421180,2018-04-22T18:19:40Z,JAI384,"20.508728,73.345024",28675,353,197
1524421244,2018-04-22T18:20:44Z,JAI384,"20.408083,73.311516",26575,356,197
1524421305,2018-04-22T18:21:45Z,JAI384,"20.317154,73.281456",25600,326,197
1524421365,2018-04-22T18:22:45Z,JAI384,"20.231649,73.252991",24200,314,196
1524421409,2018-04-22T18:23:29Z,JAI384,"20.173599,73.234863",23400,304,196
1524421495,2018-04-22T18:24:55Z,JAI384,"20.058975,73.198669",22000,297,196
1524421536,2018-04-22T18:25:36Z,JAI384,"20.001215,73.198006",21350,323,152
1524421544,2018-04-22T18:25:44Z,JAI384,"19.989391,73.207001",21225,330,138
1524421551,2018-04-22T18:25:51Z,JAI384,"19.983152,73.213791",21150,332,133
1524421557,2018-04-22T18:25:57Z,JAI384,"19.977722,73.221573",21075,336,124
1524421565,2018-04-22T18:26:05Z,JAI384,"19.971359,73.235062",20950,340,112
1524421572,2018-04-22T18:26:12Z,JAI384,"19.968567,73.245361",20875,343,102
1524421579,2018-04-22T18:26:19Z,JAI384,"19.967373,73.254089",20825,344,95
1524421603,2018-04-22T18:26:43Z,JAI384,"19.975891,73.293671",20525,340,61
1524421610,2018-04-22T18:26:50Z,JAI384,"19.98185,73.302727",20425,334,51
1524421617,2018-04-22T18:26:57Z,JAI384,"19.991501,73.312653",20325,328,39
1524421626,2018-04-22T18:27:06Z,JAI384,"20.003128,73.320305",20200,323,27
1524421637,2018-04-22T18:27:17Z,JAI384,"20.015646,73.325104",20075,318,16
1524421644,2018-04-22T18:27:24Z,JAI384,"20.0291,73.328499",19950,316,12
1524421652,2018-04-22T18:27:32Z,JAI384,"20.039658,73.331139",19850,316,13
1524421658,2018-04-22T18:27:38Z,JAI384,"20.049728,73.333786",19750,314,13
1524421720,2018-04-22T18:28:40Z,JAI384,"20.133133,73.355858",18975,300,13
