Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1524501475,2018-04-23T16:37:55Z,JAI384,"28.542984,77.02356",2325,227,222
1524501485,2018-04-23T16:38:05Z,JAI384,"28.534424,77.018333",2500,241,202
1524501493,2018-04-23T16:38:13Z,JAI384,"28.523621,77.01548",2775,250,189
1524501500,2018-04-23T16:38:20Z,JAI384,"28.516296,77.014847",2875,259,183
1524501506,2018-04-23T16:38:26Z,JAI384,"28.508514,77.014374",2975,267,183
1524501512,2018-04-23T16:38:32Z,JAI384,"28.500961,77.013794",3100,274,183
1524501523,2018-04-23T16:38:43Z,JAI384,"28.485548,77.012115",3425,282,186
1524501533,2018-04-23T16:38:53Z,JAI384,"28.473816,77.010071",3850,279,189
1524501543,2018-04-23T16:39:03Z,JAI384,"28.46228,77.00766",4225,282,190
1524501554,2018-04-23T16:39:14Z,JAI384,"28.447037,77.004181",4650,284,191
1524501560,2018-04-23T16:39:20Z,JAI384,"28.438705,77.00222",4925,287,191
1524501577,2018-04-23T16:39:37Z,JAI384,"28.415579,76.996712",5675,289,191
1524501590,2018-04-23T16:39:50Z,JAI384,"28.399752,76.99305",6175,290,191
1524501600,2018-04-23T16:40:00Z,JAI384,"28.384323,76.989494",6625,293,191
1524501614,2018-04-23T16:40:14Z,JAI384,"28.367678,76.985725",7125,296,191
1524501625,2018-04-23T16:40:25Z,JAI384,"28.350872,76.981903",7650,297,191
1524501639,2018-04-23T16:40:39Z,JAI384,"28.334532,76.978241",8150,300,191
1524501650,2018-04-23T16:40:50Z,JAI384,"28.318268,76.973228",8650,300,200
1524501657,2018-04-23T16:40:57Z,JAI384,"28.310577,76.969475",8925,299,205
1524501666,2018-04-23T16:41:06Z,JAI384,"28.29982,76.962608",9250,300,212
1524501677,2018-04-23T16:41:17Z,JAI384,"28.287552,76.952148",9750,298,218
1524501688,2018-04-23T16:41:28Z,JAI384,"28.275192,76.941216",10250,299,217
1524501698,2018-04-23T16:41:38Z,JAI384,"28.263062,76.930443",10550,306,218
1524501712,2018-04-23T16:41:52Z,JAI384,"28.247589,76.916603",10775,318,218
1524501798,2018-04-23T16:43:18Z,JAI384,"28.125465,76.837677",12900,381,206
1524501836,2018-04-23T16:43:56Z,JAI384,"28.062469,76.802307",14575,384,206
1524501885,2018-04-23T16:44:45Z,JAI384,"27.984192,76.758461",16475,395,206
1524501916,2018-04-23T16:45:16Z,JAI384,"27.931046,76.728668",17800,398,206
1524501950,2018-04-23T16:45:50Z,JAI384,"27.87529,76.697472",19200,401,206
1524501969,2018-04-23T16:46:09Z,JAI384,"27.844025,76.679955",19925,403,206
1524502058,2018-04-23T16:47:38Z,JAI384,"27.688852,76.593666",22800,426,206
1524502119,2018-04-23T16:48:39Z,JAI384,"27.580399,76.533195",24425,441,206
1524502183,2018-04-23T16:49:43Z,JAI384,"27.462708,76.467384",26275,447,206
1524502243,2018-04-23T16:50:43Z,JAI384,"27.35214,76.406158",27700,455,206
1524502306,2018-04-23T16:51:46Z,JAI384,"27.231537,76.339539",29175,459,206
1524502368,2018-04-23T16:52:48Z,JAI384,"27.110916,76.272995",30800,455,206
1524502429,2018-04-23T16:53:49Z,JAI384,"26.996666,76.209625",31700,465,206
1524502493,2018-04-23T16:54:53Z,JAI384,"26.87228,76.141594",32775,468,205
1524502553,2018-04-23T16:55:53Z,JAI384,"26.754316,76.076889",34000,461,206
1524502615,2018-04-23T16:56:55Z,JAI384,"26.637331,76.012024",35200,453,206
1524502676,2018-04-23T16:57:56Z,JAI384,"26.522278,75.949265",36000,448,206
1524502741,2018-04-23T16:59:01Z,JAI384,"26.40415,75.885101",35975,451,205
1524502806,2018-04-23T17:00:06Z,JAI384,"26.279068,75.817528",36000,452,205
1524502869,2018-04-23T17:01:09Z,JAI384,"26.159426,75.752899",36000,452,206
1524502930,2018-04-23T17:02:10Z,JAI384,"26.045977,75.691315",36000,451,205
1524502998,2018-04-23T17:03:18Z,JAI384,"25.91803,75.622215",35975,450,205
1524503026,2018-04-23T17:03:46Z,JAI384,"25.867449,75.594971",36000,449,205
1524503079,2018-04-23T17:04:39Z,JAI384,"25.768021,75.541481",36000,445,205
1524503238,2018-04-23T17:07:18Z,JAI384,"25.471802,75.382896",36000,440,205
1524503305,2018-04-23T17:08:25Z,JAI384,"25.349533,75.317383",36000,442,205
1524503366,2018-04-23T17:09:26Z,JAI384,"25.236694,75.257263",36000,440,205
