Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1524851865,2018-04-27T17:57:45Z,JAI384,"28.534332,77.122383",2100,173,104
1524851871,2018-04-27T17:57:51Z,JAI384,"28.532913,77.12767",2250,174,106
1524851878,2018-04-27T17:57:58Z,JAI384,"28.530579,77.13237",2350,180,122
1524851887,2018-04-27T17:58:07Z,JAI384,"28.524033,77.137756",2500,192,151
1524851893,2018-04-27T17:58:13Z,JAI384,"28.518692,77.138939",2625,199,170
1524851913,2018-04-27T17:58:33Z,JAI384,"28.498077,77.13205",3025,235,200
1524851920,2018-04-27T17:58:40Z,JAI384,"28.491486,77.129623",3125,242,197
1524851929,2018-04-27T17:58:49Z,JAI384,"28.48131,77.126556",3275,252,194
1524851938,2018-04-27T17:58:58Z,JAI384,"28.470703,77.12397",3575,258,191
1524851949,2018-04-27T17:59:09Z,JAI384,"28.456375,77.12101",4000,263,190
1524851955,2018-04-27T17:59:15Z,JAI384,"28.448914,77.119537",4275,264,190
1524851961,2018-04-27T17:59:21Z,JAI384,"28.442139,77.11821",4500,264,189
1524851967,2018-04-27T17:59:27Z,JAI384,"28.43486,77.116791",4700,266,189
1524851973,2018-04-27T17:59:33Z,JAI384,"28.42749,77.115311",4925,268,189
1524851979,2018-04-27T17:59:39Z,JAI384,"28.419954,77.113792",5125,271,190
1524851993,2018-04-27T17:59:53Z,JAI384,"28.404648,77.110558",5475,279,190
1524852000,2018-04-27T18:00:00Z,JAI384,"28.393158,77.106171",5725,283,202
1524852011,2018-04-27T18:00:11Z,JAI384,"28.382853,77.099358",6050,287,213
1524852022,2018-04-27T18:00:22Z,JAI384,"28.370331,77.087189",6525,292,222
1524852031,2018-04-27T18:00:31Z,JAI384,"28.361113,77.077705",6925,291,221
1524852047,2018-04-27T18:00:47Z,JAI384,"28.346216,77.062737",7725,285,221
1524852058,2018-04-27T18:00:58Z,JAI384,"28.334335,77.050873",8350,280,221
1524852069,2018-04-27T18:01:09Z,JAI384,"28.32312,77.039673",8950,275,221
1524852082,2018-04-27T18:01:22Z,JAI384,"28.311264,77.02784",9500,274,221
1524852094,2018-04-27T18:01:34Z,JAI384,"28.299957,77.016586",9950,276,221
1524852106,2018-04-27T18:01:46Z,JAI384,"28.288212,77.004898",10325,281,221
1524852118,2018-04-27T18:01:58Z,JAI384,"28.275875,76.992676",10525,294,221
1524852131,2018-04-27T18:02:11Z,JAI384,"28.263153,76.980042",10750,304,221
1524852142,2018-04-27T18:02:22Z,JAI384,"28.249878,76.966835",10950,315,221
1524852155,2018-04-27T18:02:35Z,JAI384,"28.236465,76.953468",11325,322,221
1524852167,2018-04-27T18:02:47Z,JAI384,"28.222961,76.940109",11825,323,221
1524852180,2018-04-27T18:03:00Z,JAI384,"28.21019,76.927399",12275,325,221
1524852213,2018-04-27T18:03:33Z,JAI384,"28.171366,76.888893",13525,335,221
1524852244,2018-04-27T18:04:04Z,JAI384,"28.135437,76.853218",14800,343,221
1524852276,2018-04-27T18:04:36Z,JAI384,"28.095154,76.813393",16225,350,221
1524852308,2018-04-27T18:05:08Z,JAI384,"28.054287,76.772949",17675,356,221
1524852341,2018-04-27T18:05:41Z,JAI384,"28.012669,76.731911",18950,362,221
1524852405,2018-04-27T18:06:45Z,JAI384,"27.930504,76.650604",20925,384,221
1524852469,2018-04-27T18:07:49Z,JAI384,"27.842196,76.5662",23050,402,215
1524852484,2018-04-27T18:08:04Z,JAI384,"27.81839,76.549675",23525,408,209
1524852491,2018-04-27T18:08:11Z,JAI384,"27.803513,76.541122",23800,412,206
1524852498,2018-04-27T18:08:18Z,JAI384,"27.793268,76.535835",24000,412,204
1524852560,2018-04-27T18:09:20Z,JAI384,"27.68294,76.478523",25875,421,204
1524852624,2018-04-27T18:10:24Z,JAI384,"27.572006,76.420792",27675,426,204
1524852688,2018-04-27T18:11:28Z,JAI384,"27.455532,76.36026",29250,436,204
1524852750,2018-04-27T18:12:30Z,JAI384,"27.338175,76.299576",30525,446,204
1524852815,2018-04-27T18:13:35Z,JAI384,"27.216339,76.236618",31575,459,204
1524852879,2018-04-27T18:14:39Z,JAI384,"27.091003,76.17189",32225,478,204
1524852942,2018-04-27T18:15:42Z,JAI384,"26.957796,76.103828",33300,487,204
1524853005,2018-04-27T18:16:45Z,JAI384,"26.8293,76.038193",35050,473,204
1524853066,2018-04-27T18:17:46Z,JAI384,"26.71051,75.977005",36475,461,204
1524853130,2018-04-27T18:18:50Z,JAI384,"26.586548,75.913559",37350,460,204
1524853194,2018-04-27T18:19:54Z,JAI384,"26.464203,75.85125",38000,461,204
1524853232,2018-04-27T18:20:32Z,JAI384,"26.389755,75.813492",37975,460,204
