Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1525106857,2018-04-30T16:47:37Z,JAI384,"28.53598,77.119057",2075,174,102
1525106864,2018-04-30T16:47:44Z,JAI384,"28.534286,77.124779",2200,178,112
1525106871,2018-04-30T16:47:51Z,JAI384,"28.531448,77.129517",2275,185,130
1525106877,2018-04-30T16:47:57Z,JAI384,"28.527445,77.133392",2400,191,144
1525106885,2018-04-30T16:48:05Z,JAI384,"28.519949,77.136894",2550,202,166
1525106891,2018-04-30T16:48:11Z,JAI384,"28.514832,77.137436",2675,208,178
1525106912,2018-04-30T16:48:32Z,JAI384,"28.493462,77.13237",3050,229,197
1525106918,2018-04-30T16:48:38Z,JAI384,"28.48732,77.13015",3125,237,198
1525106927,2018-04-30T16:48:47Z,JAI384,"28.477354,77.126663",3300,246,196
1525106940,2018-04-30T16:49:00Z,JAI384,"28.463333,77.122383",3500,260,193
1525106951,2018-04-30T16:49:11Z,JAI384,"28.449142,77.118958",3750,271,191
1525106957,2018-04-30T16:49:17Z,JAI384,"28.441315,77.117317",3950,273,190
1525106963,2018-04-30T16:49:23Z,JAI384,"28.433807,77.115837",4175,274,189
1525106969,2018-04-30T16:49:29Z,JAI384,"28.426378,77.114441",4375,275,189
1525106976,2018-04-30T16:49:36Z,JAI384,"28.418512,77.112984",4600,276,189
1525106982,2018-04-30T16:49:42Z,JAI384,"28.411148,77.111557",4800,278,189
1525106994,2018-04-30T16:49:54Z,JAI384,"28.395218,77.108498",5125,285,189
1525107006,2018-04-30T16:50:06Z,JAI384,"28.379734,77.105499",5500,289,189
1525107018,2018-04-30T16:50:18Z,JAI384,"28.363586,77.102371",5825,294,190
1525107032,2018-04-30T16:50:32Z,JAI384,"28.346603,77.098885",6125,301,190
1525107043,2018-04-30T16:50:43Z,JAI384,"28.331451,77.095657",6500,306,191
1525107050,2018-04-30T16:50:50Z,JAI384,"28.318611,77.090576",6925,306,203
1525107057,2018-04-30T16:50:57Z,JAI384,"28.31065,77.085732",7175,304,210
