Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1525284834,2018-05-02T18:13:54Z,JAI384,"28.534519,77.127419",1975,189,101
1525284844,2018-05-02T18:14:04Z,JAI384,"28.53005,77.138405",2175,198,125
1525284851,2018-05-02T18:14:11Z,JAI384,"28.526094,77.142174",2275,205,144
1525284858,2018-05-02T18:14:18Z,JAI384,"28.520042,77.145027",2375,215,161
1525284864,2018-05-02T18:14:24Z,JAI384,"28.513824,77.145889",2525,225,175
1525284885,2018-05-02T18:14:45Z,JAI384,"28.49057,77.141296",2875,255,194
1525284893,2018-05-02T18:14:53Z,JAI384,"28.480179,77.138077",3050,268,195
1525284901,2018-05-02T18:15:01Z,JAI384,"28.472187,77.135551",3150,277,195
1525284908,2018-05-02T18:15:08Z,JAI384,"28.464645,77.133232",3375,280,195
1525284920,2018-05-02T18:15:20Z,JAI384,"28.44928,77.128616",3825,285,194
1525284931,2018-05-02T18:15:31Z,JAI384,"28.433735,77.124344",4300,289,193
1525284945,2018-05-02T18:15:45Z,JAI384,"28.414169,77.119431",4975,291,191
1525284952,2018-05-02T18:15:52Z,JAI384,"28.40625,77.117477",5200,291,192
1525284962,2018-05-02T18:16:02Z,JAI384,"28.390091,77.11351",5650,292,191
1525284975,2018-05-02T18:16:15Z,JAI384,"28.373795,77.109924",5950,302,190
1525284986,2018-05-02T18:16:26Z,JAI384,"28.357435,77.106468",6225,307,190
1525285000,2018-05-02T18:16:40Z,JAI384,"28.339737,77.102684",6500,312,190
1525285010,2018-05-02T18:16:50Z,JAI384,"28.322521,77.098175",6700,317,195
1525285022,2018-05-02T18:17:02Z,JAI384,"28.305908,77.092438",6875,320,197
1525285034,2018-05-02T18:17:14Z,JAI384,"28.288834,77.086258",7050,324,198
1525285046,2018-05-02T18:17:26Z,JAI384,"28.271439,77.079659",7575,322,198
1525285058,2018-05-02T18:17:38Z,JAI384,"28.254648,77.073296",8200,319,198
1525285072,2018-05-02T18:17:52Z,JAI384,"28.23761,77.066818",8650,321,198
1525285083,2018-05-02T18:18:03Z,JAI384,"28.220535,77.060326",9075,323,198
1525285096,2018-05-02T18:18:16Z,JAI384,"28.203255,77.053848",9325,324,198
1525285108,2018-05-02T18:18:28Z,JAI384,"28.186077,77.04744",9500,326,198
1525285120,2018-05-02T18:18:40Z,JAI384,"28.168396,77.0411",9675,323,197
1525285134,2018-05-02T18:18:54Z,JAI384,"28.147385,77.033806",10025,323,196
1525285148,2018-05-02T18:19:08Z,JAI384,"28.130081,77.028053",10300,323,196
1525285160,2018-05-02T18:19:20Z,JAI384,"28.113548,77.022614",10575,322,196
1525285171,2018-05-02T18:19:31Z,JAI384,"28.095062,77.01664",10875,321,195
1525285182,2018-05-02T18:19:42Z,JAI384,"28.078033,77.011253",11150,324,195
1525285195,2018-05-02T18:19:55Z,JAI384,"28.060043,77.005554",11675,325,195
1525285207,2018-05-02T18:20:07Z,JAI384,"28.042831,77.000107",12150,327,195
1525285240,2018-05-02T18:20:40Z,JAI384,"27.994858,76.980515",13200,342,200
1525285273,2018-05-02T18:21:13Z,JAI384,"27.945602,76.955215",13775,356,205
1525285306,2018-05-02T18:21:46Z,JAI384,"27.897079,76.929588",15150,351,203
1525285337,2018-05-02T18:22:17Z,JAI384,"27.850067,76.907509",16300,365,202
1525285368,2018-05-02T18:22:48Z,JAI384,"27.797226,76.883118",16950,377,202
1525285402,2018-05-02T18:23:22Z,JAI384,"27.743038,76.858612",17150,379,201
1525285435,2018-05-02T18:23:55Z,JAI384,"27.689877,76.835365",19050,367,201
1525285497,2018-05-02T18:24:57Z,JAI384,"27.59697,76.790031",21700,359,203
