Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526315687,2018-05-14T16:34:47Z,JAI384,"28.514832,77.124924",2525,223,183
1526315695,2018-05-14T16:34:55Z,JAI384,"28.505173,77.122437",2700,242,194
1526315706,2018-05-14T16:35:06Z,JAI384,"28.494764,77.119179",2875,259,195
1526315717,2018-05-14T16:35:17Z,JAI384,"28.479996,77.115417",3350,268,191
1526315724,2018-05-14T16:35:24Z,JAI384,"28.472605,77.113846",3550,274,190
1526315738,2018-05-14T16:35:38Z,JAI384,"28.453308,77.110764",4175,284,187
1526315753,2018-05-14T16:35:53Z,JAI384,"28.433083,77.108513",4800,286,185
1526315761,2018-05-14T16:36:01Z,JAI384,"28.42177,77.107437",5025,283,184
1526315773,2018-05-14T16:36:13Z,JAI384,"28.405792,77.105904",5200,287,184
1526315786,2018-05-14T16:36:26Z,JAI384,"28.389313,77.104164",5475,287,185
1526315797,2018-05-14T16:36:37Z,JAI384,"28.373495,77.102158",5725,288,186
1526315810,2018-05-14T16:36:50Z,JAI384,"28.357435,77.099953",5950,291,186
1526315821,2018-05-14T16:37:01Z,JAI384,"28.34198,77.096611",6200,288,193
1526315828,2018-05-14T16:37:08Z,JAI384,"28.333969,77.093124",6400,285,202
1526315837,2018-05-14T16:37:17Z,JAI384,"28.323685,77.086273",6850,280,213
1526315843,2018-05-14T16:37:23Z,JAI384,"28.3174,77.080994",7100,281,217
1526315849,2018-05-14T16:37:29Z,JAI384,"28.311628,77.0755",7400,278,221
1526315855,2018-05-14T16:37:35Z,JAI384,"28.305725,77.069305",7775,275,223
1526315865,2018-05-14T16:37:45Z,JAI384,"28.297615,77.060478",8275,272,223
1526315880,2018-05-14T16:38:00Z,JAI384,"28.284164,77.045746",8950,275,224
1526315890,2018-05-14T16:38:10Z,JAI384,"28.272812,77.03344",9550,278,223
1526315903,2018-05-14T16:38:23Z,JAI384,"28.261398,77.021057",10175,277,223
1526315917,2018-05-14T16:38:37Z,JAI384,"28.250273,77.008667",10500,289,224
1526315928,2018-05-14T16:38:48Z,JAI384,"28.238447,76.995583",10800,301,224
1526315939,2018-05-14T16:38:59Z,JAI384,"28.225937,76.981781",11150,309,224
1526315950,2018-05-14T16:39:10Z,JAI384,"28.214752,76.969406",11450,316,224
1526315964,2018-05-14T16:39:24Z,JAI384,"28.200531,76.953629",11800,326,224
1526315975,2018-05-14T16:39:35Z,JAI384,"28.186752,76.939209",12125,335,221
1526315988,2018-05-14T16:39:48Z,JAI384,"28.171553,76.926323",12375,350,214
1526315994,2018-05-14T16:39:54Z,JAI384,"28.163174,76.920456",12500,355,211
1526316002,2018-05-14T16:40:02Z,JAI384,"28.149952,76.91227",12700,363,207
1526316008,2018-05-14T16:40:08Z,JAI384,"28.140747,76.90699",12850,365,207
1526316042,2018-05-14T16:40:42Z,JAI384,"28.09108,76.877991",13350,367,207
1526316075,2018-05-14T16:41:15Z,JAI384,"28.039398,76.848839",13800,373,206
1526316110,2018-05-14T16:41:50Z,JAI384,"27.98823,76.820122",14775,379,206
1526316140,2018-05-14T16:42:20Z,JAI384,"27.937162,76.789948",15975,388,208
1526316174,2018-05-14T16:42:54Z,JAI384,"27.881672,76.756935",17425,396,207
1526316207,2018-05-14T16:43:27Z,JAI384,"27.826786,76.725555",18675,406,206
1526316273,2018-05-14T16:44:33Z,JAI384,"27.71283,76.659958",20975,424,207
1526316337,2018-05-14T16:45:37Z,JAI384,"27.602497,76.596733",23700,423,207
1526316401,2018-05-14T16:46:41Z,JAI384,"27.491043,76.532578",25650,440,206
1526316467,2018-05-14T16:47:47Z,JAI384,"27.363127,76.459137",26950,473,206
1526316529,2018-05-14T16:48:49Z,JAI384,"27.240181,76.389206",29100,468,207
1526316593,2018-05-14T16:49:53Z,JAI384,"27.119293,76.320671",31050,462,206
1526316660,2018-05-14T16:51:00Z,JAI384,"26.99144,76.248016",32400,471,206
