Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526668371,2018-05-18T18:32:51Z,JAI384,"28.529709,77.136963",2250,206,116
1526668382,2018-05-18T18:33:02Z,JAI384,"28.521606,77.145576",2450,220,148
1526668389,2018-05-18T18:33:09Z,JAI384,"28.514786,77.148003",2575,226,164
1526668413,2018-05-18T18:33:33Z,JAI384,"28.489197,77.14077",3025,252,204
1526668419,2018-05-18T18:33:39Z,JAI384,"28.482893,77.13765",3125,258,203
1526668426,2018-05-18T18:33:46Z,JAI384,"28.475771,77.134361",3225,265,201
1526668433,2018-05-18T18:33:53Z,JAI384,"28.468369,77.131348",3350,272,199
1526668439,2018-05-18T18:33:59Z,JAI384,"28.461246,77.128761",3475,278,196
1526668445,2018-05-18T18:34:05Z,JAI384,"28.450012,77.125237",3750,280,194
1526668459,2018-05-18T18:34:19Z,JAI384,"28.434952,77.121223",4200,282,192
1526668465,2018-05-18T18:34:25Z,JAI384,"28.426752,77.119232",4450,284,192
1526668471,2018-05-18T18:34:31Z,JAI384,"28.41921,77.117508",4675,284,191
1526668484,2018-05-18T18:34:44Z,JAI384,"28.403503,77.113937",5150,286,191
1526668496,2018-05-18T18:34:56Z,JAI384,"28.387619,77.110344",5650,287,191
1526668506,2018-05-18T18:35:06Z,JAI384,"28.371401,77.106628",6175,286,191
1526668520,2018-05-18T18:35:20Z,JAI384,"28.35553,77.102844",6650,287,192
1526668530,2018-05-18T18:35:30Z,JAI384,"28.340164,77.099144",6925,289,192
1526668542,2018-05-18T18:35:42Z,JAI384,"28.324198,77.094299",7125,286,199
1526668551,2018-05-18T18:35:51Z,JAI384,"28.316795,77.090576",7225,286,206
1526668558,2018-05-18T18:35:58Z,JAI384,"28.306879,77.08342",7450,284,216
1526668567,2018-05-18T18:36:07Z,JAI384,"28.297989,77.074478",7800,281,225
1526668576,2018-05-18T18:36:16Z,JAI384,"28.289841,77.065292",8150,280,224
1526668582,2018-05-18T18:36:22Z,JAI384,"28.283976,77.058807",8400,281,224
1526668598,2018-05-18T18:36:38Z,JAI384,"28.270103,77.043457",8975,282,224
1526668611,2018-05-18T18:36:51Z,JAI384,"28.258512,77.030586",9475,282,224
1526668621,2018-05-18T18:37:01Z,JAI384,"28.247152,77.017929",10025,280,224
1526668635,2018-05-18T18:37:15Z,JAI384,"28.236099,77.0056",10425,284,224
1526668645,2018-05-18T18:37:25Z,JAI384,"28.224575,76.992729",10600,295,225
1526668657,2018-05-18T18:37:37Z,JAI384,"28.212612,76.97921",10825,306,224
1526668670,2018-05-18T18:37:50Z,JAI384,"28.200027,76.965195",11025,317,224
1526668681,2018-05-18T18:38:01Z,JAI384,"28.18766,76.951363",11225,327,224
1526668695,2018-05-18T18:38:15Z,JAI384,"28.174026,76.93615",11475,336,224
1526668706,2018-05-18T18:38:26Z,JAI384,"28.160522,76.921043",11900,339,224
1526668718,2018-05-18T18:38:38Z,JAI384,"28.147247,76.906303",12350,341,224
1526668753,2018-05-18T18:39:13Z,JAI384,"28.109032,76.86412",13450,354,224
1526668786,2018-05-18T18:39:46Z,JAI384,"28.069183,76.820175",14650,364,224
1526668816,2018-05-18T18:40:16Z,JAI384,"28.032211,76.779167",15600,377,224
1526668847,2018-05-18T18:40:47Z,JAI384,"27.989685,76.732056",16775,386,224
1526668880,2018-05-18T18:41:20Z,JAI384,"27.947662,76.68531",18300,383,224
1526668945,2018-05-18T18:42:25Z,JAI384,"27.86705,76.596214",20600,391,224
1526669007,2018-05-18T18:43:27Z,JAI384,"27.780075,76.507492",22500,411,214
1526669013,2018-05-18T18:43:33Z,JAI384,"27.770737,76.500443",22725,411,213
1526669073,2018-05-18T18:44:33Z,JAI384,"27.67498,76.428085",24650,412,213
