Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526837428,2018-05-20T17:30:28Z,JAI384,"28.463882,77.009674",3850,286,189
1526837436,2018-05-20T17:30:36Z,JAI384,"28.455753,77.007751",4075,288,192
1526837447,2018-05-20T17:30:47Z,JAI384,"28.440033,77.003807",4450,290,192
1526837461,2018-05-20T17:31:01Z,JAI384,"28.419983,76.998634",4825,291,192
1526837467,2018-05-20T17:31:07Z,JAI384,"28.411652,76.996574",5000,291,192
1526837483,2018-05-20T17:31:23Z,JAI384,"28.392151,76.991768",5575,292,192
1526837495,2018-05-20T17:31:35Z,JAI384,"28.375963,76.987823",6050,292,191
1526837506,2018-05-20T17:31:46Z,JAI384,"28.360062,76.984161",6525,291,191
1526837519,2018-05-20T17:31:59Z,JAI384,"28.343563,76.980286",7050,289,191
1526837532,2018-05-20T17:32:12Z,JAI384,"28.328064,76.976662",7550,287,192
1526837543,2018-05-20T17:32:23Z,JAI384,"28.313278,76.970848",8025,285,203
1526837549,2018-05-20T17:32:29Z,JAI384,"28.305996,76.96666",8275,283,208
1526837555,2018-05-20T17:32:35Z,JAI384,"28.298904,76.961609",8525,282,213
1526837562,2018-05-20T17:32:42Z,JAI384,"28.29282,76.956482",8775,282,218
1526837569,2018-05-20T17:32:49Z,JAI384,"28.28393,76.948456",9100,281,218
1526837578,2018-05-20T17:32:58Z,JAI384,"28.277458,76.942696",9325,282,217
1526837593,2018-05-20T17:33:13Z,JAI384,"28.261631,76.928802",9900,282,217
1526837603,2018-05-20T17:33:23Z,JAI384,"28.249294,76.917976",10325,284,217
1526837615,2018-05-20T17:33:35Z,JAI384,"28.236649,76.906776",10500,294,218
1526837626,2018-05-20T17:33:46Z,JAI384,"28.22304,76.894714",10725,305,218
1526837640,2018-05-20T17:34:00Z,JAI384,"28.209446,76.882698",10975,314,218
1526837652,2018-05-20T17:34:12Z,JAI384,"28.19577,76.870544",11350,316,218
1526837663,2018-05-20T17:34:23Z,JAI384,"28.181625,76.857971",11850,316,218
1526837674,2018-05-20T17:34:34Z,JAI384,"28.168076,76.845985",12275,318,217
1526837708,2018-05-20T17:35:08Z,JAI384,"28.129097,76.811722",13575,322,217
1526837739,2018-05-20T17:35:39Z,JAI384,"28.091389,76.781349",14450,340,209
1526837745,2018-05-20T17:35:45Z,JAI384,"28.083069,76.776421",14675,343,206
1526837751,2018-05-20T17:35:51Z,JAI384,"28.074051,76.771408",14875,346,205
1526837793,2018-05-20T17:36:33Z,JAI384,"28.012024,76.737442",16275,358,205
1526837826,2018-05-20T17:37:06Z,JAI384,"27.962254,76.710258",17400,364,205
1526837858,2018-05-20T17:37:38Z,JAI384,"27.910904,76.68219",18400,371,205
1526837919,2018-05-20T17:38:39Z,JAI384,"27.818453,76.631332",20625,368,206
1526837983,2018-05-20T17:39:43Z,JAI384,"27.719788,76.577141",22525,377,205
1526838047,2018-05-20T17:40:47Z,JAI384,"27.618805,76.522003",24275,384,205
1526838107,2018-05-20T17:41:47Z,JAI384,"27.520386,76.468369",25725,394,205
1526838172,2018-05-20T17:42:52Z,JAI384,"27.415237,76.411049",27075,405,205
1526838233,2018-05-20T17:43:53Z,JAI384,"27.306519,76.352028",28475,411,205
1526838295,2018-05-20T17:44:55Z,JAI384,"27.202148,76.295387",29575,419,205
1526838356,2018-05-20T17:45:56Z,JAI384,"27.090317,76.234856",30575,427,205
1526838421,2018-05-20T17:47:01Z,JAI384,"26.975784,76.17308",31500,434,205
1526838481,2018-05-20T17:48:01Z,JAI384,"26.866787,76.114388",32325,439,205
1526838511,2018-05-20T17:48:31Z,JAI384,"26.815159,76.086662",32750,439,205
1526838656,2018-05-20T17:50:56Z,JAI384,"26.546553,75.94252",35075,433,205
1526838717,2018-05-20T17:51:57Z,JAI384,"26.436539,75.883705",35825,432,205
1526838781,2018-05-20T17:53:01Z,JAI384,"26.321594,75.822296",36000,434,205
1526838844,2018-05-20T17:54:04Z,JAI384,"26.205872,75.760994",36000,436,205
1526838906,2018-05-20T17:55:06Z,JAI384,"26.092251,75.700821",36000,437,205
1526838956,2018-05-20T17:55:56Z,JAI384,"26.000681,75.652489",36000,435,205
1526839054,2018-05-20T17:57:34Z,JAI384,"25.822853,75.558472",36000,435,205
1526839114,2018-05-20T17:58:34Z,JAI384,"25.71167,75.499878",36000,439,205
1526839179,2018-05-20T17:59:39Z,JAI384,"25.593721,75.437935",36000,442,205
1526839242,2018-05-20T18:00:42Z,JAI384,"25.475693,75.376129",36000,445,205
1526839306,2018-05-20T18:01:46Z,JAI384,"25.356949,75.314026",35975,444,205
1526839367,2018-05-20T18:02:47Z,JAI384,"25.243929,75.254951",35975,443,205
1526839431,2018-05-20T18:03:51Z,JAI384,"25.125641,75.193329",36000,444,205
1526839491,2018-05-20T18:04:51Z,JAI384,"25.012711,75.134636",36000,443,205
1526839555,2018-05-20T18:05:55Z,JAI384,"24.894274,75.073051",36000,443,205
1526839618,2018-05-20T18:06:58Z,JAI384,"24.776917,75.012474",35975,443,205
1526839679,2018-05-20T18:07:59Z,JAI384,"24.6644,74.954277",35975,443,205
1526839743,2018-05-20T18:09:03Z,JAI384,"24.54504,74.89608",35975,442,200
1526839807,2018-05-20T18:10:07Z,JAI384,"24.422468,74.846741",36000,442,200
1526839867,2018-05-20T18:11:07Z,JAI384,"24.306381,74.800163",36000,442,200
1526839931,2018-05-20T18:12:11Z,JAI384,"24.183151,74.750771",35975,444,200
1526839991,2018-05-20T18:13:11Z,JAI384,"24.066376,74.704079",36000,446,200
1526840054,2018-05-20T18:14:14Z,JAI384,"23.94278,74.654747",36000,448,200
1526840118,2018-05-20T18:15:18Z,JAI384,"23.818359,74.604782",36000,449,200
1526840182,2018-05-20T18:16:22Z,JAI384,"23.694996,74.555603",36000,450,200
1526840241,2018-05-20T18:17:21Z,JAI384,"23.577032,74.508553",36000,450,200
1526840302,2018-05-20T18:18:22Z,JAI384,"23.458466,74.461235",35975,448,200
1526840365,2018-05-20T18:19:25Z,JAI384,"23.334183,74.411751",36000,447,200
1526840426,2018-05-20T18:20:26Z,JAI384,"23.216486,74.365181",36000,445,200
1526840486,2018-05-20T18:21:26Z,JAI384,"23.099121,74.318413",35975,444,200
1526840551,2018-05-20T18:22:31Z,JAI384,"22.975388,74.269577",35975,442,200
1526840614,2018-05-20T18:23:34Z,JAI384,"22.853622,74.221535",36000,442,200
1526840677,2018-05-20T18:24:37Z,JAI384,"22.730619,74.17318",36000,442,199
1526840741,2018-05-20T18:25:41Z,JAI384,"22.607849,74.125008",36000,444,200
1526840804,2018-05-20T18:26:44Z,JAI384,"22.485289,74.07679",36000,447,200
1526840866,2018-05-20T18:27:46Z,JAI384,"22.361135,74.028069",36000,447,200
1526840929,2018-05-20T18:28:49Z,JAI384,"22.24292,73.982033",36000,448,199
1526840992,2018-05-20T18:29:52Z,JAI384,"22.11869,73.933662",36000,451,199
1526841054,2018-05-20T18:30:54Z,JAI384,"21.998306,73.886925",36000,452,199
1526841116,2018-05-20T18:31:56Z,JAI384,"21.872429,73.838295",35975,454,199
1526841179,2018-05-20T18:32:59Z,JAI384,"21.746832,73.78952",35975,455,199
1526841241,2018-05-20T18:34:01Z,JAI384,"21.626175,73.742783",36000,455,199
1526841305,2018-05-20T18:35:05Z,JAI384,"21.500755,73.694206",36000,454,199
1526841321,2018-05-20T18:35:21Z,JAI384,"21.470032,73.682358",35975,453,199
1526841417,2018-05-20T18:36:57Z,JAI384,"21.277588,73.608147",35975,452,199
1526841476,2018-05-20T18:37:56Z,JAI384,"21.159157,73.562828",36000,450,197
1526841540,2018-05-20T18:39:00Z,JAI384,"21.032547,73.520256",35625,452,197
1526841603,2018-05-20T18:40:03Z,JAI384,"20.906517,73.47821",33925,450,197
1526841668,2018-05-20T18:41:08Z,JAI384,"20.783249,73.436493",31800,433,197
1526841729,2018-05-20T18:42:09Z,JAI384,"20.663544,73.396469",29525,420,197
1526841789,2018-05-20T18:43:09Z,JAI384,"20.552301,73.359306",27375,411,197
1526841853,2018-05-20T18:44:13Z,JAI384,"20.439972,73.322067",25825,382,197
1526841915,2018-05-20T18:45:15Z,JAI384,"20.33931,73.288567",24975,366,197
1526841977,2018-05-20T18:46:17Z,JAI384,"20.237236,73.254738",23800,361,197
1526842037,2018-05-20T18:47:17Z,JAI384,"20.140919,73.22448",22575,357,196
1526842102,2018-05-20T18:48:22Z,JAI384,"20.040573,73.19268",21500,354,196
1526842115,2018-05-20T18:48:35Z,JAI384,"20.021139,73.189423",21325,350,181
1526842138,2018-05-20T18:48:58Z,JAI384,"19.986603,73.204506",20950,337,138
1526842145,2018-05-20T18:49:05Z,JAI384,"19.980686,73.211891",20850,334,127
1526842152,2018-05-20T18:49:12Z,JAI384,"19.974518,73.225349",20700,331,109
1526842158,2018-05-20T18:49:18Z,JAI384,"19.972549,73.234818",20600,330,98
1526842164,2018-05-20T18:49:24Z,JAI384,"19.971748,73.244652",20500,330,91
1526842187,2018-05-20T18:49:47Z,JAI384,"19.977722,73.277977",20125,333,67
1526842196,2018-05-20T18:49:56Z,JAI384,"19.984783,73.291092",19975,335,55
1526842203,2018-05-20T18:50:03Z,JAI384,"19.99411,73.30201",19825,332,42
1526842209,2018-05-20T18:50:09Z,JAI384,"20.001755,73.307991",19725,330,33
1526842216,2018-05-20T18:50:16Z,JAI384,"20.009583,73.312355",19650,328,24
1526842225,2018-05-20T18:50:25Z,JAI384,"20.022257,73.316612",19500,324,14
1526842231,2018-05-20T18:50:31Z,JAI384,"20.031242,73.319008",19425,321,13
1526842238,2018-05-20T18:50:38Z,JAI384,"20.044601,73.32251",19275,316,13
1526842294,2018-05-20T18:51:34Z,JAI384,"20.119459,73.340729",18600,301,3
1526842316,2018-05-20T18:51:56Z,JAI384,"20.147827,73.333443",18250,299,333
1526842325,2018-05-20T18:52:05Z,JAI384,"20.158173,73.32589",18075,298,321
1526842332,2018-05-20T18:52:12Z,JAI384,"20.166569,73.316559",17925,298,309
1526842340,2018-05-20T18:52:20Z,JAI384,"20.17141,73.308769",17825,298,299
1526842346,2018-05-20T18:52:26Z,JAI384,"20.174973,73.300682",17725,297,291
1526842352,2018-05-20T18:52:32Z,JAI384,"20.177229,73.29274",17625,296,285
