Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526924917,2018-05-21T17:48:37Z,JAI384,"28.542248,77.027519",2500,218,225
1526924930,2018-05-21T17:48:50Z,JAI384,"28.529388,77.02166",2725,218,225
1526924986,2018-05-21T17:49:46Z,JAI384,"28.459246,77.010231",3950,288,192
1526924999,2018-05-21T17:49:59Z,JAI384,"28.442719,77.006027",4450,290,192
1526925005,2018-05-21T17:50:05Z,JAI384,"28.434998,77.003967",4725,289,193
1526925012,2018-05-21T17:50:12Z,JAI384,"28.427124,77.001907",4975,289,193
1526925020,2018-05-21T17:50:20Z,JAI384,"28.415314,76.998787",5400,287,193
1526925032,2018-05-21T17:50:32Z,JAI384,"28.400208,76.994827",5900,287,192
1526925042,2018-05-21T17:50:42Z,JAI384,"28.383911,76.990707",6425,287,192
1526925055,2018-05-21T17:50:55Z,JAI384,"28.3694,76.987122",6925,286,192
1526925067,2018-05-21T17:51:07Z,JAI384,"28.353106,76.983192",7500,284,192
1526925079,2018-05-21T17:51:19Z,JAI384,"28.337494,76.979355",8050,282,192
1526925092,2018-05-21T17:51:32Z,JAI384,"28.322342,76.975021",8550,280,196
1526925100,2018-05-21T17:51:40Z,JAI384,"28.311535,76.970055",8900,278,203
1526925108,2018-05-21T17:51:48Z,JAI384,"28.304785,76.966064",9125,277,208
1526925114,2018-05-21T17:51:54Z,JAI384,"28.295151,76.958595",9450,277,216
1526925121,2018-05-21T17:52:01Z,JAI384,"28.288834,76.953049",9700,277,218
1526925127,2018-05-21T17:52:07Z,JAI384,"28.282745,76.947662",9925,277,217
1526925137,2018-05-21T17:52:17Z,JAI384,"28.273727,76.939636",10275,278,218
1526925149,2018-05-21T17:52:29Z,JAI384,"28.261093,76.928383",10500,287,218
1526925160,2018-05-21T17:52:40Z,JAI384,"28.248138,76.91687",10725,299,218
1526925172,2018-05-21T17:52:52Z,JAI384,"28.234863,76.905052",10925,309,218
1526925187,2018-05-21T17:53:07Z,JAI384,"28.220398,76.892151",11125,321,218
1526925200,2018-05-21T17:53:20Z,JAI384,"28.202499,76.876198",11425,333,218
1526925213,2018-05-21T17:53:33Z,JAI384,"28.187893,76.863258",11800,336,218
1526925224,2018-05-21T17:53:44Z,JAI384,"28.172577,76.849739",12275,339,218
1526925257,2018-05-21T17:54:17Z,JAI384,"28.131638,76.813766",13325,351,217
1526925288,2018-05-21T17:54:48Z,JAI384,"28.091249,76.778168",14375,360,218
1526925321,2018-05-21T17:55:21Z,JAI384,"28.046839,76.739075",15525,371,217
1526925354,2018-05-21T17:55:54Z,JAI384,"28.000845,76.698517",16650,381,218
1526925384,2018-05-21T17:56:24Z,JAI384,"27.958466,76.661278",17750,386,217
1526925417,2018-05-21T17:56:57Z,JAI384,"27.910906,76.619499",18700,399,217
1526925478,2018-05-21T17:57:58Z,JAI384,"27.821945,76.541588",20850,404,217
1526925541,2018-05-21T17:59:01Z,JAI384,"27.724419,76.466057",23100,403,213
1526925605,2018-05-21T18:00:05Z,JAI384,"27.624285,76.390366",24825,413,213
1526925667,2018-05-21T18:01:07Z,JAI384,"27.526756,76.316948",26275,425,213
1526925729,2018-05-21T18:02:09Z,JAI384,"27.418617,76.242424",27725,436,211
1526925788,2018-05-21T18:03:08Z,JAI384,"27.314484,76.171219",28950,444,211
1526925851,2018-05-21T18:04:11Z,JAI384,"27.202009,76.094322",30400,445,211
1526925914,2018-05-21T18:05:14Z,JAI384,"27.091827,76.019173",31875,439,211
1526925979,2018-05-21T18:06:19Z,JAI384,"26.98027,75.943306",33025,441,211
1526926042,2018-05-21T18:07:22Z,JAI384,"26.869579,75.867142",34200,441,211
1526926082,2018-05-21T18:08:02Z,JAI384,"26.797897,75.825821",34950,441,201
1526926088,2018-05-21T18:08:08Z,JAI384,"26.78627,75.8209",35050,440,200
1526926149,2018-05-21T18:09:09Z,JAI384,"26.67001,75.771751",36100,438,200
1526926211,2018-05-21T18:10:11Z,JAI384,"26.554276,75.723114",37050,437,200
1526926273,2018-05-21T18:11:13Z,JAI384,"26.433517,75.672119",37900,437,200
1526926339,2018-05-21T18:12:19Z,JAI384,"26.310579,75.620323",38000,438,200
1526926362,2018-05-21T18:12:42Z,JAI384,"26.269148,75.60289",38000,438,200
1526926455,2018-05-21T18:14:15Z,JAI384,"26.088526,75.526993",38000,441,200
1526926503,2018-05-21T18:15:03Z,JAI384,"25.996719,75.488411",38000,442,200
1526926592,2018-05-21T18:16:32Z,JAI384,"25.824234,75.416565",38000,444,200
1526926653,2018-05-21T18:17:33Z,JAI384,"25.706497,75.368195",38000,445,200
1526926714,2018-05-21T18:18:34Z,JAI384,"25.58844,75.319572",38000,447,200
1526926775,2018-05-21T18:19:35Z,JAI384,"25.470079,75.270912",38000,448,200
1526926842,2018-05-21T18:20:42Z,JAI384,"25.33905,75.217438",38000,449,200
1526926904,2018-05-21T18:21:44Z,JAI384,"25.219536,75.16877",38000,451,200
1526926964,2018-05-21T18:22:44Z,JAI384,"25.100082,75.12011",38000,452,200
1526927027,2018-05-21T18:23:47Z,JAI384,"24.975834,75.069473",38000,454,200
1526927087,2018-05-21T18:24:47Z,JAI384,"24.856888,75.021309",38000,454,200
1526927147,2018-05-21T18:25:47Z,JAI384,"24.738976,74.973709",38000,455,200
1526927214,2018-05-21T18:26:54Z,JAI384,"24.608864,74.921112",38000,454,200
1526927252,2018-05-21T18:27:32Z,JAI384,"24.531725,74.889915",38000,453,200
1526927340,2018-05-21T18:29:00Z,JAI384,"24.357248,74.819901",38000,450,200
1526927401,2018-05-21T18:30:01Z,JAI384,"24.237762,74.771935",38000,450,200
1526927463,2018-05-21T18:31:03Z,JAI384,"24.117508,74.723763",38000,451,200
