Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1527095842,2018-05-23T17:17:22Z,JAI384,"28.53035,77.13633",2225,200,112
1527095849,2018-05-23T17:17:29Z,JAI384,"28.525255,77.143036",2375,209,133
1527095856,2018-05-23T17:17:36Z,JAI384,"28.518879,77.146912",2475,213,145
1527095865,2018-05-23T17:17:45Z,JAI384,"28.508776,77.148636",2625,232,178
1527095886,2018-05-23T17:18:06Z,JAI384,"28.486313,77.139709",2900,255,205
1527095892,2018-05-23T17:18:12Z,JAI384,"28.480007,77.136627",3025,260,203
1527095901,2018-05-23T17:18:21Z,JAI384,"28.469055,77.131996",3175,271,198
1527095909,2018-05-23T17:18:29Z,JAI384,"28.461573,77.12941",3300,278,196
1527095915,2018-05-23T17:18:35Z,JAI384,"28.453753,77.127037",3500,281,194
1527095925,2018-05-23T17:18:45Z,JAI384,"28.442392,77.12397",3825,284,193
1527095935,2018-05-23T17:18:55Z,JAI384,"28.427078,77.120148",4250,286,192
1527095946,2018-05-23T17:19:06Z,JAI384,"28.415039,77.117264",4575,289,192
1527095957,2018-05-23T17:19:17Z,JAI384,"28.39938,77.111099",5025,293,204
1527095966,2018-05-23T17:19:26Z,JAI384,"28.389137,77.103828",5350,293,214
1527095974,2018-05-23T17:19:34Z,JAI384,"28.379837,77.094864",5700,293,222
1527095981,2018-05-23T17:19:41Z,JAI384,"28.373657,77.088318",5925,293,222
1527095990,2018-05-23T17:19:50Z,JAI384,"28.364418,77.078896",6300,295,222
1527096003,2018-05-23T17:20:03Z,JAI384,"28.352005,77.066399",6775,296,221
1527096013,2018-05-23T17:20:13Z,JAI384,"28.339745,77.054337",7275,296,220
1527096027,2018-05-23T17:20:27Z,JAI384,"28.327332,77.042099",7800,295,221
1527096039,2018-05-23T17:20:39Z,JAI384,"28.314886,77.029938",8300,295,221
1527096049,2018-05-23T17:20:49Z,JAI384,"28.302132,77.017334",8800,296,221
1527096062,2018-05-23T17:21:02Z,JAI384,"28.289795,77.005127",9300,296,221
1527096074,2018-05-23T17:21:14Z,JAI384,"28.277365,76.992783",9825,294,221
1527096086,2018-05-23T17:21:26Z,JAI384,"28.264984,76.980408",10375,293,221
1527096098,2018-05-23T17:21:38Z,JAI384,"28.25235,76.967834",10925,292,221
1527096112,2018-05-23T17:21:52Z,JAI384,"28.240219,76.956009",11375,293,219
1527096125,2018-05-23T17:22:05Z,JAI384,"28.222321,76.942429",11625,309,210
1527096131,2018-05-23T17:22:11Z,JAI384,"28.214539,76.937836",11750,316,207
1527096138,2018-05-23T17:22:18Z,JAI384,"28.206373,76.93322",11850,322,206
1527096156,2018-05-23T17:22:36Z,JAI384,"28.181946,76.919243",12125,340,206
1527096186,2018-05-23T17:23:06Z,JAI384,"28.138361,76.894173",13300,347,207
1527096218,2018-05-23T17:23:38Z,JAI384,"28.090714,76.866638",14600,355,207
1527096253,2018-05-23T17:24:13Z,JAI384,"28.040955,76.837959",15875,364,207
1527096287,2018-05-23T17:24:47Z,JAI384,"27.989347,76.808273",17100,373,206
1527096319,2018-05-23T17:25:19Z,JAI384,"27.939102,76.779381",18550,371,207
1527096383,2018-05-23T17:26:23Z,JAI384,"27.837708,76.721107",20350,396,207
1527096432,2018-05-23T17:27:12Z,JAI384,"27.753799,76.672958",22125,402,207
1527096520,2018-05-23T17:28:40Z,JAI384,"27.606583,76.588806",25225,402,207
1527096582,2018-05-23T17:29:42Z,JAI384,"27.504181,76.530243",27025,405,206
1527096646,2018-05-23T17:30:46Z,JAI384,"27.398941,76.470337",28775,404,206
1527096704,2018-05-23T17:31:44Z,JAI384,"27.296677,76.412247",29875,417,206
1527096769,2018-05-23T17:32:49Z,JAI384,"27.184891,76.348915",31100,424,206
1527096831,2018-05-23T17:33:51Z,JAI384,"27.074503,76.28653",32475,423,206
1527096893,2018-05-23T17:34:53Z,JAI384,"26.967957,76.226357",33550,427,206
1527096937,2018-05-23T17:35:37Z,JAI384,"26.887362,76.180893",34100,432,206
1527097027,2018-05-23T17:37:07Z,JAI384,"26.727264,76.090942",35950,423,206
1527097088,2018-05-23T17:38:08Z,JAI384,"26.621841,76.031609",36775,423,206
1527097151,2018-05-23T17:39:11Z,JAI384,"26.510834,75.969627",37450,426,206
1527097215,2018-05-23T17:40:15Z,JAI384,"26.39859,75.907082",38000,428,206
1527097281,2018-05-23T17:41:21Z,JAI384,"26.281174,75.841476",37975,431,206
1527097359,2018-05-23T17:42:39Z,JAI384,"26.14151,75.763947",37975,430,206
1527097420,2018-05-23T17:43:40Z,JAI384,"26.032928,75.703781",38000,433,206
1527097430,2018-05-23T17:43:50Z,JAI384,"26.015854,75.694351",37975,433,206
1527097520,2018-05-23T17:45:20Z,JAI384,"25.854322,75.605164",38000,433,206
1527097563,2018-05-23T17:46:03Z,JAI384,"25.774704,75.561119",37975,435,206
1527097653,2018-05-23T17:47:33Z,JAI384,"25.613461,75.47245",38000,435,206
