Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1527266840,2018-05-25T16:47:20Z,JAI384,"28.511337,77.014053",3100,256,204
1527266850,2018-05-25T16:47:30Z,JAI384,"28.498814,77.013618",3350,288,181
1527266873,2018-05-25T16:47:53Z,JAI384,"28.466879,77.01001",4450,287,189
1527266885,2018-05-25T16:48:05Z,JAI384,"28.450928,77.006607",5050,286,190
1527266897,2018-05-25T16:48:17Z,JAI384,"28.435457,77.003014",5600,286,191
1527266909,2018-05-25T16:48:29Z,JAI384,"28.419754,76.999107",6125,287,192
1527266921,2018-05-25T16:48:41Z,JAI384,"28.404053,76.995201",6650,289,192
1527266933,2018-05-25T16:48:53Z,JAI384,"28.388067,76.991272",7100,291,192
1527266945,2018-05-25T16:49:05Z,JAI384,"28.372742,76.987595",7300,294,191
1527266957,2018-05-25T16:49:17Z,JAI384,"28.356178,76.983627",7500,294,191
1527266970,2018-05-25T16:49:30Z,JAI384,"28.33956,76.979691",7725,293,191
1527266983,2018-05-25T16:49:43Z,JAI384,"28.324036,76.975342",7900,290,196
1527266991,2018-05-25T16:49:51Z,JAI384,"28.312958,76.970375",8050,287,203
1527266997,2018-05-25T16:49:57Z,JAI384,"28.30567,76.966179",8150,287,207
1527267003,2018-05-25T16:50:03Z,JAI384,"28.298767,76.961395",8250,286,212
1527267012,2018-05-25T16:50:12Z,JAI384,"28.289017,76.953209",8400,288,218
1527267018,2018-05-25T16:50:18Z,JAI384,"28.282608,76.947449",8575,289,218
1527267025,2018-05-25T16:50:25Z,JAI384,"28.27652,76.942009",8825,288,218
1527267038,2018-05-25T16:50:38Z,JAI384,"28.263474,76.930443",9400,288,218
1527267051,2018-05-25T16:50:51Z,JAI384,"28.248001,76.916763",10075,287,217
1527267065,2018-05-25T16:51:05Z,JAI384,"28.235003,76.905266",10550,291,218
1527267077,2018-05-25T16:51:17Z,JAI384,"28.221909,76.893578",10725,306,218
1527267086,2018-05-25T16:51:26Z,JAI384,"28.208143,76.881355",10950,319,218
1527267098,2018-05-25T16:51:38Z,JAI384,"28.193619,76.868484",11175,332,218
1527267111,2018-05-25T16:51:51Z,JAI384,"28.178209,76.854912",11400,346,218
1527267125,2018-05-25T16:52:05Z,JAI384,"28.163406,76.841866",11875,349,217
1527267136,2018-05-25T16:52:16Z,JAI384,"28.147625,76.827988",12425,351,217
1527267168,2018-05-25T16:52:48Z,JAI384,"28.105263,76.790611",13900,354,218
1527267198,2018-05-25T16:53:18Z,JAI384,"28.064714,76.757545",15225,359,211
1527267204,2018-05-25T16:53:24Z,JAI384,"28.056381,76.752335",15450,362,208
1527267211,2018-05-25T16:53:31Z,JAI384,"28.046606,76.746826",15725,363,205
1527267218,2018-05-25T16:53:38Z,JAI384,"28.032873,76.739395",16100,364,205
1527267250,2018-05-25T16:54:10Z,JAI384,"27.986343,76.714096",17225,374,205
1527267282,2018-05-25T16:54:42Z,JAI384,"27.933609,76.685143",18125,392,205
1527267346,2018-05-25T16:55:46Z,JAI384,"27.828182,76.627525",20300,399,205
1527267406,2018-05-25T16:56:46Z,JAI384,"27.726974,76.572372",22225,406,205
1527267468,2018-05-25T16:57:48Z,JAI384,"27.619812,76.514023",24325,404,205
1527267540,2018-05-25T16:59:00Z,JAI384,"27.501114,76.449814",25900,417,205
1527267601,2018-05-25T17:00:01Z,JAI384,"27.391384,76.39032",27650,418,205
1527267663,2018-05-25T17:01:03Z,JAI384,"27.284088,76.33213",28825,430,205
1527267726,2018-05-25T17:02:06Z,JAI384,"27.169418,76.270508",30200,436,205
1527267789,2018-05-25T17:03:09Z,JAI384,"27.053833,76.208481",31600,435,205
1527267850,2018-05-25T17:04:10Z,JAI384,"26.946903,76.1511",33525,419,205
1527267913,2018-05-25T17:05:13Z,JAI384,"26.835434,76.091156",34450,422,205
1527267973,2018-05-25T17:06:13Z,JAI384,"26.729462,76.034615",35325,424,205
1527268029,2018-05-25T17:07:09Z,JAI384,"26.628485,75.980705",36000,425,205
1527268098,2018-05-25T17:08:18Z,JAI384,"26.503555,75.91423",36000,436,205
1527268186,2018-05-25T17:09:46Z,JAI384,"26.34284,75.82901",36000,437,205
1527268249,2018-05-25T17:10:49Z,JAI384,"26.227577,75.768005",36000,438,205
1527268308,2018-05-25T17:11:48Z,JAI384,"26.119995,75.711143",36000,438,205
1527268450,2018-05-25T17:14:10Z,JAI384,"25.855021,75.571678",36000,441,205
1527268501,2018-05-25T17:15:01Z,JAI384,"25.762009,75.52282",35975,442,205
1527268594,2018-05-25T17:16:34Z,JAI384,"25.593567,75.434669",36000,444,205
1527268655,2018-05-25T17:17:35Z,JAI384,"25.47818,75.374397",36000,445,205
1527268721,2018-05-25T17:18:41Z,JAI384,"25.352554,75.309044",36000,449,205
1527268784,2018-05-25T17:19:44Z,JAI384,"25.232986,75.24704",36000,447,205
1527268849,2018-05-25T17:20:49Z,JAI384,"25.113676,75.18499",36000,446,205
1527268911,2018-05-25T17:21:51Z,JAI384,"24.995945,75.124146",35975,445,205
1527268972,2018-05-25T17:22:52Z,JAI384,"24.882217,75.065384",36000,443,205
1527269035,2018-05-25T17:23:55Z,JAI384,"24.763882,75.004333",36000,445,205
1527269097,2018-05-25T17:24:57Z,JAI384,"24.649429,74.945526",36000,447,205
1527269161,2018-05-25T17:26:01Z,JAI384,"24.526373,74.88784",35975,449,200
1527269222,2018-05-25T17:27:02Z,JAI384,"24.407959,74.84034",36000,453,200
1527269283,2018-05-25T17:28:03Z,JAI384,"24.286057,74.791206",36000,453,200
1527269347,2018-05-25T17:29:07Z,JAI384,"24.160217,74.7407",35975,446,200
1527269409,2018-05-25T17:30:09Z,JAI384,"24.040321,74.692986",36000,442,200
1527269470,2018-05-25T17:31:10Z,JAI384,"23.922638,74.645844",35975,441,200
1527269531,2018-05-25T17:32:11Z,JAI384,"23.808197,74.599915",36000,442,200
1527269593,2018-05-25T17:33:13Z,JAI384,"23.687548,74.551666",36000,443,200
1527269657,2018-05-25T17:34:17Z,JAI384,"23.565767,74.503113",36000,443,200
1527269719,2018-05-25T17:35:19Z,JAI384,"23.447937,74.456245",36000,444,200
1527269778,2018-05-25T17:36:18Z,JAI384,"23.329933,74.409485",35975,444,200
1527269842,2018-05-25T17:37:22Z,JAI384,"23.208712,74.361473",36000,445,200
1527269903,2018-05-25T17:38:23Z,JAI384,"23.089828,74.314423",36000,445,200
1527269964,2018-05-25T17:39:24Z,JAI384,"22.970535,74.267326",36000,447,200
1527270027,2018-05-25T17:40:27Z,JAI384,"22.850739,74.21994",36000,449,200
1527270087,2018-05-25T17:41:27Z,JAI384,"22.731628,74.172943",36000,453,199
1527270149,2018-05-25T17:42:29Z,JAI384,"22.606842,74.124207",36000,457,200
1527270211,2018-05-25T17:43:31Z,JAI384,"22.479858,74.074371",36000,461,200
1527270272,2018-05-25T17:44:32Z,JAI384,"22.357452,74.026527",35975,460,199
1527270333,2018-05-25T17:45:33Z,JAI384,"22.23712,73.979645",36000,460,199
1527270396,2018-05-25T17:46:36Z,JAI384,"22.109573,73.929901",36000,462,199
1527270459,2018-05-25T17:47:39Z,JAI384,"21.981548,73.880211",35975,463,199
1527270523,2018-05-25T17:48:43Z,JAI384,"21.853575,73.830414",35975,463,200
1527270583,2018-05-25T17:49:43Z,JAI384,"21.731461,73.783134",36000,462,199
1527270646,2018-05-25T17:50:46Z,JAI384,"21.604336,73.733978",35975,460,199
1527270709,2018-05-25T17:51:49Z,JAI384,"21.480227,73.686012",35975,445,199
1527270754,2018-05-25T17:52:34Z,JAI384,"21.394821,73.653191",35975,427,199
1527270845,2018-05-25T17:54:05Z,JAI384,"21.230333,73.589935",36000,420,199
1527270908,2018-05-25T17:55:08Z,JAI384,"21.112701,73.546928",35425,420,197
1527270971,2018-05-25T17:56:11Z,JAI384,"20.995972,73.508194",33875,415,197
1527271035,2018-05-25T17:57:15Z,JAI384,"20.88068,73.469719",32275,407,197
1527271097,2018-05-25T17:58:17Z,JAI384,"20.769241,73.431931",30675,395,197
1527271159,2018-05-25T17:59:19Z,JAI384,"20.663956,73.396957",29650,391,197
1527271216,2018-05-25T18:00:16Z,JAI384,"20.559952,73.36219",28650,389,197
1527271286,2018-05-25T18:01:26Z,JAI384,"20.44174,73.322906",27500,378,197
1527271350,2018-05-25T18:02:30Z,JAI384,"20.338627,73.2883",26400,361,197
1527271411,2018-05-25T18:03:31Z,JAI384,"20.245567,73.257233",25325,340,197
1527271473,2018-05-25T18:04:33Z,JAI384,"20.150089,73.22747",25000,337,196
1527271538,2018-05-25T18:05:38Z,JAI384,"20.055405,73.197197",24150,337,196
1527271560,2018-05-25T18:06:00Z,JAI384,"20.019371,73.189972",23775,333,177
1527271567,2018-05-25T18:06:07Z,JAI384,"20.009596,73.19207",23675,331,166
1527271573,2018-05-25T18:06:13Z,JAI384,"20.001122,73.195862",23575,329,155
1527271580,2018-05-25T18:06:20Z,JAI384,"19.993534,73.201302",23475,328,144
1527271589,2018-05-25T18:06:29Z,JAI384,"19.984818,73.211319",23325,325,127
1527271598,2018-05-25T18:06:38Z,JAI384,"19.978266,73.22448",23175,324,114
