Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528305053,2018-06-06T17:10:53Z,JAI384,"28.532822,77.130569",2175,193,104
1528305060,2018-06-06T17:11:00Z,JAI384,"28.529167,77.139099",2325,200,124
1528305066,2018-06-06T17:11:06Z,JAI384,"28.524931,77.143463",2450,203,143
1528305074,2018-06-06T17:11:14Z,JAI384,"28.519855,77.146049",2575,206,160
1528305099,2018-06-06T17:11:39Z,JAI384,"28.493973,77.138351",3050,230,204
1528305107,2018-06-06T17:11:47Z,JAI384,"28.488007,77.135696",3175,237,200
1528305114,2018-06-06T17:11:54Z,JAI384,"28.478165,77.13221",3325,248,195
1528305121,2018-06-06T17:12:01Z,JAI384,"28.471115,77.13015",3425,255,193
1528305128,2018-06-06T17:12:08Z,JAI384,"28.460503,77.127472",3575,265,191
1528305135,2018-06-06T17:12:15Z,JAI384,"28.453798,77.125961",3725,270,191
1528305143,2018-06-06T17:12:23Z,JAI384,"28.446121,77.12429",3900,273,190
1528305149,2018-06-06T17:12:29Z,JAI384,"28.437971,77.122513",4125,274,190
1528305160,2018-06-06T17:12:40Z,JAI384,"28.422749,77.119232",4600,277,191
1528305170,2018-06-06T17:12:50Z,JAI384,"28.411249,77.116699",4925,279,191
1528305188,2018-06-06T17:13:08Z,JAI384,"28.388393,77.111366",5600,283,192
1528305199,2018-06-06T17:13:19Z,JAI384,"28.373262,77.10733",5950,287,195
1528305205,2018-06-06T17:13:25Z,JAI384,"28.36528,77.103844",6150,289,204
1528305212,2018-06-06T17:13:32Z,JAI384,"28.358231,77.099464",6350,290,211
1528305223,2018-06-06T17:13:43Z,JAI384,"28.345518,77.088158",6775,290,223
1528305230,2018-06-06T17:13:50Z,JAI384,"28.339783,77.081924",7000,291,224
1528305240,2018-06-06T17:14:00Z,JAI384,"28.327835,77.069199",7450,292,223
1528305253,2018-06-06T17:14:13Z,JAI384,"28.31575,77.056572",7875,294,222
1528305267,2018-06-06T17:14:27Z,JAI384,"28.303619,77.044006",8300,295,222
1528305276,2018-06-06T17:14:36Z,JAI384,"28.291809,77.031746",8675,299,222
1528305288,2018-06-06T17:14:48Z,JAI384,"28.279037,77.018387",9025,305,222
1528305303,2018-06-06T17:15:03Z,JAI384,"28.266541,77.005287",9425,307,222
1528305313,2018-06-06T17:15:13Z,JAI384,"28.253906,76.992134",9875,308,222
1528305324,2018-06-06T17:15:24Z,JAI384,"28.241148,76.978882",10400,305,222
1528305339,2018-06-06T17:15:39Z,JAI384,"28.228546,76.965775",10875,304,222
1528305348,2018-06-06T17:15:48Z,JAI384,"28.216049,76.952629",11200,309,223
1528305360,2018-06-06T17:16:00Z,JAI384,"28.204102,76.940109",11375,319,222
1528305374,2018-06-06T17:16:14Z,JAI384,"28.189911,76.925217",11600,331,222
1528305387,2018-06-06T17:16:27Z,JAI384,"28.175882,76.910652",11800,341,222
1528305396,2018-06-06T17:16:36Z,JAI384,"28.162289,76.896484",11975,351,222
1528305409,2018-06-06T17:16:49Z,JAI384,"28.147392,76.881088",12150,361,222
1528305439,2018-06-06T17:17:19Z,JAI384,"28.108986,76.841232",12875,376,222
1528305472,2018-06-06T17:17:52Z,JAI384,"28.065134,76.795837",13900,385,222
1528305504,2018-06-06T17:18:24Z,JAI384,"28.025425,76.754852",15075,387,222
1528305533,2018-06-06T17:18:53Z,JAI384,"27.985344,76.71344",16275,389,222
1528305567,2018-06-06T17:19:27Z,JAI384,"27.940933,76.667618",17375,396,222
1528305596,2018-06-06T17:19:56Z,JAI384,"27.899506,76.624771",18200,405,222
1528305660,2018-06-06T17:21:00Z,JAI384,"27.8104,76.533241",20100,416,221
1528305723,2018-06-06T17:22:03Z,JAI384,"27.711012,76.455231",21925,422,213
