Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528392752,2018-06-07T17:32:32Z,JAI384,"28.531401,77.129837",2350,182,120
1528392760,2018-06-07T17:32:40Z,JAI384,"28.525864,77.13533",2525,188,144
1528392768,2018-06-07T17:32:48Z,JAI384,"28.519867,77.137756",2650,196,164
1528392793,2018-06-07T17:33:13Z,JAI384,"28.492855,77.133125",3175,227,190
1528392801,2018-06-07T17:33:21Z,JAI384,"28.48657,77.131775",3350,231,190
1528392812,2018-06-07T17:33:32Z,JAI384,"28.473862,77.12899",3700,235,191
1528392819,2018-06-07T17:33:39Z,JAI384,"28.467407,77.127403",3900,238,192
1528392825,2018-06-07T17:33:45Z,JAI384,"28.46077,77.125816",4000,245,191
1528392831,2018-06-07T17:33:51Z,JAI384,"28.454178,77.124344",4100,250,191
1528392842,2018-06-07T17:34:02Z,JAI384,"28.44002,77.121223",4400,258,191
1528392848,2018-06-07T17:34:08Z,JAI384,"28.432526,77.119583",4625,260,191
1528392859,2018-06-07T17:34:19Z,JAI384,"28.418335,77.116524",5000,264,190
1528392871,2018-06-07T17:34:31Z,JAI384,"28.403595,77.113251",5325,267,191
1528392885,2018-06-07T17:34:45Z,JAI384,"28.38945,77.10997",5550,267,191
1528392898,2018-06-07T17:34:58Z,JAI384,"28.374115,77.106277",5750,268,192
1528392908,2018-06-07T17:35:08Z,JAI384,"28.359558,77.102737",5925,272,192
1528392920,2018-06-07T17:35:20Z,JAI384,"28.344452,77.098984",6100,274,192
1528392931,2018-06-07T17:35:31Z,JAI384,"28.330124,77.094818",6250,274,196
1528392941,2018-06-07T17:35:41Z,JAI384,"28.318863,77.089691",6375,278,203
1528392947,2018-06-07T17:35:47Z,JAI384,"28.312134,77.085838",6450,279,207
1528392955,2018-06-07T17:35:55Z,JAI384,"28.305405,77.081398",6550,279,210
1528392963,2018-06-07T17:36:03Z,JAI384,"28.295471,77.073792",6800,280,215
1528392970,2018-06-07T17:36:10Z,JAI384,"28.286774,77.065392",7150,278,222
1528392977,2018-06-07T17:36:17Z,JAI384,"28.28096,77.059158",7325,278,223
1528392983,2018-06-07T17:36:23Z,JAI384,"28.275551,77.052879",7450,282,226
1528392990,2018-06-07T17:36:30Z,JAI384,"28.269882,77.045853",7625,287,227
