Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528476574,2018-06-08T16:49:34Z,JAI384,"28.52948,77.140236",2775,184,124
1528476582,2018-06-08T16:49:42Z,JAI384,"28.525723,77.144272",2975,183,142
1528476589,2018-06-08T16:49:49Z,JAI384,"28.521286,77.146683",3175,184,160
1528476596,2018-06-08T16:49:56Z,JAI384,"28.51474,77.147476",3425,187,181
1528476605,2018-06-08T16:50:05Z,JAI384,"28.50563,77.144836",3750,191,199
1528476614,2018-06-08T16:50:14Z,JAI384,"28.498116,77.141632",3900,201,199
1528476620,2018-06-08T16:50:20Z,JAI384,"28.492538,77.139603",4025,205,197
1528476627,2018-06-08T16:50:27Z,JAI384,"28.486816,77.13765",4125,213,195
1528476633,2018-06-08T16:50:33Z,JAI384,"28.481003,77.13591",4225,218,194
1528476639,2018-06-08T16:50:39Z,JAI384,"28.475119,77.134254",4325,223,193
1528476645,2018-06-08T16:50:45Z,JAI384,"28.468735,77.13253",4450,229,193
1528476657,2018-06-08T16:50:57Z,JAI384,"28.455688,77.12925",4650,244,192
1528476664,2018-06-08T16:51:04Z,JAI384,"28.445745,77.12677",4775,253,192
1528476671,2018-06-08T16:51:11Z,JAI384,"28.438715,77.124992",4875,260,192
1528476677,2018-06-08T16:51:17Z,JAI384,"28.431427,77.12323",5000,266,192
1528476688,2018-06-08T16:51:28Z,JAI384,"28.416603,77.119446",5375,270,192
1528476700,2018-06-08T16:51:40Z,JAI384,"28.402311,77.115784",5750,273,192
1528476714,2018-06-08T16:51:54Z,JAI384,"28.388252,77.112175",6150,275,193
1528476724,2018-06-08T16:52:04Z,JAI384,"28.371914,77.107811",6575,278,193
1528476737,2018-06-08T16:52:17Z,JAI384,"28.35704,77.103897",6900,283,192
1528476750,2018-06-08T16:52:30Z,JAI384,"28.341049,77.099625",7275,288,193
1528476762,2018-06-08T16:52:42Z,JAI384,"28.325821,77.095184",7675,289,196
1528476768,2018-06-08T16:52:48Z,JAI384,"28.318176,77.091751",7850,291,203
1528476777,2018-06-08T16:52:57Z,JAI384,"28.30751,77.084465",8125,293,214
1528476783,2018-06-08T16:53:03Z,JAI384,"28.30134,77.078674",8300,293,221
1528476792,2018-06-08T16:53:12Z,JAI384,"28.292215,77.068604",8550,297,225
1528476800,2018-06-08T16:53:20Z,JAI384,"28.283752,77.059006",8850,298,225
1528476807,2018-06-08T16:53:27Z,JAI384,"28.27739,77.051765",9050,300,225
1528476818,2018-06-08T16:53:38Z,JAI384,"28.265808,77.038773",9400,303,224
1528476831,2018-06-08T16:53:51Z,JAI384,"28.253531,77.024986",9825,304,224
1528476843,2018-06-08T16:54:03Z,JAI384,"28.241821,77.011887",10225,304,224
1528476855,2018-06-08T16:54:15Z,JAI384,"28.229279,76.997841",10475,313,224
1528476867,2018-06-08T16:54:27Z,JAI384,"28.216801,76.983894",10700,322,224
1528476879,2018-06-08T16:54:39Z,JAI384,"28.203506,76.969055",10900,331,224
1528476891,2018-06-08T16:54:51Z,JAI384,"28.190359,76.954437",11100,340,224
1528476902,2018-06-08T16:55:02Z,JAI384,"28.176132,76.940216",11275,351,218
1528476912,2018-06-08T16:55:12Z,JAI384,"28.163591,76.929932",11450,358,213
1528476919,2018-06-08T16:55:19Z,JAI384,"28.155396,76.924049",11575,363,211
1528476927,2018-06-08T16:55:27Z,JAI384,"28.141712,76.91555",11800,368,207
1528476943,2018-06-08T16:55:43Z,JAI384,"28.118437,76.901978",12325,369,207
1528476974,2018-06-08T16:56:14Z,JAI384,"28.068466,76.872871",13375,375,207
1528477008,2018-06-08T16:56:48Z,JAI384,"28.016813,76.842308",14525,382,207
1528477041,2018-06-08T16:57:21Z,JAI384,"27.963821,76.811653",15625,391,207
1528477075,2018-06-08T16:57:55Z,JAI384,"27.90844,76.779747",16775,398,207
1528477105,2018-06-08T16:58:25Z,JAI384,"27.858255,76.750648",17750,407,207
1528477137,2018-06-08T16:58:57Z,JAI384,"27.804209,76.719322",18850,410,207
1528477201,2018-06-08T17:00:01Z,JAI384,"27.693924,76.655548",20750,420,207
1528477266,2018-06-08T17:01:06Z,JAI384,"27.582993,76.591454",22300,431,207
1528477326,2018-06-08T17:02:06Z,JAI384,"27.474426,76.528847",23625,440,207
1528477388,2018-06-08T17:03:08Z,JAI384,"27.357866,76.462151",25000,446,207
1528477451,2018-06-08T17:04:11Z,JAI384,"27.240463,76.394783",26200,453,207
1528477486,2018-06-08T17:04:46Z,JAI384,"27.175568,76.353767",26900,458,219
1528477493,2018-06-08T17:04:53Z,JAI384,"27.165482,76.342857",27025,461,226
1528477499,2018-06-08T17:04:59Z,JAI384,"27.156967,76.33213",27150,461,229
1528477509,2018-06-08T17:05:09Z,JAI384,"27.143463,76.31575",27325,461,225
1528477574,2018-06-08T17:06:14Z,JAI384,"27.047688,76.206398",28275,476,230
1528477635,2018-06-08T17:07:15Z,JAI384,"26.95578,76.088715",29475,477,227
1528477700,2018-06-08T17:08:20Z,JAI384,"26.862991,75.974709",31150,464,227
1528477762,2018-06-08T17:09:22Z,JAI384,"26.774845,75.860229",32075,467,232
1528477820,2018-06-08T17:10:20Z,JAI384,"26.700119,75.748657",32675,472,229
1528477911,2018-06-08T17:11:51Z,JAI384,"26.51976,75.652481",33725,468,199
1528477956,2018-06-08T17:12:36Z,JAI384,"26.429993,75.618225",34125,472,198
1528478046,2018-06-08T17:14:06Z,JAI384,"26.238983,75.544685",35300,472,199
1528478059,2018-06-08T17:14:19Z,JAI384,"26.214216,75.535019",35475,471,199
1528478156,2018-06-08T17:15:56Z,JAI384,"26.016541,75.458664",36000,471,199
1528478175,2018-06-08T17:16:15Z,JAI384,"25.97493,75.44265",35975,470,199
1528478267,2018-06-08T17:17:47Z,JAI384,"25.785965,75.370026",36000,463,199
1528478325,2018-06-08T17:18:45Z,JAI384,"25.668718,75.324806",36000,460,199
1528478375,2018-06-08T17:19:35Z,JAI384,"25.568161,75.286049",36000,460,199
1528478464,2018-06-08T17:21:04Z,JAI384,"25.388474,75.217117",36000,459,199
1528478527,2018-06-08T17:22:07Z,JAI384,"25.261246,75.168304",36000,458,199
1528478591,2018-06-08T17:23:11Z,JAI384,"25.133461,75.119537",35975,458,199
1528478652,2018-06-08T17:24:12Z,JAI384,"25.01152,75.07309",35975,458,199
1528478715,2018-06-08T17:25:15Z,JAI384,"24.884127,75.024597",36000,457,199
1528478776,2018-06-08T17:26:16Z,JAI384,"24.76309,74.978577",36000,456,199
1528478839,2018-06-08T17:27:19Z,JAI384,"24.636143,74.930542",36000,456,199
1528478900,2018-06-08T17:28:20Z,JAI384,"24.515106,74.88369",35975,455,200
1528478965,2018-06-08T17:29:25Z,JAI384,"24.388857,74.832283",36000,454,200
1528479027,2018-06-08T17:30:27Z,JAI384,"24.263958,74.782227",36000,453,200
1528479088,2018-06-08T17:31:28Z,JAI384,"24.143875,74.734291",36000,453,200
1528479149,2018-06-08T17:32:29Z,JAI384,"24.023794,74.686195",36000,453,200
1528479211,2018-06-08T17:33:31Z,JAI384,"23.904053,74.638313",36000,453,200
1528479273,2018-06-08T17:34:33Z,JAI384,"23.782654,74.589859",36000,452,200
1528479335,2018-06-08T17:35:35Z,JAI384,"23.658964,74.540321",36000,452,200
1528479396,2018-06-08T17:36:36Z,JAI384,"23.538803,74.492401",35975,451,200
1528479456,2018-06-08T17:37:36Z,JAI384,"23.419546,74.444984",35975,451,200
1528479517,2018-06-08T17:38:37Z,JAI384,"23.299767,74.397484",35975,453,199
1528479580,2018-06-08T17:39:40Z,JAI384,"23.173517,74.347588",36000,455,200
1528479641,2018-06-08T17:40:41Z,JAI384,"23.052704,74.29969",36000,454,200
1528479702,2018-06-08T17:41:42Z,JAI384,"22.932796,74.252319",35975,457,200
1528479764,2018-06-08T17:42:44Z,JAI384,"22.811527,74.204559",36000,457,199
1528479823,2018-06-08T17:43:43Z,JAI384,"22.690521,74.156914",35975,458,200
1528479886,2018-06-08T17:44:46Z,JAI384,"22.564987,74.107819",36000,458,199
1528479950,2018-06-08T17:45:50Z,JAI384,"22.437332,74.057793",36000,458,199
1528480011,2018-06-08T17:46:51Z,JAI384,"22.314768,74.010063",35975,459,199
1528480074,2018-06-08T17:47:54Z,JAI384,"22.188612,73.960823",36000,459,199
1528480135,2018-06-08T17:48:55Z,JAI384,"22.067808,73.91378",36000,458,199
1528480199,2018-06-08T17:49:59Z,JAI384,"21.941849,73.864731",35975,455,199
1528480261,2018-06-08T17:51:01Z,JAI384,"21.816147,73.815918",36000,452,199
1528480324,2018-06-08T17:52:04Z,JAI384,"21.69722,73.769844",36000,450,199
1528480368,2018-06-08T17:52:48Z,JAI384,"21.606674,73.734741",36000,448,199
1528480458,2018-06-08T17:54:18Z,JAI384,"21.431114,73.667244",36000,448,199
1528480522,2018-06-08T17:55:22Z,JAI384,"21.307297,73.619537",35975,438,199
1528480582,2018-06-08T17:56:22Z,JAI384,"21.196026,73.576561",35975,423,199
1528480647,2018-06-08T17:57:27Z,JAI384,"21.079376,73.535889",34625,407,197
1528480708,2018-06-08T17:58:28Z,JAI384,"20.965452,73.497734",33250,407,197
1528480770,2018-06-08T17:59:30Z,JAI384,"20.85638,73.461235",31125,406,197
1528480833,2018-06-08T18:00:33Z,JAI384,"20.744236,73.423828",29950,393,197
1528480895,2018-06-08T18:01:35Z,JAI384,"20.636124,73.387642",30000,384,197
1528480957,2018-06-08T18:02:37Z,JAI384,"20.533634,73.353416",30000,384,197
1528481019,2018-06-08T18:03:39Z,JAI384,"20.425678,73.317314",28500,381,197
1528481080,2018-06-08T18:04:40Z,JAI384,"20.324335,73.283699",26875,372,197
1528481145,2018-06-08T18:05:45Z,JAI384,"20.222992,73.250069",25750,349,196
1528481204,2018-06-08T18:06:44Z,JAI384,"20.131422,73.221382",24350,335,196
1528481267,2018-06-08T18:07:47Z,JAI384,"20.038317,73.19207",22750,328,195
1528481278,2018-06-08T18:07:58Z,JAI384,"20.024963,73.190033",22500,327,182
1528481299,2018-06-08T18:08:19Z,JAI384,"19.995628,73.201157",22000,314,141
1528481305,2018-06-08T18:08:25Z,JAI384,"19.989485,73.207146",21900,310,135
1528481313,2018-06-08T18:08:33Z,JAI384,"19.981989,73.217087",21675,308,125
1528481320,2018-06-08T18:08:40Z,JAI384,"19.977148,73.226173",21475,307,117
1528481326,2018-06-08T18:08:46Z,JAI384,"19.974123,73.234261",21300,306,110
1528481336,2018-06-08T18:08:56Z,JAI384,"19.97105,73.248894",21025,306,101
1528481361,2018-06-08T18:09:21Z,JAI384,"19.977707,73.287544",20475,305,64
1528481367,2018-06-08T18:09:27Z,JAI384,"19.981756,73.294739",20375,304,57
1528481373,2018-06-08T18:09:33Z,JAI384,"19.986923,73.301712",20300,305,49
1528481379,2018-06-08T18:09:39Z,JAI384,"19.993582,73.308418",20200,306,40
1528481387,2018-06-08T18:09:47Z,JAI384,"20.000332,73.313469",20125,307,32
1528481394,2018-06-08T18:09:54Z,JAI384,"20.01169,73.319206",19975,305,20
1528481400,2018-06-08T18:10:00Z,JAI384,"20.020248,73.32177",19875,303,13
1528481406,2018-06-08T18:10:06Z,JAI384,"20.028309,73.323799",19775,302,13
1528481412,2018-06-08T18:10:12Z,JAI384,"20.036503,73.325897",19675,300,13
1528481418,2018-06-08T18:10:18Z,JAI384,"20.044882,73.328094",19575,299,13
1528481486,2018-06-08T18:11:26Z,JAI384,"20.133005,73.350967",18550,293,13
1528481516,2018-06-08T18:11:56Z,JAI384,"20.172546,73.361107",18075,293,13
1528481633,2018-06-08T18:13:53Z,JAI384,"20.239052,73.254936",16975,307,228
1528481668,2018-06-08T18:14:28Z,JAI384,"20.194082,73.232315",16975,301,193
1528481704,2018-06-08T18:15:04Z,JAI384,"20.149298,73.220833",17000,303,193
1528481733,2018-06-08T18:15:33Z,JAI384,"20.107269,73.2099",17000,306,193
1528481766,2018-06-08T18:16:06Z,JAI384,"20.06218,73.198372",17000,303,193
1528481789,2018-06-08T18:16:29Z,JAI384,"20.032358,73.193115",17000,302,180
1528481812,2018-06-08T18:16:52Z,JAI384,"20.003496,73.20575",16975,296,140
1528481819,2018-06-08T18:16:59Z,JAI384,"19.995026,73.215736",16850,292,126
1528481825,2018-06-08T18:17:05Z,JAI384,"19.991159,73.22303",16750,290,116
1528481835,2018-06-08T18:17:15Z,JAI384,"19.987518,73.235451",16600,287,101
1528481860,2018-06-08T18:17:40Z,JAI384,"19.993881,73.271553",16150,284,60
1528481866,2018-06-08T18:17:46Z,JAI384,"19.998468,73.278313",16075,284,51
1528481874,2018-06-08T18:17:54Z,JAI384,"20.004547,73.284691",15975,283,42
1528481880,2018-06-08T18:18:00Z,JAI384,"20.010818,73.289307",15975,284,32
1528481888,2018-06-08T18:18:08Z,JAI384,"20.021465,73.294243",15975,286,18
1528481894,2018-06-08T18:18:14Z,JAI384,"20.029705,73.296539",15975,287,13
1528481900,2018-06-08T18:18:20Z,JAI384,"20.037186,73.298378",15975,288,13
1528481906,2018-06-08T18:18:26Z,JAI384,"20.045013,73.300392",15975,290,13
1528481912,2018-06-08T18:18:32Z,JAI384,"20.05275,73.302376",15975,290,13
1528481946,2018-06-08T18:19:06Z,JAI384,"20.096508,73.313866",16000,289,13
1528481978,2018-06-08T18:19:38Z,JAI384,"20.139429,73.325005",16000,286,13
1528482014,2018-06-08T18:20:14Z,JAI384,"20.182251,73.335945",16000,284,13
1528482024,2018-06-08T18:20:24Z,JAI384,"20.198038,73.338486",16000,285,2
1528482044,2018-06-08T18:20:44Z,JAI384,"20.22084,73.332367",16000,290,333
1528482050,2018-06-08T18:20:50Z,JAI384,"20.230865,73.324615",16000,293,318
1528482057,2018-06-08T18:20:57Z,JAI384,"20.236584,73.31781",16000,295,307
1528482064,2018-06-08T18:21:04Z,JAI384,"20.240913,73.310417",16000,297,299
1528482071,2018-06-08T18:21:11Z,JAI384,"20.244032,73.302277",16000,298,289
1528482079,2018-06-08T18:21:19Z,JAI384,"20.246174,73.289093",15975,301,274
1528482099,2018-06-08T18:21:39Z,JAI384,"20.238911,73.259529",16000,301,240
1528482105,2018-06-08T18:21:45Z,JAI384,"20.233704,73.252075",16000,300,229
1528482112,2018-06-08T18:21:52Z,JAI384,"20.22789,73.246193",16000,299,221
1528482118,2018-06-08T18:21:58Z,JAI384,"20.220942,73.241158",15950,298,210
1528482127,2018-06-08T18:22:07Z,JAI384,"20.209677,73.236214",15825,293,196
1528482134,2018-06-08T18:22:14Z,JAI384,"20.201385,73.234131",15725,292,191
1528482143,2018-06-08T18:22:23Z,JAI384,"20.189472,73.231316",15575,292,192
1528482176,2018-06-08T18:22:56Z,JAI384,"20.145584,73.220055",15125,294,193
1528482210,2018-06-08T18:23:30Z,JAI384,"20.101955,73.208549",14975,291,193
1528482240,2018-06-08T18:24:00Z,JAI384,"20.058708,73.197456",15000,288,193
1528482259,2018-06-08T18:24:19Z,JAI384,"20.035309,73.193176",15000,286,180
