Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528651175,2018-06-10T17:19:35Z,JAI384,"28.551041,77.045746",2125,205,282
1528651182,2018-06-10T17:19:42Z,JAI384,"28.552629,77.0364",2450,207,278
1528651213,2018-06-10T17:20:13Z,JAI384,"28.537033,77.009041",3025,240,201
1528651223,2018-06-10T17:20:23Z,JAI384,"28.526642,77.00708",3200,253,182
1528651243,2018-06-10T17:20:43Z,JAI384,"28.50119,77.0084",3550,276,178
1528651251,2018-06-10T17:20:51Z,JAI384,"28.489225,77.008018",3800,282,183
1528651260,2018-06-10T17:21:00Z,JAI384,"28.481232,77.00724",4025,283,185
1528651270,2018-06-10T17:21:10Z,JAI384,"28.465302,77.004868",4525,285,188
1528651277,2018-06-10T17:21:17Z,JAI384,"28.457336,77.003334",4775,285,189
1528651297,2018-06-10T17:21:37Z,JAI384,"28.433945,76.99826",5550,285,191
1528651308,2018-06-10T17:21:48Z,JAI384,"28.418606,76.99472",6025,286,191
1528651318,2018-06-10T17:21:58Z,JAI384,"28.403046,76.99118",6500,288,191
1528651331,2018-06-10T17:22:11Z,JAI384,"28.387253,76.987701",6875,291,190
1528651343,2018-06-10T17:22:23Z,JAI384,"28.370865,76.984268",7025,296,190
1528651354,2018-06-10T17:22:34Z,JAI384,"28.354523,76.980934",7050,297,189
1528651367,2018-06-10T17:22:47Z,JAI384,"28.33765,76.977699",7200,297,189
1528651378,2018-06-10T17:22:58Z,JAI384,"28.321701,76.974014",7300,294,195
1528651386,2018-06-10T17:23:06Z,JAI384,"28.314377,76.971169",7375,293,201
1528651395,2018-06-10T17:23:15Z,JAI384,"28.303345,76.964935",7450,290,209
1528651403,2018-06-10T17:23:23Z,JAI384,"28.293333,76.95697",7550,290,218
1528651409,2018-06-10T17:23:29Z,JAI384,"28.28677,76.951096",7625,291,218
1528651417,2018-06-10T17:23:37Z,JAI384,"28.280685,76.945656",7750,292,218
1528651435,2018-06-10T17:23:55Z,JAI384,"28.261185,76.928383",8500,290,218
1528651446,2018-06-10T17:24:06Z,JAI384,"28.248457,76.917168",8900,294,218
1528651457,2018-06-10T17:24:17Z,JAI384,"28.235468,76.905701",9275,297,217
1528651468,2018-06-10T17:24:28Z,JAI384,"28.222294,76.894066",9675,300,217
1528651480,2018-06-10T17:24:40Z,JAI384,"28.208954,76.882271",10100,303,218
1528651493,2018-06-10T17:24:53Z,JAI384,"28.19577,76.870598",10450,308,218
1528651505,2018-06-10T17:25:05Z,JAI384,"28.182037,76.858452",10700,317,218
1528651517,2018-06-10T17:25:17Z,JAI384,"28.167362,76.845383",10975,326,218
1528651529,2018-06-10T17:25:29Z,JAI384,"28.15329,76.832832",11275,332,218
1528651542,2018-06-10T17:25:42Z,JAI384,"28.138313,76.819695",11775,332,217
1528651553,2018-06-10T17:25:53Z,JAI384,"28.123882,76.807091",12200,334,217
1528651587,2018-06-10T17:26:27Z,JAI384,"28.083149,76.771439",13425,337,218
1528651621,2018-06-10T17:27:01Z,JAI384,"28.042835,76.735519",14800,340,218
1528651650,2018-06-10T17:27:30Z,JAI384,"28.004803,76.701591",16050,344,218
1528651683,2018-06-10T17:28:03Z,JAI384,"27.962769,76.664978",17350,348,217
1528651716,2018-06-10T17:28:36Z,JAI384,"27.919285,76.627312",17850,377,217
1528651746,2018-06-10T17:29:06Z,JAI384,"27.875572,76.588913",18525,393,218
1528651775,2018-06-10T17:29:35Z,JAI384,"27.834412,76.55854",19750,391,208
1528651784,2018-06-10T17:29:44Z,JAI384,"27.819901,76.550453",20075,392,205
1528651851,2018-06-10T17:30:51Z,JAI384,"27.701933,76.489243",21800,413,204
1528651914,2018-06-10T17:31:54Z,JAI384,"27.591837,76.432045",23575,419,204
1528651978,2018-06-10T17:32:58Z,JAI384,"27.477814,76.372597",24850,436,204
1528652042,2018-06-10T17:34:02Z,JAI384,"27.360031,76.311501",26075,447,204
1528652103,2018-06-10T17:35:03Z,JAI384,"27.243164,76.250977",27600,447,204
1528652167,2018-06-10T17:36:07Z,JAI384,"27.122589,76.188835",28875,450,204
1528652230,2018-06-10T17:37:10Z,JAI384,"27.002113,76.126648",29875,457,204
1528652291,2018-06-10T17:38:11Z,JAI384,"26.886478,76.067276",30725,463,204
1528652352,2018-06-10T17:39:12Z,JAI384,"26.761642,76.003365",31725,465,204
1528652389,2018-06-10T17:39:49Z,JAI384,"26.691101,75.967247",32500,460,204
1528652479,2018-06-10T17:41:19Z,JAI384,"26.520218,75.879974",34000,450,204
1528652543,2018-06-10T17:42:23Z,JAI384,"26.397858,75.817841",34000,453,204
1528652606,2018-06-10T17:43:26Z,JAI384,"26.278227,75.757126",34000,455,204
1528652669,2018-06-10T17:44:29Z,JAI384,"26.156353,75.695381",33975,454,204
1528652733,2018-06-10T17:45:33Z,JAI384,"26.036945,75.635109",34000,453,204
1528652795,2018-06-10T17:46:35Z,JAI384,"25.915649,75.573761",34000,452,204
1528652856,2018-06-10T17:47:36Z,JAI384,"25.800507,75.516083",33975,452,204
1528652918,2018-06-10T17:48:38Z,JAI384,"25.679007,75.455399",34000,453,204
1528652981,2018-06-10T17:49:41Z,JAI384,"25.562346,75.396942",34000,454,204
1528653044,2018-06-10T17:50:44Z,JAI384,"25.440216,75.335999",34000,457,204
1528653104,2018-06-10T17:51:44Z,JAI384,"25.323761,75.278168",34000,456,204
1528653167,2018-06-10T17:52:47Z,JAI384,"25.202543,75.218155",34000,455,204
1528653230,2018-06-10T17:53:50Z,JAI384,"25.085312,75.160011",34000,453,204
1528653292,2018-06-10T17:54:52Z,JAI384,"24.963684,75.09964",33975,452,204
1528653352,2018-06-10T17:55:52Z,JAI384,"24.847549,75.04232",34000,452,204
1528653415,2018-06-10T17:56:55Z,JAI384,"24.725418,74.982246",34000,453,204
1528653476,2018-06-10T17:57:56Z,JAI384,"24.60997,74.925591",34000,453,204
1528653539,2018-06-10T17:58:59Z,JAI384,"24.485546,74.872398",34000,455,200
1528653601,2018-06-10T18:00:01Z,JAI384,"24.365341,74.82412",34000,454,200
1528653661,2018-06-10T18:01:01Z,JAI384,"24.244812,74.775795",33975,454,200
1528653727,2018-06-10T18:02:07Z,JAI384,"24.113174,74.722992",34000,453,200
