Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528735766,2018-06-11T16:49:26Z,JAI384,"28.550488,77.049324",2350,189,281
1528735790,2018-06-11T16:49:50Z,JAI384,"28.544815,77.025253",2875,219,229
1528735796,2018-06-11T16:49:56Z,JAI384,"28.537779,77.018951",3025,231,213
1528735802,2018-06-11T16:50:02Z,JAI384,"28.535019,77.017326",3075,236,208
1528735808,2018-06-11T16:50:08Z,JAI384,"28.528608,77.014915",3200,243,197
1528735814,2018-06-11T16:50:14Z,JAI384,"28.521469,77.01384",3325,250,185
1528735820,2018-06-11T16:50:20Z,JAI384,"28.512362,77.013565",3475,258,181
1528735826,2018-06-11T16:50:26Z,JAI384,"28.507286,77.013458",3550,261,181
1528735833,2018-06-11T16:50:33Z,JAI384,"28.495928,77.012817",3725,269,183
1528735843,2018-06-11T16:50:43Z,JAI384,"28.484344,77.011574",3875,277,186
1528735849,2018-06-11T16:50:49Z,JAI384,"28.477158,77.010361",4000,280,188
1528735860,2018-06-11T16:51:00Z,JAI384,"28.461618,77.007103",4450,281,191
1528735871,2018-06-11T16:51:11Z,JAI384,"28.450012,77.004387",4825,279,191
1528735878,2018-06-11T16:51:18Z,JAI384,"28.438339,77.001587",5175,280,191
1528735891,2018-06-11T16:51:31Z,JAI384,"28.42312,76.998055",5600,281,191
1528735903,2018-06-11T16:51:43Z,JAI384,"28.407623,76.994461",6050,282,191
1528735914,2018-06-11T16:51:54Z,JAI384,"28.391922,76.990974",6500,283,191
1528735928,2018-06-11T16:52:08Z,JAI384,"28.376633,76.987541",6900,285,191
1528735939,2018-06-11T16:52:19Z,JAI384,"28.361345,76.984161",7300,287,191
1528735951,2018-06-11T16:52:31Z,JAI384,"28.345093,76.980515",7700,290,191
1528735962,2018-06-11T16:52:42Z,JAI384,"28.329163,76.976868",8125,292,191
1528735974,2018-06-11T16:52:54Z,JAI384,"28.313955,76.971184",8500,288,202
1528735981,2018-06-11T16:53:01Z,JAI384,"28.306366,76.966942",8700,286,207
1528735988,2018-06-11T16:53:08Z,JAI384,"28.299664,76.962296",8875,285,212
1528735995,2018-06-11T16:53:15Z,JAI384,"28.290121,76.954224",9150,286,218
1528736005,2018-06-11T16:53:25Z,JAI384,"28.28067,76.945763",9425,289,218
1528736018,2018-06-11T16:53:38Z,JAI384,"28.267544,76.934021",9825,291,218
1528736029,2018-06-11T16:53:49Z,JAI384,"28.254835,76.922768",10175,296,218
1528736041,2018-06-11T16:54:01Z,JAI384,"28.241867,76.911324",10550,299,217
1528736054,2018-06-11T16:54:14Z,JAI384,"28.228226,76.899277",10975,302,218
1528736066,2018-06-11T16:54:26Z,JAI384,"28.214722,76.887344",11200,311,218
1528736077,2018-06-11T16:54:37Z,JAI384,"28.200693,76.874947",11425,321,218
1528736088,2018-06-11T16:54:48Z,JAI384,"28.186661,76.862518",11600,331,218
1528736100,2018-06-11T16:55:00Z,JAI384,"28.170822,76.849632",11800,345,213
1528736112,2018-06-11T16:55:12Z,JAI384,"28.158285,76.841446",11950,355,208
1528736118,2018-06-11T16:55:18Z,JAI384,"28.149216,76.836372",12050,360,206
1528736124,2018-06-11T16:55:24Z,JAI384,"28.136032,76.829063",12225,364,205
1528736130,2018-06-11T16:55:30Z,JAI384,"28.131317,76.826492",12300,367,205
1528736160,2018-06-11T16:56:00Z,JAI384,"28.081055,76.79866",13350,374,206
1528736196,2018-06-11T16:56:36Z,JAI384,"28.027267,76.768661",14650,381,206
1528736226,2018-06-11T16:57:06Z,JAI384,"27.974916,76.739609",16075,381,206
1528736257,2018-06-11T16:57:37Z,JAI384,"27.927433,76.713043",17425,375,206
1528736292,2018-06-11T16:58:12Z,JAI384,"27.87648,76.684677",18600,377,206
1528736355,2018-06-11T16:59:15Z,JAI384,"27.774973,76.628212",20575,383,206
1528736399,2018-06-11T16:59:59Z,JAI384,"27.702072,76.591454",21875,397,194
1528736405,2018-06-11T17:00:05Z,JAI384,"27.69104,76.589973",21950,403,185
1528736432,2018-06-11T17:00:32Z,JAI384,"27.639816,76.600052",22375,419,163
1528736440,2018-06-11T17:00:40Z,JAI384,"27.628555,76.603569",22500,420,164
1528736456,2018-06-11T17:00:56Z,JAI384,"27.593674,76.612068",22825,422,173
1528736462,2018-06-11T17:01:02Z,JAI384,"27.582321,76.612434",22950,421,179
1528736484,2018-06-11T17:01:24Z,JAI384,"27.541468,76.603226",23450,414,199
1528736490,2018-06-11T17:01:30Z,JAI384,"27.531273,76.59816",23600,413,204
1528736552,2018-06-11T17:02:32Z,JAI384,"27.421129,76.537468",25025,421,206
1528736616,2018-06-11T17:03:36Z,JAI384,"27.311462,76.476868",26550,422,206
1528736678,2018-06-11T17:04:38Z,JAI384,"27.204149,76.417885",27825,425,206
1528736738,2018-06-11T17:05:38Z,JAI384,"27.093018,76.356743",28800,435,206
1528736801,2018-06-11T17:06:41Z,JAI384,"26.979401,76.294449",29950,436,206
1528736861,2018-06-11T17:07:41Z,JAI384,"26.869629,76.234497",31025,437,205
