Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528910437,2018-06-13T17:20:37Z,JAI384,"28.550022,77.051804",2650,169,280
1528910459,2018-06-13T17:20:59Z,JAI384,"28.541595,77.034462",3175,190,218
1528910466,2018-06-13T17:21:06Z,JAI384,"28.53587,77.031288",3225,207,204
1528910474,2018-06-13T17:21:14Z,JAI384,"28.527145,77.028999",3300,227,190
1528910481,2018-06-13T17:21:21Z,JAI384,"28.520834,77.02784",3425,234,189
1528910487,2018-06-13T17:21:27Z,JAI384,"28.514786,77.02652",3550,238,191
1528910494,2018-06-13T17:21:34Z,JAI384,"28.507427,77.024773",3650,246,191
1528910500,2018-06-13T17:21:40Z,JAI384,"28.500275,77.022926",3750,252,192
1528910511,2018-06-13T17:21:51Z,JAI384,"28.486059,77.019112",4000,264,193
1528910517,2018-06-13T17:21:57Z,JAI384,"28.479172,77.017227",4125,268,193
1528910523,2018-06-13T17:22:03Z,JAI384,"28.472513,77.015343",4225,272,193
1528910531,2018-06-13T17:22:11Z,JAI384,"28.463745,77.013054",4475,276,193
1528910541,2018-06-13T17:22:21Z,JAI384,"28.449234,77.0093",4900,277,192
1528910548,2018-06-13T17:22:28Z,JAI384,"28.441177,77.00724",5125,279,193
1528910558,2018-06-13T17:22:38Z,JAI384,"28.42598,77.00312",5600,280,193
1528910570,2018-06-13T17:22:50Z,JAI384,"28.410599,76.99897",5950,282,193
1528910582,2018-06-13T17:23:02Z,JAI384,"28.395126,76.994774",6125,284,193
1528910596,2018-06-13T17:23:16Z,JAI384,"28.379974,76.989601",6325,282,200
1528910606,2018-06-13T17:23:26Z,JAI384,"28.369724,76.984001",6475,278,207
1528910612,2018-06-13T17:23:32Z,JAI384,"28.360886,76.977768",6600,277,213
1528910619,2018-06-13T17:23:39Z,JAI384,"28.353664,76.971725",6725,276,216
1528910627,2018-06-13T17:23:47Z,JAI384,"28.345001,76.964455",6875,277,216
1528910645,2018-06-13T17:24:05Z,JAI384,"28.328842,76.951202",7075,278,215
1528910655,2018-06-13T17:24:15Z,JAI384,"28.316025,76.940742",7275,280,215
1528910670,2018-06-13T17:24:30Z,JAI384,"28.299911,76.927643",7500,282,215
1528910684,2018-06-13T17:24:44Z,JAI384,"28.287048,76.917168",7700,282,215
1528910696,2018-06-13T17:24:56Z,JAI384,"28.274094,76.906677",7900,284,215
1528910706,2018-06-13T17:25:06Z,JAI384,"28.261166,76.896111",8000,285,215
1528910718,2018-06-13T17:25:18Z,JAI384,"28.248503,76.885826",8000,284,215
1528910731,2018-06-13T17:25:31Z,JAI384,"28.235235,76.875053",8100,284,215
1528910743,2018-06-13T17:25:43Z,JAI384,"28.222733,76.864838",8275,283,215
1528910755,2018-06-13T17:25:55Z,JAI384,"28.209503,76.854118",8450,284,215
1528910766,2018-06-13T17:26:06Z,JAI384,"28.196737,76.843712",8600,285,215
1528910780,2018-06-13T17:26:20Z,JAI384,"28.183594,76.832993",8850,289,215
1528910790,2018-06-13T17:26:30Z,JAI384,"28.170685,76.822479",9225,292,215
1528910803,2018-06-13T17:26:43Z,JAI384,"28.156952,76.811279",9600,295,215
1528910815,2018-06-13T17:26:55Z,JAI384,"28.143248,76.800087",9950,299,216
1528910829,2018-06-13T17:27:09Z,JAI384,"28.129852,76.789207",10325,302,215
1528910839,2018-06-13T17:27:19Z,JAI384,"28.116074,76.778008",10700,305,215
1528910851,2018-06-13T17:27:31Z,JAI384,"28.102049,76.766647",11075,308,215
1528910862,2018-06-13T17:27:42Z,JAI384,"28.088058,76.755348",11375,314,215
1528910876,2018-06-13T17:27:56Z,JAI384,"28.073048,76.743111",11600,324,215
1528910890,2018-06-13T17:28:10Z,JAI384,"28.057663,76.730629",11800,336,215
1528910900,2018-06-13T17:28:20Z,JAI384,"28.042324,76.718178",11975,345,215
1528910912,2018-06-13T17:28:32Z,JAI384,"28.028172,76.706703",12225,353,215
1528910946,2018-06-13T17:29:06Z,JAI384,"27.981995,76.669304",13400,361,215
1528910978,2018-06-13T17:29:38Z,JAI384,"27.936127,76.632278",14625,367,215
1528911011,2018-06-13T17:30:11Z,JAI384,"27.890076,76.59507",16025,371,215
1528911045,2018-06-13T17:30:45Z,JAI384,"27.842651,76.556618",17275,379,215
1528911077,2018-06-13T17:31:17Z,JAI384,"27.794083,76.517441",18100,397,215
1528911141,2018-06-13T17:32:21Z,JAI384,"27.695114,76.443497",20250,406,213
1528911205,2018-06-13T17:33:25Z,JAI384,"27.594444,76.36792",21825,424,214
1528911267,2018-06-13T17:34:27Z,JAI384,"27.486908,76.289009",23100,445,211
1528911327,2018-06-13T17:35:27Z,JAI384,"27.379698,76.215858",24375,454,211
1528911391,2018-06-13T17:36:31Z,JAI384,"27.265646,76.137787",25800,458,211
1528911455,2018-06-13T17:37:35Z,JAI384,"27.149405,76.058403",26975,468,211
1528911517,2018-06-13T17:38:37Z,JAI384,"27.031082,75.977821",27975,478,211
1528911598,2018-06-13T17:39:58Z,JAI384,"26.877493,75.873695",29325,484,211
1528911660,2018-06-13T17:41:00Z,JAI384,"26.747845,75.805664",30250,495,200
1528911721,2018-06-13T17:42:01Z,JAI384,"26.616119,75.749855",31025,502,200
1528911785,2018-06-13T17:43:05Z,JAI384,"26.478058,75.691551",32275,498,200
1528911846,2018-06-13T17:44:06Z,JAI384,"26.348602,75.636673",33500,490,200
1528911908,2018-06-13T17:45:08Z,JAI384,"26.220245,75.582413",34000,489,200
1528911969,2018-06-13T17:46:09Z,JAI384,"26.091522,75.528412",34000,490,200
1528912031,2018-06-13T17:47:11Z,JAI384,"25.95726,75.472237",34000,490,200
1528912091,2018-06-13T17:48:11Z,JAI384,"25.827972,75.418503",34000,492,200
1528912151,2018-06-13T17:49:11Z,JAI384,"25.697393,75.365021",34000,492,200
1528912217,2018-06-13T17:50:17Z,JAI384,"25.555573,75.306854",34000,492,200
1528912282,2018-06-13T17:51:22Z,JAI384,"25.419296,75.25106",34000,490,200
1528912345,2018-06-13T17:52:25Z,JAI384,"25.281876,75.19516",34000,490,200
1528912409,2018-06-13T17:53:29Z,JAI384,"25.146194,75.139824",34000,491,200
1528912470,2018-06-13T17:54:30Z,JAI384,"25.015869,75.086891",34625,490,200
1528912531,2018-06-13T17:55:31Z,JAI384,"24.888502,75.035172",35625,486,200
1528912593,2018-06-13T17:56:33Z,JAI384,"24.756638,74.98159",36250,485,200
1528912655,2018-06-13T17:57:35Z,JAI384,"24.625854,74.92878",37000,485,200
1528912719,2018-06-13T17:58:39Z,JAI384,"24.492203,74.874519",37700,485,200
1528912782,2018-06-13T17:59:42Z,JAI384,"24.358154,74.820099",38000,485,200
1528912844,2018-06-13T18:00:44Z,JAI384,"24.229248,74.768372",38000,484,200
1528912903,2018-06-13T18:01:43Z,JAI384,"24.101955,74.717499",38000,484,200
1528912967,2018-06-13T18:02:47Z,JAI384,"23.967453,74.663902",38000,483,200
1528913031,2018-06-13T18:03:51Z,JAI384,"23.833099,74.610085",38000,484,200
1528913057,2018-06-13T18:04:17Z,JAI384,"23.779449,74.588524",38000,483,200
1528913145,2018-06-13T18:05:45Z,JAI384,"23.594629,74.514717",38000,481,200
1528913205,2018-06-13T18:06:45Z,JAI384,"23.468491,74.464386",38000,480,200
1528913265,2018-06-13T18:07:45Z,JAI384,"23.34227,74.414314",38000,480,200
1528913329,2018-06-13T18:08:49Z,JAI384,"23.210815,74.362312",38000,481,200
1528913389,2018-06-13T18:09:49Z,JAI384,"23.083952,74.312134",38000,482,200
1528913452,2018-06-13T18:10:52Z,JAI384,"22.951231,74.259644",38000,481,200
1528913515,2018-06-13T18:11:55Z,JAI384,"22.818741,74.207504",38000,478,200
1528913576,2018-06-13T18:12:56Z,JAI384,"22.693497,74.158264",38000,474,199
1528913638,2018-06-13T18:13:58Z,JAI384,"22.563171,74.107155",38000,472,199
1528913676,2018-06-13T18:14:36Z,JAI384,"22.486679,74.077118",38000,471,200
1528913765,2018-06-13T18:16:05Z,JAI384,"22.303782,74.005638",38000,471,199
1528913829,2018-06-13T18:17:09Z,JAI384,"22.173386,73.954865",38000,473,200
1528913889,2018-06-13T18:18:09Z,JAI384,"22.048723,73.906349",38000,475,199
1528913954,2018-06-13T18:19:14Z,JAI384,"21.91745,73.855339",38000,475,199
1528914016,2018-06-13T18:20:16Z,JAI384,"21.7864,73.804474",38000,475,199
1528914077,2018-06-13T18:21:17Z,JAI384,"21.66156,73.756165",38000,477,199
1528914139,2018-06-13T18:22:19Z,JAI384,"21.529339,73.705193",38000,477,199
1528914203,2018-06-13T18:23:23Z,JAI384,"21.397177,73.654022",38000,477,199
1528914266,2018-06-13T18:24:26Z,JAI384,"21.265806,73.603569",38000,476,199
1528914330,2018-06-13T18:25:30Z,JAI384,"21.13439,73.554535",37575,476,197
1528914393,2018-06-13T18:26:33Z,JAI384,"20.998215,73.509033",36650,491,197
1528914455,2018-06-13T18:27:35Z,JAI384,"20.860474,73.462929",35500,484,197
1528914518,2018-06-13T18:28:38Z,JAI384,"20.733156,73.419434",34575,443,197
1528914579,2018-06-13T18:29:39Z,JAI384,"20.61673,73.380432",32750,425,197
1528914643,2018-06-13T18:30:43Z,JAI384,"20.499939,73.341835",30300,415,197
1528914704,2018-06-13T18:31:44Z,JAI384,"20.383596,73.303474",28025,413,197
1528914767,2018-06-13T18:32:47Z,JAI384,"20.273966,73.26722",26375,402,197
1528914828,2018-06-13T18:33:48Z,JAI384,"20.162752,73.231216",24850,385,196
1528914893,2018-06-13T18:34:53Z,JAI384,"20.057917,73.197807",23225,360,196
1528914914,2018-06-13T18:35:14Z,JAI384,"20.023561,73.18927",22525,356,185
1528914935,2018-06-13T18:35:35Z,JAI384,"19.990509,73.199409",21825,351,149
1528914942,2018-06-13T18:35:42Z,JAI384,"19.983398,73.205681",21625,350,138
1528914948,2018-06-13T18:35:48Z,JAI384,"19.976715,73.21402",21400,348,128
1528914955,2018-06-13T18:35:55Z,JAI384,"19.970491,73.22702",21125,345,112
1528914963,2018-06-13T18:36:03Z,JAI384,"19.968109,73.237022",20925,343,101
1528914969,2018-06-13T18:36:09Z,JAI384,"19.967558,73.247246",20750,341,91
1528914990,2018-06-13T18:36:30Z,JAI384,"19.977539,73.280571",20125,336,62
1528914996,2018-06-13T18:36:36Z,JAI384,"19.982967,73.289093",19925,335,55
1528915002,2018-06-13T18:36:42Z,JAI384,"19.988617,73.296074",19775,334,48
1528915010,2018-06-13T18:36:50Z,JAI384,"19.999146,73.305244",19600,329,36
1528915017,2018-06-13T18:36:57Z,JAI384,"20.0075,73.310272",19450,327,28
1528915028,2018-06-13T18:37:08Z,JAI384,"20.025375,73.315643",19175,322,10
1528915035,2018-06-13T18:37:15Z,JAI384,"20.033848,73.316261",19050,319,3
1528915056,2018-06-13T18:37:36Z,JAI384,"20.063736,73.308723",18575,312,334
1528915066,2018-06-13T18:37:46Z,JAI384,"20.073372,73.301529",18400,309,321
1528915073,2018-06-13T18:37:53Z,JAI384,"20.082542,73.290741",18175,307,308
1528915079,2018-06-13T18:37:59Z,JAI384,"20.086966,73.283051",18025,306,300
1528915085,2018-06-13T18:38:05Z,JAI384,"20.090223,73.274811",17900,304,292
1528915093,2018-06-13T18:38:13Z,JAI384,"20.092346,73.265762",17775,300,282
1528915119,2018-06-13T18:38:39Z,JAI384,"20.086899,73.227798",17325,286,245
1528915125,2018-06-13T18:38:45Z,JAI384,"20.083008,73.220787",17225,285,239
1528915131,2018-06-13T18:38:51Z,JAI384,"20.078213,73.214241",17125,285,231
1528915138,2018-06-13T18:38:58Z,JAI384,"20.072067,73.207886",17025,285,222
1528915144,2018-06-13T18:39:04Z,JAI384,"20.065969,73.203156",16950,285,214
1528915153,2018-06-13T18:39:13Z,JAI384,"20.055176,73.197342",16850,283,203
1528915160,2018-06-13T18:39:20Z,JAI384,"20.043732,73.19381",16750,281,193
1528915169,2018-06-13T18:39:29Z,JAI384,"20.036133,73.191994",16675,279,192
1528915176,2018-06-13T18:39:36Z,JAI384,"20.024689,73.190376",16575,279,185
1528915182,2018-06-13T18:39:42Z,JAI384,"20.016811,73.189568",16500,280,185
1528915215,2018-06-13T18:40:15Z,JAI384,"19.97374,73.186012",16125,282,184
1528915249,2018-06-13T18:40:49Z,JAI384,"19.929804,73.182579",15725,283,184
1528915282,2018-06-13T18:41:22Z,JAI384,"19.886511,73.17923",15350,283,184
1528915311,2018-06-13T18:41:51Z,JAI384,"19.846802,73.176109",15025,283,184
1528915345,2018-06-13T18:42:25Z,JAI384,"19.802948,73.172676",14625,284,184
1528915379,2018-06-13T18:42:59Z,JAI384,"19.759237,73.169098",14225,282,184
1528915409,2018-06-13T18:43:29Z,JAI384,"19.719948,73.166",13900,280,184
1528915441,2018-06-13T18:44:01Z,JAI384,"19.676697,73.162468",13500,282,184
1528915475,2018-06-13T18:44:35Z,JAI384,"19.633347,73.158989",13100,277,184
1528915510,2018-06-13T18:45:10Z,JAI384,"19.590683,73.155655",12425,283,184
1528915537,2018-06-13T18:45:37Z,JAI384,"19.550264,73.152412",11775,294,184
1528915551,2018-06-13T18:45:51Z,JAI384,"19.533226,73.151115",11600,294,183
1528915562,2018-06-13T18:46:02Z,JAI384,"19.516983,73.149963",11425,297,183
1528915575,2018-06-13T18:46:15Z,JAI384,"19.499475,73.149368",11225,299,181
1528915588,2018-06-13T18:46:28Z,JAI384,"19.483135,73.149017",11050,298,181
1528915605,2018-06-13T18:46:45Z,JAI384,"19.45837,73.148521",10800,300,180
1528915616,2018-06-13T18:46:56Z,JAI384,"19.441406,73.148247",10625,302,180
1528915628,2018-06-13T18:47:08Z,JAI384,"19.424759,73.147873",10425,301,181
1528915641,2018-06-13T18:47:21Z,JAI384,"19.408373,73.147423",10250,302,181
1528915652,2018-06-13T18:47:32Z,JAI384,"19.391739,73.146927",10075,301,181
1528915693,2018-06-13T18:48:13Z,JAI384,"19.337055,73.145622",9475,296,181
1528915700,2018-06-13T18:48:20Z,JAI384,"19.328201,73.145401",9350,294,181
1528915792,2018-06-13T18:49:52Z,JAI384,"19.207123,73.140549",7750,259,181
1528915805,2018-06-13T18:50:05Z,JAI384,"19.190231,73.140007",7450,241,181
1528915816,2018-06-13T18:50:16Z,JAI384,"19.178467,73.139565",7225,234,181
1528915830,2018-06-13T18:50:30Z,JAI384,"19.165421,73.138832",7000,220,183
1528915860,2018-06-13T18:51:00Z,JAI384,"19.135576,73.137184",6400,202,182
1528915870,2018-06-13T18:51:10Z,JAI384,"19.126144,73.136818",6150,200,182
1528915885,2018-06-13T18:51:25Z,JAI384,"19.112,73.136284",5750,198,181
1528915900,2018-06-13T18:51:40Z,JAI384,"19.09852,73.135834",5475,190,181
1528915915,2018-06-13T18:51:55Z,JAI384,"19.085449,73.135643",5225,183,180
1528915930,2018-06-13T18:52:10Z,JAI384,"19.072632,73.135056",4850,181,186
1528915941,2018-06-13T18:52:21Z,JAI384,"19.065144,73.131691",4575,176,210
1528915950,2018-06-13T18:52:30Z,JAI384,"19.060022,73.125198",4350,173,236
1528915960,2018-06-13T18:52:40Z,JAI384,"19.058254,73.117157",4175,170,264
1528915980,2018-06-13T18:53:00Z,JAI384,"19.065903,73.102242",3825,181,317
1528915996,2018-06-13T18:53:16Z,JAI384,"19.076706,73.094246",3675,185,325
1528916006,2018-06-13T18:53:26Z,JAI384,"19.083717,73.089142",3425,186,325
1528916016,2018-06-13T18:53:36Z,JAI384,"19.090164,73.082916",3225,180,309
1528916022,2018-06-13T18:53:42Z,JAI384,"19.09177,73.07901",3150,175,295
1528916046,2018-06-13T18:54:06Z,JAI384,"19.091398,73.058533",3100,166,267
1528916056,2018-06-13T18:54:16Z,JAI384,"19.09108,73.050255",3100,163,268
1528916067,2018-06-13T18:54:27Z,JAI384,"19.090933,73.042206",3100,160,268
1528916077,2018-06-13T18:54:37Z,JAI384,"19.090794,73.034416",3000,158,269
1528916091,2018-06-13T18:54:51Z,JAI384,"19.090759,73.023277",2825,151,269
1528916097,2018-06-13T18:54:57Z,JAI384,"19.090714,73.018768",2750,149,269
1528916108,2018-06-13T18:55:08Z,JAI384,"19.090668,73.012245",2600,146,269
1528916119,2018-06-13T18:55:19Z,JAI384,"19.090576,73.003952",2475,144,268
1528916125,2018-06-13T18:55:25Z,JAI384,"19.090467,72.999756",2400,144,268
1528916131,2018-06-13T18:55:31Z,JAI384,"19.090422,72.995064",2350,143,269
1528916172,2018-06-13T18:56:12Z,JAI384,"19.090073,72.966286",1825,142,268
1528916196,2018-06-13T18:56:36Z,JAI384,"19.089844,72.94976",1525,141,269
1528916213,2018-06-13T18:56:53Z,JAI384,"19.089661,72.938087",1325,143,269
1528916225,2018-06-13T18:57:05Z,JAI384,"19.089661,72.929794",1175,141,270
1528916250,2018-06-13T18:57:30Z,JAI384,"19.089256,72.912514",875,144,268
1528916257,2018-06-13T18:57:37Z,JAI384,"19.089203,72.907677",800,146,268
1528916263,2018-06-13T18:57:43Z,JAI384,"19.089117,72.903427",725,148,268
1528916412,2018-06-13T19:00:12Z,JAI384,"19.090305,72.85878",0,22,90
1528916533,2018-06-13T19:02:13Z,JAI384,"19.090485,72.871948",0,22,90
1528916543,2018-06-13T19:02:23Z,JAI384,"19.090502,72.872917",0,20,90
1528916553,2018-06-13T19:02:33Z,JAI384,"19.090513,72.873802",0,16,90
1528916563,2018-06-13T19:02:43Z,JAI384,"19.090677,72.874397",0,31,59
1528916578,2018-06-13T19:02:58Z,JAI384,"19.091412,72.875",0,33,70
1528916584,2018-06-13T19:03:04Z,JAI384,"19.091412,72.875366",0,34,90
