Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1528994691,2018-06-14T16:44:51Z,JAI384,"28.551773,77.045746",2350,193,284
1528994717,2018-06-14T16:45:17Z,JAI384,"28.545879,77.0224",2800,217,225
1528994724,2018-06-14T16:45:24Z,JAI384,"28.537498,77.017067",3025,230,198
1528994730,2018-06-14T16:45:30Z,JAI384,"28.531036,77.015694",3225,234,187
1528994737,2018-06-14T16:45:37Z,JAI384,"28.525303,77.015236",3375,241,181
1528994743,2018-06-14T16:45:43Z,JAI384,"28.517668,77.015236",3525,250,179
1528994750,2018-06-14T16:45:50Z,JAI384,"28.510208,77.015266",3625,257,180
1528994761,2018-06-14T16:46:01Z,JAI384,"28.495789,77.014427",3850,268,184
1528994770,2018-06-14T16:46:10Z,JAI384,"28.48443,77.012871",4125,272,187
1528994783,2018-06-14T16:46:23Z,JAI384,"28.469009,77.00988",4500,275,191
1528994793,2018-06-14T16:46:33Z,JAI384,"28.454407,77.00634",4700,275,192
1528994803,2018-06-14T16:46:43Z,JAI384,"28.442951,77.003387",4825,273,192
1528994815,2018-06-14T16:46:55Z,JAI384,"28.428055,76.999619",5025,274,192
1528994828,2018-06-14T16:47:08Z,JAI384,"28.413158,76.99585",5225,274,192
1528994839,2018-06-14T16:47:19Z,JAI384,"28.398285,76.992294",5425,275,191
1528994851,2018-06-14T16:47:31Z,JAI384,"28.383133,76.988899",5625,278,191
1528994863,2018-06-14T16:47:43Z,JAI384,"28.367844,76.985481",5825,277,190
1528994875,2018-06-14T16:47:55Z,JAI384,"28.352221,76.98201",6000,279,191
1528994888,2018-06-14T16:48:08Z,JAI384,"28.337465,76.978188",6200,278,196
1528994894,2018-06-14T16:48:14Z,JAI384,"28.329876,76.975006",6300,275,202
1528994903,2018-06-14T16:48:23Z,JAI384,"28.319824,76.968948",6475,273,211
1528994911,2018-06-14T16:48:31Z,JAI384,"28.310417,76.96122",6700,271,218
1528994917,2018-06-14T16:48:37Z,JAI384,"28.304972,76.956268",6875,274,218
1528994923,2018-06-14T16:48:43Z,JAI384,"28.29863,76.950722",7125,274,217
1528994943,2018-06-14T16:49:03Z,JAI384,"28.280531,76.934998",7825,278,217
1528994953,2018-06-14T16:49:13Z,JAI384,"28.268801,76.924812",8225,283,217
1528994966,2018-06-14T16:49:26Z,JAI384,"28.25528,76.913223",8675,289,217
1528994978,2018-06-14T16:49:38Z,JAI384,"28.242125,76.901871",8950,297,217
1528994989,2018-06-14T16:49:49Z,JAI384,"28.2285,76.890144",9350,302,217
1528995002,2018-06-14T16:50:02Z,JAI384,"28.215405,76.878876",9775,304,217
1528995013,2018-06-14T16:50:13Z,JAI384,"28.201538,76.867004",10250,306,217
1528995025,2018-06-14T16:50:25Z,JAI384,"28.188217,76.85556",10750,305,217
1528995036,2018-06-14T16:50:36Z,JAI384,"28.174393,76.843712",11175,309,217
1528995051,2018-06-14T16:50:51Z,JAI384,"28.160799,76.83197",11400,320,217
1528995064,2018-06-14T16:51:04Z,JAI384,"28.142365,76.815979",11650,334,217
1528995076,2018-06-14T16:51:16Z,JAI384,"28.127094,76.802727",11850,344,217
1528995088,2018-06-14T16:51:28Z,JAI384,"28.111826,76.789482",12025,354,217
1528995122,2018-06-14T16:52:02Z,JAI384,"28.067459,76.751228",13100,366,217
1528995152,2018-06-14T16:52:32Z,JAI384,"28.026169,76.715805",14100,375,217
1528995184,2018-06-14T16:53:04Z,JAI384,"27.98041,76.676704",15175,384,217
1528995219,2018-06-14T16:53:39Z,JAI384,"27.933018,76.636086",16350,389,217
1528995251,2018-06-14T16:54:11Z,JAI384,"27.884512,76.594566",17575,392,217
1528995281,2018-06-14T16:54:41Z,JAI384,"27.840454,76.556931",18550,399,217
1528995345,2018-06-14T16:55:45Z,JAI384,"27.743866,76.48008",20200,414,213
1528995406,2018-06-14T16:56:46Z,JAI384,"27.641327,76.40271",21400,433,213
1528995467,2018-06-14T16:57:47Z,JAI384,"27.53952,76.326118",22475,446,213
1528995530,2018-06-14T16:58:50Z,JAI384,"27.427048,76.248016",23725,455,211
1528995596,2018-06-14T16:59:56Z,JAI384,"27.309631,76.167641",24750,467,211
1528995658,2018-06-14T17:00:58Z,JAI384,"27.191999,76.087242",25825,474,211
