Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1529256501,2018-06-17T17:28:21Z,JAI384,"28.530983,77.130974",2325,194,114
1529256511,2018-06-17T17:28:31Z,JAI384,"28.525723,77.13797",2500,206,135
1529256517,2018-06-17T17:28:37Z,JAI384,"28.52037,77.141243",2600,214,155
1529256523,2018-06-17T17:28:43Z,JAI384,"28.51474,77.142403",2700,219,167
1529256543,2018-06-17T17:29:03Z,JAI384,"28.492218,77.135857",3125,248,201
1529256549,2018-06-17T17:29:09Z,JAI384,"28.485123,77.132736",3250,259,200
1529256558,2018-06-17T17:29:18Z,JAI384,"28.474823,77.128723",3450,270,197
1529256566,2018-06-17T17:29:26Z,JAI384,"28.463699,77.125076",3825,272,195
1529256573,2018-06-17T17:29:33Z,JAI384,"28.456284,77.122971",4075,274,193
1529256583,2018-06-17T17:29:43Z,JAI384,"28.445297,77.120224",4450,276,192
1529256589,2018-06-17T17:29:49Z,JAI384,"28.437506,77.118423",4725,276,191
1529256607,2018-06-17T17:30:07Z,JAI384,"28.415268,77.11351",5600,272,193
1529256613,2018-06-17T17:30:13Z,JAI384,"28.407898,77.110611",5900,269,201
1529256621,2018-06-17T17:30:21Z,JAI384,"28.398262,77.104744",6325,265,211
1529256628,2018-06-17T17:30:28Z,JAI384,"28.392059,77.099724",6625,265,216
1529256636,2018-06-17T17:30:36Z,JAI384,"28.383591,77.091331",7025,263,222
1529256643,2018-06-17T17:30:43Z,JAI384,"28.378143,77.085732",7300,264,222
1529256651,2018-06-17T17:30:51Z,JAI384,"28.370237,77.077759",7675,265,221
1529256665,2018-06-17T17:31:05Z,JAI384,"28.358459,77.066132",7975,268,220
1529256676,2018-06-17T17:31:16Z,JAI384,"28.347195,77.055252",8200,273,220
1529256689,2018-06-17T17:31:29Z,JAI384,"28.335388,77.0439",8625,275,220
1529256699,2018-06-17T17:31:39Z,JAI384,"28.323624,77.032593",9100,278,220
1529256713,2018-06-17T17:31:53Z,JAI384,"28.311813,77.021133",9575,280,220
1529256725,2018-06-17T17:32:05Z,JAI384,"28.299866,77.009567",10025,283,220
1529256736,2018-06-17T17:32:16Z,JAI384,"28.287979,76.997948",10350,290,220
1529256749,2018-06-17T17:32:29Z,JAI384,"28.275192,76.985374",10575,303,220
1529256759,2018-06-17T17:32:39Z,JAI384,"28.262512,76.972908",10750,316,220
1529256772,2018-06-17T17:32:52Z,JAI384,"28.248413,76.959122",10975,328,220
