Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1529858100,2018-06-24T16:35:00Z,JAI384,"28.503937,77.146629",2900,241,190
1529858110,2018-06-24T16:35:10Z,JAI384,"28.494345,77.142334",3100,248,207
1529858122,2018-06-24T16:35:22Z,JAI384,"28.482422,77.13327",3350,262,213
1529858135,2018-06-24T16:35:35Z,JAI384,"28.467997,77.126717",3550,279,197
1529858146,2018-06-24T16:35:46Z,JAI384,"28.453472,77.120094",4000,281,208
1529858207,2018-06-24T16:36:47Z,JAI384,"28.393978,77.064247",6875,276,218
1529858253,2018-06-24T16:37:33Z,JAI384,"28.346008,77.020554",8850,285,218
1529858280,2018-06-24T16:38:00Z,JAI384,"28.317535,76.994354",9875,295,219
1529858293,2018-06-24T16:38:13Z,JAI384,"28.304535,76.982361",10250,301,219
1529858337,2018-06-24T16:38:57Z,JAI384,"28.253677,76.935829",11450,332,218
1529858349,2018-06-24T16:39:09Z,JAI384,"28.2388,76.922203",11650,346,219
1529858364,2018-06-24T16:39:24Z,JAI384,"28.223505,76.908173",11825,359,219
1529858386,2018-06-24T16:39:46Z,JAI384,"28.191971,76.879364",12575,369,218
1529858424,2018-06-24T16:40:24Z,JAI384,"28.139511,76.831352",14025,378,219
1529858477,2018-06-24T16:41:17Z,JAI384,"28.068329,76.766495",16225,379,218
1529858524,2018-06-24T16:42:04Z,JAI384,"28.002382,76.706436",17900,385,218
1529858558,2018-06-24T16:42:38Z,JAI384,"27.955902,76.664078",19025,388,218
1529858601,2018-06-24T16:43:21Z,JAI384,"27.896393,76.609787",20275,395,219
1529858661,2018-06-24T16:44:21Z,JAI384,"27.804886,76.534027",21525,416,208
1529858733,2018-06-24T16:45:33Z,JAI384,"27.67543,76.466713",23200,430,204
1529858801,2018-06-24T16:46:41Z,JAI384,"27.552109,76.402969",24525,440,204
1529858860,2018-06-24T16:47:40Z,JAI384,"27.444313,76.347321",25900,442,204
1529858948,2018-06-24T16:49:08Z,JAI384,"27.280563,76.262733",27650,446,204
1529859018,2018-06-24T16:50:18Z,JAI384,"27.143353,76.192566",28525,461,204
1529859099,2018-06-24T16:51:39Z,JAI384,"26.983446,76.110748",29675,468,204
1529859255,2018-06-24T16:54:15Z,JAI384,"26.676865,75.954239",31675,475,204
1529859359,2018-06-24T16:55:59Z,JAI384,"26.46546,75.847023",33400,469,204
1529859437,2018-06-24T16:57:17Z,JAI384,"26.312767,75.768585",34675,460,204
