Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1530376598,2018-06-30T16:36:38Z,JAI384,"28.554153,77.032433",2425,204,277
1530376633,2018-06-30T16:37:13Z,JAI384,"28.530487,77.006607",3100,236,186
1530376662,2018-06-30T16:37:42Z,JAI384,"28.496155,77.006767",3675,267,183
1530376671,2018-06-30T16:37:51Z,JAI384,"28.484528,77.005653",3975,271,185
1530376678,2018-06-30T16:37:58Z,JAI384,"28.477167,77.004631",4175,273,187
1530376685,2018-06-30T16:38:05Z,JAI384,"28.469101,77.003334",4400,273,188
1530376696,2018-06-30T16:38:16Z,JAI384,"28.454079,77.000481",4850,276,190
1530376706,2018-06-30T16:38:26Z,JAI384,"28.442734,76.9981",5200,275,190
1530376716,2018-06-30T16:38:36Z,JAI384,"28.42745,76.994827",5675,277,190
1530376728,2018-06-30T16:38:48Z,JAI384,"28.412413,76.991699",6125,280,190
1530376743,2018-06-30T16:39:03Z,JAI384,"28.393112,76.987854",6700,282,189
1530376826,2018-06-30T16:40:26Z,JAI384,"28.288284,76.952522",9575,298,218
1530376837,2018-06-30T16:40:37Z,JAI384,"28.27527,76.940918",9975,300,218
1530376865,2018-06-30T16:41:05Z,JAI384,"28.242416,76.918297",10900,305,205
1530376880,2018-06-30T16:41:20Z,JAI384,"28.223419,76.907677",11200,315,206
1530376895,2018-06-30T16:41:35Z,JAI384,"28.202789,76.896004",11475,328,206
1530376909,2018-06-30T16:41:49Z,JAI384,"28.182074,76.884262",11700,340,206
1530376927,2018-06-30T16:42:07Z,JAI384,"28.156311,76.869545",12025,353,206
1530376962,2018-06-30T16:42:42Z,JAI384,"28.106689,76.841286",12975,364,206
1530376994,2018-06-30T16:43:14Z,JAI384,"28.056473,76.812866",14075,370,206
1530377024,2018-06-30T16:43:44Z,JAI384,"28.009737,76.786461",15075,376,206
1530377057,2018-06-30T16:44:17Z,JAI384,"27.957039,76.756737",16125,383,206
1530377091,2018-06-30T16:44:51Z,JAI384,"27.903738,76.726562",17075,392,206
1530377121,2018-06-30T16:45:21Z,JAI384,"27.854439,76.698776",17925,399,206
1530377170,2018-06-30T16:46:10Z,JAI384,"27.773987,76.653481",19425,402,206
1530377232,2018-06-30T16:47:12Z,JAI384,"27.668152,76.59404",21125,410,206
1530377292,2018-06-30T16:48:12Z,JAI384,"27.564697,76.535889",22325,424,206
1530377356,2018-06-30T16:49:16Z,JAI384,"27.451035,76.472252",23750,432,206
1530377419,2018-06-30T16:50:19Z,JAI384,"27.336823,76.408409",25050,440,206
1530377485,2018-06-30T16:51:25Z,JAI384,"27.214624,76.340294",26300,447,206
1530377549,2018-06-30T16:52:29Z,JAI384,"27.095718,76.274292",27300,456,206
1530377611,2018-06-30T16:53:31Z,JAI384,"26.975098,76.20739",28100,469,206
1530377672,2018-06-30T16:54:32Z,JAI384,"26.855614,76.141113",28850,478,206
1530377731,2018-06-30T16:55:31Z,JAI384,"26.736511,76.075195",29550,485,206
1530377795,2018-06-30T16:56:35Z,JAI384,"26.606838,76.003471",30275,492,206
1530377858,2018-06-30T16:57:38Z,JAI384,"26.476776,75.931953",31175,493,206
1530377918,2018-06-30T16:58:38Z,JAI384,"26.354757,75.864876",32000,485,206
1530377985,2018-06-30T16:59:45Z,JAI384,"26.221479,75.791824",31975,484,206
1530378046,2018-06-30T17:00:46Z,JAI384,"26.099699,75.725594",31975,482,206
1530378061,2018-06-30T17:01:01Z,JAI384,"26.069962,75.709328",31975,482,206
1530378117,2018-06-30T17:01:57Z,JAI384,"25.955612,75.647293",32000,479,206
1530378253,2018-06-30T17:04:13Z,JAI384,"25.683615,75.499496",32000,485,206
1530378316,2018-06-30T17:05:16Z,JAI384,"25.554758,75.430367",31975,486,205
1530378380,2018-06-30T17:06:20Z,JAI384,"25.426071,75.361481",31975,487,205
1530378440,2018-06-30T17:07:20Z,JAI384,"25.303299,75.295464",32000,487,206
1530378503,2018-06-30T17:08:23Z,JAI384,"25.173635,75.225769",32000,488,205
1530378568,2018-06-30T17:09:28Z,JAI384,"25.043335,75.15625",32000,488,205
1530378634,2018-06-30T17:10:34Z,JAI384,"24.908798,75.084557",32625,484,205
1530378697,2018-06-30T17:11:37Z,JAI384,"24.781572,75.016823",33725,478,205
1530378758,2018-06-30T17:12:38Z,JAI384,"24.660862,74.952614",34000,479,205
1530378821,2018-06-30T17:13:41Z,JAI384,"24.532377,74.890175",33975,475,200
1530378882,2018-06-30T17:14:42Z,JAI384,"24.407339,74.839851",34000,474,200
1530378945,2018-06-30T17:15:45Z,JAI384,"24.276764,74.787445",34000,474,200
1530379006,2018-06-30T17:16:46Z,JAI384,"24.152069,74.737602",34000,474,200
