Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1530982741,2018-07-07T16:59:01Z,JAI384,"28.535404,77.119072",2125,190,104
1530982751,2018-07-07T16:59:11Z,JAI384,"28.532612,77.128922",2425,197,111
1530982761,2018-07-07T16:59:21Z,JAI384,"28.526642,77.137123",2600,209,136
1530982772,2018-07-07T16:59:32Z,JAI384,"28.517389,77.141312",2775,221,164
1530982797,2018-07-07T16:59:57Z,JAI384,"28.491692,77.134041",3200,255,205
1530982804,2018-07-07T17:00:04Z,JAI384,"28.482056,77.127258",3400,265,214
1530982815,2018-07-07T17:00:15Z,JAI384,"28.471069,77.116646",3850,271,221
1530982823,2018-07-07T17:00:23Z,JAI384,"28.465118,77.11087",4150,273,220
1530982838,2018-07-07T17:00:38Z,JAI384,"28.449795,77.096718",4900,273,218
1530982855,2018-07-07T17:00:55Z,JAI384,"28.431965,77.081154",5750,277,217
1530982868,2018-07-07T17:01:08Z,JAI384,"28.419304,77.070221",6325,278,217
1530982881,2018-07-07T17:01:21Z,JAI384,"28.407246,77.059776",6875,278,217
1530982895,2018-07-07T17:01:35Z,JAI384,"28.391739,77.046219",7500,283,217
1530982907,2018-07-07T17:01:47Z,JAI384,"28.378738,77.034866",7950,288,217
1530982919,2018-07-07T17:01:59Z,JAI384,"28.365921,77.02356",8425,293,218
1530982930,2018-07-07T17:02:10Z,JAI384,"28.353292,77.012329",8900,296,218
1530982946,2018-07-07T17:02:26Z,JAI384,"28.336441,76.997414",9525,301,218
1530982957,2018-07-07T17:02:37Z,JAI384,"28.323545,76.985939",10025,303,218
1530982975,2018-07-07T17:02:55Z,JAI384,"28.304031,76.968575",10725,306,218
1530982988,2018-07-07T17:03:08Z,JAI384,"28.290024,76.956062",11150,311,218
1530983001,2018-07-07T17:03:21Z,JAI384,"28.27533,76.943016",11350,326,218
1530983012,2018-07-07T17:03:32Z,JAI384,"28.261398,76.93058",11550,338,218
1530983024,2018-07-07T17:03:44Z,JAI384,"28.24585,76.916656",11750,352,218
1530983036,2018-07-07T17:03:56Z,JAI384,"28.229509,76.902092",11925,365,218
1530983048,2018-07-07T17:04:08Z,JAI384,"28.213623,76.887817",12250,372,218
1530983078,2018-07-07T17:04:38Z,JAI384,"28.171785,76.850548",13300,382,218
1530983111,2018-07-07T17:05:11Z,JAI384,"28.12532,76.80938",14525,387,218
1530983147,2018-07-07T17:05:47Z,JAI384,"28.073978,76.764061",15800,393,217
1530983180,2018-07-07T17:06:20Z,JAI384,"28.026077,76.721756",16875,397,218
1530983218,2018-07-07T17:06:58Z,JAI384,"27.973618,76.675278",18050,400,218
1530983282,2018-07-07T17:08:02Z,JAI384,"27.879856,76.592506",19850,411,218
