Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531067879,2018-07-08T16:37:59Z,JAI384,"28.403662,77.111694",5800,286,190
1531067889,2018-07-08T16:38:09Z,JAI384,"28.388346,77.108406",6075,293,191
1531067901,2018-07-08T16:38:21Z,JAI384,"28.372658,77.103233",6525,295,199
1531067909,2018-07-08T16:38:29Z,JAI384,"28.364594,77.099625",6775,297,203
1531067917,2018-07-08T16:38:37Z,JAI384,"28.353378,77.093391",7150,296,208
1531067925,2018-07-08T16:38:45Z,JAI384,"28.342621,77.086838",7600,295,208
1531067937,2018-07-08T16:38:57Z,JAI384,"28.328293,77.07814",8225,293,208
1531067951,2018-07-08T16:39:11Z,JAI384,"28.313507,77.069145",8800,295,208
1531067964,2018-07-08T16:39:24Z,JAI384,"28.296112,77.058632",9475,295,208
1531067980,2018-07-08T16:39:40Z,JAI384,"28.27704,77.047173",10150,297,208
1531067996,2018-07-08T16:39:56Z,JAI384,"28.258698,77.036133",10750,302,207
1531068022,2018-07-08T16:40:22Z,JAI384,"28.223366,77.015022",11325,329,207
1531068041,2018-07-08T16:40:41Z,JAI384,"28.197762,76.999725",11625,349,207
1531068052,2018-07-08T16:40:52Z,JAI384,"28.18063,76.989441",11825,362,208
1531068064,2018-07-08T16:41:04Z,JAI384,"28.162241,76.978401",12275,365,208
1531068094,2018-07-08T16:41:34Z,JAI384,"28.117218,76.951462",13375,374,207
1531068130,2018-07-08T16:42:10Z,JAI384,"28.061691,76.91835",14650,380,207
1531068163,2018-07-08T16:42:43Z,JAI384,"28.00882,76.886917",15825,384,207
1531068197,2018-07-08T16:43:17Z,JAI384,"27.956295,76.855721",17025,385,207
1531068235,2018-07-08T16:43:55Z,JAI384,"27.898453,76.821228",18250,389,207
1531068306,2018-07-08T16:45:06Z,JAI384,"27.781403,76.751625",20275,404,207
1531068371,2018-07-08T16:46:11Z,JAI384,"27.669525,76.685608",21900,418,207
1531068432,2018-07-08T16:47:12Z,JAI384,"27.56337,76.622849",23225,429,207
1531068495,2018-07-08T16:48:15Z,JAI384,"27.450319,76.556274",24525,439,207
1531068557,2018-07-08T16:49:17Z,JAI384,"27.340315,76.491463",25750,445,207
1531068621,2018-07-08T16:50:21Z,JAI384,"27.223003,76.422432",26950,453,207
1531068680,2018-07-08T16:51:20Z,JAI384,"27.110138,76.356331",27975,458,207
1531068744,2018-07-08T16:52:24Z,JAI384,"26.989471,76.285904",28900,467,207
1531068806,2018-07-08T16:53:26Z,JAI384,"26.866928,76.214386",29675,475,207
1531068873,2018-07-08T16:54:33Z,JAI384,"26.735695,76.138054",30550,482,207
1531068937,2018-07-08T16:55:37Z,JAI384,"26.609528,76.064827",31625,480,207
1531068997,2018-07-08T16:56:37Z,JAI384,"26.490784,75.996078",32650,478,207
1531069061,2018-07-08T16:57:41Z,JAI384,"26.365698,75.923981",33500,478,207
1531069124,2018-07-08T16:58:44Z,JAI384,"26.24025,75.851631",34000,479,207
1531069188,2018-07-08T16:59:48Z,JAI384,"26.115339,75.779785",33975,481,207
1531069254,2018-07-08T17:00:54Z,JAI384,"25.982853,75.704254",34000,485,207
1531069317,2018-07-08T17:01:57Z,JAI384,"25.855532,75.631622",34000,485,207
1531069390,2018-07-08T17:03:10Z,JAI384,"25.710522,75.548622",34000,486,207
1531069460,2018-07-08T17:04:20Z,JAI384,"25.570587,75.468544",34000,488,207
1531069527,2018-07-08T17:05:27Z,JAI384,"25.437057,75.391945",34000,487,207
1531069590,2018-07-08T17:06:30Z,JAI384,"25.30966,75.320145",33975,485,207
1531069651,2018-07-08T17:07:31Z,JAI384,"25.187851,75.251106",33975,484,207
1531069715,2018-07-08T17:08:35Z,JAI384,"25.062235,75.180374",33975,482,206
1531069736,2018-07-08T17:08:56Z,JAI384,"25.019485,75.156456",33975,484,206
1531069827,2018-07-08T17:10:27Z,JAI384,"24.838165,75.054832",33975,485,207
1531069893,2018-07-08T17:11:33Z,JAI384,"24.704315,74.979805",33975,485,207
1531069957,2018-07-08T17:12:37Z,JAI384,"24.576691,74.908546",34000,484,206
1531069981,2018-07-08T17:13:01Z,JAI384,"24.530981,74.876335",33975,491,219
1531069993,2018-07-08T17:13:13Z,JAI384,"24.509987,74.856796",33975,492,221
1531070002,2018-07-08T17:13:22Z,JAI384,"24.495163,74.84156",33975,493,223
1531070072,2018-07-08T17:14:32Z,JAI384,"24.386808,74.712318",33975,495,229
1531070136,2018-07-08T17:15:36Z,JAI384,"24.292866,74.591568",33975,486,229
1531070197,2018-07-08T17:16:37Z,JAI384,"24.212471,74.470253",33975,482,235
1531070261,2018-07-08T17:17:41Z,JAI384,"24.12442,74.348961",33975,481,231
1531070321,2018-07-08T17:18:41Z,JAI384,"24.034409,74.240005",33975,488,224
1531070386,2018-07-08T17:19:46Z,JAI384,"23.915327,74.140869",33975,486,214
1531070448,2018-07-08T17:20:48Z,JAI384,"23.802246,74.057869",33975,485,213
1531070511,2018-07-08T17:21:51Z,JAI384,"23.684143,73.974358",33975,477,210
1531070574,2018-07-08T17:22:54Z,JAI384,"23.562653,73.901924",33975,470,207
