Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531154416,2018-07-09T16:40:16Z,JAI384,"28.536335,77.117348",2325,162,102
1531154442,2018-07-09T16:40:42Z,JAI384,"28.52088,77.130539",2825,194,170
1531154462,2018-07-09T16:41:02Z,JAI384,"28.501419,77.126984",3000,227,192
1531154482,2018-07-09T16:41:22Z,JAI384,"28.479309,77.122086",3000,251,190
1531154492,2018-07-09T16:41:32Z,JAI384,"28.467499,77.119743",3025,257,189
1531154501,2018-07-09T16:41:41Z,JAI384,"28.455009,77.117561",3350,266,188
1531154512,2018-07-09T16:41:52Z,JAI384,"28.442673,77.115517",3700,269,188
1531154521,2018-07-09T16:42:01Z,JAI384,"28.430243,77.113464",4100,271,188
1531154531,2018-07-09T16:42:11Z,JAI384,"28.41774,77.111298",4400,277,188
1531154542,2018-07-09T16:42:22Z,JAI384,"28.404831,77.109024",4725,282,188
1531154562,2018-07-09T16:42:42Z,JAI384,"28.378571,77.104309",5500,285,189
1531154581,2018-07-09T16:43:01Z,JAI384,"28.352221,77.099411",6275,290,189
1531154602,2018-07-09T16:43:22Z,JAI384,"28.325455,77.093864",7000,294,193
1531154611,2018-07-09T16:43:31Z,JAI384,"28.313461,77.088158",7375,292,205
1531154622,2018-07-09T16:43:42Z,JAI384,"28.301971,77.079025",7750,290,218
1531154631,2018-07-09T16:43:51Z,JAI384,"28.292587,77.06839",8150,289,225
1531154637,2018-07-09T16:43:57Z,JAI384,"28.28756,77.062683",8375,289,225
1531154657,2018-07-09T16:44:17Z,JAI384,"28.268568,77.041412",9125,292,224
1531154666,2018-07-09T16:44:26Z,JAI384,"28.258837,77.030586",9450,296,224
1531154752,2018-07-09T16:45:52Z,JAI384,"28.17334,76.93541",11700,340,224
1531154762,2018-07-09T16:46:02Z,JAI384,"28.159561,76.920036",11900,351,224
1531154776,2018-07-09T16:46:16Z,JAI384,"28.14537,76.904243",12125,361,224
1531154804,2018-07-09T16:46:44Z,JAI384,"28.107822,76.862778",12900,377,223
1531154824,2018-07-09T16:47:04Z,JAI384,"28.083298,76.841393",13675,376,214
1531154831,2018-07-09T16:47:11Z,JAI384,"28.069696,76.831863",14125,374,210
1531154842,2018-07-09T16:47:22Z,JAI384,"28.055777,76.823517",14550,372,206
1531154848,2018-07-09T16:47:28Z,JAI384,"28.047117,76.818665",14825,372,206
1531154882,2018-07-09T16:48:02Z,JAI384,"27.989731,76.786247",15775,388,206
1531154917,2018-07-09T16:48:37Z,JAI384,"27.935211,76.75515",16725,398,206
1531154951,2018-07-09T16:49:11Z,JAI384,"27.875885,76.721313",17900,404,206
1531154986,2018-07-09T16:49:46Z,JAI384,"27.820549,76.689957",18900,409,206
1531155051,2018-07-09T16:50:51Z,JAI384,"27.705425,76.624832",20750,421,206
1531155110,2018-07-09T16:51:50Z,JAI384,"27.600914,76.565834",22175,433,206
1531155176,2018-07-09T16:52:56Z,JAI384,"27.486008,76.500916",23700,440,206
1531155219,2018-07-09T16:53:39Z,JAI384,"27.407211,76.456551",24575,447,206
1531155314,2018-07-09T16:55:14Z,JAI384,"27.221653,76.3526",26275,465,206
1531155378,2018-07-09T16:56:18Z,JAI384,"27.098616,76.283623",27525,469,206
1531155441,2018-07-09T16:57:21Z,JAI384,"26.974693,76.214378",28600,475,206
1531155508,2018-07-09T16:58:28Z,JAI384,"26.842987,76.141266",29700,478,206
1531155571,2018-07-09T16:59:31Z,JAI384,"26.71875,76.072449",31300,466,206
1531155631,2018-07-09T17:00:31Z,JAI384,"26.602741,76.008224",32525,461,206
1531155694,2018-07-09T17:01:34Z,JAI384,"26.482681,75.941597",33725,457,206
1531155757,2018-07-09T17:02:37Z,JAI384,"26.366592,75.877647",34725,456,206
1531155819,2018-07-09T17:03:39Z,JAI384,"26.247162,75.811935",35725,454,206
1531155882,2018-07-09T17:04:42Z,JAI384,"26.127274,75.746117",36000,460,206
1531155959,2018-07-09T17:05:59Z,JAI384,"25.981735,75.666489",35975,460,206
1531156021,2018-07-09T17:07:01Z,JAI384,"25.860992,75.600548",36000,463,206
1531156086,2018-07-09T17:08:06Z,JAI384,"25.737801,75.533493",36000,463,206
1531156112,2018-07-09T17:08:32Z,JAI384,"25.684872,75.507683",36000,454,196
1531156118,2018-07-09T17:08:38Z,JAI384,"25.672531,75.504761",35975,452,191
1531156125,2018-07-09T17:08:45Z,JAI384,"25.659872,75.502403",35975,452,189
1531156133,2018-07-09T17:08:53Z,JAI384,"25.642914,75.499321",35975,451,189
1531156140,2018-07-09T17:09:00Z,JAI384,"25.629044,75.49688",36000,451,189
1531156199,2018-07-09T17:09:59Z,JAI384,"25.504807,75.474754",36000,450,189
1531156261,2018-07-09T17:11:01Z,JAI384,"25.379488,75.451981",35975,451,189
1531156324,2018-07-09T17:12:04Z,JAI384,"25.248676,75.428291",36000,449,189
1531156385,2018-07-09T17:13:05Z,JAI384,"25.123993,75.406494",36000,451,188
1531156447,2018-07-09T17:14:07Z,JAI384,"24.993011,75.385696",36000,451,188
1531156511,2018-07-09T17:15:11Z,JAI384,"24.861328,75.364784",35975,453,188
1531156574,2018-07-09T17:16:14Z,JAI384,"24.727936,75.343269",36000,458,188
1531156635,2018-07-09T17:17:15Z,JAI384,"24.599878,75.318275",36575,465,190
1531156696,2018-07-09T17:18:16Z,JAI384,"24.470993,75.293327",37425,463,190
1531156761,2018-07-09T17:19:21Z,JAI384,"24.337601,75.265709",38000,459,194
1531156823,2018-07-09T17:20:23Z,JAI384,"24.208282,75.226189",37975,456,195
1531156884,2018-07-09T17:21:24Z,JAI384,"24.085831,75.187889",37975,455,195
1531156947,2018-07-09T17:22:27Z,JAI384,"23.956604,75.148468",38000,457,195
1531157011,2018-07-09T17:23:31Z,JAI384,"23.825808,75.110107",38000,459,195
1531157075,2018-07-09T17:24:35Z,JAI384,"23.694717,75.070976",38000,461,195
1531157138,2018-07-09T17:25:38Z,JAI384,"23.562927,75.030716",38000,466,195
1531157199,2018-07-09T17:26:39Z,JAI384,"23.437748,74.991859",38000,466,196
1531157259,2018-07-09T17:27:39Z,JAI384,"23.313175,74.953667",37975,457,195
1531157323,2018-07-09T17:28:43Z,JAI384,"23.184402,74.906532",38000,459,199
1531157338,2018-07-09T17:28:58Z,JAI384,"23.155014,74.895599",37975,459,199
1531157426,2018-07-09T17:30:26Z,JAI384,"22.978043,74.82653",38000,464,203
1531157491,2018-07-09T17:31:31Z,JAI384,"22.850771,74.769188",38000,471,202
1531157553,2018-07-09T17:32:33Z,JAI384,"22.726755,74.704491",37975,472,210
1531157614,2018-07-09T17:33:34Z,JAI384,"22.610981,74.635109",38000,469,208
1531157677,2018-07-09T17:34:37Z,JAI384,"22.489517,74.56456",37975,469,208
1531157739,2018-07-09T17:35:39Z,JAI384,"22.373751,74.495491",37975,469,209
1531157797,2018-07-09T17:36:37Z,JAI384,"22.25979,74.424538",38000,474,210
1531157858,2018-07-09T17:37:38Z,JAI384,"22.145004,74.350777",38000,476,211
1531157922,2018-07-09T17:38:42Z,JAI384,"22.025986,74.272072",38000,479,212
1531157984,2018-07-09T17:39:44Z,JAI384,"21.907717,74.189148",38000,477,211
1531158053,2018-07-09T17:40:53Z,JAI384,"21.776779,74.115669",38000,479,207
1531158122,2018-07-09T17:42:02Z,JAI384,"21.638947,74.037712",38000,477,208
1531158205,2018-07-09T17:43:25Z,JAI384,"21.474222,73.944092",37975,480,207
1531158265,2018-07-09T17:44:25Z,JAI384,"21.357422,73.878075",37975,474,207
1531158336,2018-07-09T17:45:36Z,JAI384,"21.219864,73.800659",37975,474,207
1531158406,2018-07-09T17:46:46Z,JAI384,"21.083771,73.724403",38000,477,207
1531158471,2018-07-09T17:47:51Z,JAI384,"20.9599,73.654892",38000,479,207
1531158530,2018-07-09T17:48:50Z,JAI384,"20.841949,73.588821",36925,471,207
1531158594,2018-07-09T17:49:54Z,JAI384,"20.723986,73.522758",35925,439,207
1531158657,2018-07-09T17:50:57Z,JAI384,"20.613327,73.461113",35100,424,207
1531158720,2018-07-09T17:52:00Z,JAI384,"20.502823,73.399803",34300,416,207
1531158781,2018-07-09T17:53:01Z,JAI384,"20.399643,73.342422",33600,409,207
1531158843,2018-07-09T17:54:03Z,JAI384,"20.294083,73.28376",32875,402,207
