Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531759105,2018-07-16T16:38:25Z,JAI384,"28.534424,77.120323",2225,177,106
1531759111,2018-07-16T16:38:31Z,JAI384,"28.53273,77.125076",2350,182,113
1531759120,2018-07-16T16:38:40Z,JAI384,"28.526886,77.132423",2525,195,139
1531759130,2018-07-16T16:38:50Z,JAI384,"28.517668,77.135605",2725,211,169
1531759150,2018-07-16T16:39:10Z,JAI384,"28.496613,77.129463",3125,242,197
1531759161,2018-07-16T16:39:21Z,JAI384,"28.48564,77.126282",3275,254,193
1531759170,2018-07-16T16:39:30Z,JAI384,"28.473305,77.123428",3600,261,190
1531759181,2018-07-16T16:39:41Z,JAI384,"28.461246,77.121063",3975,264,189
1531759195,2018-07-16T16:39:55Z,JAI384,"28.443192,77.11779",4550,267,188
1531759210,2018-07-16T16:40:10Z,JAI384,"28.424698,77.114571",5075,270,188
1531759226,2018-07-16T16:40:26Z,JAI384,"28.405746,77.110977",5325,270,189
1531759241,2018-07-16T16:40:41Z,JAI384,"28.387089,77.107277",5575,271,189
1531759256,2018-07-16T16:40:56Z,JAI384,"28.369074,77.103561",5825,272,190
1531759271,2018-07-16T16:41:11Z,JAI384,"28.349991,77.09967",6075,273,190
1531759301,2018-07-16T16:41:41Z,JAI384,"28.313507,77.088318",6575,277,207
1531759311,2018-07-16T16:41:51Z,JAI384,"28.302475,77.079391",6750,280,219
1531759317,2018-07-16T16:41:57Z,JAI384,"28.298035,77.074585",6825,280,223
1531759326,2018-07-16T16:42:06Z,JAI384,"28.288696,77.064178",7000,280,224
1531759336,2018-07-16T16:42:16Z,JAI384,"28.279221,77.053566",7150,280,224
1531759351,2018-07-16T16:42:31Z,JAI384,"28.265533,77.038246",7400,281,224
1531759371,2018-07-16T16:42:51Z,JAI384,"28.246828,77.017334",7725,283,224
1531759402,2018-07-16T16:43:22Z,JAI384,"28.218895,76.986206",8000,282,224
1531759417,2018-07-16T16:43:37Z,JAI384,"28.204651,76.970268",8000,281,224
1531759431,2018-07-16T16:43:51Z,JAI384,"28.191151,76.955246",8125,282,224
1531759446,2018-07-16T16:44:06Z,JAI384,"28.176533,76.939034",8575,287,224
1531759462,2018-07-16T16:44:22Z,JAI384,"28.162195,76.923096",8925,290,224
1531759482,2018-07-16T16:44:42Z,JAI384,"28.142944,76.901711",9275,290,224
1531759496,2018-07-16T16:44:56Z,JAI384,"28.128571,76.885651",9775,292,224
1531759511,2018-07-16T16:45:11Z,JAI384,"28.113785,76.869225",10300,294,224
1531759526,2018-07-16T16:45:26Z,JAI384,"28.099117,76.852921",10800,296,224
1531759541,2018-07-16T16:45:41Z,JAI384,"28.085197,76.837463",11150,302,224
1531759561,2018-07-16T16:46:01Z,JAI384,"28.063568,76.813393",11525,320,224
1531759582,2018-07-16T16:46:22Z,JAI384,"28.041346,76.78878",11850,338,224
1531759606,2018-07-16T16:46:46Z,JAI384,"28.012527,76.756775",12275,358,224
1531759651,2018-07-16T16:47:31Z,JAI384,"27.958237,76.696663",13550,371,224
1531759681,2018-07-16T16:48:01Z,JAI384,"27.920868,76.655411",14500,378,224
1531759752,2018-07-16T16:49:12Z,JAI384,"27.830278,76.555374",16775,394,224
1531759788,2018-07-16T16:49:48Z,JAI384,"27.781166,76.508102",18025,396,215
1531759817,2018-07-16T16:50:17Z,JAI384,"27.73801,76.468277",18975,406,227
1531759828,2018-07-16T16:50:28Z,JAI384,"27.726837,76.452202",19250,410,233
1531759837,2018-07-16T16:50:37Z,JAI384,"27.716457,76.433731",19450,412,238
1531759848,2018-07-16T16:50:48Z,JAI384,"27.7061,76.414734",19575,416,238
1531759876,2018-07-16T16:51:16Z,JAI384,"27.672089,76.363426",20200,419,226
1531759883,2018-07-16T16:51:23Z,JAI384,"27.664215,76.355034",20425,418,224
1531759893,2018-07-16T16:51:33Z,JAI384,"27.649246,76.341194",20750,417,218
1531759902,2018-07-16T16:51:42Z,JAI384,"27.63327,76.328812",21050,417,213
1531759908,2018-07-16T16:51:48Z,JAI384,"27.625216,76.322708",21225,417,213
1531759973,2018-07-16T16:52:53Z,JAI384,"27.518658,76.244537",22925,426,211
1531760038,2018-07-16T16:53:58Z,JAI384,"27.406979,76.168213",24275,439,211
1531760097,2018-07-16T16:54:57Z,JAI384,"27.3013,76.096077",25400,451,211
1531760163,2018-07-16T16:56:03Z,JAI384,"27.183062,76.015411",26650,459,211
1531760229,2018-07-16T16:57:09Z,JAI384,"27.063236,75.933907",27850,465,211
1531760293,2018-07-16T16:58:13Z,JAI384,"26.942093,75.851631",28900,473,211
1531760354,2018-07-16T16:59:14Z,JAI384,"26.826782,75.779076",29700,477,203
1531760418,2018-07-16T17:00:18Z,JAI384,"26.694626,75.722801",31775,453,200
1531760485,2018-07-16T17:01:25Z,JAI384,"26.56848,75.669128",32000,442,203
1531760495,2018-07-16T17:01:35Z,JAI384,"26.551483,75.657608",32000,446,214
1531760503,2018-07-16T17:01:43Z,JAI384,"26.537336,75.644035",31975,450,222
1531760520,2018-07-16T17:02:00Z,JAI384,"26.511978,75.617546",32000,453,223
1531760899,2018-07-16T17:08:19Z,JAI384,"25.83449,75.122131",30000,467,188
1531760970,2018-07-16T17:09:30Z,JAI384,"25.683382,75.096474",30000,469,188
1531760992,2018-07-16T17:09:52Z,JAI384,"25.635498,75.088501",30000,468,188
1531761088,2018-07-16T17:11:28Z,JAI384,"25.428635,75.053101",29975,476,188
1531761151,2018-07-16T17:12:31Z,JAI384,"25.288805,75.029007",30000,485,188
