Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532363555,2018-07-23T16:32:35Z,JAI384,"28.536335,77.115784",2150,170,103
1532363565,2018-07-23T16:32:45Z,JAI384,"28.533005,77.12381",2475,170,121
1532363574,2018-07-23T16:32:54Z,JAI384,"28.526886,77.128815",2775,173,152
1532363585,2018-07-23T16:33:05Z,JAI384,"28.518631,77.13047",3125,176,177
1532363605,2018-07-23T16:33:25Z,JAI384,"28.502151,77.127823",3800,179,188
1532363625,2018-07-23T16:33:45Z,JAI384,"28.485361,77.124725",4400,185,189
1532363635,2018-07-23T16:33:55Z,JAI384,"28.476236,77.123055",4525,198,188
1532363654,2018-07-23T16:34:14Z,JAI384,"28.457016,77.119431",4900,222,189
1532363664,2018-07-23T16:34:24Z,JAI384,"28.446117,77.117348",5125,234,189
1532363684,2018-07-23T16:34:44Z,JAI384,"28.423553,77.112877",5550,254,189
1532363708,2018-07-23T16:35:08Z,JAI384,"28.39682,77.09967",6075,278,214
1532363718,2018-07-23T16:35:18Z,JAI384,"28.387835,77.090904",6250,283,222
1532363735,2018-07-23T16:35:35Z,JAI384,"28.3694,77.07254",6725,290,220
1532363752,2018-07-23T16:35:52Z,JAI384,"28.354734,77.058533",7300,291,220
1532363763,2018-07-23T16:36:03Z,JAI384,"28.341522,77.045906",7775,295,220
1532363775,2018-07-23T16:36:15Z,JAI384,"28.329254,77.034073",8300,295,220
1532363787,2018-07-23T16:36:27Z,JAI384,"28.318098,77.023262",8700,295,220
1532363798,2018-07-23T16:36:38Z,JAI384,"28.30418,77.00985",9300,294,220
1532363811,2018-07-23T16:36:51Z,JAI384,"28.292038,76.9981",9750,295,220
1532363822,2018-07-23T16:37:02Z,JAI384,"28.279228,76.985619",10200,297,220
1532363836,2018-07-23T16:37:16Z,JAI384,"28.267044,76.973701",10425,305,220
1532363874,2018-07-23T16:37:54Z,JAI384,"28.221363,76.92923",11125,342,220
1532363896,2018-07-23T16:38:16Z,JAI384,"28.1952,76.903702",11600,356,220
1532363908,2018-07-23T16:38:28Z,JAI384,"28.179977,76.888893",11900,362,220
1532363919,2018-07-23T16:38:39Z,JAI384,"28.164642,76.874031",12200,368,220
1532363953,2018-07-23T16:39:13Z,JAI384,"28.121246,76.832092",13225,379,220
1532363985,2018-07-23T16:39:45Z,JAI384,"28.077145,76.789314",14500,382,220
1532364027,2018-07-23T16:40:27Z,JAI384,"28.019211,76.733376",16050,388,220
1532364060,2018-07-23T16:41:00Z,JAI384,"27.974171,76.68985",17075,398,220
1532364095,2018-07-23T16:41:35Z,JAI384,"27.926548,76.643951",18125,405,220
1532364153,2018-07-23T16:42:33Z,JAI384,"27.840101,76.56076",20300,405,220
1532364216,2018-07-23T16:43:36Z,JAI384,"27.744482,76.480423",22250,406,213
1532364281,2018-07-23T16:44:41Z,JAI384,"27.644442,76.405159",23650,422,213
1532364343,2018-07-23T16:45:43Z,JAI384,"27.539186,76.325981",25025,434,213
1532364406,2018-07-23T16:46:46Z,JAI384,"27.430719,76.250504",26375,441,211
1532364468,2018-07-23T16:47:48Z,JAI384,"27.322174,76.1763",27475,452,211
1532364536,2018-07-23T16:48:56Z,JAI384,"27.197342,76.090942",28500,465,211
1532364600,2018-07-23T16:50:00Z,JAI384,"27.081532,76.012024",29425,471,211
1532364662,2018-07-23T16:51:02Z,JAI384,"26.962555,75.931229",30000,470,211
1532364726,2018-07-23T16:52:06Z,JAI384,"26.844589,75.851219",29975,469,210
1532364788,2018-07-23T16:53:08Z,JAI384,"26.720398,75.793488",30000,466,200
1532364853,2018-07-23T16:54:13Z,JAI384,"26.590963,75.738846",29975,462,200
1532364914,2018-07-23T16:55:14Z,JAI384,"26.466751,75.686577",29975,460,200
1532364976,2018-07-23T16:56:16Z,JAI384,"26.34169,75.63372",29975,462,200
1532365390,2018-07-23T17:03:10Z,JAI384,"25.519318,75.291084",30000,453,200
1532365454,2018-07-23T17:04:14Z,JAI384,"25.393433,75.239815",30000,457,200
1532365514,2018-07-23T17:05:14Z,JAI384,"25.272995,75.190331",30000,457,200
1532365578,2018-07-23T17:06:18Z,JAI384,"25.146868,75.139023",30000,453,200
1532365639,2018-07-23T17:07:19Z,JAI384,"25.02746,75.090569",29975,453,200
1532365703,2018-07-23T17:08:23Z,JAI384,"24.902435,75.039726",30000,453,200
1532365763,2018-07-23T17:09:23Z,JAI384,"24.782549,74.991379",29975,455,200
1532365827,2018-07-23T17:10:27Z,JAI384,"24.656393,74.940285",29975,457,200
1532365893,2018-07-23T17:11:33Z,JAI384,"24.523952,74.886749",30000,459,200
1532365953,2018-07-23T17:12:33Z,JAI384,"24.403149,74.838196",29975,456,200
1532366017,2018-07-23T17:13:37Z,JAI384,"24.277039,74.787498",30000,454,200
1532366076,2018-07-23T17:14:36Z,JAI384,"24.160053,74.740768",30000,454,200
1532366139,2018-07-23T17:15:39Z,JAI384,"24.037527,74.691849",29975,451,200
1532366204,2018-07-23T17:16:44Z,JAI384,"23.908173,74.639992",29975,450,200
1532366267,2018-07-23T17:17:47Z,JAI384,"23.787401,74.591675",30000,451,200
1532366326,2018-07-23T17:18:46Z,JAI384,"23.669907,74.544731",30000,453,200
1532366388,2018-07-23T17:19:48Z,JAI384,"23.546169,74.495392",30000,454,200
1532366456,2018-07-23T17:20:56Z,JAI384,"23.412424,74.442139",29975,452,200
1532366518,2018-07-23T17:21:58Z,JAI384,"23.293297,74.394783",29975,450,200
1532366582,2018-07-23T17:23:02Z,JAI384,"23.166861,74.344887",30000,457,200
1532366645,2018-07-23T17:24:05Z,JAI384,"23.040756,74.295044",29975,450,200
1532366708,2018-07-23T17:25:08Z,JAI384,"22.916876,74.246216",30000,459,200
1532366773,2018-07-23T17:26:13Z,JAI384,"22.786203,74.194641",30000,461,199
1532366836,2018-07-23T17:27:16Z,JAI384,"22.658752,74.14473",30000,461,200
1532366909,2018-07-23T17:28:29Z,JAI384,"22.51062,74.086456",30000,464,200
1532366968,2018-07-23T17:29:28Z,JAI384,"22.391602,74.03981",29975,465,200
1532367032,2018-07-23T17:30:32Z,JAI384,"22.263702,73.989922",30000,464,199
1532367092,2018-07-23T17:31:32Z,JAI384,"22.140291,73.942108",30000,465,199
1532367154,2018-07-23T17:32:34Z,JAI384,"22.014833,73.893181",30000,466,199
1532367218,2018-07-23T17:33:38Z,JAI384,"21.88579,73.842926",30000,469,199
1532367284,2018-07-23T17:34:44Z,JAI384,"21.750694,73.790642",29975,470,199
1532367344,2018-07-23T17:35:44Z,JAI384,"21.626913,73.742928",30000,471,199
1532367416,2018-07-23T17:36:56Z,JAI384,"21.479574,73.68586",30000,472,199
1532367453,2018-07-23T17:37:33Z,JAI384,"21.404709,73.657036",30000,472,199
1532367496,2018-07-23T17:38:16Z,JAI384,"21.313244,73.621925",30000,472,199
1532367585,2018-07-23T17:39:45Z,JAI384,"21.128525,73.55265",30000,473,197
1532367593,2018-07-23T17:39:53Z,JAI384,"21.110136,73.546448",30000,472,197
1532367653,2018-07-23T17:40:53Z,JAI384,"20.989286,73.505775",29575,460,197
1532367744,2018-07-23T17:42:24Z,JAI384,"20.814514,73.447083",27925,426,197
1532367803,2018-07-23T17:43:23Z,JAI384,"20.700211,73.408928",26900,419,197
1532367865,2018-07-23T17:44:25Z,JAI384,"20.585587,73.371841",25975,413,195
1532367903,2018-07-23T17:45:03Z,JAI384,"20.519028,73.387939",25975,405,146
1532367911,2018-07-23T17:45:11Z,JAI384,"20.505661,73.400444",25975,399,135
1532367917,2018-07-23T17:45:17Z,JAI384,"20.498932,73.409225",25975,395,128
1532367924,2018-07-23T17:45:24Z,JAI384,"20.492889,73.419815",25975,391,119
1532367930,2018-07-23T17:45:30Z,JAI384,"20.488756,73.429771",25975,388,112
1532367939,2018-07-23T17:45:39Z,JAI384,"20.484846,73.446297",25975,384,101
1532367966,2018-07-23T17:46:06Z,JAI384,"20.492798,73.495689",25975,382,65
1532367978,2018-07-23T17:46:18Z,JAI384,"20.505749,73.515015",25825,382,49
1532367985,2018-07-23T17:46:25Z,JAI384,"20.513849,73.522858",25725,381,41
1532367991,2018-07-23T17:46:31Z,JAI384,"20.522881,73.52935",25650,381,33
1532367999,2018-07-23T17:46:39Z,JAI384,"20.53694,73.536285",25525,381,22
1532368045,2018-07-23T17:47:25Z,JAI384,"20.614151,73.526642",24975,378,330
