Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532539717,2018-07-25T17:28:37Z,JAI384,"28.55356,77.034843",2450,197,275
1532539747,2018-07-25T17:29:07Z,JAI384,"28.53373,77.011902",3000,237,194
1532539763,2018-07-25T17:29:23Z,JAI384,"28.516937,77.010513",3250,258,181
1532539773,2018-07-25T17:29:33Z,JAI384,"28.504261,77.010071",3550,267,182
1532539783,2018-07-25T17:29:43Z,JAI384,"28.491274,77.008987",3950,270,185
1532539793,2018-07-25T17:29:53Z,JAI384,"28.479172,77.007401",4350,271,187
1532539809,2018-07-25T17:30:09Z,JAI384,"28.460083,77.003967",4900,277,189
1532539842,2018-07-25T17:30:42Z,JAI384,"28.414742,76.993965",6125,290,191
1532539857,2018-07-25T17:30:57Z,JAI384,"28.39477,76.989708",6675,293,190
1532539873,2018-07-25T17:31:13Z,JAI384,"28.374567,76.985512",7275,295,190
1532539883,2018-07-25T17:31:23Z,JAI384,"28.36084,76.982681",7625,298,190
1532539902,2018-07-25T17:31:42Z,JAI384,"28.334997,76.971725",8375,300,204
1532539918,2018-07-25T17:31:58Z,JAI384,"28.315659,76.961182",8950,303,205
1532539928,2018-07-25T17:32:08Z,JAI384,"28.302887,76.954315",9275,306,205
1532539954,2018-07-25T17:32:34Z,JAI384,"28.269638,76.939949",10175,311,190
1532539963,2018-07-25T17:32:43Z,JAI384,"28.255371,76.939209",10575,312,181
1532539978,2018-07-25T17:32:58Z,JAI384,"28.232986,76.939102",11100,316,180
1532539988,2018-07-25T17:33:08Z,JAI384,"28.217873,76.938927",11250,325,180
1532540003,2018-07-25T17:33:23Z,JAI384,"28.195341,76.938599",11500,338,180
1532540018,2018-07-25T17:33:38Z,JAI384,"28.171097,76.938309",11775,349,180
1532540033,2018-07-25T17:33:53Z,JAI384,"28.146606,76.938049",12225,354,180
1532540069,2018-07-25T17:34:29Z,JAI384,"28.087666,76.937416",13475,362,180
1532540118,2018-07-25T17:35:18Z,JAI384,"28.002707,76.937096",15325,370,180
1532540158,2018-07-25T17:35:58Z,JAI384,"27.932739,76.937469",16600,383,179
1532540199,2018-07-25T17:36:39Z,JAI384,"27.861786,76.937309",18350,374,180
1532540238,2018-07-25T17:37:18Z,JAI384,"27.793808,76.936584",20075,365,180
1532540269,2018-07-25T17:37:49Z,JAI384,"27.742899,76.932129",21150,364,193
1532540290,2018-07-25T17:38:10Z,JAI384,"27.711868,76.91658",21800,365,209
1532540298,2018-07-25T17:38:18Z,JAI384,"27.700882,76.908913",22000,367,211
1532540359,2018-07-25T17:39:19Z,JAI384,"27.607944,76.847626",23675,377,210
1532540422,2018-07-25T17:40:22Z,JAI384,"27.510929,76.783661",25100,386,210
1532540485,2018-07-25T17:41:25Z,JAI384,"27.415031,76.720436",26125,403,210
1532540550,2018-07-25T17:42:30Z,JAI384,"27.305494,76.648758",27100,421,210
1532540612,2018-07-25T17:43:32Z,JAI384,"27.201544,76.580727",28450,426,210
1532540673,2018-07-25T17:44:33Z,JAI384,"27.096521,76.512009",29425,437,210
1532540748,2018-07-25T17:45:48Z,JAI384,"26.964569,76.426132",31000,435,210
1532540808,2018-07-25T17:46:48Z,JAI384,"26.858139,76.357101",31900,440,210
1532541258,2018-07-25T17:54:18Z,JAI384,"26.036667,75.82769",36000,468,210
1532541361,2018-07-25T17:56:01Z,JAI384,"25.840542,75.7024",35975,474,210
1532541388,2018-07-25T17:56:28Z,JAI384,"25.790312,75.67025",36000,474,210
1532541577,2018-07-25T17:59:37Z,JAI384,"25.42424,75.438286",36000,477,209
1532541639,2018-07-25T18:00:39Z,JAI384,"25.308868,75.365639",36775,470,209
1532541699,2018-07-25T18:01:39Z,JAI384,"25.192442,75.292625",37475,468,209
1532541767,2018-07-25T18:02:47Z,JAI384,"25.066269,75.213417",38000,469,209
1532541829,2018-07-25T18:03:49Z,JAI384,"24.948944,75.139977",38000,470,209
1532541893,2018-07-25T18:04:53Z,JAI384,"24.827499,75.06424",38000,471,209
1532541955,2018-07-25T18:05:55Z,JAI384,"24.711136,74.991814",38000,472,209
1532542015,2018-07-25T18:06:55Z,JAI384,"24.593641,74.918777",38000,475,208
1532542076,2018-07-25T18:07:56Z,JAI384,"24.469719,74.864777",38000,474,200
1532542136,2018-07-25T18:08:56Z,JAI384,"24.34454,74.814514",38000,474,200
1532542200,2018-07-25T18:10:00Z,JAI384,"24.213634,74.762276",38000,469,200
1532542256,2018-07-25T18:10:56Z,JAI384,"24.099396,74.719315",38000,468,194
1532542360,2018-07-25T18:12:40Z,JAI384,"23.881256,74.657845",38000,468,197
1532542418,2018-07-25T18:13:38Z,JAI384,"23.764069,74.610649",38000,467,201
1532542446,2018-07-25T18:14:06Z,JAI384,"23.705843,74.586388",37975,467,201
1532542503,2018-07-25T18:15:03Z,JAI384,"23.591904,74.539436",37975,463,200
1532542608,2018-07-25T18:16:48Z,JAI384,"23.382294,74.453796",38000,460,200
1532542668,2018-07-25T18:17:48Z,JAI384,"23.260664,74.404503",38000,462,200
1532542734,2018-07-25T18:18:54Z,JAI384,"23.128595,74.350639",38000,462,200
1532542794,2018-07-25T18:19:54Z,JAI384,"23.008072,74.301689",38000,463,200
1532542814,2018-07-25T18:20:14Z,JAI384,"22.967789,74.285309",38000,464,200
1532542887,2018-07-25T18:21:27Z,JAI384,"22.819115,74.225311",38000,464,200
1532542937,2018-07-25T18:22:17Z,JAI384,"22.71982,74.185181",38000,465,200
1532543046,2018-07-25T18:24:06Z,JAI384,"22.499348,74.096222",38000,463,200
1532543058,2018-07-25T18:24:18Z,JAI384,"22.475979,74.086761",38000,463,200
