Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532710317,2018-07-27T16:51:57Z,JAI384,"28.551819,77.043159",2150,206,283
1532710401,2018-07-27T16:53:21Z,JAI384,"28.484896,77.006294",4275,264,187
1532710407,2018-07-27T16:53:27Z,JAI384,"28.477844,77.005127",4400,271,188
1532710421,2018-07-27T16:53:41Z,JAI384,"28.46176,77.002098",4675,282,189
1532710431,2018-07-27T16:53:51Z,JAI384,"28.446537,76.999084",5125,285,190
1532710444,2018-07-27T16:54:04Z,JAI384,"28.430475,76.995796",5650,285,190
1532710455,2018-07-27T16:54:15Z,JAI384,"28.41502,76.992615",6100,288,190
1532710468,2018-07-27T16:54:28Z,JAI384,"28.399984,76.989655",6475,293,190
1532710479,2018-07-27T16:54:39Z,JAI384,"28.383133,76.986374",6850,299,189
1532710490,2018-07-27T16:54:50Z,JAI384,"28.366886,76.983299",7225,305,189
1532710504,2018-07-27T16:55:04Z,JAI384,"28.348591,76.979637",7725,306,191
1532710515,2018-07-27T16:55:15Z,JAI384,"28.332596,76.974281",8175,304,199
1532710527,2018-07-27T16:55:27Z,JAI384,"28.320511,76.968575",8525,302,204
1532710533,2018-07-27T16:55:33Z,JAI384,"28.309479,76.962341",8875,301,207
1532710539,2018-07-27T16:55:39Z,JAI384,"28.302017,76.957962",9100,302,207
1532710555,2018-07-27T16:55:55Z,JAI384,"28.283091,76.947006",9650,305,207
1532710569,2018-07-27T16:56:09Z,JAI384,"28.267311,76.937904",10075,308,206
1532710578,2018-07-27T16:56:18Z,JAI384,"28.252487,76.929489",10500,309,206
1532710593,2018-07-27T16:56:33Z,JAI384,"28.236958,76.920723",10900,312,206
1532710605,2018-07-27T16:56:45Z,JAI384,"28.220901,76.911636",11125,321,206
1532710614,2018-07-27T16:56:54Z,JAI384,"28.204422,76.902344",11350,332,206
1532710627,2018-07-27T16:57:07Z,JAI384,"28.187193,76.892609",11525,342,206
1532710639,2018-07-27T16:57:19Z,JAI384,"28.169737,76.882645",11725,351,206
1532710652,2018-07-27T16:57:32Z,JAI384,"28.151674,76.872307",11925,362,206
1532710667,2018-07-27T16:57:47Z,JAI384,"28.129841,76.85981",12275,368,206
1532710700,2018-07-27T16:58:20Z,JAI384,"28.077484,76.829979",13250,380,206
1532710733,2018-07-27T16:58:53Z,JAI384,"28.025116,76.800293",14175,390,206
1532710764,2018-07-27T16:59:24Z,JAI384,"27.975952,76.772408",15175,398,206
1532710796,2018-07-27T16:59:56Z,JAI384,"27.921432,76.741417",16500,396,206
1532710827,2018-07-27T17:00:27Z,JAI384,"27.871582,76.713226",17575,397,206
1532710858,2018-07-27T17:00:58Z,JAI384,"27.816917,76.682457",18750,397,206
1532710923,2018-07-27T17:02:03Z,JAI384,"27.712034,76.623245",20500,407,206
1532710985,2018-07-27T17:03:05Z,JAI384,"27.604019,76.562424",22150,414,206
1532711045,2018-07-27T17:04:05Z,JAI384,"27.499695,76.503708",23350,426,206
1532711110,2018-07-27T17:05:10Z,JAI384,"27.385843,76.439758",24625,435,206
1532711173,2018-07-27T17:06:13Z,JAI384,"27.272324,76.376282",25875,440,206
1532711236,2018-07-27T17:07:16Z,JAI384,"27.1542,76.310349",27025,448,206
1532711298,2018-07-27T17:08:18Z,JAI384,"27.040892,76.247124",27875,458,206
1532711359,2018-07-27T17:09:19Z,JAI384,"26.919434,76.179565",28650,469,206
1532711421,2018-07-27T17:10:21Z,JAI384,"26.797348,76.111931",29400,477,206
1532711487,2018-07-27T17:11:27Z,JAI384,"26.669632,76.041664",30300,478,206
1532711548,2018-07-27T17:12:28Z,JAI384,"26.544691,75.972572",31250,477,206
1532711608,2018-07-27T17:13:28Z,JAI384,"26.426239,75.907234",32050,478,206
1532711673,2018-07-27T17:14:33Z,JAI384,"26.29921,75.837379",32775,480,206
1532711732,2018-07-27T17:15:32Z,JAI384,"26.178326,75.771225",33575,480,206
1532711794,2018-07-27T17:16:34Z,JAI384,"26.05687,75.704887",34000,479,206
1532711816,2018-07-27T17:16:56Z,JAI384,"26.015259,75.682175",33975,479,206
1532711948,2018-07-27T17:19:08Z,JAI384,"25.748795,75.537361",33975,475,206
