Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532798685,2018-07-28T17:24:45Z,JAI384,"28.550907,77.049812",2100,191,283
1532798911,2018-07-28T17:28:31Z,JAI384,"28.316162,76.893578",7825,303,212
1532798924,2018-07-28T17:28:44Z,JAI384,"28.30188,76.883377",8025,303,212
1532798934,2018-07-28T17:28:54Z,JAI384,"28.288351,76.873596",8300,304,212
1532798953,2018-07-28T17:29:13Z,JAI384,"28.269379,76.859825",8950,303,212
1532798962,2018-07-28T17:29:22Z,JAI384,"28.255068,76.849365",9475,303,212
1532798974,2018-07-28T17:29:34Z,JAI384,"28.241102,76.839134",9900,305,212
1532798986,2018-07-28T17:29:46Z,JAI384,"28.226715,76.828606",10375,306,213
1532798998,2018-07-28T17:29:58Z,JAI384,"28.211838,76.817726",10800,310,212
1532799012,2018-07-28T17:30:12Z,JAI384,"28.197016,76.807037",11150,317,212
1532799025,2018-07-28T17:30:25Z,JAI384,"28.182352,76.796425",11350,326,212
1532799035,2018-07-28T17:30:35Z,JAI384,"28.167389,76.785667",11825,327,212
1532799047,2018-07-28T17:30:47Z,JAI384,"28.151276,76.774155",12550,319,212
1532799080,2018-07-28T17:31:20Z,JAI384,"28.109528,76.744255",13600,332,212
1532799112,2018-07-28T17:31:52Z,JAI384,"28.069473,76.715416",14550,342,212
1532799144,2018-07-28T17:32:24Z,JAI384,"28.023788,76.682671",15500,358,212
1532799179,2018-07-28T17:32:59Z,JAI384,"27.975939,76.648056",15950,390,212
1532799212,2018-07-28T17:33:32Z,JAI384,"27.922916,76.610046",16575,413,212
1532799244,2018-07-28T17:34:04Z,JAI384,"27.869801,76.572014",17850,411,212
1532799259,2018-07-28T17:34:19Z,JAI384,"27.847363,76.552048",18450,408,226
1532799265,2018-07-28T17:34:25Z,JAI384,"27.839542,76.541481",18750,405,231
1532799271,2018-07-28T17:34:31Z,JAI384,"27.833397,76.532188",18950,404,233
1532799277,2018-07-28T17:34:37Z,JAI384,"27.826601,76.521309",19200,403,235
1532799285,2018-07-28T17:34:45Z,JAI384,"27.81673,76.505569",19450,407,234
1532799349,2018-07-28T17:35:49Z,JAI384,"27.733292,76.407219",20675,418,223
1532799414,2018-07-28T17:36:54Z,JAI384,"27.631268,76.325821",22125,427,213
1532799475,2018-07-28T17:37:55Z,JAI384,"27.529224,76.25119",23425,440,211
1532799537,2018-07-28T17:38:57Z,JAI384,"27.417618,76.175415",24775,447,211
1532799600,2018-07-28T17:40:00Z,JAI384,"27.304192,76.098228",25850,456,211
1532799664,2018-07-28T17:41:04Z,JAI384,"27.188416,76.019432",26900,464,211
1532799726,2018-07-28T17:42:06Z,JAI384,"27.072454,75.940567",27875,470,211
1532799786,2018-07-28T17:43:06Z,JAI384,"26.958893,75.863449",28725,476,211
1532799850,2018-07-28T17:44:10Z,JAI384,"26.839462,75.785507",29850,473,205
1532799862,2018-07-28T17:44:22Z,JAI384,"26.812775,75.773117",30125,472,201
1532800101,2018-07-28T17:48:21Z,JAI384,"26.3326,75.570091",34000,460,200
1532800412,2018-07-28T17:53:32Z,JAI384,"25.704376,75.317551",34000,463,198
1532800474,2018-07-28T17:54:34Z,JAI384,"25.580612,75.272118",34000,462,198
1532800536,2018-07-28T17:55:36Z,JAI384,"25.451738,75.224892",33975,460,198
1532800599,2018-07-28T17:56:39Z,JAI384,"25.32749,75.17939",34000,461,198
1532800662,2018-07-28T17:57:42Z,JAI384,"25.198912,75.132751",33975,462,198
1532800724,2018-07-28T17:58:44Z,JAI384,"25.075241,75.088097",34000,462,198
1532800788,2018-07-28T17:59:48Z,JAI384,"24.945482,75.041237",34000,462,198
1532800847,2018-07-28T18:00:47Z,JAI384,"24.821457,74.996284",34000,462,198
1532800910,2018-07-28T18:01:50Z,JAI384,"24.691177,74.949135",34000,462,198
1532800974,2018-07-28T18:02:54Z,JAI384,"24.561752,74.902092",34000,462,200
1532801037,2018-07-28T18:03:57Z,JAI384,"24.434372,74.850769",34000,463,200
1532801098,2018-07-28T18:04:58Z,JAI384,"24.310867,74.801537",33975,463,200
1532801132,2018-07-28T18:05:32Z,JAI384,"24.242935,74.774017",34000,463,200
1532801199,2018-07-28T18:06:39Z,JAI384,"24.108427,74.719986",34000,464,200
1532801292,2018-07-28T18:08:12Z,JAI384,"23.9184,74.643967",34000,465,200
1532801356,2018-07-28T18:09:16Z,JAI384,"23.791306,74.593147",34000,465,200
1532801418,2018-07-28T18:10:18Z,JAI384,"23.663864,74.54229",33975,465,200
1532801481,2018-07-28T18:11:21Z,JAI384,"23.536331,74.491447",34000,468,200
1532801543,2018-07-28T18:12:23Z,JAI384,"23.411316,74.441864",34000,471,200
1532801615,2018-07-28T18:13:35Z,JAI384,"23.261765,74.382484",34000,472,200
1532801677,2018-07-28T18:14:37Z,JAI384,"23.135206,74.332375",34000,473,200
1532801738,2018-07-28T18:15:38Z,JAI384,"23.006721,74.281517",33975,473,200
1532801755,2018-07-28T18:15:55Z,JAI384,"22.972275,74.267929",34000,473,200
1532801844,2018-07-28T18:17:24Z,JAI384,"22.789927,74.196167",34000,473,200
1532801913,2018-07-28T18:18:33Z,JAI384,"22.6465,74.139709",33975,472,200
1532801973,2018-07-28T18:19:33Z,JAI384,"22.522858,74.091286",34000,471,199
1532801984,2018-07-28T18:19:44Z,JAI384,"22.503525,74.083755",34000,471,199
1532802036,2018-07-28T18:20:36Z,JAI384,"22.393295,74.040558",34000,469,200
1532802125,2018-07-28T18:22:05Z,JAI384,"22.212021,73.969795",33975,467,199
1532802149,2018-07-28T18:22:29Z,JAI384,"22.163086,73.950874",33975,466,199
1532802239,2018-07-28T18:23:59Z,JAI384,"21.980618,73.879951",34000,465,199
1532802307,2018-07-28T18:25:07Z,JAI384,"21.843979,73.826828",34000,466,200
1532802369,2018-07-28T18:26:09Z,JAI384,"21.717922,73.777718",34000,468,199
1532802430,2018-07-28T18:27:10Z,JAI384,"21.594187,73.729958",34000,468,199
1532802490,2018-07-28T18:28:10Z,JAI384,"21.469893,73.682198",34000,469,199
1532802552,2018-07-28T18:29:12Z,JAI384,"21.339546,73.632202",34000,471,199
1532802614,2018-07-28T18:30:14Z,JAI384,"21.214134,73.584084",33950,471,199
1532802675,2018-07-28T18:31:15Z,JAI384,"21.088486,73.539032",32950,468,197
1532802737,2018-07-28T18:32:17Z,JAI384,"20.960936,73.496086",31875,459,197
1532802800,2018-07-28T18:33:20Z,JAI384,"20.837357,73.454933",29675,449,197
1532802863,2018-07-28T18:34:23Z,JAI384,"20.711243,73.412849",27500,433,195
1532802923,2018-07-28T18:35:23Z,JAI384,"20.590805,73.389404",26125,455,189
1532802966,2018-07-28T18:36:06Z,JAI384,"20.504026,73.37384",25150,461,189
1532803057,2018-07-28T18:37:37Z,JAI384,"20.314466,73.339783",22825,448,189
1532803118,2018-07-28T18:38:38Z,JAI384,"20.18541,73.316574",21225,436,189
1532803135,2018-07-28T18:38:55Z,JAI384,"20.156048,73.311417",20850,432,189
1532803224,2018-07-28T18:40:24Z,JAI384,"19.983078,73.280327",18400,408,189
1532803247,2018-07-28T18:40:47Z,JAI384,"19.940643,73.272827",17600,401,189
1532803445,2018-07-28T18:44:05Z,JAI384,"19.591557,73.210442",10550,358,189
1532803459,2018-07-28T18:44:19Z,JAI384,"19.571136,73.206757",10350,350,189
1532803475,2018-07-28T18:44:35Z,JAI384,"19.547058,73.202393",10100,339,189
1532803485,2018-07-28T18:44:45Z,JAI384,"19.527872,73.198959",9950,330,189
1532803498,2018-07-28T18:44:58Z,JAI384,"19.509659,73.195679",9825,322,189
1532803511,2018-07-28T18:45:11Z,JAI384,"19.491795,73.192467",9700,313,189
1532803524,2018-07-28T18:45:24Z,JAI384,"19.474365,73.1894",9575,305,189
1532803534,2018-07-28T18:45:34Z,JAI384,"19.458389,73.1866",9500,297,189
1532803549,2018-07-28T18:45:49Z,JAI384,"19.438156,73.183022",9250,290,189
1532803560,2018-07-28T18:46:00Z,JAI384,"19.424194,73.180519",9100,289,189
1532803587,2018-07-28T18:46:27Z,JAI384,"19.388494,73.174042",8575,281,189
1532803599,2018-07-28T18:46:39Z,JAI384,"19.373428,73.171249",8325,280,189
1532803615,2018-07-28T18:46:55Z,JAI384,"19.352743,73.167549",8025,279,189
1532803629,2018-07-28T18:47:09Z,JAI384,"19.3358,73.164581",7750,275,189
1532803642,2018-07-28T18:47:22Z,JAI384,"19.32074,73.16188",7525,273,189
1532803654,2018-07-28T18:47:34Z,JAI384,"19.302885,73.159004",7175,272,188
1532803667,2018-07-28T18:47:47Z,JAI384,"19.287895,73.156761",6875,270,187
1532803679,2018-07-28T18:47:59Z,JAI384,"19.272903,73.154572",6550,268,187
1532803692,2018-07-28T18:48:12Z,JAI384,"19.257498,73.152313",6250,266,187
1532803704,2018-07-28T18:48:24Z,JAI384,"19.242325,73.149864",6075,258,189
1532803717,2018-07-28T18:48:37Z,JAI384,"19.227859,73.147514",5900,251,188
1532803728,2018-07-28T18:48:48Z,JAI384,"19.214994,73.145378",5775,242,188
1532803741,2018-07-28T18:49:01Z,JAI384,"19.20076,73.143051",5650,229,188
1532803753,2018-07-28T18:49:13Z,JAI384,"19.188034,73.140938",5400,223,188
1532803765,2018-07-28T18:49:25Z,JAI384,"19.177094,73.139175",5175,218,188
1532803829,2018-07-28T18:50:29Z,JAI384,"19.120285,73.128632",4125,183,198
1532803835,2018-07-28T18:50:35Z,JAI384,"19.115982,73.126175",4000,182,213
1532803841,2018-07-28T18:50:41Z,JAI384,"19.11202,73.122353",3900,180,226
1532803848,2018-07-28T18:50:48Z,JAI384,"19.108337,73.117889",3825,178,229
1532803855,2018-07-28T18:50:55Z,JAI384,"19.104946,73.113617",3725,180,230
1532803867,2018-07-28T18:51:07Z,JAI384,"19.098312,73.105286",3525,181,229
1532803873,2018-07-28T18:51:13Z,JAI384,"19.095589,73.100983",3450,180,238
1532803881,2018-07-28T18:51:21Z,JAI384,"19.093552,73.093513",3350,182,259
1532803887,2018-07-28T18:51:27Z,JAI384,"19.093075,73.090096",3300,180,261
1532803894,2018-07-28T18:51:34Z,JAI384,"19.092237,73.082054",3150,181,264
1532803901,2018-07-28T18:51:41Z,JAI384,"19.091679,73.076111",3100,181,264
1532803907,2018-07-28T18:51:47Z,JAI384,"19.091309,73.070709",3050,181,266
1532803917,2018-07-28T18:51:57Z,JAI384,"19.091125,73.062469",3050,175,269
1532803923,2018-07-28T18:52:03Z,JAI384,"19.091072,73.057487",3075,172,270
1532803929,2018-07-28T18:52:09Z,JAI384,"19.09108,73.052361",3075,170,270
1532803954,2018-07-28T18:52:34Z,JAI384,"19.090887,73.031265",2925,163,269
1532803963,2018-07-28T18:52:43Z,JAI384,"19.090839,73.023827",2825,162,269
1532803973,2018-07-28T18:52:53Z,JAI384,"19.090746,73.016785",2675,162,269
1532803979,2018-07-28T18:52:59Z,JAI384,"19.090654,73.011589",2575,160,268
1532804086,2018-07-28T18:54:46Z,JAI384,"19.089537,72.932289",1200,152,269
1532804102,2018-07-28T18:55:02Z,JAI384,"19.089386,72.919991",975,150,268
1532804109,2018-07-28T18:55:09Z,JAI384,"19.08935,72.915314",900,148,269
1532804115,2018-07-28T18:55:15Z,JAI384,"19.089294,72.910965",825,150,268
1532804121,2018-07-28T18:55:21Z,JAI384,"19.089256,72.906273",750,153,269
