Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533487148,2018-08-05T16:39:08Z,JAI384,"28.536026,77.117371",2075,173,103
1533487157,2018-08-05T16:39:17Z,JAI384,"28.533554,77.126404",2250,182,111
1533487163,2018-08-05T16:39:23Z,JAI384,"28.530533,77.131157",2350,188,127
1533487169,2018-08-05T16:39:29Z,JAI384,"28.527283,77.133797",2450,192,142
1533487178,2018-08-05T16:39:38Z,JAI384,"28.518227,77.136948",2650,200,172
1533487199,2018-08-05T16:39:59Z,JAI384,"28.499817,77.130997",3125,219,201
1533487208,2018-08-05T16:40:08Z,JAI384,"28.489746,77.127403",3475,227,195
1533487223,2018-08-05T16:40:23Z,JAI384,"28.473541,77.123604",4050,238,189
1533487239,2018-08-05T16:40:39Z,JAI384,"28.456825,77.120201",4525,248,189
1533487248,2018-08-05T16:40:48Z,JAI384,"28.445187,77.117989",4975,251,189
1533487259,2018-08-05T16:40:59Z,JAI384,"28.433455,77.115677",5325,253,189
1533487273,2018-08-05T16:41:13Z,JAI384,"28.415909,77.11203",5575,259,190
1533487288,2018-08-05T16:41:28Z,JAI384,"28.397657,77.108246",5800,266,190
1533487303,2018-08-05T16:41:43Z,JAI384,"28.379595,77.104851",5925,271,190
1533487314,2018-08-05T16:41:54Z,JAI384,"28.366608,77.101997",6050,274,190
1533487328,2018-08-05T16:42:08Z,JAI384,"28.347893,77.098335",6375,278,189
1533487344,2018-08-05T16:42:24Z,JAI384,"28.32811,77.094444",6750,288,191
1533487353,2018-08-05T16:42:33Z,JAI384,"28.315659,77.089745",7075,290,201
1533487359,2018-08-05T16:42:39Z,JAI384,"28.309208,77.08638",7275,290,205
1533487368,2018-08-05T16:42:48Z,JAI384,"28.297756,77.077873",7600,293,216
1533487374,2018-08-05T16:42:54Z,JAI384,"28.292679,77.072945",7750,295,220
1533487383,2018-08-05T16:43:03Z,JAI384,"28.283386,77.061646",8025,299,227
1533487393,2018-08-05T16:43:13Z,JAI384,"28.273819,77.049812",8450,300,228
1533487414,2018-08-05T16:43:34Z,JAI384,"28.254364,77.0271",9300,301,225
1533487428,2018-08-05T16:43:48Z,JAI384,"28.239471,77.010231",9825,306,224
1533487439,2018-08-05T16:43:59Z,JAI384,"28.229044,76.998917",10200,308,224
1533487454,2018-08-05T16:44:14Z,JAI384,"28.213943,76.981674",10500,310,225
1533487469,2018-08-05T16:44:29Z,JAI384,"28.198273,76.964508",10850,310,224
1533487483,2018-08-05T16:44:43Z,JAI384,"28.183044,76.946869",11025,318,225
1533487500,2018-08-05T16:45:00Z,JAI384,"28.166758,76.928642",11300,327,224
1533487509,2018-08-05T16:45:09Z,JAI384,"28.155678,76.916687",11425,335,223
1533487524,2018-08-05T16:45:24Z,JAI384,"28.138275,76.897903",11675,345,224
1533487539,2018-08-05T16:45:39Z,JAI384,"28.120903,76.878555",11950,353,224
1533487549,2018-08-05T16:45:49Z,JAI384,"28.109266,76.865356",12125,359,224
1533487584,2018-08-05T16:46:24Z,JAI384,"28.066452,76.817886",12800,376,224
1533487614,2018-08-05T16:46:54Z,JAI384,"28.02887,76.775475",13550,388,225
1533487649,2018-08-05T16:47:29Z,JAI384,"27.983109,76.72345",14250,407,225
1533487684,2018-08-05T16:48:04Z,JAI384,"27.936232,76.66851",15200,411,225
1533487719,2018-08-05T16:48:39Z,JAI384,"27.890854,76.61145",16200,419,233
1533487729,2018-08-05T16:48:49Z,JAI384,"27.880693,76.595093",16500,418,237
1533487738,2018-08-05T16:48:58Z,JAI384,"27.871151,76.576134",16800,419,240
1533487744,2018-08-05T16:49:04Z,JAI384,"27.865704,76.564621",16975,420,241
1533487774,2018-08-05T16:49:34Z,JAI384,"27.837029,76.505936",17650,431,241
1533487808,2018-08-05T16:50:08Z,JAI384,"27.80407,76.437592",18550,440,241
1533487837,2018-08-05T16:50:37Z,JAI384,"27.772041,76.38308",19275,447,229
1533487844,2018-08-05T16:50:44Z,JAI384,"27.760496,76.3703",19400,451,221
1533487850,2018-08-05T16:50:50Z,JAI384,"27.751923,76.363274",19550,451,216
1533487860,2018-08-05T16:51:00Z,JAI384,"27.733887,76.351044",19900,450,210
1533487870,2018-08-05T16:51:10Z,JAI384,"27.715714,76.339127",20250,450,211
1533487939,2018-08-05T16:52:19Z,JAI384,"27.590057,76.25206",21875,463,211
1533488005,2018-08-05T16:53:25Z,JAI384,"27.470802,76.171326",24050,456,212
1533488070,2018-08-05T16:54:30Z,JAI384,"27.351954,76.088036",25425,466,211
1533488135,2018-08-05T16:55:35Z,JAI384,"27.233734,76.003731",27075,464,212
1533488200,2018-08-05T16:56:40Z,JAI384,"27.113466,75.92144",28400,465,211
1533488266,2018-08-05T16:57:46Z,JAI384,"26.989609,75.843025",29325,476,209
1533488283,2018-08-05T16:58:03Z,JAI384,"26.955643,75.820793",29600,478,209
1533488369,2018-08-05T16:59:29Z,JAI384,"26.79179,75.728706",32150,451,203
1533488461,2018-08-05T17:01:01Z,JAI384,"26.611307,75.649529",33600,456,200
1533488522,2018-08-05T17:02:02Z,JAI384,"26.490097,75.599518",34925,447,200
1533488583,2018-08-05T17:03:03Z,JAI384,"26.370632,75.554771",35675,450,197
1533488646,2018-08-05T17:04:06Z,JAI384,"26.24382,75.50872",35975,464,197
1533488707,2018-08-05T17:05:07Z,JAI384,"26.117062,75.461494",36000,475,198
1533488770,2018-08-05T17:06:10Z,JAI384,"25.984131,75.413734",36000,474,198
1533488834,2018-08-05T17:07:14Z,JAI384,"25.8517,75.365173",36000,473,198
1533488898,2018-08-05T17:08:18Z,JAI384,"25.718033,75.316673",36000,474,198
1533488961,2018-08-05T17:09:21Z,JAI384,"25.58511,75.269096",36000,475,198
1533489021,2018-08-05T17:10:21Z,JAI384,"25.458115,75.223183",36000,476,198
1533489082,2018-08-05T17:11:22Z,JAI384,"25.330994,75.177917",36000,474,198
1533489145,2018-08-05T17:12:25Z,JAI384,"25.197464,75.129753",36000,473,198
1533489209,2018-08-05T17:13:29Z,JAI384,"25.064941,75.081993",36000,472,198
1533489270,2018-08-05T17:14:30Z,JAI384,"24.93837,75.037285",36000,472,198
1533489333,2018-08-05T17:15:33Z,JAI384,"24.805344,74.989571",36000,474,198
1533489397,2018-08-05T17:16:37Z,JAI384,"24.672134,74.942017",36000,474,197
1533489458,2018-08-05T17:17:38Z,JAI384,"24.545837,74.896187",36000,477,200
1533489518,2018-08-05T17:18:38Z,JAI384,"24.418325,74.844986",36000,479,200
1533489582,2018-08-05T17:19:42Z,JAI384,"24.285789,74.791138",36000,480,200
1533489646,2018-08-05T17:20:46Z,JAI384,"24.152435,74.738312",36000,482,200
1533489709,2018-08-05T17:21:49Z,JAI384,"24.019651,74.685471",36000,481,200
1533489769,2018-08-05T17:22:49Z,JAI384,"23.893021,74.634094",36000,480,200
1533489834,2018-08-05T17:23:54Z,JAI384,"23.758209,74.580482",35975,480,200
1533489897,2018-08-05T17:24:57Z,JAI384,"23.624359,74.527077",36000,479,200
1533489963,2018-08-05T17:26:03Z,JAI384,"23.487671,74.472221",36000,478,200
1533490023,2018-08-05T17:27:03Z,JAI384,"23.361694,74.422638",36000,477,200
1533490087,2018-08-05T17:28:07Z,JAI384,"23.230179,74.369904",36000,474,200
1533490150,2018-08-05T17:29:10Z,JAI384,"23.104797,74.320808",36000,472,200
