Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533574021,2018-08-06T16:47:01Z,JAI384,"28.369858,77.10453",6900,283,190
1533574031,2018-08-06T16:47:11Z,JAI384,"28.357668,77.101837",7250,286,190
1533574043,2018-08-06T16:47:23Z,JAI384,"28.341887,77.098389",7700,290,190
1533574054,2018-08-06T16:47:34Z,JAI384,"28.325638,77.094284",8075,297,196
1533574060,2018-08-06T16:47:40Z,JAI384,"28.318146,77.091011",8275,300,203
1533574066,2018-08-06T16:47:46Z,JAI384,"28.310789,77.086433",8500,302,211
1533574077,2018-08-06T16:47:57Z,JAI384,"28.297337,77.074097",8950,306,224
1533574087,2018-08-06T16:48:07Z,JAI384,"28.288166,77.063759",9300,306,225
1533574094,2018-08-06T16:48:14Z,JAI384,"28.282928,77.057838",9525,306,224
1533574105,2018-08-06T16:48:25Z,JAI384,"28.269917,77.043297",10025,308,224
1533574117,2018-08-06T16:48:37Z,JAI384,"28.257954,77.029884",10475,309,224
1533574145,2018-08-06T16:49:05Z,JAI384,"28.229782,76.998474",11250,322,224
1533574165,2018-08-06T16:49:25Z,JAI384,"28.20628,76.972313",11625,341,224
1533574178,2018-08-06T16:49:38Z,JAI384,"28.192841,76.957382",11800,351,224
1533574190,2018-08-06T16:49:50Z,JAI384,"28.178513,76.941322",12100,358,224
1533574223,2018-08-06T16:50:23Z,JAI384,"28.138733,76.896919",13150,369,224
1533574252,2018-08-06T16:50:52Z,JAI384,"28.101471,76.855652",14250,374,224
1533574286,2018-08-06T16:51:26Z,JAI384,"28.059906,76.80938",15500,379,224
1533574326,2018-08-06T16:52:06Z,JAI384,"28.011017,76.755348",16825,386,224
1533574358,2018-08-06T16:52:38Z,JAI384,"27.967699,76.707458",17825,395,224
1533574378,2018-08-06T16:52:58Z,JAI384,"27.937254,76.68029",18475,399,214
1533574385,2018-08-06T16:53:05Z,JAI384,"27.927979,76.673737",18650,400,210
1533574391,2018-08-06T16:53:11Z,JAI384,"27.918732,76.667831",18800,401,208
1533574400,2018-08-06T16:53:20Z,JAI384,"27.902853,76.658951",19100,403,205
1533574406,2018-08-06T16:53:26Z,JAI384,"27.892868,76.65358",19275,404,205
1533574468,2018-08-06T16:54:28Z,JAI384,"27.783646,76.594345",21000,418,205
1533574530,2018-08-06T16:55:30Z,JAI384,"27.677633,76.536995",22450,430,205
1533574593,2018-08-06T16:56:33Z,JAI384,"27.562958,76.475204",24275,430,205
1533574621,2018-08-06T16:57:01Z,JAI384,"27.514206,76.448936",24925,433,205
1533574711,2018-08-06T16:58:31Z,JAI384,"27.347763,76.359207",26400,453,205
1533574770,2018-08-06T16:59:30Z,JAI384,"27.23143,76.296669",27450,462,205
1533574845,2018-08-06T17:00:45Z,JAI384,"27.086746,76.219208",29000,463,205
1533574875,2018-08-06T17:01:15Z,JAI384,"27.031769,76.18972",29425,466,205
