Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533748100,2018-08-08T17:08:20Z,JAI384,"28.533508,77.127724",2175,188,104
1533748192,2018-08-08T17:09:52Z,JAI384,"28.451517,77.128441",4175,247,194
1533748210,2018-08-08T17:10:10Z,JAI384,"28.431564,77.122971",4925,249,193
1533748226,2018-08-08T17:10:26Z,JAI384,"28.411423,77.117844",5675,249,192
1533748237,2018-08-08T17:10:37Z,JAI384,"28.397982,77.114326",6150,251,193
1533748251,2018-08-08T17:10:51Z,JAI384,"28.383911,77.110657",6600,254,192
1533748262,2018-08-08T17:11:02Z,JAI384,"28.369633,77.106949",6925,263,193
1533748275,2018-08-08T17:11:15Z,JAI384,"28.354734,77.10302",7150,276,192
1533748288,2018-08-08T17:11:28Z,JAI384,"28.339886,77.099197",7450,283,192
1533748298,2018-08-08T17:11:38Z,JAI384,"28.32443,77.094353",7875,287,199
1533748308,2018-08-08T17:11:48Z,JAI384,"28.313211,77.088211",8225,290,210
1533748314,2018-08-08T17:11:54Z,JAI384,"28.306595,77.083191",8425,294,215
1533748322,2018-08-08T17:12:02Z,JAI384,"28.297028,77.073631",8750,297,225
1533748329,2018-08-08T17:12:09Z,JAI384,"28.291397,77.067192",8950,297,225
1533748339,2018-08-08T17:12:19Z,JAI384,"28.282719,77.057404",9225,301,225
1533748356,2018-08-08T17:12:36Z,JAI384,"28.26461,77.036995",9875,302,224
1533748369,2018-08-08T17:12:49Z,JAI384,"28.252716,77.023827",10350,301,224
1533748379,2018-08-08T17:12:59Z,JAI384,"28.240356,77.010178",10775,304,224
1533748392,2018-08-08T17:13:12Z,JAI384,"28.228159,76.996552",11150,306,224
1533748404,2018-08-08T17:13:24Z,JAI384,"28.216141,76.983208",11575,309,224
1533748416,2018-08-08T17:13:36Z,JAI384,"28.203905,76.969566",11975,311,224
1533748429,2018-08-08T17:13:49Z,JAI384,"28.191244,76.955406",12400,313,224
1533748463,2018-08-08T17:14:23Z,JAI384,"28.15633,76.916519",13500,318,224
1533748499,2018-08-08T17:14:59Z,JAI384,"28.118134,76.874031",14800,323,224
1533748531,2018-08-08T17:15:31Z,JAI384,"28.082357,76.834396",15900,330,224
1533748564,2018-08-08T17:16:04Z,JAI384,"28.04599,76.794113",16925,338,224
1533748593,2018-08-08T17:16:33Z,JAI384,"28.012529,76.75695",17825,343,224
1533748625,2018-08-08T17:17:05Z,JAI384,"27.977383,76.717957",18725,350,224
1533748642,2018-08-08T17:17:22Z,JAI384,"27.954483,76.69677",19325,349,214
1533748651,2018-08-08T17:17:31Z,JAI384,"27.942282,76.688126",19600,350,210
1533748657,2018-08-08T17:17:37Z,JAI384,"27.934275,76.683357",19775,349,207
1533748663,2018-08-08T17:17:43Z,JAI384,"27.925369,76.678406",19950,350,205
1533748669,2018-08-08T17:17:49Z,JAI384,"27.916718,76.673737",20125,352,205
1533748731,2018-08-08T17:18:51Z,JAI384,"27.826035,76.624405",21775,361,205
1533748778,2018-08-08T17:19:38Z,JAI384,"27.752954,76.584587",23000,368,205
1533748871,2018-08-08T17:21:11Z,JAI384,"27.605621,76.504486",25200,381,205
1533748935,2018-08-08T17:22:15Z,JAI384,"27.503435,76.449158",26575,390,205
1533748997,2018-08-08T17:23:17Z,JAI384,"27.402184,76.394333",28100,389,205
1533749064,2018-08-08T17:24:24Z,JAI384,"27.291109,76.334435",28825,410,205
1533749093,2018-08-08T17:24:53Z,JAI384,"27.242184,76.308075",29200,418,205
1533749181,2018-08-08T17:26:21Z,JAI384,"27.084417,76.223198",30675,428,205
1533749242,2018-08-08T17:27:22Z,JAI384,"26.976929,76.16552",31650,432,205
1533749306,2018-08-08T17:28:26Z,JAI384,"26.860641,76.103348",32475,439,205
1533749371,2018-08-08T17:29:31Z,JAI384,"26.737743,76.037643",33350,442,205
1533749436,2018-08-08T17:30:36Z,JAI384,"26.621084,75.975426",34050,445,205
1533749497,2018-08-08T17:31:37Z,JAI384,"26.502607,75.912567",34525,454,205
1533749562,2018-08-08T17:32:42Z,JAI384,"26.38028,75.847794",34950,462,205
1533749624,2018-08-08T17:33:44Z,JAI384,"26.256346,75.782158",35425,468,205
1533749688,2018-08-08T17:34:48Z,JAI384,"26.131805,75.716217",35925,472,205
1533749754,2018-08-08T17:35:54Z,JAI384,"26.002962,75.647736",36000,477,205
1533749821,2018-08-08T17:37:01Z,JAI384,"25.864655,75.575676",36000,480,205
1533749892,2018-08-08T17:38:12Z,JAI384,"25.722532,75.501259",36000,470,205
1533749914,2018-08-08T17:38:34Z,JAI384,"25.679611,75.478874",35975,470,205
1533749985,2018-08-08T17:39:45Z,JAI384,"25.539093,75.405678",36000,470,205
1533750027,2018-08-08T17:40:27Z,JAI384,"25.456905,75.36274",36000,467,205
1533750065,2018-08-08T17:41:05Z,JAI384,"25.381351,75.32325",36000,465,205
1533750154,2018-08-08T17:42:34Z,JAI384,"25.211105,75.235039",36000,461,205
1533750213,2018-08-08T17:43:33Z,JAI384,"25.095566,75.175323",36000,464,205
1533750279,2018-08-08T17:44:39Z,JAI384,"24.969364,75.110107",36000,469,205
1533750347,2018-08-08T17:45:47Z,JAI384,"24.832453,75.039627",36000,470,205
1533750410,2018-08-08T17:46:50Z,JAI384,"24.706717,74.974953",36000,471,205
1533750470,2018-08-08T17:47:50Z,JAI384,"24.587128,74.913689",36000,470,205
1533750535,2018-08-08T17:48:55Z,JAI384,"24.457672,74.860176",36000,466,200
1533750600,2018-08-08T17:50:00Z,JAI384,"24.328897,74.808395",36000,466,200
1533750661,2018-08-08T17:51:01Z,JAI384,"24.199997,74.756721",36000,468,200
1533750721,2018-08-08T17:52:01Z,JAI384,"24.075806,74.706978",36000,469,200
1533750785,2018-08-08T17:53:05Z,JAI384,"23.948612,74.656242",36000,470,200
1533750845,2018-08-08T17:54:05Z,JAI384,"23.8228,74.605766",36000,470,200
1533750909,2018-08-08T17:55:09Z,JAI384,"23.692566,74.553528",36000,468,200
1533750969,2018-08-08T17:56:09Z,JAI384,"23.569473,74.504494",36000,468,200
1533751034,2018-08-08T17:57:14Z,JAI384,"23.43812,74.452362",36000,468,200
1533751095,2018-08-08T17:58:15Z,JAI384,"23.314106,74.403328",36000,469,199
1533751155,2018-08-08T17:59:15Z,JAI384,"23.189621,74.354019",36000,471,200
1533751219,2018-08-08T18:00:19Z,JAI384,"23.058884,74.302086",36000,473,200
1533751280,2018-08-08T18:01:20Z,JAI384,"22.933495,74.252678",35975,474,200
1533751341,2018-08-08T18:02:21Z,JAI384,"22.807205,74.203056",36000,474,200
1533751401,2018-08-08T18:03:21Z,JAI384,"22.681824,74.153671",36000,474,200
1533751465,2018-08-08T18:04:25Z,JAI384,"22.548368,74.101311",36000,480,199
1533751526,2018-08-08T18:05:26Z,JAI384,"22.419977,74.051109",36000,483,199
1533751589,2018-08-08T18:06:29Z,JAI384,"22.290482,74.000313",36000,486,199
1533751649,2018-08-08T18:07:29Z,JAI384,"22.161346,73.949921",36000,487,199
