Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534007088,2018-08-11T17:04:48Z,JAI384,"28.551092,77.052666",2250,185,287
1534007098,2018-08-11T17:04:58Z,JAI384,"28.552443,77.043831",2650,175,274
1534007128,2018-08-11T17:05:28Z,JAI384,"28.533829,77.024246",3050,217,197
1534007137,2018-08-11T17:05:37Z,JAI384,"28.524628,77.0224",3000,230,188
1534007148,2018-08-11T17:05:48Z,JAI384,"28.512131,77.02018",3025,243,189
1534007154,2018-08-11T17:05:54Z,JAI384,"28.506636,77.019058",3100,247,190
1534007164,2018-08-11T17:06:04Z,JAI384,"28.49469,77.016487",3300,256,191
1534007175,2018-08-11T17:06:15Z,JAI384,"28.482801,77.013672",3525,266,191
1534007184,2018-08-11T17:06:24Z,JAI384,"28.470604,77.010605",3850,270,192
1534007199,2018-08-11T17:06:39Z,JAI384,"28.451797,77.005867",4350,276,192
1534007210,2018-08-11T17:06:50Z,JAI384,"28.439163,77.002754",4725,279,191
1534007219,2018-08-11T17:06:59Z,JAI384,"28.426565,76.999779",5100,280,191
1534007234,2018-08-11T17:07:14Z,JAI384,"28.4072,76.995201",5375,286,191
1534007245,2018-08-11T17:07:25Z,JAI384,"28.393753,76.992081",5525,286,191
1534007259,2018-08-11T17:07:39Z,JAI384,"28.374287,76.98761",5750,287,191
1534007275,2018-08-11T17:07:55Z,JAI384,"28.354248,76.983047",5975,288,191
1534007289,2018-08-11T17:08:09Z,JAI384,"28.334858,76.978508",6325,291,191
1534007305,2018-08-11T17:08:25Z,JAI384,"28.315292,76.972221",6850,290,199
1534007314,2018-08-11T17:08:34Z,JAI384,"28.303434,76.96537",7200,290,209
1534007324,2018-08-11T17:08:44Z,JAI384,"28.292122,76.956108",7575,290,217
1534007334,2018-08-11T17:08:54Z,JAI384,"28.282196,76.946976",7950,290,218
1534007340,2018-08-11T17:09:00Z,JAI384,"28.276388,76.94178",8150,291,218
1534007354,2018-08-11T17:09:14Z,JAI384,"28.260794,76.92794",8700,293,218
1534007364,2018-08-11T17:09:24Z,JAI384,"28.250107,76.918503",9075,294,217
1534007393,2018-08-11T17:09:53Z,JAI384,"28.217825,76.890137",10100,300,217
1534007410,2018-08-11T17:10:10Z,JAI384,"28.200321,76.874733",10650,304,217
1534007424,2018-08-11T17:10:24Z,JAI384,"28.183842,76.859978",11075,308,218
1534007440,2018-08-11T17:10:40Z,JAI384,"28.166107,76.844238",11350,322,217
1534007455,2018-08-11T17:10:55Z,JAI384,"28.147705,76.828079",11575,335,217
1534007470,2018-08-11T17:11:10Z,JAI384,"28.128958,76.811615",11825,348,217
1534007485,2018-08-11T17:11:25Z,JAI384,"28.109406,76.79438",12050,361,217
1534007519,2018-08-11T17:11:59Z,JAI384,"28.062149,76.752602",12950,376,218
1534007555,2018-08-11T17:12:35Z,JAI384,"28.013123,76.709396",14200,380,218
1534007589,2018-08-11T17:13:09Z,JAI384,"27.965,76.667015",15275,387,217
1534007620,2018-08-11T17:13:40Z,JAI384,"27.921158,76.628654",16225,395,217
1534007655,2018-08-11T17:14:15Z,JAI384,"27.869843,76.583466",17600,393,217
1534007684,2018-08-11T17:14:44Z,JAI384,"27.829393,76.548088",18400,397,217
1534007750,2018-08-11T17:15:50Z,JAI384,"27.725908,76.466537",20075,412,213
1534007815,2018-08-11T17:16:55Z,JAI384,"27.620636,76.387314",21600,425,213
1534007881,2018-08-11T17:18:01Z,JAI384,"27.513071,76.306915",23150,432,211
1534007946,2018-08-11T17:19:06Z,JAI384,"27.399261,76.229103",24350,446,211
1534008011,2018-08-11T17:20:11Z,JAI384,"27.283476,76.149887",25650,453,211
1534008076,2018-08-11T17:21:16Z,JAI384,"27.165651,76.069389",26825,462,211
1534008141,2018-08-11T17:22:21Z,JAI384,"27.046555,75.988235",27875,470,211
1534008204,2018-08-11T17:23:24Z,JAI384,"26.926094,75.906494",28775,479,211
1534008269,2018-08-11T17:24:29Z,JAI384,"26.800543,75.827904",29675,485,203
1534008382,2018-08-11T17:26:22Z,JAI384,"26.563339,75.727203",31575,482,200
1534008442,2018-08-11T17:27:22Z,JAI384,"26.440508,75.675201",32350,485,200
1534008509,2018-08-11T17:28:29Z,JAI384,"26.295547,75.614235",33250,487,200
1534008531,2018-08-11T17:28:51Z,JAI384,"26.251144,75.595528",33500,488,200
1534008629,2018-08-11T17:30:29Z,JAI384,"26.043915,75.508102",34000,474,200
1534008650,2018-08-11T17:30:50Z,JAI384,"26.001333,75.490227",33975,474,200
1534008781,2018-08-11T17:33:01Z,JAI384,"25.735519,75.379738",34000,471,200
1534008843,2018-08-11T17:34:03Z,JAI384,"25.605103,75.326485",34000,469,200
1534008905,2018-08-11T17:35:05Z,JAI384,"25.480774,75.27552",34000,469,200
1534008966,2018-08-11T17:36:06Z,JAI384,"25.356865,75.224892",34000,466,200
1534009029,2018-08-11T17:37:09Z,JAI384,"25.228287,75.172447",34000,466,200
1534009090,2018-08-11T17:38:10Z,JAI384,"25.104364,75.121613",34000,470,200
1534009151,2018-08-11T17:39:11Z,JAI384,"24.981699,75.071808",34000,472,200
1534009214,2018-08-11T17:40:14Z,JAI384,"24.849352,75.018227",34000,473,200
1534009275,2018-08-11T17:41:15Z,JAI384,"24.723221,74.967094",34000,475,200
1534009336,2018-08-11T17:42:16Z,JAI384,"24.599506,74.917274",34000,476,200
1534009398,2018-08-11T17:43:18Z,JAI384,"24.473116,74.866386",34000,476,200
1534009461,2018-08-11T17:44:21Z,JAI384,"24.341002,74.813316",34000,475,200
1534009521,2018-08-11T17:45:21Z,JAI384,"24.215515,74.763031",34000,474,200
1534009586,2018-08-11T17:46:26Z,JAI384,"24.084591,74.710556",34000,472,200
1534009644,2018-08-11T17:47:24Z,JAI384,"23.959785,74.660706",34000,468,200
1534009709,2018-08-11T17:48:29Z,JAI384,"23.830509,74.608826",33975,466,200
1534009774,2018-08-11T17:49:34Z,JAI384,"23.701309,74.557243",34000,463,200
1534009833,2018-08-11T17:50:33Z,JAI384,"23.579178,74.508614",34000,465,200
1534009893,2018-08-11T17:51:33Z,JAI384,"23.456182,74.459534",34000,464,200
1534009956,2018-08-11T17:52:36Z,JAI384,"23.334356,74.411217",34000,463,200
1534010020,2018-08-11T17:53:40Z,JAI384,"23.205048,74.360016",34000,463,200
1534010083,2018-08-11T17:54:43Z,JAI384,"23.076782,74.309235",34000,465,200
1534010157,2018-08-11T17:55:57Z,JAI384,"22.924896,74.249298",34000,465,200
1534010224,2018-08-11T17:57:04Z,JAI384,"22.788485,74.195503",34000,465,200
1534010285,2018-08-11T17:58:05Z,JAI384,"22.666843,74.147697",34000,465,199
1534010345,2018-08-11T17:59:05Z,JAI384,"22.544403,74.099785",34000,465,200
1534010409,2018-08-11T18:00:09Z,JAI384,"22.414717,74.049126",34000,463,200
1534010475,2018-08-11T18:01:15Z,JAI384,"22.280041,73.996376",34000,464,199
1534010509,2018-08-11T18:01:49Z,JAI384,"22.214262,73.970795",34000,465,199
1534010596,2018-08-11T18:03:16Z,JAI384,"22.034866,73.900932",34000,467,199
1534010684,2018-08-11T18:04:44Z,JAI384,"21.855652,73.831268",33975,466,199
1534010747,2018-08-11T18:05:47Z,JAI384,"21.72579,73.780922",34000,465,199
1534010807,2018-08-11T18:06:47Z,JAI384,"21.604431,73.733994",33975,464,199
1534010868,2018-08-11T18:07:48Z,JAI384,"21.480515,73.686249",34000,468,199
1534010934,2018-08-11T18:08:54Z,JAI384,"21.349415,73.635712",33625,471,199
1534010992,2018-08-11T18:09:52Z,JAI384,"21.228699,73.589325",32675,477,199
