Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534178177,2018-08-13T16:36:17Z,JAI384,"28.534752,77.124237",2150,188,103
1534178186,2018-08-13T16:36:26Z,JAI384,"28.531681,77.131775",2325,194,117
1534178193,2018-08-13T16:36:33Z,JAI384,"28.528095,77.135765",2450,197,141
1534178201,2018-08-13T16:36:41Z,JAI384,"28.519775,77.139343",2625,207,171
1534178207,2018-08-13T16:36:47Z,JAI384,"28.514099,77.139076",2725,214,186
1534178217,2018-08-13T16:36:57Z,JAI384,"28.505146,77.135979",2900,225,201
1534178224,2018-08-13T16:37:04Z,JAI384,"28.499233,77.133606",3025,230,198
1534178231,2018-08-13T16:37:11Z,JAI384,"28.489504,77.130592",3175,244,193
1534178240,2018-08-13T16:37:20Z,JAI384,"28.479355,77.128059",3300,254,192
1534178248,2018-08-13T16:37:28Z,JAI384,"28.472372,77.125961",3400,264,197
1534178256,2018-08-13T16:37:36Z,JAI384,"28.461685,77.12133",3700,268,202
1534178262,2018-08-13T16:37:42Z,JAI384,"28.455231,77.11837",3950,269,202
1534178276,2018-08-13T16:37:56Z,JAI384,"28.437286,77.11013",4675,270,202
1534178284,2018-08-13T16:38:04Z,JAI384,"28.430429,77.107002",4950,270,202
1534178290,2018-08-13T16:38:10Z,JAI384,"28.42312,77.103615",5250,269,202
1534178302,2018-08-13T16:38:22Z,JAI384,"28.409155,77.097366",5525,270,201
1534178313,2018-08-13T16:38:33Z,JAI384,"28.394897,77.091331",5725,275,200
1534178324,2018-08-13T16:38:44Z,JAI384,"28.380615,77.085304",5925,279,200
1534178336,2018-08-13T16:38:56Z,JAI384,"28.366241,77.079178",6125,281,200
1534178348,2018-08-13T16:39:08Z,JAI384,"28.351383,77.072807",6300,284,200
1534178361,2018-08-13T16:39:21Z,JAI384,"28.336161,77.066345",6625,288,200
1534178372,2018-08-13T16:39:32Z,JAI384,"28.321077,77.060043",6950,289,200
1534178391,2018-08-13T16:39:51Z,JAI384,"28.297028,77.049812",7525,289,201
1534178404,2018-08-13T16:40:04Z,JAI384,"28.281418,77.040833",8100,288,208
1534178418,2018-08-13T16:40:18Z,JAI384,"28.267273,77.032066",8550,290,208
1534178429,2018-08-13T16:40:29Z,JAI384,"28.25267,77.023247",9000,292,208
1534178443,2018-08-13T16:40:43Z,JAI384,"28.238342,77.01458",9500,292,207
1534178453,2018-08-13T16:40:53Z,JAI384,"28.223877,77.005974",9950,295,207
1534178465,2018-08-13T16:41:05Z,JAI384,"28.209398,76.996819",10325,298,211
1534178471,2018-08-13T16:41:11Z,JAI384,"28.202602,76.990845",10500,301,220
1534178478,2018-08-13T16:41:18Z,JAI384,"28.19632,76.984795",10725,301,220
1534178486,2018-08-13T16:41:26Z,JAI384,"28.186615,76.974861",11025,305,223
1534178494,2018-08-13T16:41:34Z,JAI384,"28.180397,76.967957",11125,311,225
1534178510,2018-08-13T16:41:50Z,JAI384,"28.161346,76.946342",11425,326,225
1534178522,2018-08-13T16:42:02Z,JAI384,"28.1493,76.932358",11600,336,225
1534178535,2018-08-13T16:42:15Z,JAI384,"28.136406,76.917274",11800,346,226
1534178565,2018-08-13T16:42:45Z,JAI384,"28.100739,76.875191",12675,359,226
1534178594,2018-08-13T16:43:14Z,JAI384,"28.065948,76.834366",13650,367,226
1534178630,2018-08-13T16:43:50Z,JAI384,"28.025848,76.787148",14725,377,226
1534178662,2018-08-13T16:44:22Z,JAI384,"27.984039,76.737938",15950,382,226
1534178704,2018-08-13T16:45:04Z,JAI384,"27.932831,76.677834",17275,389,226
1534178737,2018-08-13T16:45:37Z,JAI384,"27.890442,76.628242",18325,396,226
1534178797,2018-08-13T16:46:37Z,JAI384,"27.812355,76.537262",19950,413,224
1534178824,2018-08-13T16:47:04Z,JAI384,"27.771286,76.500755",20775,415,214
1534178856,2018-08-13T16:47:36Z,JAI384,"27.721998,76.463417",21650,418,213
1534178945,2018-08-13T16:49:05Z,JAI384,"27.580582,76.357155",24425,412,213
1534178997,2018-08-13T16:49:57Z,JAI384,"27.494247,76.294037",24825,442,211
1534179096,2018-08-13T16:51:36Z,JAI384,"27.317276,76.172928",26700,456,211
1534179159,2018-08-13T16:52:39Z,JAI384,"27.204149,76.095695",28125,454,211
1534179196,2018-08-13T16:53:16Z,JAI384,"27.138744,76.05101",28800,456,211
1534179258,2018-08-13T16:54:18Z,JAI384,"27.023392,75.972481",29575,464,211
1534179347,2018-08-13T16:55:47Z,JAI384,"26.857224,75.859665",30700,471,211
1534179380,2018-08-13T16:56:20Z,JAI384,"26.792116,75.824043",31025,475,201
1534179447,2018-08-13T16:57:27Z,JAI384,"26.653624,75.765259",31650,481,200
1534179511,2018-08-13T16:58:31Z,JAI384,"26.521912,75.709641",32500,479,200
1534179574,2018-08-13T16:59:34Z,JAI384,"26.391403,75.654343",33325,477,200
1534179635,2018-08-13T17:00:35Z,JAI384,"26.266495,75.601677",34025,476,200
1534179697,2018-08-13T17:01:37Z,JAI384,"26.135777,75.546799",34700,476,200
1534179760,2018-08-13T17:02:40Z,JAI384,"26.006781,75.492607",35625,470,200
1534179822,2018-08-13T17:03:42Z,JAI384,"25.883057,75.440628",36000,470,200
1534179888,2018-08-13T17:04:48Z,JAI384,"25.747484,75.384811",36000,471,200
1534179949,2018-08-13T17:05:49Z,JAI384,"25.622086,75.333405",36000,473,200
1534180011,2018-08-13T17:06:51Z,JAI384,"25.492859,75.28051",36000,472,200
1534180075,2018-08-13T17:07:55Z,JAI384,"25.362579,75.22715",36000,471,200
1534180136,2018-08-13T17:08:56Z,JAI384,"25.23797,75.176285",36000,470,200
1534180211,2018-08-13T17:10:11Z,JAI384,"25.083939,75.113472",36000,469,200
1534180275,2018-08-13T17:11:15Z,JAI384,"24.954048,75.060715",35975,468,200
1534180336,2018-08-13T17:12:16Z,JAI384,"24.830313,75.010452",35975,468,200
1534180402,2018-08-13T17:13:22Z,JAI384,"24.694748,74.955696",36000,470,200
1534180463,2018-08-13T17:14:23Z,JAI384,"24.571381,74.906006",35975,472,200
1534180526,2018-08-13T17:15:26Z,JAI384,"24.440111,74.853172",36000,473,200
1534180590,2018-08-13T17:16:30Z,JAI384,"24.310547,74.801079",35975,473,200
1534180654,2018-08-13T17:17:34Z,JAI384,"24.178574,74.74823",35975,473,200
1534180713,2018-08-13T17:18:33Z,JAI384,"24.055124,74.698792",36000,472,200
1534180777,2018-08-13T17:19:37Z,JAI384,"23.925056,74.646759",35975,467,200
1534180840,2018-08-13T17:20:40Z,JAI384,"23.795151,74.594521",35975,466,200
1534180902,2018-08-13T17:21:42Z,JAI384,"23.672607,74.545692",35975,465,200
1534180945,2018-08-13T17:22:25Z,JAI384,"23.582748,74.509888",36000,464,200
1534181035,2018-08-13T17:23:55Z,JAI384,"23.400604,74.437569",36000,466,200
1534181097,2018-08-13T17:24:57Z,JAI384,"23.27623,74.388229",36000,466,200
1534181158,2018-08-13T17:25:58Z,JAI384,"23.152662,74.339195",36000,467,200
1534181218,2018-08-13T17:26:58Z,JAI384,"23.028809,74.290253",36000,467,200
1534181283,2018-08-13T17:28:03Z,JAI384,"22.898581,74.238892",36000,467,200
1534181343,2018-08-13T17:29:03Z,JAI384,"22.77562,74.190826",35975,465,199
1534181403,2018-08-13T17:30:03Z,JAI384,"22.65218,74.142151",36000,466,200
1534181465,2018-08-13T17:31:05Z,JAI384,"22.528519,74.093643",36000,465,200
1534181525,2018-08-13T17:32:05Z,JAI384,"22.404848,74.045052",36000,465,199
1534181588,2018-08-13T17:33:08Z,JAI384,"22.278923,73.995872",36000,462,199
1534181649,2018-08-13T17:34:09Z,JAI384,"22.157934,73.948769",35975,460,199
1534181712,2018-08-13T17:35:12Z,JAI384,"22.029915,73.898773",35975,459,200
1534181774,2018-08-13T17:36:14Z,JAI384,"21.90834,73.850998",35975,458,199
1534181837,2018-08-13T17:37:17Z,JAI384,"21.781094,73.802086",36000,458,199
1534181897,2018-08-13T17:38:17Z,JAI384,"21.659918,73.755592",35975,460,199
1534181964,2018-08-13T17:39:24Z,JAI384,"21.526825,73.70417",36000,460,199
1534182038,2018-08-13T17:40:38Z,JAI384,"21.375778,73.645805",36000,460,199
1534182102,2018-08-13T17:41:42Z,JAI384,"21.248304,73.596855",35975,459,199
1534182163,2018-08-13T17:42:43Z,JAI384,"21.126801,73.551971",35975,457,197
1534182228,2018-08-13T17:43:48Z,JAI384,"20.997387,73.508675",34625,466,197
