Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534271654,2018-08-14T18:34:14Z,JAI384,"28.536758,77.11573",1900,180,101
1534271663,2018-08-14T18:34:23Z,JAI384,"28.535032,77.125046",2225,183,102
1534271673,2018-08-14T18:34:33Z,JAI384,"28.53154,77.133881",2575,179,120
1534271683,2018-08-14T18:34:43Z,JAI384,"28.52507,77.139374",2900,178,150
1534271693,2018-08-14T18:34:53Z,JAI384,"28.516644,77.140991",3175,184,177
1534271713,2018-08-14T18:35:13Z,JAI384,"28.500257,77.135658",3800,188,196
1534271723,2018-08-14T18:35:23Z,JAI384,"28.491785,77.133018",4125,188,194
1534271734,2018-08-14T18:35:34Z,JAI384,"28.482708,77.130699",4400,194,192
1534271749,2018-08-14T18:35:49Z,JAI384,"28.468964,77.12751",4675,211,191
1534271758,2018-08-14T18:35:58Z,JAI384,"28.458939,77.125237",4850,223,191
1534271769,2018-08-14T18:36:09Z,JAI384,"28.448212,77.122734",4975,237,191
1534271778,2018-08-14T18:36:18Z,JAI384,"28.437103,77.120064",5200,249,191
1534271789,2018-08-14T18:36:29Z,JAI384,"28.424982,77.117241",5350,264,191
1534271804,2018-08-14T18:36:44Z,JAI384,"28.406113,77.11293",5600,279,191
1534271819,2018-08-14T18:36:59Z,JAI384,"28.38707,77.108704",5775,283,191
1534271828,2018-08-14T18:37:08Z,JAI384,"28.373728,77.105766",5875,284,191
1534271844,2018-08-14T18:37:24Z,JAI384,"28.354385,77.101471",6050,286,191
1534271860,2018-08-14T18:37:40Z,JAI384,"28.334299,77.096931",6400,289,191
1534271873,2018-08-14T18:37:53Z,JAI384,"28.315796,77.089691",6950,287,205
1534271883,2018-08-14T18:38:03Z,JAI384,"28.304598,77.081314",7350,287,216
1534271893,2018-08-14T18:38:13Z,JAI384,"28.294868,77.070976",7700,289,225
1534271904,2018-08-14T18:38:24Z,JAI384,"28.285187,77.060043",8100,289,225
1534271924,2018-08-14T18:38:44Z,JAI384,"28.266083,77.038666",8900,292,224
1534271940,2018-08-14T18:39:00Z,JAI384,"28.251343,77.022346",9425,296,224
1534271949,2018-08-14T18:39:09Z,JAI384,"28.24118,77.011047",9775,299,224
1534271963,2018-08-14T18:39:23Z,JAI384,"28.226717,76.994934",10300,303,224
1534271980,2018-08-14T18:39:40Z,JAI384,"28.211243,76.977768",10850,306,224
1534271994,2018-08-14T18:39:54Z,JAI384,"28.19548,76.960251",11200,316,224
1534272004,2018-08-14T18:40:04Z,JAI384,"28.18515,76.948715",11375,325,224
1534272019,2018-08-14T18:40:19Z,JAI384,"28.16848,76.930092",11625,339,224
1534272035,2018-08-14T18:40:35Z,JAI384,"28.150976,76.910599",11875,353,224
1534272049,2018-08-14T18:40:49Z,JAI384,"28.132919,76.890457",12100,366,224
1534272084,2018-08-14T18:41:24Z,JAI384,"28.089899,76.84269",13175,379,224
1534272120,2018-08-14T18:42:00Z,JAI384,"28.045441,76.79348",14350,388,224
1534272150,2018-08-14T18:42:30Z,JAI384,"28.005919,76.74968",15500,393,224
1534272185,2018-08-14T18:43:05Z,JAI384,"27.959972,76.69873",16925,394,224
1534272221,2018-08-14T18:43:41Z,JAI384,"27.914118,76.648071",18375,392,224
1534272285,2018-08-14T18:44:45Z,JAI384,"27.827545,76.552528",20175,410,224
1534272325,2018-08-14T18:45:25Z,JAI384,"27.767715,76.49791",21250,417,213
1534272391,2018-08-14T18:46:31Z,JAI384,"27.659849,76.418312",22575,436,209
1534272451,2018-08-14T18:47:31Z,JAI384,"27.54645,76.360313",23775,450,204
1534272516,2018-08-14T18:48:36Z,JAI384,"27.422062,76.298096",25175,457,204
1534272581,2018-08-14T18:49:41Z,JAI384,"27.292969,76.233559",26400,467,204
1534272640,2018-08-14T18:50:40Z,JAI384,"27.174866,76.174431",27400,476,204
1534272706,2018-08-14T18:51:46Z,JAI384,"27.040333,76.107048",28625,480,203
1534272717,2018-08-14T18:51:57Z,JAI384,"27.018732,76.096329",28800,481,203
1534272817,2018-08-14T18:53:37Z,JAI384,"26.814415,75.995232",30700,480,204
1534272828,2018-08-14T18:53:48Z,JAI384,"26.791031,75.98362",30925,480,204
1534272932,2018-08-14T18:55:32Z,JAI384,"26.579041,75.878891",32700,481,203
1534272994,2018-08-14T18:56:34Z,JAI384,"26.452972,75.816704",34050,471,203
1534273055,2018-08-14T18:57:35Z,JAI384,"26.333158,75.757965",35025,470,203
1534273078,2018-08-14T18:57:58Z,JAI384,"26.288773,75.736122",35300,470,203
1534273166,2018-08-14T18:59:26Z,JAI384,"26.110245,75.648796",36475,470,203
1534273234,2018-08-14T19:00:34Z,JAI384,"25.976753,75.583557",37350,467,203
1534273298,2018-08-14T19:01:38Z,JAI384,"25.850458,75.522026",38000,466,203
1534273361,2018-08-14T19:02:41Z,JAI384,"25.724808,75.460915",38000,466,203
1534273423,2018-08-14T19:03:43Z,JAI384,"25.604599,75.402626",38000,465,203
1534273483,2018-08-14T19:04:43Z,JAI384,"25.484665,75.344337",37975,464,203
1534273546,2018-08-14T19:05:46Z,JAI384,"25.359787,75.283966",38000,464,203
1534273613,2018-08-14T19:06:53Z,JAI384,"25.227539,75.222878",38000,462,201
1534273677,2018-08-14T19:07:57Z,JAI384,"25.099915,75.168816",38000,462,201
1534273737,2018-08-14T19:08:57Z,JAI384,"24.978378,75.117699",38000,463,201
1534273799,2018-08-14T19:09:59Z,JAI384,"24.855835,75.066223",38000,463,200
1534273859,2018-08-14T19:10:59Z,JAI384,"24.733902,75.015015",38000,464,200
1534273921,2018-08-14T19:12:01Z,JAI384,"24.610657,74.963478",38000,464,200
1534273984,2018-08-14T19:13:04Z,JAI384,"24.482346,74.909973",38000,464,200
1534274044,2018-08-14T19:14:04Z,JAI384,"24.36153,74.859703",38000,464,200
1534274108,2018-08-14T19:15:08Z,JAI384,"24.234055,74.806572",38000,463,200
1534274171,2018-08-14T19:16:11Z,JAI384,"24.10582,74.753571",37975,463,200
1534274235,2018-08-14T19:17:15Z,JAI384,"23.978302,74.700874",37975,461,200
1534274296,2018-08-14T19:18:16Z,JAI384,"23.857269,74.651031",37975,461,200
1534274356,2018-08-14T19:19:16Z,JAI384,"23.736753,74.601364",38000,466,200
1534274420,2018-08-14T19:20:20Z,JAI384,"23.607431,74.548096",37975,466,200
1534274484,2018-08-14T19:21:24Z,JAI384,"23.47728,74.494797",38000,467,200
1534274519,2018-08-14T19:21:59Z,JAI384,"23.408001,74.466652",37975,468,200
1534274608,2018-08-14T19:23:28Z,JAI384,"23.22702,74.392723",37975,470,200
1534274671,2018-08-14T19:24:31Z,JAI384,"23.096603,74.339539",38000,472,200
1534274732,2018-08-14T19:25:32Z,JAI384,"22.971954,74.288849",38000,475,200
1534274795,2018-08-14T19:26:35Z,JAI384,"22.841171,74.235619",37975,476,200
1534274857,2018-08-14T19:27:37Z,JAI384,"22.716049,74.184975",38000,476,200
1534274919,2018-08-14T19:28:39Z,JAI384,"22.58519,74.132095",37975,476,200
1534274981,2018-08-14T19:29:41Z,JAI384,"22.459854,74.081612",38000,474,200
1534275043,2018-08-14T19:30:43Z,JAI384,"22.330261,74.029427",38000,470,200
1534275107,2018-08-14T19:31:47Z,JAI384,"22.20039,73.977257",37975,468,200
1534275167,2018-08-14T19:32:47Z,JAI384,"22.078609,73.928375",38000,466,200
1534275232,2018-08-14T19:33:52Z,JAI384,"21.949814,73.877068",38000,466,200
1534275293,2018-08-14T19:34:53Z,JAI384,"21.821501,73.82563",38000,466,200
1534275356,2018-08-14T19:35:56Z,JAI384,"21.698959,73.776688",38000,468,200
1534275417,2018-08-14T19:36:57Z,JAI384,"21.569275,73.725105",38000,470,200
1534275493,2018-08-14T19:38:13Z,JAI384,"21.414825,73.663681",38000,472,200
1534275556,2018-08-14T19:39:16Z,JAI384,"21.285265,73.612518",37400,470,200
1534275622,2018-08-14T19:40:22Z,JAI384,"21.149427,73.559822",35200,475,198
1534275684,2018-08-14T19:41:24Z,JAI384,"21.01922,73.515961",32625,473,197
1534275745,2018-08-14T19:42:25Z,JAI384,"20.893295,73.473518",30450,461,197
1534275810,2018-08-14T19:43:30Z,JAI384,"20.765259,73.430511",28350,452,197
1534275870,2018-08-14T19:44:30Z,JAI384,"20.641983,73.389503",25250,467,197
1534275928,2018-08-14T19:45:28Z,JAI384,"20.516968,73.347672",22850,449,197
1534275941,2018-08-14T19:45:41Z,JAI384,"20.489594,73.338402",22375,442,197
1534275984,2018-08-14T19:46:24Z,JAI384,"20.411774,73.312355",20925,430,197
1534276070,2018-08-14T19:47:50Z,JAI384,"20.25032,73.259094",17425,417,197
1534276106,2018-08-14T19:48:26Z,JAI384,"20.184357,73.23761",15975,415,196
1534276136,2018-08-14T19:48:56Z,JAI384,"20.128922,73.220001",15425,405,196
1534276177,2018-08-14T19:49:37Z,JAI384,"20.05545,73.197983",15100,405,192
1534276197,2018-08-14T19:49:57Z,JAI384,"20.019562,73.191994",14975,402,186
1534276227,2018-08-14T19:50:27Z,JAI384,"19.962708,73.187187",14875,400,184
1534276262,2018-08-14T19:51:02Z,JAI384,"19.897543,73.181633",13650,396,184
1534276293,2018-08-14T19:51:33Z,JAI384,"19.841766,73.177231",12575,390,184
1534276326,2018-08-14T19:52:06Z,JAI384,"19.783218,73.172379",11375,385,184
1534276339,2018-08-14T19:52:19Z,JAI384,"19.760147,73.170364",10975,382,184
1534276349,2018-08-14T19:52:29Z,JAI384,"19.74408,73.1689",10850,375,184
1534276392,2018-08-14T19:53:12Z,JAI384,"19.673676,73.162865",10350,340,184
1534276408,2018-08-14T19:53:28Z,JAI384,"19.646347,73.160759",10175,328,184
1534276421,2018-08-14T19:53:41Z,JAI384,"19.628082,73.159431",9925,323,183
1534276469,2018-08-14T19:54:29Z,JAI384,"19.557632,73.153252",9075,320,184
1534276481,2018-08-14T19:54:41Z,JAI384,"19.541,73.151718",8775,307,185
1534276494,2018-08-14T19:54:54Z,JAI384,"19.523209,73.150108",8600,301,184
1534276511,2018-08-14T19:55:11Z,JAI384,"19.5005,73.149323",8400,293,180
1534276524,2018-08-14T19:55:24Z,JAI384,"19.481972,73.148972",8125,289,180
1534276538,2018-08-14T19:55:38Z,JAI384,"19.464888,73.148621",7775,288,181
1534276554,2018-08-14T19:55:54Z,JAI384,"19.440029,73.147873",7400,286,181
1534276613,2018-08-14T19:56:53Z,JAI384,"19.364893,73.145676",6125,279,181
1534276628,2018-08-14T19:57:08Z,JAI384,"19.346146,73.145302",5775,279,181
1534276643,2018-08-14T19:57:23Z,JAI384,"19.32686,73.144722",5500,273,181
1534276659,2018-08-14T19:57:39Z,JAI384,"19.307465,73.14418",5125,273,181
1534276674,2018-08-14T19:57:54Z,JAI384,"19.288034,73.143974",4875,268,180
1534276683,2018-08-14T19:58:03Z,JAI384,"19.275652,73.143875",4675,266,180
1534276694,2018-08-14T19:58:14Z,JAI384,"19.263363,73.14373",4475,264,180
1534276703,2018-08-14T19:58:23Z,JAI384,"19.251343,73.143585",4350,259,180
1534276713,2018-08-14T19:58:33Z,JAI384,"19.238922,73.143478",4275,253,180
1534276723,2018-08-14T19:58:43Z,JAI384,"19.227722,73.143394",4200,247,180
