Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534438075,2018-08-16T16:47:55Z,JAI384,"28.526642,77.134483",2775,184,148
1534438083,2018-08-16T16:48:03Z,JAI384,"28.521997,77.136192",2950,188,168
1534438105,2018-08-16T16:48:25Z,JAI384,"28.501003,77.132103",3850,192,195
1534438111,2018-08-16T16:48:31Z,JAI384,"28.49551,77.130592",4100,191,192
1534438121,2018-08-16T16:48:41Z,JAI384,"28.487503,77.128654",4350,201,191
1534438132,2018-08-16T16:48:52Z,JAI384,"28.47633,77.126282",4525,217,190
1534438139,2018-08-16T16:48:59Z,JAI384,"28.470016,77.125031",4650,225,189
1534438150,2018-08-16T16:49:10Z,JAI384,"28.457615,77.12262",4850,240,189
1534438157,2018-08-16T16:49:17Z,JAI384,"28.450167,77.121117",5025,248,189
1534438169,2018-08-16T16:49:29Z,JAI384,"28.436279,77.11837",5275,264,190
1534438180,2018-08-16T16:49:40Z,JAI384,"28.421677,77.115364",5525,279,190
1534438192,2018-08-16T16:49:52Z,JAI384,"28.405523,77.111961",5800,293,190
1534438206,2018-08-16T16:50:06Z,JAI384,"28.389084,77.108498",6100,306,190
1534438217,2018-08-16T16:50:17Z,JAI384,"28.371494,77.104691",6375,319,190
1534438331,2018-08-16T16:52:11Z,JAI384,"28.221405,76.988968",10650,365,224
1534438346,2018-08-16T16:52:26Z,JAI384,"28.203186,76.968681",11225,367,224
1534438358,2018-08-16T16:52:38Z,JAI384,"28.18808,76.951889",11700,370,224
1534438371,2018-08-16T16:52:51Z,JAI384,"28.17346,76.935692",12150,370,224
1534438404,2018-08-16T16:53:24Z,JAI384,"28.132774,76.890511",13275,379,224
1534438436,2018-08-16T16:53:56Z,JAI384,"28.090179,76.843277",14375,386,224
1534438470,2018-08-16T16:54:30Z,JAI384,"28.047398,76.795723",15525,391,224
1534438502,2018-08-16T16:55:02Z,JAI384,"28.004745,76.748428",16625,395,224
1534438535,2018-08-16T16:55:35Z,JAI384,"27.961121,76.70015",17500,404,224
1534438567,2018-08-16T16:56:07Z,JAI384,"27.920105,76.654823",18275,413,224
1534438629,2018-08-16T16:57:09Z,JAI384,"27.832352,76.557861",20025,423,224
1534438650,2018-08-16T16:57:30Z,JAI384,"27.801727,76.527138",20525,426,214
1534438656,2018-08-16T16:57:36Z,JAI384,"27.790615,76.519989",20700,425,207
1534438663,2018-08-16T16:57:43Z,JAI384,"27.779572,76.514694",20850,425,201
1534438671,2018-08-16T16:57:51Z,JAI384,"27.763103,76.508522",21075,425,197
1534438677,2018-08-16T16:57:57Z,JAI384,"27.751602,76.504433",21200,427,197
1534438683,2018-08-16T16:58:03Z,JAI384,"27.74025,76.500343",21350,428,197
1534438750,2018-08-16T16:59:10Z,JAI384,"27.613815,76.455307",22950,436,197
1534438811,2018-08-16T17:00:11Z,JAI384,"27.496445,76.413956",24225,443,197
1534438874,2018-08-16T17:01:14Z,JAI384,"27.373306,76.369957",25525,449,197
1534438936,2018-08-16T17:02:16Z,JAI384,"27.244629,76.330261",26825,451,192
1534438998,2018-08-16T17:03:18Z,JAI384,"27.116306,76.297516",27975,455,192
1534439044,2018-08-16T17:04:04Z,JAI384,"27.022318,76.270523",28625,462,202
1534439053,2018-08-16T17:04:13Z,JAI384,"27.010437,76.264343",28700,462,205
1534439059,2018-08-16T17:04:19Z,JAI384,"26.994873,76.255119",28825,464,208
1534439129,2018-08-16T17:05:29Z,JAI384,"26.860037,76.177505",29725,473,206
1534439207,2018-08-16T17:06:47Z,JAI384,"26.705809,76.089882",30575,482,207
1534439215,2018-08-16T17:06:55Z,JAI384,"26.68984,76.080849",30700,482,206
1534439304,2018-08-16T17:08:24Z,JAI384,"26.512161,75.980354",32125,478,206
1534439365,2018-08-16T17:09:25Z,JAI384,"26.392977,75.913414",33025,477,206
1534439428,2018-08-16T17:10:28Z,JAI384,"26.26845,75.843216",33925,474,206
1534439492,2018-08-16T17:11:32Z,JAI384,"26.144485,75.773331",33975,472,206
1534439552,2018-08-16T17:12:32Z,JAI384,"26.026474,75.707718",34000,471,206
1534439615,2018-08-16T17:13:35Z,JAI384,"25.902689,75.638542",34000,470,206
1534439675,2018-08-16T17:14:35Z,JAI384,"25.784729,75.572716",34000,471,206
1534439739,2018-08-16T17:15:39Z,JAI384,"25.661545,75.504204",34000,470,206
1534439803,2018-08-16T17:16:43Z,JAI384,"25.537626,75.4356",34000,470,206
1534439863,2018-08-16T17:17:43Z,JAI384,"25.419804,75.370407",34000,470,206
1534439926,2018-08-16T17:18:46Z,JAI384,"25.295183,75.301743",34000,472,206
1534439991,2018-08-16T17:19:51Z,JAI384,"25.17128,75.233253",34000,473,208
1534440005,2018-08-16T17:20:05Z,JAI384,"25.143423,75.212975",33975,475,217
1534440011,2018-08-16T17:20:11Z,JAI384,"25.133135,75.20385",33975,475,219
1534440017,2018-08-16T17:20:17Z,JAI384,"25.122799,75.194008",34000,475,222
1534440024,2018-08-16T17:20:24Z,JAI384,"25.112823,75.183357",34000,477,225
1534440030,2018-08-16T17:20:30Z,JAI384,"25.104172,75.172981",34000,477,228
1534440039,2018-08-16T17:20:39Z,JAI384,"25.0914,75.155182",33975,478,233
1534440045,2018-08-16T17:20:45Z,JAI384,"25.084114,75.143272",33975,479,237
1534440053,2018-08-16T17:20:53Z,JAI384,"25.073502,75.124153",33975,478,239
1534440120,2018-08-16T17:22:00Z,JAI384,"24.997574,74.984749",33975,476,238
1534440181,2018-08-16T17:23:01Z,JAI384,"24.928299,74.858093",34000,476,239
1534440242,2018-08-16T17:24:02Z,JAI384,"24.859221,74.732162",34000,478,238
1534440297,2018-08-16T17:24:57Z,JAI384,"24.792744,74.621162",34000,477,227
1534440303,2018-08-16T17:25:03Z,JAI384,"24.784607,74.612221",34000,478,224
1534440309,2018-08-16T17:25:09Z,JAI384,"24.773392,74.601288",33975,476,220
1534440315,2018-08-16T17:25:15Z,JAI384,"24.76309,74.59214",33975,476,218
1534440321,2018-08-16T17:25:21Z,JAI384,"24.75243,74.582764",34000,476,218
1534440382,2018-08-16T17:26:22Z,JAI384,"24.647781,74.49102",34000,476,219
1534440433,2018-08-16T17:27:13Z,JAI384,"24.557749,74.417191",33975,470,208
1534440439,2018-08-16T17:27:19Z,JAI384,"24.545738,74.410347",33975,470,207
1534440446,2018-08-16T17:27:26Z,JAI384,"24.534302,74.403893",33975,470,207
1534440482,2018-08-16T17:28:02Z,JAI384,"24.461517,74.37027",34000,467,196
1534440488,2018-08-16T17:28:08Z,JAI384,"24.448771,74.366608",34000,466,193
1534440551,2018-08-16T17:29:11Z,JAI384,"24.314346,74.333702",34000,467,192
1534440612,2018-08-16T17:30:12Z,JAI384,"24.185471,74.301727",34000,471,193
1534440672,2018-08-16T17:31:12Z,JAI384,"24.056396,74.268951",34000,473,193
1534440733,2018-08-16T17:32:13Z,JAI384,"23.926529,74.23645",33975,474,192
1534440798,2018-08-16T17:33:18Z,JAI384,"23.789062,74.202171",34000,474,192
1534440859,2018-08-16T17:34:19Z,JAI384,"23.660919,74.170517",33975,475,192
1534440919,2018-08-16T17:35:19Z,JAI384,"23.527267,74.137421",34000,474,192
1534440980,2018-08-16T17:36:20Z,JAI384,"23.396317,74.104866",34000,474,192
1534441042,2018-08-16T17:37:22Z,JAI384,"23.262571,74.07206",34000,476,192
1534441104,2018-08-16T17:38:24Z,JAI384,"23.130936,74.039711",33975,479,192
1534441168,2018-08-16T17:39:28Z,JAI384,"22.994059,74.005943",33975,468,192
1534441227,2018-08-16T17:40:27Z,JAI384,"22.866739,73.97451",34000,460,193
1534441244,2018-08-16T17:40:44Z,JAI384,"22.835541,73.963409",34000,465,202
1534441251,2018-08-16T17:40:51Z,JAI384,"22.823399,73.957878",33975,465,203
1534441311,2018-08-16T17:41:51Z,JAI384,"22.703659,73.901436",33975,465,203
