Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534610520,2018-08-18T16:42:00Z,JAI384,"28.534744,77.121643",2100,187,106
1534610578,2018-08-18T16:42:58Z,JAI384,"28.490204,77.127457",3825,193,192
1534610586,2018-08-18T16:43:06Z,JAI384,"28.483452,77.125961",4075,195,190
1534610594,2018-08-18T16:43:14Z,JAI384,"28.476469,77.124672",4300,195,189
1534610605,2018-08-18T16:43:25Z,JAI384,"28.465437,77.122734",4525,207,188
1534610612,2018-08-18T16:43:32Z,JAI384,"28.459618,77.121704",4625,214,188
1534610629,2018-08-18T16:43:49Z,JAI384,"28.440765,77.118317",4950,232,189
1534610635,2018-08-18T16:43:55Z,JAI384,"28.434494,77.117157",5050,238,189
1534610649,2018-08-18T16:44:09Z,JAI384,"28.420933,77.114548",5275,250,189
1534610662,2018-08-18T16:44:22Z,JAI384,"28.406734,77.111748",5475,264,190
1534610672,2018-08-18T16:44:32Z,JAI384,"28.39193,77.108727",5700,275,190
1534610683,2018-08-18T16:44:43Z,JAI384,"28.377274,77.105644",6050,280,190
1534610696,2018-08-18T16:44:56Z,JAI384,"28.36084,77.102264",6525,282,190
1534610707,2018-08-18T16:45:07Z,JAI384,"28.345505,77.099037",6975,284,190
1534610721,2018-08-18T16:45:21Z,JAI384,"28.32962,77.095551",7400,286,192
1534610729,2018-08-18T16:45:29Z,JAI384,"28.318176,77.091064",7725,288,203
1534610736,2018-08-18T16:45:36Z,JAI384,"28.311209,77.086861",7925,289,210
1534610743,2018-08-18T16:45:43Z,JAI384,"28.301743,77.078812",8225,291,221
1534610752,2018-08-18T16:45:52Z,JAI384,"28.295567,77.071945",8425,292,225
1534610758,2018-08-18T16:45:58Z,JAI384,"28.289841,77.065376",8650,293,225
1534610764,2018-08-18T16:46:04Z,JAI384,"28.284069,77.058861",8850,294,225
1534610778,2018-08-18T16:46:18Z,JAI384,"28.269562,77.042526",9450,294,224
1534610789,2018-08-18T16:46:29Z,JAI384,"28.257935,77.029587",9850,296,224
1534610801,2018-08-18T16:46:41Z,JAI384,"28.245804,77.016418",10250,298,222
1534610814,2018-08-18T16:46:54Z,JAI384,"28.232071,77.00444",10475,309,214
1534610820,2018-08-18T16:47:00Z,JAI384,"28.224855,76.999245",10600,313,211
1534610826,2018-08-18T16:47:06Z,JAI384,"28.217173,76.994446",10700,317,208
1534610834,2018-08-18T16:47:14Z,JAI384,"28.2052,76.987434",10850,325,207
1534610849,2018-08-18T16:47:29Z,JAI384,"28.184446,76.97522",11100,337,207
1534610861,2018-08-18T16:47:41Z,JAI384,"28.167938,76.965408",11275,347,207
1534610873,2018-08-18T16:47:53Z,JAI384,"28.149948,76.954689",11475,357,207
1534610887,2018-08-18T16:48:07Z,JAI384,"28.132309,76.944206",11750,364,207
1534610900,2018-08-18T16:48:20Z,JAI384,"28.114014,76.933273",12100,367,207
1534610930,2018-08-18T16:48:50Z,JAI384,"28.063877,76.903595",13150,373,207
1534610965,2018-08-18T16:49:25Z,JAI384,"28.012018,76.872849",14150,381,207
1534610997,2018-08-18T16:49:57Z,JAI384,"27.960018,76.842201",15150,389,207
1534611030,2018-08-18T16:50:30Z,JAI384,"27.906052,76.810341",16100,398,207
1534611066,2018-08-18T16:51:06Z,JAI384,"27.85104,76.777847",17175,403,207
1534611097,2018-08-18T16:51:37Z,JAI384,"27.796188,76.745567",18175,409,207
1534611159,2018-08-18T16:52:39Z,JAI384,"27.693604,76.685295",19850,420,207
1534611221,2018-08-18T16:53:41Z,JAI384,"27.585205,76.621506",21375,430,207
1534611283,2018-08-18T16:54:43Z,JAI384,"27.472431,76.555481",22075,432,207
1534611304,2018-08-18T16:55:04Z,JAI384,"27.433044,76.536667",22300,432,197
1534611311,2018-08-18T16:55:11Z,JAI384,"27.421417,76.533096",22350,433,194
1534611320,2018-08-18T16:55:20Z,JAI384,"27.403627,76.529282",22450,434,188
1534611328,2018-08-18T16:55:28Z,JAI384,"27.38562,76.52729",22550,433,183
1534611334,2018-08-18T16:55:34Z,JAI384,"27.373322,76.526749",22625,435,181
1534611401,2018-08-18T16:56:41Z,JAI384,"27.237671,76.522781",24025,446,181
1534611465,2018-08-18T16:57:45Z,JAI384,"27.105692,76.518295",25375,451,181
1534611524,2018-08-18T16:58:44Z,JAI384,"26.978558,76.513382",26475,458,181
1534611594,2018-08-18T16:59:54Z,JAI384,"26.834564,76.507805",28525,442,182
1534611603,2018-08-18T17:00:03Z,JAI384,"26.816483,76.507027",28675,444,182
1534611681,2018-08-18T17:01:21Z,JAI384,"26.655396,76.487541",30100,451,198
1534611691,2018-08-18T17:01:31Z,JAI384,"26.635437,76.478783",30225,454,201
1534611708,2018-08-18T17:01:48Z,JAI384,"26.602844,76.460648",30550,455,208
1534611714,2018-08-18T17:01:54Z,JAI384,"26.592453,76.453804",30625,457,210
1534611721,2018-08-18T17:02:01Z,JAI384,"26.581741,76.446342",30700,459,212
1534611737,2018-08-18T17:02:17Z,JAI384,"26.554138,76.424683",30875,461,215
1534611907,2018-08-18T17:05:07Z,JAI384,"26.248306,76.185318",32950,476,215
1534611959,2018-08-18T17:05:59Z,JAI384,"26.15435,76.112068",33700,474,215
1534612306,2018-08-18T17:11:46Z,JAI384,"25.564814,75.586143",34000,475,231
1534612367,2018-08-18T17:12:47Z,JAI384,"25.483063,75.47094",34000,474,235
1534612431,2018-08-18T17:13:51Z,JAI384,"25.414078,75.336357",34000,475,241
1534612491,2018-08-18T17:14:51Z,JAI384,"25.350266,75.207573",34000,476,241
1534612550,2018-08-18T17:15:50Z,JAI384,"25.281738,75.082039",34000,475,231
1534612556,2018-08-18T17:15:56Z,JAI384,"25.273163,75.07093",34000,476,228
1534612563,2018-08-18T17:16:03Z,JAI384,"25.263428,75.059357",33975,476,226
1534612569,2018-08-18T17:16:09Z,JAI384,"25.254181,75.049286",34000,475,224
1534612575,2018-08-18T17:16:15Z,JAI384,"25.244905,75.039993",33975,475,221
1534612581,2018-08-18T17:16:21Z,JAI384,"25.2342,75.030251",34000,474,219
1534612587,2018-08-18T17:16:27Z,JAI384,"25.224051,75.021751",34000,474,216
1534612593,2018-08-18T17:16:33Z,JAI384,"25.212662,75.013023",33975,475,213
1534612599,2018-08-18T17:16:39Z,JAI384,"25.20108,75.005135",34000,473,210
1534612606,2018-08-18T17:16:46Z,JAI384,"25.189835,74.998581",34000,472,206
1534612615,2018-08-18T17:16:55Z,JAI384,"25.171371,74.989777",34000,472,201
1534612621,2018-08-18T17:17:01Z,JAI384,"25.159012,74.984993",34000,471,198
1534612627,2018-08-18T17:17:07Z,JAI384,"25.145782,74.980827",34000,470,194
1534612633,2018-08-18T17:17:13Z,JAI384,"25.132828,74.977623",34000,469,191
1534612639,2018-08-18T17:17:19Z,JAI384,"25.120605,74.975334",34000,469,188
1534612645,2018-08-18T17:17:25Z,JAI384,"25.10767,74.973656",33975,468,186
1534612651,2018-08-18T17:17:31Z,JAI384,"25.094683,74.972153",33975,468,186
1534612717,2018-08-18T17:18:37Z,JAI384,"24.94986,74.954277",34000,470,186
1534612778,2018-08-18T17:19:38Z,JAI384,"24.819185,74.937851",33975,470,186
1534612839,2018-08-18T17:20:39Z,JAI384,"24.687536,74.921524",33975,471,186
1534612899,2018-08-18T17:21:39Z,JAI384,"24.556641,74.898888",33975,472,196
1534612912,2018-08-18T17:21:52Z,JAI384,"24.531446,74.889809",33975,473,200
1534612975,2018-08-18T17:22:55Z,JAI384,"24.400496,74.837471",33975,472,200
1534613035,2018-08-18T17:23:55Z,JAI384,"24.276352,74.787292",34000,472,200
1534613100,2018-08-18T17:25:00Z,JAI384,"24.145016,74.734497",33975,473,200
1534613161,2018-08-18T17:26:01Z,JAI384,"24.020256,74.684746",34000,475,199
1534613223,2018-08-18T17:27:03Z,JAI384,"23.888672,74.632263",34000,477,200
1534613284,2018-08-18T17:28:04Z,JAI384,"23.762604,74.581604",33975,478,200
1534613345,2018-08-18T17:29:05Z,JAI384,"23.636992,74.531616",34000,478,200
1534613408,2018-08-18T17:30:08Z,JAI384,"23.504333,74.478714",34000,478,200
1534613471,2018-08-18T17:31:11Z,JAI384,"23.377417,74.428352",34000,478,200
1534613530,2018-08-18T17:32:10Z,JAI384,"23.252563,74.379021",34000,477,200
1534613591,2018-08-18T17:33:11Z,JAI384,"23.125031,74.328201",34000,477,200
1534613653,2018-08-18T17:34:13Z,JAI384,"22.992371,74.275566",33975,477,200
1534613714,2018-08-18T17:35:14Z,JAI384,"22.865715,74.225822",33975,477,199
1534613777,2018-08-18T17:36:17Z,JAI384,"22.738998,74.176094",34000,478,200
1534613838,2018-08-18T17:37:18Z,JAI384,"22.61261,74.126587",34000,477,199
1534613899,2018-08-18T17:38:19Z,JAI384,"22.485056,74.076744",34000,479,199
1534613958,2018-08-18T17:39:18Z,JAI384,"22.357317,74.026741",34000,478,199
1534614020,2018-08-18T17:40:20Z,JAI384,"22.232712,73.977936",33975,476,199
1534614026,2018-08-18T17:40:26Z,JAI384,"22.218592,73.972374",33975,475,199
1534614127,2018-08-18T17:42:07Z,JAI384,"22.008827,73.890633",34000,475,200
1534614213,2018-08-18T17:43:33Z,JAI384,"21.831976,73.822075",33975,475,200
1534614277,2018-08-18T17:44:37Z,JAI384,"21.699051,73.770599",34000,475,199
1534614343,2018-08-18T17:45:43Z,JAI384,"21.565836,73.719025",34000,476,199
1534614402,2018-08-18T17:46:42Z,JAI384,"21.44046,73.670624",33975,475,199
1534614461,2018-08-18T17:47:41Z,JAI384,"21.315948,73.62278",34000,472,199
1534614525,2018-08-18T17:48:45Z,JAI384,"21.184296,73.572395",33975,473,199
1534614589,2018-08-18T17:49:49Z,JAI384,"21.052691,73.527122",32950,468,197
1534614651,2018-08-18T17:50:51Z,JAI384,"20.927977,73.485001",31375,461,197
1534614712,2018-08-18T17:51:52Z,JAI384,"20.800053,73.442207",29750,449,197
1534614775,2018-08-18T17:52:55Z,JAI384,"20.684231,73.403404",28450,418,197
1534614837,2018-08-18T17:53:57Z,JAI384,"20.569336,73.365326",26825,397,197
1534614896,2018-08-18T17:54:56Z,JAI384,"20.465424,73.330551",25175,383,197
1534614961,2018-08-18T17:56:01Z,JAI384,"20.35869,73.295135",23350,375,197
1534615023,2018-08-18T17:57:03Z,JAI384,"20.260139,73.262276",21800,361,197
1534615085,2018-08-18T17:58:05Z,JAI384,"20.158676,73.229958",20000,353,196
1534615145,2018-08-18T17:59:05Z,JAI384,"20.069042,73.201653",19350,316,196
1534615175,2018-08-18T17:59:35Z,JAI384,"20.027298,73.190674",18975,299,183
1534615196,2018-08-18T17:59:56Z,JAI384,"20.00061,73.20092",18650,295,143
1534615204,2018-08-18T18:00:04Z,JAI384,"19.994745,73.207451",18550,297,131
1534615212,2018-08-18T18:00:12Z,JAI384,"19.987902,73.218636",18400,300,117
1534615218,2018-08-18T18:00:18Z,JAI384,"19.984543,73.227165",18275,300,109
1534615228,2018-08-18T18:00:28Z,JAI384,"19.98185,73.23941",18150,301,97
1534615236,2018-08-18T18:00:36Z,JAI384,"19.981705,73.2537",18000,301,85
1534615242,2018-08-18T18:00:42Z,JAI384,"19.983107,73.261833",17900,301,78
1534615250,2018-08-18T18:00:50Z,JAI384,"19.985899,73.270668",17800,300,68
1534615258,2018-08-18T18:00:58Z,JAI384,"19.992138,73.281952",17650,300,54
1534615266,2018-08-18T18:01:06Z,JAI384,"20.000839,73.291611",17500,299,41
1534615272,2018-08-18T18:01:12Z,JAI384,"20.008347,73.297104",17400,298,30
1534615280,2018-08-18T18:01:20Z,JAI384,"20.015879,73.300728",17275,296,21
1534615287,2018-08-18T18:01:27Z,JAI384,"20.027611,73.304276",17125,295,13
1534615293,2018-08-18T18:01:33Z,JAI384,"20.036037,73.306427",17025,295,13
1534615301,2018-08-18T18:01:41Z,JAI384,"20.044006,73.308479",16900,295,13
1534615338,2018-08-18T18:02:18Z,JAI384,"20.091526,73.321404",16300,288,14
1534615370,2018-08-18T18:02:50Z,JAI384,"20.134735,73.333397",15750,286,14
1534615401,2018-08-18T18:03:21Z,JAI384,"20.173782,73.343941",15400,285,14
1534615437,2018-08-18T18:03:57Z,JAI384,"20.220383,73.341782",15000,283,334
1534615443,2018-08-18T18:04:03Z,JAI384,"20.226929,73.337372",14975,282,325
1534615451,2018-08-18T18:04:11Z,JAI384,"20.235514,73.328796",14975,282,313
1534615457,2018-08-18T18:04:17Z,JAI384,"20.240387,73.321922",14975,281,304
1534615463,2018-08-18T18:04:23Z,JAI384,"20.2435,73.315842",14975,282,295
1534615473,2018-08-18T18:04:33Z,JAI384,"20.247524,73.302628",15000,284,282
1534615482,2018-08-18T18:04:42Z,JAI384,"20.248444,73.289795",15000,286,270
1534615503,2018-08-18T18:05:03Z,JAI384,"20.240067,73.261688",15000,286,238
1534615509,2018-08-18T18:05:09Z,JAI384,"20.235514,73.255287",15000,285,231
1534615516,2018-08-18T18:05:16Z,JAI384,"20.229675,73.249184",15000,285,222
1534615524,2018-08-18T18:05:24Z,JAI384,"20.219545,73.242004",15000,286,208
1534615532,2018-08-18T18:05:32Z,JAI384,"20.212463,73.238884",15000,287,199
1534615538,2018-08-18T18:05:38Z,JAI384,"20.2006,73.235512",14975,287,192
1534615547,2018-08-18T18:05:47Z,JAI384,"20.192917,73.233635",14975,287,193
1534615555,2018-08-18T18:05:55Z,JAI384,"20.180969,73.230598",14975,287,193
1534615588,2018-08-18T18:06:28Z,JAI384,"20.138214,73.219025",15000,285,194
1534615620,2018-08-18T18:07:00Z,JAI384,"20.098846,73.208328",15000,289,194
1534615651,2018-08-18T18:07:31Z,JAI384,"20.055588,73.196609",14975,291,193
1534615666,2018-08-18T18:07:46Z,JAI384,"20.036957,73.192932",15000,289,183
1534615693,2018-08-18T18:08:13Z,JAI384,"20.003311,73.207253",15000,286,137
1534615704,2018-08-18T18:08:24Z,JAI384,"19.996002,73.217484",15000,285,123
1534615710,2018-08-18T18:08:30Z,JAI384,"19.992645,73.224953",15000,285,111
1534615717,2018-08-18T18:08:37Z,JAI384,"19.989996,73.237312",15000,285,96
1534615740,2018-08-18T18:09:00Z,JAI384,"19.995804,73.265808",15000,282,62
1534615746,2018-08-18T18:09:06Z,JAI384,"20.000471,73.273018",15000,282,53
1534615752,2018-08-18T18:09:12Z,JAI384,"20.006475,73.279358",15000,282,41
1534615759,2018-08-18T18:09:19Z,JAI384,"20.013153,73.284256",14975,281,31
1534615767,2018-08-18T18:09:27Z,JAI384,"20.023773,73.288963",14975,279,17
1534615774,2018-08-18T18:09:34Z,JAI384,"20.03183,73.291069",14975,279,12
1534615782,2018-08-18T18:09:42Z,JAI384,"20.043344,73.294037",14975,280,13
1534615790,2018-08-18T18:09:50Z,JAI384,"20.054443,73.296959",15000,279,14
1534615820,2018-08-18T18:10:20Z,JAI384,"20.091843,73.307106",15000,280,14
1534615855,2018-08-18T18:10:55Z,JAI384,"20.134867,73.318909",15000,283,14
1534615887,2018-08-18T18:11:27Z,JAI384,"20.176624,73.330048",15000,282,13
1534615903,2018-08-18T18:11:43Z,JAI384,"20.196642,73.333992",15000,282,2
1534615924,2018-08-18T18:12:04Z,JAI384,"20.222851,73.325951",15000,282,329
1534615930,2018-08-18T18:12:10Z,JAI384,"20.229042,73.32061",15000,282,319
1534615938,2018-08-18T18:12:18Z,JAI384,"20.23439,73.314171",15000,282,307
1534615947,2018-08-18T18:12:27Z,JAI384,"20.239841,73.30368",15000,284,294
1534615955,2018-08-18T18:12:35Z,JAI384,"20.242914,73.291092",15000,286,278
1534615963,2018-08-18T18:12:43Z,JAI384,"20.242868,73.278458",15000,286,265
1534615969,2018-08-18T18:12:49Z,JAI384,"20.241098,73.270119",15000,285,254
1534615975,2018-08-18T18:12:55Z,JAI384,"20.237823,73.261887",14975,284,244
1534615982,2018-08-18T18:13:02Z,JAI384,"20.234161,73.25576",15000,282,236
1534615988,2018-08-18T18:13:08Z,JAI384,"20.227972,73.248543",15000,284,224
1534615996,2018-08-18T18:13:16Z,JAI384,"20.219173,73.241951",15000,285,211
1534616002,2018-08-18T18:13:22Z,JAI384,"20.211594,73.238541",15000,286,200
1534616010,2018-08-18T18:13:30Z,JAI384,"20.2034,73.236191",14975,286,193
1534616019,2018-08-18T18:13:39Z,JAI384,"20.191149,73.233162",14975,287,193
1534616027,2018-08-18T18:13:47Z,JAI384,"20.179604,73.230217",14975,287,193
1534616060,2018-08-18T18:14:20Z,JAI384,"20.136496,73.218636",14975,287,194
1534616093,2018-08-18T18:14:53Z,JAI384,"20.092783,73.206848",15000,290,194
1534616124,2018-08-18T18:15:24Z,JAI384,"20.054146,73.196411",15000,293,193
1534616139,2018-08-18T18:15:39Z,JAI384,"20.032824,73.193169",14825,290,184
1534616146,2018-08-18T18:15:46Z,JAI384,"20.025467,73.192589",14750,288,184
1534616153,2018-08-18T18:15:53Z,JAI384,"20.01709,73.191963",14675,286,183
1534616182,2018-08-18T18:16:22Z,JAI384,"19.977402,73.188713",14325,281,184
1534616217,2018-08-18T18:16:57Z,JAI384,"19.93222,73.184937",13900,278,184
1534616251,2018-08-18T18:17:31Z,JAI384,"19.887543,73.181107",13475,278,184
1534616285,2018-08-18T18:18:05Z,JAI384,"19.842985,73.177185",13075,277,184
1534616295,2018-08-18T18:18:15Z,JAI384,"19.833023,73.176384",12975,275,184
1534616343,2018-08-18T18:19:03Z,JAI384,"19.770996,73.17115",12975,269,184
1534616545,2018-08-18T18:22:25Z,JAI384,"19.514557,73.149765",11975,275,182
1534616557,2018-08-18T18:22:37Z,JAI384,"19.498856,73.149376",12000,275,181
1534616587,2018-08-18T18:23:07Z,JAI384,"19.459122,73.14859",11800,274,181
1534616602,2018-08-18T18:23:22Z,JAI384,"19.441193,73.148224",11650,273,180
1534616626,2018-08-18T18:23:46Z,JAI384,"19.4107,73.15966",11375,287,142
1534616642,2018-08-18T18:24:02Z,JAI384,"19.398643,73.175987",11225,290,127
