Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534702225,2018-08-19T18:10:25Z,JAI384,"28.535404,77.120628",1875,191,104
1534702235,2018-08-19T18:10:35Z,JAI384,"28.53303,77.130432",2150,199,106
1534702245,2018-08-19T18:10:45Z,JAI384,"28.528793,77.139603",2300,215,125
1534702251,2018-08-19T18:10:51Z,JAI384,"28.52449,77.143829",2400,222,139
1534702261,2018-08-19T18:11:01Z,JAI384,"28.51442,77.148163",2575,238,168
1534702291,2018-08-19T18:11:31Z,JAI384,"28.481049,77.136703",2950,265,203
1534702305,2018-08-19T18:11:45Z,JAI384,"28.463062,77.129089",3200,271,198
1534702315,2018-08-19T18:11:55Z,JAI384,"28.450865,77.124992",3500,275,195
1534702325,2018-08-19T18:12:05Z,JAI384,"28.438669,77.121544",3950,276,193
1534702337,2018-08-19T18:12:17Z,JAI384,"28.425659,77.11837",4425,280,191
1534702345,2018-08-19T18:12:25Z,JAI384,"28.413666,77.115623",4850,282,191
1534702356,2018-08-19T18:12:36Z,JAI384,"28.399704,77.112511",5325,284,190
1534702371,2018-08-19T18:12:51Z,JAI384,"28.380432,77.108246",6000,286,191
1534702387,2018-08-19T18:13:07Z,JAI384,"28.360321,77.103668",6650,290,191
1534702401,2018-08-19T18:13:21Z,JAI384,"28.340677,77.098984",7325,292,192
1534702416,2018-08-19T18:13:36Z,JAI384,"28.320938,77.092575",8000,292,200
1534702426,2018-08-19T18:13:46Z,JAI384,"28.309113,77.085205",8425,293,211
1534702437,2018-08-19T18:13:57Z,JAI384,"28.298546,77.07534",8850,294,222
1534702446,2018-08-19T18:14:06Z,JAI384,"28.288771,77.064301",9250,298,225
1534702456,2018-08-19T18:14:16Z,JAI384,"28.278622,77.052879",9650,300,224
1534702471,2018-08-19T18:14:31Z,JAI384,"28.264051,77.03656",10225,303,224
1534702487,2018-08-19T18:14:47Z,JAI384,"28.248184,77.01886",10550,316,224
1534702502,2018-08-19T18:15:02Z,JAI384,"28.23193,77.000694",10800,331,224
1534702517,2018-08-19T18:15:17Z,JAI384,"28.215126,76.981903",11050,347,224
1534702531,2018-08-19T18:15:31Z,JAI384,"28.197342,76.962082",11350,360,224
1534702547,2018-08-19T18:15:47Z,JAI384,"28.179153,76.941795",12000,362,224
1534702582,2018-08-19T18:16:22Z,JAI384,"28.136732,76.894547",13150,373,224
1534702617,2018-08-19T18:16:57Z,JAI384,"28.09259,76.845612",14275,384,224
1534702647,2018-08-19T18:17:27Z,JAI384,"28.054092,76.802887",15250,391,224
1534702681,2018-08-19T18:18:01Z,JAI384,"28.008341,76.752106",16425,398,224
1534702716,2018-08-19T18:18:36Z,JAI384,"27.961624,76.700417",17425,407,224
1534702752,2018-08-19T18:19:12Z,JAI384,"27.913513,76.647331",18350,418,224
1534702813,2018-08-19T18:20:13Z,JAI384,"27.827345,76.552208",20025,432,224
1534702851,2018-08-19T18:20:51Z,JAI384,"27.766571,76.496971",21075,435,213
1534702922,2018-08-19T18:22:02Z,JAI384,"27.648651,76.408096",23125,436,213
1534702987,2018-08-19T18:23:07Z,JAI384,"27.536591,76.324043",24425,451,213
1534703048,2018-08-19T18:24:08Z,JAI384,"27.428787,76.249054",25700,456,211
1534703111,2018-08-19T18:25:11Z,JAI384,"27.313293,76.170082",27025,461,211
1534703141,2018-08-19T18:25:41Z,JAI384,"27.259081,76.13298",27550,464,211
1534703187,2018-08-19T18:26:27Z,JAI384,"27.173813,76.074829",28300,469,211
1534703277,2018-08-19T18:27:57Z,JAI384,"27.004074,75.959213",29650,478,211
1534703300,2018-08-19T18:28:20Z,JAI384,"26.960449,75.92968",30075,478,211
1534703412,2018-08-19T18:30:12Z,JAI384,"26.741135,75.802193",31900,476,200
1534703452,2018-08-19T18:30:52Z,JAI384,"26.657953,75.766945",32000,476,200
1534703976,2018-08-19T18:39:36Z,JAI384,"25.594513,75.322159",31975,469,200
1534704038,2018-08-19T18:40:38Z,JAI384,"25.470219,75.271011",31975,471,200
1534704098,2018-08-19T18:41:38Z,JAI384,"25.34436,75.219475",32000,472,200
1534704161,2018-08-19T18:42:41Z,JAI384,"25.218658,75.168358",32000,473,200
1534704221,2018-08-19T18:43:41Z,JAI384,"25.093277,75.117439",31975,472,200
1534704283,2018-08-19T18:44:43Z,JAI384,"24.967035,75.066055",31975,473,200
1534704342,2018-08-19T18:45:42Z,JAI384,"24.841736,75.015106",32000,472,200
1534704404,2018-08-19T18:46:44Z,JAI384,"24.715622,74.964088",32075,480,200
1534704467,2018-08-19T18:47:47Z,JAI384,"24.581118,74.909706",33225,476,200
1534704528,2018-08-19T18:48:48Z,JAI384,"24.456451,74.859802",34175,475,200
1534704591,2018-08-19T18:49:51Z,JAI384,"24.328991,74.808548",34825,481,200
1534704650,2018-08-19T18:50:50Z,JAI384,"24.201599,74.757439",35625,482,200
1534704715,2018-08-19T18:51:55Z,JAI384,"24.068436,74.704231",36000,480,200
1534704775,2018-08-19T18:52:55Z,JAI384,"23.941544,74.653526",35975,479,200
1534704836,2018-08-19T18:53:56Z,JAI384,"23.816116,74.603065",35975,478,200
1534704897,2018-08-19T18:54:57Z,JAI384,"23.689316,74.552612",35975,476,200
1534704961,2018-08-19T18:56:01Z,JAI384,"23.557014,74.499947",36000,474,200
1534705021,2018-08-19T18:57:01Z,JAI384,"23.431458,74.45005",35975,473,200
1534705081,2018-08-19T18:58:01Z,JAI384,"23.306843,74.40023",36000,475,200
1534705145,2018-08-19T18:59:05Z,JAI384,"23.174263,74.347687",36000,478,200
1534705192,2018-08-19T18:59:52Z,JAI384,"23.078644,74.309944",36000,476,200
1534705279,2018-08-19T19:01:19Z,JAI384,"22.89679,74.238464",36000,476,200
1534705341,2018-08-19T19:02:21Z,JAI384,"22.770561,74.188438",36000,477,200
1534705400,2018-08-19T19:03:20Z,JAI384,"22.644312,74.138794",35975,477,199
1534705464,2018-08-19T19:04:24Z,JAI384,"22.511398,74.086853",35975,479,199
1534705525,2018-08-19T19:05:25Z,JAI384,"22.383945,74.037018",36000,479,199
1534705586,2018-08-19T19:06:26Z,JAI384,"22.258162,73.987831",36000,478,199
1534705626,2018-08-19T19:07:06Z,JAI384,"22.171946,73.954163",35975,478,199
1534705733,2018-08-19T19:08:53Z,JAI384,"21.953339,73.869522",35975,477,199
1534705793,2018-08-19T19:09:53Z,JAI384,"21.828873,73.82093",36000,475,199
1534705852,2018-08-19T19:10:52Z,JAI384,"21.702576,73.771896",36000,476,199
1534705918,2018-08-19T19:11:58Z,JAI384,"21.569002,73.720245",35975,478,199
1534705979,2018-08-19T19:12:59Z,JAI384,"21.442612,73.671516",35975,479,199
1534706039,2018-08-19T19:13:59Z,JAI384,"21.315477,73.622742",36000,479,199
1534706098,2018-08-19T19:14:58Z,JAI384,"21.188049,73.573845",35975,478,199
1534706160,2018-08-19T19:16:00Z,JAI384,"21.059023,73.529259",36000,477,197
1534706223,2018-08-19T19:17:03Z,JAI384,"20.925797,73.484604",36000,475,197
1534706287,2018-08-19T19:18:07Z,JAI384,"20.79277,73.439926",34125,475,197
1534706350,2018-08-19T19:19:10Z,JAI384,"20.663189,73.403801",31550,468,189
1534706410,2018-08-19T19:20:10Z,JAI384,"20.534134,73.380531",29375,456,189
1534706470,2018-08-19T19:21:10Z,JAI384,"20.406452,73.357613",26625,463,189
1534706536,2018-08-19T19:22:16Z,JAI384,"20.273359,73.333488",24125,448,189
1534706595,2018-08-19T19:23:15Z,JAI384,"20.150742,73.311165",21800,434,189
1534706657,2018-08-19T19:24:17Z,JAI384,"20.031967,73.289696",19450,415,190
1534706718,2018-08-19T19:25:18Z,JAI384,"19.917561,73.269417",17125,400,189
1534706758,2018-08-19T19:25:58Z,JAI384,"19.846298,73.256691",15650,389,189
1534706808,2018-08-19T19:26:48Z,JAI384,"19.756302,73.240059",13375,375,189
1534706856,2018-08-19T19:27:36Z,JAI384,"19.675644,73.226082",11425,369,189
