Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1534786009,2018-08-20T17:26:49Z,JAI384,"28.535776,77.119125",2050,180,102
1534786019,2018-08-20T17:26:59Z,JAI384,"28.532938,77.128174",2325,185,116
1534786029,2018-08-20T17:27:09Z,JAI384,"28.526512,77.134743",2500,194,148
1534786039,2018-08-20T17:27:19Z,JAI384,"28.517109,77.136894",2700,205,177
1534786063,2018-08-20T17:27:43Z,JAI384,"28.49144,77.130569",3200,238,192
1534786069,2018-08-20T17:27:49Z,JAI384,"28.485809,77.129196",3325,243,192
1534786079,2018-08-20T17:27:59Z,JAI384,"28.474503,77.12661",3600,250,191
1534786088,2018-08-20T17:28:08Z,JAI384,"28.462736,77.124023",3925,256,190
1534786094,2018-08-20T17:28:14Z,JAI384,"28.456833,77.12281",4075,258,190
1534786104,2018-08-20T17:28:24Z,JAI384,"28.444656,77.120064",4375,265,191
1534786113,2018-08-20T17:28:33Z,JAI384,"28.432663,77.117241",4575,274,191
1534786123,2018-08-20T17:28:43Z,JAI384,"28.420074,77.114357",4875,280,191
1534786129,2018-08-20T17:28:49Z,JAI384,"28.413113,77.11277",5025,284,191
1534786144,2018-08-20T17:29:04Z,JAI384,"28.393373,77.108299",5425,294,190
1534786159,2018-08-20T17:29:19Z,JAI384,"28.373217,77.103935",6000,297,190
1534786174,2018-08-20T17:29:34Z,JAI384,"28.352688,77.099518",6400,292,191
1534786188,2018-08-20T17:29:48Z,JAI384,"28.332903,77.094727",6650,293,192
1534786204,2018-08-20T17:30:04Z,JAI384,"28.312931,77.089394",6825,292,193
1534786219,2018-08-20T17:30:19Z,JAI384,"28.292953,77.084518",7125,289,191
1534786233,2018-08-20T17:30:33Z,JAI384,"28.273865,77.079758",7750,284,192
1534786249,2018-08-20T17:30:49Z,JAI384,"28.254044,77.074638",8300,288,193
1534786264,2018-08-20T17:31:04Z,JAI384,"28.233902,77.069145",8500,295,193
1534786279,2018-08-20T17:31:19Z,JAI384,"28.213869,77.063759",8600,296,193
1534786294,2018-08-20T17:31:34Z,JAI384,"28.19458,77.058525",8775,295,193
1534786309,2018-08-20T17:31:49Z,JAI384,"28.17416,77.052933",9150,294,193
