Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1535128346,2018-08-24T16:32:26Z,JAI384,"28.552629,77.042114",2375,186,279
1535128366,2018-08-24T16:32:46Z,JAI384,"28.546251,77.024231",3000,188,225
1535128376,2018-08-24T16:32:56Z,JAI384,"28.537903,77.019867",3350,194,200
1535128387,2018-08-24T16:33:07Z,JAI384,"28.528421,77.017822",3650,203,189
1535128397,2018-08-24T16:33:17Z,JAI384,"28.519251,77.016258",4000,204,188
1535128412,2018-08-24T16:33:32Z,JAI384,"28.504587,77.013786",4300,219,188
1535128421,2018-08-24T16:33:41Z,JAI384,"28.494049,77.011734",4450,233,189
1535128432,2018-08-24T16:33:52Z,JAI384,"28.483292,77.009514",4675,244,190
1535128442,2018-08-24T16:34:02Z,JAI384,"28.471573,77.007027",4875,255,190
1535128452,2018-08-24T16:34:12Z,JAI384,"28.459854,77.004494",5075,265,190
1535128467,2018-08-24T16:34:27Z,JAI384,"28.440765,77.000214",5450,280,191
1535128481,2018-08-24T16:34:41Z,JAI384,"28.422043,76.995987",6050,283,191
1535128496,2018-08-24T16:34:56Z,JAI384,"28.401846,76.991592",6600,288,190
1535128511,2018-08-24T16:35:11Z,JAI384,"28.3822,76.98745",6850,304,190
1535128528,2018-08-24T16:35:28Z,JAI384,"28.359695,76.982788",7125,320,190
1535128542,2018-08-24T16:35:42Z,JAI384,"28.337557,76.978134",7400,334,190
1535128557,2018-08-24T16:35:57Z,JAI384,"28.314747,76.970268",7825,342,201
1535128567,2018-08-24T16:36:07Z,JAI384,"28.300278,76.961815",8150,344,209
1535128573,2018-08-24T16:36:13Z,JAI384,"28.293869,76.957062",8275,345,213
1535128581,2018-08-24T16:36:21Z,JAI384,"28.282379,76.947136",8575,346,218
1535128592,2018-08-24T16:36:32Z,JAI384,"28.267914,76.934349",9000,348,218
1535128607,2018-08-24T16:36:47Z,JAI384,"28.248779,76.917397",9550,351,218
1535128621,2018-08-24T16:37:01Z,JAI384,"28.230286,76.90097",10050,353,218
1535128637,2018-08-24T16:37:17Z,JAI384,"28.210423,76.883453",10600,355,218
1535128652,2018-08-24T16:37:32Z,JAI384,"28.190592,76.865898",11150,358,218
1535128667,2018-08-24T16:37:47Z,JAI384,"28.171133,76.84877",11700,360,218
1535128682,2018-08-24T16:38:02Z,JAI384,"28.151163,76.831055",12325,360,218
1535128712,2018-08-24T16:38:32Z,JAI384,"28.108521,76.800034",13425,366,207
1535128723,2018-08-24T16:38:43Z,JAI384,"28.093065,76.791527",13900,365,206
1535128757,2018-08-24T16:39:17Z,JAI384,"28.039856,76.762177",15200,370,206
1535128793,2018-08-24T16:39:53Z,JAI384,"27.984179,76.731369",16275,383,206
1535128823,2018-08-24T16:40:23Z,JAI384,"27.935944,76.704674",17225,389,206
1535128857,2018-08-24T16:40:57Z,JAI384,"27.878815,76.673218",18450,391,206
1535128922,2018-08-24T16:42:02Z,JAI384,"27.770645,76.613686",20225,407,206
1535128988,2018-08-24T16:43:08Z,JAI384,"27.657623,76.551598",21850,422,206
1535129053,2018-08-24T16:44:13Z,JAI384,"27.540676,76.487236",23300,435,206
1535129118,2018-08-24T16:45:18Z,JAI384,"27.422153,76.422325",24750,444,206
1535129183,2018-08-24T16:46:23Z,JAI384,"27.305145,76.358559",27150,422,205
1535129248,2018-08-24T16:47:28Z,JAI384,"27.189056,76.295227",28200,436,205
1535129308,2018-08-24T16:48:28Z,JAI384,"27.07901,76.235321",29250,444,205
1535129371,2018-08-24T16:49:31Z,JAI384,"26.963058,76.172409",30475,445,205
1535129439,2018-08-24T16:50:39Z,JAI384,"26.835829,76.103508",31800,444,205
1535129504,2018-08-24T16:51:44Z,JAI384,"26.716278,76.038864",33125,437,205
1535129517,2018-08-24T16:51:57Z,JAI384,"26.693146,76.026291",33350,436,205
1535129610,2018-08-24T16:53:30Z,JAI384,"26.522253,75.934486",34000,452,205
