Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1535387886,2018-08-27T16:38:06Z,JAI384,"28.501188,77.140717",3425,208,197
1535387893,2018-08-27T16:38:13Z,JAI384,"28.496115,77.138992",3625,207,196
1535387900,2018-08-27T16:38:20Z,JAI384,"28.489883,77.136963",3850,208,195
1535387914,2018-08-27T16:38:34Z,JAI384,"28.475864,77.132751",4350,208,194
1535387926,2018-08-27T16:38:46Z,JAI384,"28.46402,77.129303",4600,223,194
1535387936,2018-08-27T16:38:56Z,JAI384,"28.452118,77.126083",4850,233,193
1535387942,2018-08-27T16:39:02Z,JAI384,"28.44593,77.124619",4950,241,191
1535387948,2018-08-27T16:39:08Z,JAI384,"28.439041,77.123001",5075,244,191
1535387959,2018-08-27T16:39:19Z,JAI384,"28.426472,77.120094",5325,257,191
1535387973,2018-08-27T16:39:33Z,JAI384,"28.410645,77.116364",5800,260,191
1535387985,2018-08-27T16:39:45Z,JAI384,"28.395859,77.11293",6200,265,191
1535387999,2018-08-27T16:39:59Z,JAI384,"28.381073,77.109283",6425,279,192
1535388008,2018-08-27T16:40:08Z,JAI384,"28.365349,77.105392",6650,291,192
1535388020,2018-08-27T16:40:20Z,JAI384,"28.35022,77.101677",7075,295,192
1535388033,2018-08-27T16:40:33Z,JAI384,"28.333237,77.097298",7700,296,193
1535388043,2018-08-27T16:40:43Z,JAI384,"28.321289,77.092651",8125,297,202
1535388052,2018-08-27T16:40:52Z,JAI384,"28.310532,77.085991",8575,296,211
1535388058,2018-08-27T16:40:58Z,JAI384,"28.303802,77.080345",8900,296,218
1535388067,2018-08-27T16:41:07Z,JAI384,"28.294785,77.070786",9350,296,225
1535388075,2018-08-27T16:41:15Z,JAI384,"28.28607,77.061012",9750,297,224
1535388081,2018-08-27T16:41:21Z,JAI384,"28.279861,77.054092",10000,299,224
1535388095,2018-08-27T16:41:35Z,JAI384,"28.267593,77.040466",10375,309,224
1535388105,2018-08-27T16:41:45Z,JAI384,"28.255392,77.026817",10575,321,224
1535388118,2018-08-27T16:41:58Z,JAI384,"28.242004,77.01194",10800,335,224
1535388132,2018-08-27T16:42:12Z,JAI384,"28.228226,76.996628",11100,344,224
1535388142,2018-08-27T16:42:22Z,JAI384,"28.214287,76.981041",11550,347,224
1535388154,2018-08-27T16:42:34Z,JAI384,"28.200806,76.965988",12000,350,224
1535388188,2018-08-27T16:43:08Z,JAI384,"28.160019,76.925217",13250,358,215
1535388194,2018-08-27T16:43:14Z,JAI384,"28.151825,76.919136",13475,359,212
1535388200,2018-08-27T16:43:20Z,JAI384,"28.142597,76.913078",13725,359,209
1535388210,2018-08-27T16:43:30Z,JAI384,"28.129257,76.905304",14125,359,206
1535388248,2018-08-27T16:44:08Z,JAI384,"28.071716,76.871918",15600,363,207
1535388282,2018-08-27T16:44:42Z,JAI384,"28.022352,76.84317",16950,362,207
1535388314,2018-08-27T16:45:14Z,JAI384,"27.972029,76.81398",17950,370,207
1535388346,2018-08-27T16:45:46Z,JAI384,"27.920425,76.784119",18900,380,207
1535388406,2018-08-27T16:46:46Z,JAI384,"27.823563,76.727997",20500,394,207
1535388470,2018-08-27T16:47:50Z,JAI384,"27.719343,76.66777",22125,405,207
1535388532,2018-08-27T16:48:52Z,JAI384,"27.611618,76.605591",23600,416,207
1535388597,2018-08-27T16:49:57Z,JAI384,"27.50235,76.542732",25175,421,207
1535388663,2018-08-27T16:51:03Z,JAI384,"27.38575,76.475883",26400,433,206
1535388725,2018-08-27T16:52:05Z,JAI384,"27.27301,76.411209",27475,443,207
1535388788,2018-08-27T16:53:08Z,JAI384,"27.156155,76.344521",28525,452,207
1535388854,2018-08-27T16:54:14Z,JAI384,"27.030991,76.273209",29575,461,207
1535388919,2018-08-27T16:55:19Z,JAI384,"26.90966,76.204239",30575,466,206
1535388977,2018-08-27T16:56:17Z,JAI384,"26.793932,76.138687",31325,473,206
1535389041,2018-08-27T16:57:21Z,JAI384,"26.66852,76.067642",32050,481,207
1535389106,2018-08-27T16:58:26Z,JAI384,"26.541367,75.995956",33000,482,206
1535389166,2018-08-27T16:59:26Z,JAI384,"26.422119,75.928741",34075,475,206
1535389230,2018-08-27T17:00:30Z,JAI384,"26.298294,75.858986",34900,475,206
1535389288,2018-08-27T17:01:28Z,JAI384,"26.181211,75.793251",35725,474,206
1535389467,2018-08-27T17:04:27Z,JAI384,"25.826294,75.595345",36000,478,206
1535389531,2018-08-27T17:05:31Z,JAI384,"25.70056,75.525459",36000,475,206
1535389591,2018-08-27T17:06:31Z,JAI384,"25.58227,75.459854",35975,473,206
1535389656,2018-08-27T17:07:36Z,JAI384,"25.457558,75.390778",36000,473,206
