Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1535478025,2018-08-28T17:40:25Z,JAI384,"28.535568,77.118637",1950,177,103
1535478054,2018-08-28T17:40:54Z,JAI384,"28.519529,77.139046",2675,198,167
1535478080,2018-08-28T17:41:20Z,JAI384,"28.494919,77.13353",3125,232,196
1535478086,2018-08-28T17:41:26Z,JAI384,"28.488281,77.13131",3225,242,195
1535478094,2018-08-28T17:41:34Z,JAI384,"28.478657,77.128761",3375,252,191
1535478101,2018-08-28T17:41:41Z,JAI384,"28.47139,77.127136",3500,259,191
1535478112,2018-08-28T17:41:52Z,JAI384,"28.457291,77.123756",4025,258,192
1535478118,2018-08-28T17:41:58Z,JAI384,"28.449934,77.121979",4300,260,191
1535478124,2018-08-28T17:42:04Z,JAI384,"28.442688,77.120323",4525,263,191
1535478130,2018-08-28T17:42:10Z,JAI384,"28.43605,77.118797",4700,265,191
1535478137,2018-08-28T17:42:17Z,JAI384,"28.428055,77.116966",4925,269,191
1535478144,2018-08-28T17:42:24Z,JAI384,"28.421219,77.115463",5075,273,191
1535478156,2018-08-28T17:42:36Z,JAI384,"28.40543,77.112015",5275,287,190
1535478167,2018-08-28T17:42:47Z,JAI384,"28.388998,77.108513",5500,301,190
1535478178,2018-08-28T17:42:58Z,JAI384,"28.372658,77.105011",5700,314,190
1535478190,2018-08-28T17:43:10Z,JAI384,"28.354967,77.101135",5900,326,190
1535478205,2018-08-28T17:43:25Z,JAI384,"28.336487,77.096985",6125,332,192
1535478212,2018-08-28T17:43:32Z,JAI384,"28.323219,77.09214",6250,339,201
1535478219,2018-08-28T17:43:39Z,JAI384,"28.315025,77.087616",6450,341,208
1535478227,2018-08-28T17:43:47Z,JAI384,"28.302504,77.078247",6850,340,217
1535478236,2018-08-28T17:43:56Z,JAI384,"28.29203,77.067635",7200,342,224
1535478242,2018-08-28T17:44:02Z,JAI384,"28.285355,77.060219",7425,341,224
1535478248,2018-08-28T17:44:08Z,JAI384,"28.278669,77.052826",7650,343,224
1535478256,2018-08-28T17:44:16Z,JAI384,"28.271593,77.044968",7875,345,224
1535478266,2018-08-28T17:44:26Z,JAI384,"28.257673,77.02935",8250,349,224
1535478277,2018-08-28T17:44:37Z,JAI384,"28.244221,77.014374",8600,352,224
1535478291,2018-08-28T17:44:51Z,JAI384,"28.230721,76.999352",8975,355,224
1535478302,2018-08-28T17:45:02Z,JAI384,"28.215363,76.982361",9450,357,224
1535478315,2018-08-28T17:45:15Z,JAI384,"28.201355,76.966782",9850,359,224
1535478327,2018-08-28T17:45:27Z,JAI384,"28.186707,76.950516",10275,361,224
1535478338,2018-08-28T17:45:38Z,JAI384,"28.17267,76.934776",10500,362,224
1535478349,2018-08-28T17:45:49Z,JAI384,"28.158417,76.918877",10700,362,224
1535478363,2018-08-28T17:46:03Z,JAI384,"28.143494,76.902184",10900,363,224
1535478376,2018-08-28T17:46:16Z,JAI384,"28.12919,76.886253",11100,364,224
1535478387,2018-08-28T17:46:27Z,JAI384,"28.114609,76.870071",11300,363,224
1535478400,2018-08-28T17:46:40Z,JAI384,"28.100327,76.854156",11475,365,224
1535478411,2018-08-28T17:46:51Z,JAI384,"28.086128,76.838432",11675,367,224
1535478423,2018-08-28T17:47:03Z,JAI384,"28.07086,76.821526",12125,368,224
1535478446,2018-08-28T17:47:26Z,JAI384,"28.040648,76.79158",13400,355,211
1535478452,2018-08-28T17:47:32Z,JAI384,"28.031937,76.786667",13650,354,203
1535478459,2018-08-28T17:47:39Z,JAI384,"28.022491,76.783127",13925,352,194
1535478465,2018-08-28T17:47:45Z,JAI384,"28.013214,76.781387",14225,349,186
1535478476,2018-08-28T17:47:56Z,JAI384,"27.998245,76.78038",14650,346,182
1535478483,2018-08-28T17:48:03Z,JAI384,"27.984179,76.779785",15050,344,181
1535478519,2018-08-28T17:48:39Z,JAI384,"27.92569,76.777748",16325,352,182
1535478549,2018-08-28T17:49:09Z,JAI384,"27.875807,76.773514",17100,366,192
1535478555,2018-08-28T17:49:15Z,JAI384,"27.865677,76.770439",17150,372,195
1535478566,2018-08-28T17:49:26Z,JAI384,"27.851227,76.765701",17275,379,196
1535478575,2018-08-28T17:49:35Z,JAI384,"27.835876,76.760544",17375,387,196
1535478606,2018-08-28T17:50:06Z,JAI384,"27.776836,76.740982",17925,407,196
1535478640,2018-08-28T17:50:40Z,JAI384,"27.716505,76.721016",18875,414,196
1535478702,2018-08-28T17:51:42Z,JAI384,"27.59691,76.682243",20525,427,196
1535478748,2018-08-28T17:52:28Z,JAI384,"27.51265,76.652649",21700,433,207
1535478756,2018-08-28T17:52:36Z,JAI384,"27.496216,76.640472",21975,434,216
1535478762,2018-08-28T17:52:42Z,JAI384,"27.487886,76.633339",22100,434,217
1535478769,2018-08-28T17:52:49Z,JAI384,"27.476715,76.623573",22250,436,218
1535478775,2018-08-28T17:52:55Z,JAI384,"27.467636,76.61554",22375,437,218
1535478841,2018-08-28T17:54:01Z,JAI384,"27.359402,76.523315",23825,448,209
1535478857,2018-08-28T17:54:17Z,JAI384,"27.333115,76.506668",24125,449,208
1535478877,2018-08-28T17:54:37Z,JAI384,"27.294662,76.479561",24625,453,219
1535478886,2018-08-28T17:54:46Z,JAI384,"27.280216,76.464737",24850,454,223
1535478892,2018-08-28T17:54:52Z,JAI384,"27.271278,76.455017",24975,455,224
1535478900,2018-08-28T17:55:00Z,JAI384,"27.26248,76.445511",25100,456,223
1535478946,2018-08-28T17:55:46Z,JAI384,"27.184366,76.370033",26025,460,213
1535478953,2018-08-28T17:55:53Z,JAI384,"27.173767,76.362442",26125,460,212
1535478960,2018-08-28T17:56:00Z,JAI384,"27.163651,76.355759",26200,461,210
1535478968,2018-08-28T17:56:08Z,JAI384,"27.146147,76.345261",26375,460,207
1535479031,2018-08-28T17:57:11Z,JAI384,"27.024628,76.276108",27425,467,207
1535479094,2018-08-28T17:58:14Z,JAI384,"26.902267,76.2062",28225,478,207
1535479157,2018-08-28T17:59:17Z,JAI384,"26.774799,76.133461",29000,487,207
1535479220,2018-08-28T18:00:20Z,JAI384,"26.647898,76.061462",30000,488,207
1535479283,2018-08-28T18:01:23Z,JAI384,"26.521866,75.989792",31275,481,207
1535479344,2018-08-28T18:02:24Z,JAI384,"26.40184,75.921898",32250,478,206
1535479407,2018-08-28T18:03:27Z,JAI384,"26.277388,75.851562",33150,477,206
1535479472,2018-08-28T18:04:32Z,JAI384,"26.152313,75.781258",34000,475,206
1535479533,2018-08-28T18:05:33Z,JAI384,"26.031918,75.7136",34775,474,206
1535479601,2018-08-28T18:06:41Z,JAI384,"25.897848,75.638443",35400,477,206
1535479970,2018-08-28T18:12:50Z,JAI384,"25.167955,75.232979",35975,474,206
1535480032,2018-08-28T18:13:52Z,JAI384,"25.047363,75.166473",35975,476,206
1535480092,2018-08-28T18:14:52Z,JAI384,"24.926651,75.099945",35975,480,206
1535480139,2018-08-28T18:15:39Z,JAI384,"24.834084,75.052788",35975,476,194
1535480147,2018-08-28T18:15:47Z,JAI384,"24.814438,75.04937",35975,469,184
1535480153,2018-08-28T18:15:53Z,JAI384,"24.801407,75.049133",35975,466,178
1535480160,2018-08-28T18:16:00Z,JAI384,"24.78804,75.049644",35950,464,177
1535480168,2018-08-28T18:16:08Z,JAI384,"24.768909,75.050507",35800,463,177
1535480235,2018-08-28T18:17:15Z,JAI384,"24.627205,75.066422",34975,459,171
1535480296,2018-08-28T18:18:16Z,JAI384,"24.499374,75.087029",34975,460,171
1535480357,2018-08-28T18:19:17Z,JAI384,"24.370283,75.107719",34975,461,171
1535480417,2018-08-28T18:20:17Z,JAI384,"24.240921,75.126091",34975,464,176
1535480479,2018-08-28T18:21:19Z,JAI384,"24.108892,75.121819",34975,469,187
1535480545,2018-08-28T18:22:25Z,JAI384,"23.966583,75.087486",34975,474,192
1535480609,2018-08-28T18:23:29Z,JAI384,"23.833191,75.036568",34975,483,202
1535480670,2018-08-28T18:24:30Z,JAI384,"23.707052,74.98024",34975,483,202
1535480733,2018-08-28T18:25:33Z,JAI384,"23.577917,74.91748",34975,486,210
1535480793,2018-08-28T18:26:33Z,JAI384,"23.460571,74.841011",34975,486,211
1535480858,2018-08-28T18:27:38Z,JAI384,"23.336451,74.7612",35250,489,207
1535480919,2018-08-28T18:28:39Z,JAI384,"23.211319,74.69445",35825,494,206
1535480979,2018-08-28T18:29:39Z,JAI384,"23.088373,74.626976",35975,490,207
1535481041,2018-08-28T18:30:41Z,JAI384,"22.964684,74.557854",35975,488,207
1535481102,2018-08-28T18:31:42Z,JAI384,"22.843601,74.489441",35975,486,207
1535481165,2018-08-28T18:32:45Z,JAI384,"22.715652,74.418243",35975,485,207
1535481224,2018-08-28T18:33:44Z,JAI384,"22.594269,74.350639",35975,484,207
1535481287,2018-08-28T18:34:47Z,JAI384,"22.472256,74.282837",35975,484,207
1535481350,2018-08-28T18:35:50Z,JAI384,"22.34391,74.211479",35975,487,207
1535481415,2018-08-28T18:36:55Z,JAI384,"22.214813,74.140038",35975,489,207
1535481474,2018-08-28T18:37:54Z,JAI384,"22.092087,74.072273",35975,489,207
1535481541,2018-08-28T18:39:01Z,JAI384,"21.960846,73.999962",35975,491,207
1535481603,2018-08-28T18:40:03Z,JAI384,"21.832394,73.929192",35975,487,207
1535481664,2018-08-28T18:41:04Z,JAI384,"21.711964,73.863167",35975,483,207
1535481725,2018-08-28T18:42:05Z,JAI384,"21.59037,73.796387",35975,483,207
1535481788,2018-08-28T18:43:08Z,JAI384,"21.464264,73.727501",35975,483,207
1535481853,2018-08-28T18:44:13Z,JAI384,"21.337172,73.658142",35975,483,207
1535481900,2018-08-28T18:45:00Z,JAI384,"21.238174,73.61454",35975,474,195
1535481909,2018-08-28T18:45:09Z,JAI384,"21.219177,73.609695",35975,473,192
1535481972,2018-08-28T18:46:12Z,JAI384,"21.083509,73.577881",35975,469,192
1535482033,2018-08-28T18:47:13Z,JAI384,"20.955368,73.547729",35975,465,192
1535482095,2018-08-28T18:48:15Z,JAI384,"20.82803,73.51796",35400,465,192
1535482161,2018-08-28T18:49:21Z,JAI384,"20.685745,73.484703",34325,474,192
1535482222,2018-08-28T18:50:22Z,JAI384,"20.554861,73.454094",31375,478,192
1535482284,2018-08-28T18:51:24Z,JAI384,"20.42107,73.422279",29975,449,192
1535482347,2018-08-28T18:52:27Z,JAI384,"20.299894,73.394417",28500,429,192
1535482410,2018-08-28T18:53:30Z,JAI384,"20.178772,73.366158",26275,419,192
1535482472,2018-08-28T18:54:32Z,JAI384,"20.060211,73.338646",24050,408,192
1535482535,2018-08-28T18:55:35Z,JAI384,"19.939999,73.310966",20775,421,192
1535482580,2018-08-28T18:56:20Z,JAI384,"19.855228,73.291145",19050,411,192
1535482669,2018-08-28T18:57:49Z,JAI384,"19.694622,73.25399",15900,384,192
1535482687,2018-08-28T18:58:07Z,JAI384,"19.664503,73.247101",15275,379,192
1535482716,2018-08-28T18:58:36Z,JAI384,"19.614645,73.235512",14125,376,192
1535482783,2018-08-28T18:59:43Z,JAI384,"19.503805,73.210197",12000,356,192
1535482818,2018-08-28T19:00:18Z,JAI384,"19.447723,73.197144",11675,328,192
1535482829,2018-08-28T19:00:29Z,JAI384,"19.431427,73.193275",11575,316,192
