Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1535821375,2018-09-01T17:02:55Z,JAI384,"28.552164,77.043243",2000,203,284
1535821445,2018-09-01T17:04:05Z,JAI384,"28.504633,77.006996",4300,215,205
1535821451,2018-09-01T17:04:11Z,JAI384,"28.49881,77.0037",4425,223,207
1535821462,2018-09-01T17:04:22Z,JAI384,"28.488098,76.996574",4600,236,211
1535821469,2018-09-01T17:04:29Z,JAI384,"28.482149,76.992348",4725,243,212
1535821482,2018-09-01T17:04:42Z,JAI384,"28.470978,76.984268",4950,256,212
1535821498,2018-09-01T17:04:58Z,JAI384,"28.451656,76.970642",5250,277,211
1535821511,2018-09-01T17:05:11Z,JAI384,"28.437832,76.961006",5575,287,211
1535821523,2018-09-01T17:05:23Z,JAI384,"28.42392,76.951355",5975,293,211
1535821535,2018-09-01T17:05:35Z,JAI384,"28.409866,76.941696",6375,297,211
1535821547,2018-09-01T17:05:47Z,JAI384,"28.395748,76.93203",6825,299,211
1535821560,2018-09-01T17:06:00Z,JAI384,"28.381348,76.92215",7350,299,211
1535821571,2018-09-01T17:06:11Z,JAI384,"28.366932,76.912163",7825,301,211
1535821583,2018-09-01T17:06:23Z,JAI384,"28.352221,76.901924",8300,303,211
1535821596,2018-09-01T17:06:36Z,JAI384,"28.338043,76.891884",8725,307,212
1535821604,2018-09-01T17:06:44Z,JAI384,"28.326691,76.883858",9000,312,211
1535821618,2018-09-01T17:06:58Z,JAI384,"28.308243,76.871017",9525,314,211
1535821631,2018-09-01T17:07:11Z,JAI384,"28.29332,76.860718",10050,312,211
1535821644,2018-09-01T17:07:24Z,JAI384,"28.278259,76.850372",10575,310,211
1535821655,2018-09-01T17:07:35Z,JAI384,"28.263702,76.840492",11075,310,210
1535821669,2018-09-01T17:07:49Z,JAI384,"28.248138,76.830032",11300,321,210
1535821678,2018-09-01T17:07:58Z,JAI384,"28.232676,76.81942",11500,331,211
1535821693,2018-09-01T17:08:13Z,JAI384,"28.216187,76.808113",11725,342,211
1535821704,2018-09-01T17:08:24Z,JAI384,"28.200321,76.797127",11900,353,211
1535821716,2018-09-01T17:08:36Z,JAI384,"28.182632,76.784874",12150,360,211
1535821749,2018-09-01T17:09:09Z,JAI384,"28.13431,76.751511",13075,374,211
1535821784,2018-09-01T17:09:44Z,JAI384,"28.082823,76.722809",14325,376,205
1535821817,2018-09-01T17:10:17Z,JAI384,"28.030453,76.695015",15575,379,205
1535821849,2018-09-01T17:10:49Z,JAI384,"27.978546,76.667122",16650,383,205
1535821881,2018-09-01T17:11:21Z,JAI384,"27.923721,76.637932",17725,388,205
