Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1536165780,2018-09-05T16:43:00Z,JAI384,"28.342392,77.028",7375,302,207
1536165792,2018-09-05T16:43:12Z,JAI384,"28.32692,77.01886",7825,304,207
1536165804,2018-09-05T16:43:24Z,JAI384,"28.311674,77.009689",8300,305,207
1536165818,2018-09-05T16:43:38Z,JAI384,"28.296387,77.000587",8800,304,207
1536165828,2018-09-05T16:43:48Z,JAI384,"28.281235,76.991821",9250,306,206
1536165841,2018-09-05T16:44:01Z,JAI384,"28.266357,76.983154",9675,309,207
1536165853,2018-09-05T16:44:13Z,JAI384,"28.250748,76.973862",10150,308,207
1536165865,2018-09-05T16:44:25Z,JAI384,"28.235701,76.964989",10400,316,207
1536165876,2018-09-05T16:44:36Z,JAI384,"28.218933,76.955269",10650,326,207
1536165888,2018-09-05T16:44:48Z,JAI384,"28.203255,76.946198",10825,336,207
1536165900,2018-09-05T16:45:00Z,JAI384,"28.185936,76.93602",11025,347,207
1536165913,2018-09-05T16:45:13Z,JAI384,"28.16835,76.925797",11225,355,207
1536165925,2018-09-05T16:45:25Z,JAI384,"28.150131,76.915283",11500,363,207
1536165937,2018-09-05T16:45:37Z,JAI384,"28.132004,76.904823",11825,367,207
1536165949,2018-09-05T16:45:49Z,JAI384,"28.113373,76.893944",12175,372,207
1536165982,2018-09-05T16:46:22Z,JAI384,"28.063385,76.864891",13725,363,207
1536166014,2018-09-05T16:46:54Z,JAI384,"28.014858,76.836655",15175,358,207
1536166048,2018-09-05T16:47:28Z,JAI384,"27.963959,76.807007",16125,370,207
1536166080,2018-09-05T16:48:00Z,JAI384,"27.912582,76.777374",17150,379,207
1536166115,2018-09-05T16:48:35Z,JAI384,"27.860723,76.747269",18200,385,207
1536166175,2018-09-05T16:49:35Z,JAI384,"27.763288,76.691017",20000,396,207
1536166238,2018-09-05T16:50:38Z,JAI384,"27.657429,76.629906",21475,415,206
1536166300,2018-09-05T16:51:40Z,JAI384,"27.547613,76.566887",23000,426,207
1536166361,2018-09-05T16:52:41Z,JAI384,"27.440964,76.505577",24350,434,207
1536166426,2018-09-05T16:53:46Z,JAI384,"27.32634,76.439812",25425,449,207
1536166491,2018-09-05T16:54:51Z,JAI384,"27.200426,76.367973",26375,464,206
1536166555,2018-09-05T16:55:55Z,JAI384,"27.076859,76.297615",27450,471,207
1536166617,2018-09-05T16:56:57Z,JAI384,"26.95356,76.227478",28475,475,207
