Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1536425660,2018-09-08T16:54:20Z,JAI384,"28.536575,77.112617",1850,164,105
1536425670,2018-09-08T16:54:30Z,JAI384,"28.534286,77.12085",2200,164,112
1536425679,2018-09-08T16:54:39Z,JAI384,"28.529259,77.127579",2500,166,144
1536425685,2018-09-08T16:54:45Z,JAI384,"28.525909,77.129196",2625,168,161
1536425694,2018-09-08T16:54:54Z,JAI384,"28.517574,77.130325",2825,183,180
1536425705,2018-09-08T16:55:05Z,JAI384,"28.508743,77.12867",2825,206,193
1536425714,2018-09-08T16:55:14Z,JAI384,"28.498768,77.126122",2800,221,191
1536425730,2018-09-08T16:55:30Z,JAI384,"28.48288,77.122864",2975,234,189
1536425740,2018-09-08T16:55:40Z,JAI384,"28.472122,77.120857",3150,247,189
1536425750,2018-09-08T16:55:50Z,JAI384,"28.460083,77.118744",3400,255,188
1536425761,2018-09-08T16:56:01Z,JAI384,"28.448318,77.116737",3725,260,188
1536425770,2018-09-08T16:56:10Z,JAI384,"28.436527,77.114655",4075,264,188
1536425780,2018-09-08T16:56:20Z,JAI384,"28.424471,77.11261",4425,266,188
1536425790,2018-09-08T16:56:30Z,JAI384,"28.41188,77.110397",4750,271,188
1536425801,2018-09-08T16:56:41Z,JAI384,"28.398867,77.108086",4925,283,188
1536425810,2018-09-08T16:56:50Z,JAI384,"28.385605,77.105698",5125,293,189
1536425824,2018-09-08T16:57:04Z,JAI384,"28.365509,77.102051",5425,304,189
1536425839,2018-09-08T16:57:19Z,JAI384,"28.344727,77.098145",5900,311,189
1536425855,2018-09-08T16:57:35Z,JAI384,"28.322159,77.091431",6375,322,202
1536425866,2018-09-08T16:57:46Z,JAI384,"28.308701,77.083244",6750,329,212
1536425875,2018-09-08T16:57:55Z,JAI384,"28.297165,77.072792",7075,335,223
1536425881,2018-09-08T16:58:01Z,JAI384,"28.291563,77.066666",7250,335,224
1536425891,2018-09-08T16:58:11Z,JAI384,"28.280205,77.054123",7625,335,224
1536425910,2018-09-08T16:58:30Z,JAI384,"28.257721,77.029297",8375,335,224
1536425926,2018-09-08T16:58:46Z,JAI384,"28.240723,77.01046",8850,338,224
1536425941,2018-09-08T16:59:01Z,JAI384,"28.224297,76.992188",9300,341,224
1536425955,2018-09-08T16:59:15Z,JAI384,"28.207169,76.973068",9725,345,224
1536425970,2018-09-08T16:59:30Z,JAI384,"28.190048,76.954002",10150,348,224
1536425985,2018-09-08T16:59:45Z,JAI384,"28.173647,76.935692",10650,347,224
1536426001,2018-09-08T17:00:01Z,JAI384,"28.155258,76.91523",11200,348,224
1536426015,2018-09-08T17:00:15Z,JAI384,"28.138174,76.896271",11650,350,224
1536426030,2018-09-08T17:00:30Z,JAI384,"28.120422,76.876564",12000,355,224
1536426065,2018-09-08T17:01:05Z,JAI384,"28.079086,76.830719",13025,359,224
1536426095,2018-09-08T17:01:35Z,JAI384,"28.042877,76.790527",13900,365,224
1536426131,2018-09-08T17:02:11Z,JAI384,"27.999893,76.742828",15025,366,224
1536426166,2018-09-08T17:02:46Z,JAI384,"27.957596,76.69603",16000,371,224
1536426200,2018-09-08T17:03:20Z,JAI384,"27.914165,76.648071",16900,378,224
1536426233,2018-09-08T17:03:53Z,JAI384,"27.872826,76.602386",17675,383,224
1536426271,2018-09-08T17:04:31Z,JAI384,"27.825157,76.549828",18650,386,224
1536426306,2018-09-08T17:05:06Z,JAI384,"27.776138,76.504387",19525,386,213
1536426377,2018-09-08T17:06:17Z,JAI384,"27.670835,76.424858",21000,396,214
1536426436,2018-09-08T17:07:16Z,JAI384,"27.578058,76.355141",22325,400,213
1536426501,2018-09-08T17:08:21Z,JAI384,"27.477219,76.282326",23475,404,211
1536426567,2018-09-08T17:09:27Z,JAI384,"27.369644,76.208565",24400,419,211
1536426590,2018-09-08T17:09:50Z,JAI384,"27.330185,76.18158",24775,424,211
1536426679,2018-09-08T17:11:19Z,JAI384,"27.180687,76.079475",26800,422,211
1536426685,2018-09-08T17:11:25Z,JAI384,"27.170679,76.072609",26950,421,211
1536426775,2018-09-08T17:12:55Z,JAI384,"27.024628,75.973312",28600,422,211
1536426793,2018-09-08T17:13:13Z,JAI384,"26.991825,75.951019",28825,427,211
1536426865,2018-09-08T17:14:25Z,JAI384,"26.869625,75.867935",29675,438,211
1536426905,2018-09-08T17:15:05Z,JAI384,"26.795235,75.825523",30225,439,200
1536426993,2018-09-08T17:16:33Z,JAI384,"26.625732,75.75322",31300,449,200
1536427056,2018-09-08T17:17:36Z,JAI384,"26.501083,75.700516",31975,458,200
1536427115,2018-09-08T17:18:35Z,JAI384,"26.38497,75.651642",32850,458,200
1536427181,2018-09-08T17:19:41Z,JAI384,"26.25531,75.596977",33925,455,200
1536427243,2018-09-08T17:20:43Z,JAI384,"26.130569,75.544533",34000,456,200
1536427305,2018-09-08T17:21:45Z,JAI384,"26.008667,75.493385",34000,458,200
1536427367,2018-09-08T17:22:47Z,JAI384,"25.884254,75.441269",34000,460,200
1536427427,2018-09-08T17:23:47Z,JAI384,"25.762939,75.391342",34000,461,200
1536427491,2018-09-08T17:24:51Z,JAI384,"25.63534,75.338852",34000,462,200
1536427552,2018-09-08T17:25:52Z,JAI384,"25.513559,75.288895",34000,462,200
1536427615,2018-09-08T17:26:55Z,JAI384,"25.386053,75.236755",34000,462,200
1536427676,2018-09-08T17:27:56Z,JAI384,"25.265017,75.187218",34475,460,200
1536427739,2018-09-08T17:28:59Z,JAI384,"25.139191,75.136055",35625,454,200
1536427802,2018-09-08T17:30:02Z,JAI384,"25.014267,75.085243",36300,458,200
1536427863,2018-09-08T17:31:03Z,JAI384,"24.893158,75.036102",37100,457,200
1536427927,2018-09-08T17:32:07Z,JAI384,"24.767979,74.985367",37925,453,200
1536427988,2018-09-08T17:33:08Z,JAI384,"24.642521,74.934631",38000,455,200
1536428052,2018-09-08T17:34:12Z,JAI384,"24.522308,74.886223",38000,454,200
1536428111,2018-09-08T17:35:11Z,JAI384,"24.402695,74.838158",38000,454,200
1536428175,2018-09-08T17:36:15Z,JAI384,"24.278275,74.788155",38000,454,200
1536428236,2018-09-08T17:37:16Z,JAI384,"24.157492,74.739838",38000,456,200
1536428299,2018-09-08T17:38:19Z,JAI384,"24.030853,74.689232",38000,457,200
1536428359,2018-09-08T17:39:19Z,JAI384,"23.911417,74.641373",38000,457,200
1536428422,2018-09-08T17:40:22Z,JAI384,"23.783752,74.590096",38000,459,200
1536428482,2018-09-08T17:41:22Z,JAI384,"23.663433,74.54203",38000,459,200
1536428549,2018-09-08T17:42:29Z,JAI384,"23.530243,74.489204",38000,459,200
1536428610,2018-09-08T17:43:30Z,JAI384,"23.408936,74.440811",38000,459,200
1536428673,2018-09-08T17:44:33Z,JAI384,"23.283005,74.390877",38000,457,200
1536428737,2018-09-08T17:45:37Z,JAI384,"23.15657,74.340935",38000,456,200
1536428801,2018-09-08T17:46:41Z,JAI384,"23.029999,74.290703",38000,454,200
1536428861,2018-09-08T17:47:41Z,JAI384,"22.91066,74.243759",38000,452,200
1536428922,2018-09-08T17:48:42Z,JAI384,"22.790405,74.19632",38000,452,200
1536428986,2018-09-08T17:49:46Z,JAI384,"22.664608,74.146782",38000,453,200
1536429049,2018-09-08T17:50:49Z,JAI384,"22.539709,74.0979",38000,454,200
1536429109,2018-09-08T17:51:49Z,JAI384,"22.419512,74.05085",38000,456,200
1536429173,2018-09-08T17:52:53Z,JAI384,"22.291632,74.000801",38000,458,199
1536429233,2018-09-08T17:53:53Z,JAI384,"22.171738,73.954216",38000,459,199
1536429295,2018-09-08T17:54:55Z,JAI384,"22.04512,73.90493",38000,459,199
1536429360,2018-09-08T17:56:00Z,JAI384,"21.90497,73.850403",38000,460,199
1536429425,2018-09-08T17:57:05Z,JAI384,"21.778656,73.801308",38000,459,199
1536429490,2018-09-08T17:58:10Z,JAI384,"21.651489,73.752121",38000,458,199
1536429553,2018-09-08T17:59:13Z,JAI384,"21.527338,73.704277",38000,455,199
1536429628,2018-09-08T18:00:28Z,JAI384,"21.382004,73.6483",37825,452,199
1536429686,2018-09-08T18:01:26Z,JAI384,"21.258173,73.600975",36800,450,199
1536429754,2018-09-08T18:02:34Z,JAI384,"21.134674,73.554817",35800,448,197
1536429813,2018-09-08T18:03:33Z,JAI384,"21.009304,73.512566",34775,453,197
1536429879,2018-09-08T18:04:39Z,JAI384,"20.885193,73.471024",33000,442,197
1536429939,2018-09-08T18:05:39Z,JAI384,"20.767776,73.431442",31600,414,197
1536430012,2018-09-08T18:06:52Z,JAI384,"20.642799,73.390121",29625,399,197
1536430076,2018-09-08T18:07:56Z,JAI384,"20.531433,73.352966",27800,389,197
1536430138,2018-09-08T18:08:58Z,JAI384,"20.424654,73.316711",26125,374,197
1536430198,2018-09-08T18:09:58Z,JAI384,"20.327314,73.284698",24600,359,197
1536430263,2018-09-08T18:11:03Z,JAI384,"20.227087,73.251343",22975,355,196
1536430326,2018-09-08T18:12:06Z,JAI384,"20.133179,73.221916",23000,324,196
1536430389,2018-09-08T18:13:09Z,JAI384,"20.041855,73.193176",21875,326,195
1536430400,2018-09-08T18:13:20Z,JAI384,"20.023746,73.190117",21550,324,180
1536430422,2018-09-08T18:13:42Z,JAI384,"19.995071,73.201859",21075,319,140
1536430428,2018-09-08T18:13:48Z,JAI384,"19.989212,73.208427",20950,316,129
1536430434,2018-09-08T18:13:54Z,JAI384,"19.98436,73.216423",20800,316,118
1536430441,2018-09-08T18:14:01Z,JAI384,"19.98078,73.225372",20650,315,110
1536430449,2018-09-08T18:14:09Z,JAI384,"19.977859,73.238937",20425,314,98
1536430475,2018-09-08T18:14:35Z,JAI384,"19.984726,73.279449",19725,315,62
1536430481,2018-09-08T18:14:41Z,JAI384,"19.987015,73.283569",19650,315,58
1536430513,2018-09-08T18:15:13Z,JAI384,"20.026632,73.310371",18850,313,14
1536430576,2018-09-08T18:16:16Z,JAI384,"20.112289,73.333794",17950,289,13
1536430608,2018-09-08T18:16:48Z,JAI384,"20.154739,73.344971",17350,281,14
1536430629,2018-09-08T18:17:09Z,JAI384,"20.181698,73.351067",16875,281,4
1536430654,2018-09-08T18:17:34Z,JAI384,"20.211678,73.343781",16375,280,331
1536430662,2018-09-08T18:17:42Z,JAI384,"20.221024,73.336876",16250,278,319
1536430668,2018-09-08T18:17:48Z,JAI384,"20.226202,73.331543",16175,278,313
1536430675,2018-09-08T18:17:55Z,JAI384,"20.231186,73.324715",16075,278,305
1536430681,2018-09-08T18:18:01Z,JAI384,"20.235466,73.316711",16000,278,296
1536430687,2018-09-08T18:18:07Z,JAI384,"20.238213,73.309174",15925,279,288
1536430696,2018-09-08T18:18:16Z,JAI384,"20.240541,73.296936",15825,279,276
1536430719,2018-09-08T18:18:39Z,JAI384,"20.23494,73.265518",15525,276,244
1536430726,2018-09-08T18:18:46Z,JAI384,"20.231049,73.258507",15450,275,236
1536430732,2018-09-08T18:18:52Z,JAI384,"20.226295,73.252144",15375,273,228
1536430738,2018-09-08T18:18:58Z,JAI384,"20.220703,73.246536",15300,272,220
1536430744,2018-09-08T18:19:04Z,JAI384,"20.214098,73.241508",15225,270,213
1536430750,2018-09-08T18:19:10Z,JAI384,"20.207674,73.237907",15150,269,205
1536430756,2018-09-08T18:19:16Z,JAI384,"20.200413,73.235115",15075,268,198
1536430768,2018-09-08T18:19:28Z,JAI384,"20.186462,73.231384",14975,268,194
1536430775,2018-09-08T18:19:35Z,JAI384,"20.17886,73.229317",14975,267,194
1536430813,2018-09-08T18:20:13Z,JAI384,"20.131805,73.216766",15000,268,193
1536430847,2018-09-08T18:20:47Z,JAI384,"20.091667,73.206299",15000,269,193
1536430879,2018-09-08T18:21:19Z,JAI384,"20.051285,73.195869",14825,269,191
1536430900,2018-09-08T18:21:40Z,JAI384,"20.025284,73.192833",14550,266,184
1536430934,2018-09-08T18:22:14Z,JAI384,"19.984589,73.189301",14125,262,184
1536430966,2018-09-08T18:22:46Z,JAI384,"19.945221,73.185913",13725,263,184
1536430998,2018-09-08T18:23:18Z,JAI384,"19.904293,73.182381",13475,296,184
1536431025,2018-09-08T18:23:45Z,JAI384,"19.864883,73.179146",13225,308,184
1536431081,2018-09-08T18:24:41Z,JAI384,"19.78569,73.172478",13000,306,184
1536431141,2018-09-08T18:25:41Z,JAI384,"19.700535,73.165253",13000,307,184
1536431175,2018-09-08T18:26:15Z,JAI384,"19.65184,73.161201",13000,308,184
1536431206,2018-09-08T18:26:46Z,JAI384,"19.6073,73.157372",13000,308,184
1536431226,2018-09-08T18:27:06Z,JAI384,"19.579172,73.153564",13000,306,195
1536431236,2018-09-08T18:27:16Z,JAI384,"19.566278,73.146919",13000,306,211
1536431243,2018-09-08T18:27:23Z,JAI384,"19.56032,73.141777",13000,308,221
1536431251,2018-09-08T18:27:31Z,JAI384,"19.551987,73.130295",13000,309,239
1536431257,2018-09-08T18:27:37Z,JAI384,"19.548542,73.122604",13000,310,247
1536431263,2018-09-08T18:27:43Z,JAI384,"19.546097,73.115776",13000,310,249
1536431273,2018-09-08T18:27:53Z,JAI384,"19.541279,73.101433",13000,310,250
1536431283,2018-09-08T18:28:03Z,JAI384,"19.536392,73.086601",13000,311,250
